Date,Close,MCD
20/02/2008,56.2,0.009475355
19/02/2008,55.67,0.006668494
15/02/2008,55.3,-0.005050516
14/02/2008,55.58,-0.018892025
13/02/2008,56.64,0.004778347
12/02/2008,56.37,0.006942618
11/02/2008,55.98,0.006092117
08/02/2008,55.64,0.02143588
07/02/2008,54.46,0.013494983
06/02/2008,53.73,-0.002045181
05/02/2008,53.84,-0.000742666
04/02/2008,53.88,-0.006290493
01/02/2008,54.22,0.01187398
31/01/2008,53.58,0.049154172
30/01/2008,51.01,0.005110074
29/01/2008,50.75,-0.006285623
28/01/2008,51.07,-0.057636945
25/01/2008,54.1,0.001850139
24/01/2008,54,0.018503472
23/01/2008,53.01,0.01062024
22/01/2008,52.45,0.000953744
18/01/2008,52.4,0.008047562
17/01/2008,51.98,-0.008238384
16/01/2008,52.41,-0.025432283
15/01/2008,53.76,-0.022075952
14/01/2008,54.96,0.011713165
11/01/2008,54.32,-0.068477275
10/01/2008,58.17,0.012106685
09/01/2008,57.47,0.00680928
08/01/2008,57.08,-0.016506326
07/01/2008,58.03,0.017032042
04/01/2008,57.05,-0.015307309
03/01/2008,57.93,-0.002930279
02/01/2008,58.1,-0.013845192
31/12/2007,58.91,-0.009965457
28/12/2007,59.5,0.005223704
27/12/2007,59.19,-0.011589951
26/12/2007,59.88,-0.007155368
24/12/2007,60.31,0.00465349
21/12/2007,60.03,0.020872665
20/12/2007,58.79,-0.001020061
19/12/2007,58.85,-0.016515374
18/12/2007,59.83,0.001170667
17/12/2007,59.76,-0.02315684
14/12/2007,61.16,-0.005706382
13/12/2007,61.51,-0.002435659
12/12/2007,61.66,-0.02356067
11/12/2007,63.13,0.019675913
10/12/2007,61.9,0.0285125
07/12/2007,60.16,-0.001992694
06/12/2007,60.28,0.012856008
05/12/2007,59.51,-0.008700072
04/12/2007,60.03,0.00333723
03/12/2007,59.83,0.022993405
30/11/2007,58.47,0.002054443
29/11/2007,58.35,0.006533723
28/11/2007,57.97,0.008836582
27/11/2007,57.46,0.011200677
26/11/2007,56.82,-0.015715357
23/11/2007,57.72,0.006779687
21/11/2007,57.33,-0.019860769
20/11/2007,58.48,-0.002049881
19/11/2007,58.6,0.008052815
16/11/2007,58.13,0.016477695
15/11/2007,57.18,0.008429976
14/11/2007,56.7,-0.007029906
13/11/2007,57.1,-0.024906165
12/11/2007,58.54,0.003936676
09/11/2007,58.31,-0.018015443
08/11/2007,59.37,0.016815683
07/11/2007,58.38,-0.023028447
06/11/2007,59.74,0.001172431
05/11/2007,59.67,0.010953012
02/11/2007,59.02,0.000338926
01/11/2007,59,-0.012631747
31/10/2007,59.75,0.009585544
30/10/2007,59.18,0
29/10/2007,59.18,0.012069845
26/10/2007,58.47,0.006864623
25/10/2007,58.07,0.015969789
24/10/2007,57.15,0.003154577
23/10/2007,56.97,0.016816044
22/10/2007,56.02,-0.007114936
19/10/2007,56.42,-0.006536548
18/10/2007,56.79,-0.002989013
17/10/2007,56.96,0.002636901
16/10/2007,56.81,0.010973561
15/10/2007,56.19,-0.014663278
12/10/2007,57.02,0.013596042
11/10/2007,56.25,-0.013771404
10/10/2007,57.03,-0.006118365
09/10/2007,57.38,0.008927849
08/10/2007,56.87,0.008830859
05/10/2007,56.37,0.005871381
04/10/2007,56.04,-0.001248328
03/10/2007,56.11,0.002855615
02/10/2007,55.95,-0.001071811
01/10/2007,56.01,0.027880155
28/09/2007,54.47,-0.001650922
27/09/2007,54.56,-0.00438918
26/09/2007,54.8,0.011932221
25/09/2007,54.15,-0.014847674
24/09/2007,54.96,0.002915454
21/09/2007,54.8,-0.001276557
20/09/2007,54.87,-0.009793332
19/09/2007,55.41,0.007063327
18/09/2007,55.02,0.00693054
17/09/2007,54.64,-0.014715499
14/09/2007,55.45,0.020957487
13/09/2007,54.3,0.058784695
12/09/2007,51.2,-0.010878118
11/09/2007,51.76,0.031599136
10/09/2007,50.15,0.018312213
07/09/2007,49.24,-0.010505147
06/09/2007,49.76,0.010505147
05/09/2007,49.24,-0.008493479
04/09/2007,49.66,0.008290412
31/08/2007,49.25,0.00856449
30/08/2007,48.83,-0.007345473
29/08/2007,49.19,0.011244113
28/08/2007,48.64,-0.016920188
27/08/2007,49.47,-0.013053705
24/08/2007,50.12,0.005401634
23/08/2007,49.85,0.009878117
22/08/2007,49.36,0.01819533
21/08/2007,48.47,0.00372055
20/08/2007,48.29,0.015022189
17/08/2007,47.57,-0.010455971
16/08/2007,48.07,0.01066621
15/08/2007,47.56,-0.009208939
14/08/2007,48,-0.014683337
13/08/2007,48.71,-0.014268485
10/08/2007,49.41,-0.010469192
09/08/2007,49.93,-0.007184226
08/08/2007,50.29,0.011197877
07/08/2007,49.73,0.005444111
06/08/2007,49.46,0.019188178
03/08/2007,48.52,-0.009640112
02/08/2007,48.99,0.014805946
01/08/2007,48.27,0.008321246
31/07/2007,47.87,-0.010804177
30/07/2007,48.39,-0.007617124
27/07/2007,48.76,-0.015062365
26/07/2007,49.5,-0.029068342
25/07/2007,50.96,-0.011511199
24/07/2007,51.55,-0.018260959
23/07/2007,52.5,0.007840178
20/07/2007,52.09,-0.011073042
19/07/2007,52.67,0.008963539
18/07/2007,52.2,0.000766577
17/07/2007,52.16,0.001150969
16/07/2007,52.1,0.003653499
13/07/2007,51.91,0.005021254
12/07/2007,51.65,0.018169885
11/07/2007,50.72,0.00752032
10/07/2007,50.34,-0.01576698
09/07/2007,51.14,-0.00565469
06/07/2007,51.43,0.004286834
05/07/2007,51.21,-0.003703347
03/07/2007,51.4,0.000389181
02/07/2007,51.38,0.012140349
29/06/2007,50.76,-0.00177148
28/06/2007,50.85,-0.009590053
27/06/2007,51.34,-0.007954257
26/06/2007,51.75,0.00873368
25/06/2007,51.3,0.01730283
22/06/2007,50.42,-0.012809319
21/06/2007,51.07,-0.005078136
20/06/2007,51.33,-0.022156768
19/06/2007,52.48,0.001525553
18/06/2007,52.4,0.004398974
15/06/2007,52.17,-0.001532274
14/06/2007,52.25,0.001148985
13/06/2007,52.19,0.013697523
12/06/2007,51.48,0.004477765
11/06/2007,51.25,-0.003117088
08/06/2007,51.41,0.023618496
07/06/2007,50.21,-0.008527568
06/06/2007,50.64,-0.004138345
05/06/2007,50.85,-0.004904375
04/06/2007,51.1,0.002939738
01/06/2007,50.95,0.007881814
31/05/2007,50.55,0.006350488
30/05/2007,50.23,-0.007536727
29/05/2007,50.61,-0.005713738
25/05/2007,50.9,-0.001178088
24/05/2007,50.96,-0.011899097
23/05/2007,51.57,-0.017873062
22/05/2007,52.5,0.004390577
21/05/2007,52.27,-0.001147228
18/05/2007,52.33,0.00133856
17/05/2007,52.26,0.005564631
16/05/2007,51.97,0.013560843
