Date,Close,COF
20/02/2008,49.33,0.026082185
19/02/2008,48.06,0.008357759
15/02/2008,47.66,0.001469817
14/02/2008,47.59,-0.030828965
13/02/2008,49.08,0.033775095
12/02/2008,47.45,0.013366063
11/02/2008,46.82,-0.045101589
08/02/2008,48.98,-0.022608957
07/02/2008,50.1,0.010836951
06/02/2008,49.56,-0.01283097
05/02/2008,50.2,-0.047651212
04/02/2008,52.65,-0.078858575
01/02/2008,56.97,0.042124697
31/01/2008,54.62,0.056878444
30/01/2008,51.6,-0.001742667
29/01/2008,51.69,0.035443757
28/01/2008,49.89,0.070153239
25/01/2008,46.51,-0.026311724
24/01/2008,47.75,0.077254278
23/01/2008,44.2,0.104606652
22/01/2008,39.81,0.003270855
18/01/2008,39.68,-0.034187129
17/01/2008,41.06,-0.058645644
16/01/2008,43.54,0.036010438
15/01/2008,42,-0.025157081
14/01/2008,43.07,0.011207215
11/01/2008,42.59,-0.007718434
10/01/2008,42.92,-0.009968785
09/01/2008,43.35,0.003697716
08/01/2008,43.19,-0.081342022
07/01/2008,46.85,0.018961999
04/01/2008,45.97,-0.01511255
03/01/2008,46.67,-0.01446526
02/01/2008,47.35,0.001902548
31/12/2007,47.26,0.014707715
28/12/2007,46.57,-0.002573452
27/12/2007,46.69,-0.024332101
26/12/2007,47.84,-0.007704359
24/12/2007,48.21,0.011054446
21/12/2007,47.68,0.037829064
20/12/2007,45.91,-0.001958438
19/12/2007,46,-0.010810916
18/12/2007,46.5,0.018229671
17/12/2007,45.66,-0.033171251
14/12/2007,47.2,-0.029435378
13/12/2007,48.61,0.007019021
12/12/2007,48.27,-0.033811775
11/12/2007,49.93,-0.041966943
10/12/2007,52.07,0.044573983
07/12/2007,49.8,-0.051463963
06/12/2007,52.43,0.048856922
05/12/2007,49.93,0.000601022
04/12/2007,49.9,-0.019645438
03/12/2007,50.89,-0.04645749
30/11/2007,53.31,0.026419858
29/11/2007,51.92,-0.032031545
28/11/2007,53.61,0.086451936
27/11/2007,49.17,-0.000609942
26/11/2007,49.2,-0.056695344
23/11/2007,52.07,0.0443732
21/11/2007,49.81,-0.018498787
20/11/2007,50.74,-0.014867253
19/11/2007,51.5,-0.029653057
16/11/2007,53.05,0.004913086
15/11/2007,52.79,-0.04645113
14/11/2007,55.3,-0.029049534
13/11/2007,56.93,0.047850855
12/11/2007,54.27,0.000184281
09/11/2007,54.26,0.025383968
08/11/2007,52.9,0.052189129
07/11/2007,50.21,-0.169257774
06/11/2007,59.47,-0.017667126
05/11/2007,60.53,-0.010517763
02/11/2007,61.17,-0.018144026
01/11/2007,62.29,-0.051622346
31/10/2007,65.59,0.005503759
30/10/2007,65.23,-0.010067199
29/10/2007,65.89,0.022873052
26/10/2007,64.4,0.038624618
25/10/2007,61.96,-0.028166394
24/10/2007,63.73,0.02655375
23/10/2007,62.06,-0.013921339
22/10/2007,62.93,0.00398058
19/10/2007,62.68,-0.051612325
18/10/2007,66,-0.013544225
17/10/2007,66.9,-0.001344387
16/10/2007,66.99,-0.022582319
15/10/2007,68.52,-0.033862633
12/10/2007,70.88,-0.014148867
11/10/2007,71.89,0.014854533
10/10/2007,70.83,-0.016522358
09/10/2007,72.01,0.010610179
08/10/2007,71.25,-0.023442366
05/10/2007,72.94,0.026253331
04/10/2007,71.05,0.010612056
03/10/2007,70.3,0.014038334
02/10/2007,69.32,0.014530915
01/10/2007,68.32,0.028053788
28/09/2007,66.43,-0.005554319
27/09/2007,66.8,0.010534334
26/09/2007,66.1,0.00363747
25/09/2007,65.86,-0.013722601
24/09/2007,66.77,-0.03314244
21/09/2007,69.02,-0.005346447
20/09/2007,69.39,-0.022655382
19/09/2007,70.98,0.017767506
18/09/2007,69.73,0.066557863
17/09/2007,65.24,-0.013247244
14/09/2007,66.11,-0.004527626
13/09/2007,66.41,0.020384034
12/09/2007,65.07,0.015331311
11/09/2007,64.08,0.020336478
10/09/2007,62.79,0.001434377
07/09/2007,62.7,-0.02239488
06/09/2007,64.12,0.015401845
05/09/2007,63.14,-0.024870289
04/09/2007,64.73,0.001082
31/08/2007,64.66,0.006361049
30/08/2007,64.25,-0.012220741
29/08/2007,65.04,0.020033281
28/08/2007,63.75,-0.033169257
27/08/2007,65.9,-0.006353069
24/08/2007,66.32,-0.007959793
23/08/2007,66.85,-0.001345392
22/08/2007,66.94,-0.022598997
21/08/2007,68.47,0.025890935
20/08/2007,66.72,-0.029971978
17/08/2007,68.75,0.058245636
16/08/2007,64.86,0.028620297
15/08/2007,63.03,-0.046043939
14/08/2007,66,-0.036740951
13/08/2007,68.47,-0.009159038
10/08/2007,69.1,0.016047026
09/08/2007,68,-0.051447694
08/08/2007,71.59,0.013783622
07/08/2007,70.61,0.005111469
06/08/2007,70.25,0.042305894
03/08/2007,67.34,-0.055738405
02/08/2007,71.2,0.017569168
01/08/2007,69.96,-0.011370219
31/07/2007,70.76,-0.037855473
30/07/2007,73.49,0.006415966
