Date,Close,EMC
20/02/2008,15.43,0.007807457
19/02/2008,15.31,-0.0378129
15/02/2008,15.9,-0.011878852
14/02/2008,16.09,0.01755531
13/02/2008,15.81,0.004437408
12/02/2008,15.74,0.005734326
11/02/2008,15.65,0.010922049
08/02/2008,15.48,0.015625318
07/02/2008,15.24,-0.013037994
06/02/2008,15.44,-0.00516797
05/02/2008,15.52,-0.031084012
04/02/2008,16.01,-0.007467365
01/02/2008,16.13,0.018774018
31/01/2008,15.83,0.001264223
30/01/2008,15.81,-0.005047329
29/01/2008,15.89,-0.062215182
28/01/2008,16.91,0.011299555
25/01/2008,16.72,0.010219506
24/01/2008,16.55,0.034422575
23/01/2008,15.99,-0.019201581
22/01/2008,16.3,-0.040871073
18/01/2008,16.98,0.00531445
17/01/2008,16.89,0.005342844
16/01/2008,16.8,0.007168489
15/01/2008,16.68,-0.007168489
14/01/2008,16.8,0.048790164
11/01/2008,16,-0.038018067
10/01/2008,16.62,0.004220688
09/01/2008,16.55,0.031924135
08/01/2008,16.03,-0.000623636
07/01/2008,16.04,-0.057539333
04/01/2008,16.99,-0.048257496
03/01/2008,17.83,-0.01059982
02/01/2008,18.02,-0.027908788
31/12/2007,18.53,0.004868822
28/12/2007,18.44,-0.003248514
27/12/2007,18.5,-0.024560765
26/12/2007,18.96,-0.005260401
24/12/2007,19.06,0.001575217
21/12/2007,19.03,0.010565339
20/12/2007,18.83,0.000531209
19/12/2007,18.82,0.020397916
18/12/2007,18.44,-0.005408342
17/12/2007,18.54,-0.023455233
14/12/2007,18.98,-0.010482276
13/12/2007,19.18,-0.025734822
12/12/2007,19.68,0.015877414
11/12/2007,19.37,-0.007714104
10/12/2007,19.52,-0.001535705
07/12/2007,19.55,0.001535705
06/12/2007,19.52,0.004106782
05/12/2007,19.44,0.012943489
04/12/2007,19.19,0.007847281
03/12/2007,19.04,-0.012007453
30/11/2007,19.27,-0.009811594
29/11/2007,19.46,0.018149319
28/11/2007,19.11,0.049339766
27/11/2007,18.19,0.046127412
26/11/2007,17.37,-0.06031979
23/11/2007,18.45,0.01089929
21/11/2007,18.25,-0.030755054
20/11/2007,18.82,-0.017904638
19/11/2007,19.16,-0.02474353
16/11/2007,19.64,0.016427474
15/11/2007,19.32,-0.012856953
14/11/2007,19.57,-0.007635568
13/11/2007,19.72,0.046182007
12/11/2007,18.83,-0.055770775
09/11/2007,19.91,-0.037461256
08/11/2007,20.67,-0.073209096
07/11/2007,22.24,-0.050843553
06/11/2007,23.4,-0.003838776
05/11/2007,23.49,-0.044137056
02/11/2007,24.55,-0.009728492
01/11/2007,24.79,-0.02391505
31/10/2007,25.39,0.010691054
30/10/2007,25.12,-0.009903032
29/10/2007,25.37,0.033670515
26/10/2007,24.53,0.003266642
25/10/2007,24.45,0.081782461
24/10/2007,22.53,-0.036177404
23/10/2007,23.36,0.033517827
22/10/2007,22.59,0.009339628
19/10/2007,22.38,-0.022095464
18/10/2007,22.88,0.001312049
17/10/2007,22.85,0.025710636
16/10/2007,22.27,-0.012937945
15/10/2007,22.56,-0.01102061
12/10/2007,22.81,0.002633891
11/10/2007,22.75,0.007943555
10/10/2007,22.57,0.034253011
09/10/2007,21.81,0.029783495
08/10/2007,21.17,0.008538951
05/10/2007,20.99,-0.002854426
04/10/2007,21.05,-0.003793271
03/10/2007,21.13,-0.011294238
02/10/2007,21.37,0.026554429
01/10/2007,20.81,0.000480654
28/09/2007,20.8,0.012092046
27/09/2007,20.55,-0.005338523
26/09/2007,20.66,-0.01202805
25/09/2007,20.91,0.019314941
24/09/2007,20.51,0.074895891
21/09/2007,19.03,0
20/09/2007,19.03,-0.003671654
19/09/2007,19.1,-0.006783225
18/09/2007,19.23,0.025277807
17/09/2007,18.75,-0.027874537
14/09/2007,19.28,0.001037883
13/09/2007,19.26,-0.008273056
12/09/2007,19.42,-0.004111003
11/09/2007,19.5,0.01863408
10/09/2007,19.14,0.008921602
07/09/2007,18.97,-0.021898685
06/09/2007,19.39,-0.00257533
05/09/2007,19.44,-0.020871208
04/09/2007,19.85,0.009617892
31/08/2007,19.66,0.004077478
30/08/2007,19.58,-0.002550371
29/08/2007,19.63,0.027894371
28/08/2007,19.09,-0.028912701
27/08/2007,19.65,-0.016654435
24/08/2007,19.98,0.026884703
23/08/2007,19.45,-0.019853032
22/08/2007,19.84,0.028113275
21/08/2007,19.29,0.033740681
20/08/2007,18.65,0.019491684
17/08/2007,18.29,0.00548247
16/08/2007,18.19,0.002752548
15/08/2007,18.14,-0.010965022
14/08/2007,18.34,-0.037982635
13/08/2007,19.05,0.072373156
10/08/2007,17.72,-0.001128032
09/08/2007,17.74,-0.036528688
08/08/2007,18.4,0.013680104
07/08/2007,18.15,-0.018559485
06/08/2007,18.49,-0.010223387
03/08/2007,18.68,-0.024849283
02/08/2007,19.15,0.003138078
01/08/2007,19.09,0.030853511
31/07/2007,18.51,-0.016609008
30/07/2007,18.82,0.02529056
27/07/2007,18.35,-0.002177464
26/07/2007,18.39,-0.027883844
25/07/2007,18.91,-0.007376219
24/07/2007,19.05,-0.023860053
23/07/2007,19.51,0.003594356
20/07/2007,19.44,-0.01430055
19/07/2007,19.72,0.024122288
18/07/2007,19.25,0.012020004
17/07/2007,19.02,-0.005766726
16/07/2007,19.13,-0.003131527
13/07/2007,19.19,-0.003121751
