Date,Close,APA
20/02/2008,111.78,0.030335629
19/02/2008,108.44,0.020967082
15/02/2008,106.19,-0.006196039
14/02/2008,106.85,-0.01274021
13/02/2008,108.22,0.03211242
12/02/2008,104.8,0.012192346
11/02/2008,103.53,0.028411002
08/02/2008,100.63,0.028832642
07/02/2008,97.77,0.029478004
06/02/2008,94.93,-0.003890033
05/02/2008,95.3,-0.032823671
04/02/2008,98.48,0.000101549
01/02/2008,98.47,0.03209273
31/01/2008,95.36,0.011284064
30/01/2008,94.29,0.004997087
29/01/2008,93.82,-0.00361741
28/01/2008,94.16,0.016922327
25/01/2008,92.58,-0.004741388
24/01/2008,93.02,0.018335203
23/01/2008,91.33,-0.015428381
22/01/2008,92.75,-0.032772433
18/01/2008,95.84,0.009961808
17/01/2008,94.89,-0.048945721
16/01/2008,99.65,-0.048957402
15/01/2008,104.65,-0.036681567
14/01/2008,108.56,0.034104861
11/01/2008,104.92,-0.010618226
10/01/2008,106.04,-0.015347484
09/01/2008,107.68,0.043076577
08/01/2008,103.14,-0.023855133
07/01/2008,105.63,-0.016524646
04/01/2008,107.39,-0.029362601
03/01/2008,110.59,0.002535085
02/01/2008,110.31,0.025431713
31/12/2007,107.54,-0.008426366
28/12/2007,108.45,0.016361804
27/12/2007,106.69,-0.00635338
26/12/2007,107.37,-0.006128153
24/12/2007,108.03,-0.001017718
21/12/2007,108.14,0.028229004
20/12/2007,105.13,0.01572269
19/12/2007,103.49,0.005717347
18/12/2007,102.9,0.01834014
17/12/2007,101.03,-0.03749468
14/12/2007,104.89,-0.011187072
13/12/2007,106.07,0.011377766
12/12/2007,104.87,0.048752022
11/12/2007,99.88,-0.015990806
10/12/2007,101.49,0.020405824
07/12/2007,99.44,-0.005415719
06/12/2007,99.98,0.016132635
05/12/2007,98.38,0.028455528
04/12/2007,95.62,-0.00687861
03/12/2007,96.28,-0.00528307
30/11/2007,96.79,-0.012423796
29/11/2007,98,0.003577821
28/11/2007,97.65,0.009466065
27/11/2007,96.73,-0.020971563
26/11/2007,98.78,-0.02814838
23/11/2007,101.6,0.0260247
21/11/2007,98.99,-0.02936557
20/11/2007,101.94,0.024327268
19/11/2007,99.49,0.000905023
16/11/2007,99.4,0.022381402
15/11/2007,97.2,-0.020568895
14/11/2007,99.22,0.000806614
13/11/2007,99.14,0.02719726
12/11/2007,96.48,-0.063644154
09/11/2007,102.82,-0.018310235
08/11/2007,104.72,0.01413689
07/11/2007,103.25,-0.025908433
06/11/2007,105.96,0.035347514
05/11/2007,102.28,-0.01494448
02/11/2007,103.82,0.045722249
01/11/2007,99.18,-0.045625924
31/10/2007,103.81,0.04734145
30/10/2007,99.01,-0.028280288
29/10/2007,101.85,0.044161717
26/10/2007,97.45,0.035725546
25/10/2007,94.03,0.009939696
24/10/2007,93.1,0.018428706
23/10/2007,91.4,0.000328281
22/10/2007,91.37,-0.021331544
19/10/2007,93.34,-0.039389643
18/10/2007,97.09,0.015988713
17/10/2007,95.55,-0.012687358
16/10/2007,96.77,0.009031047
15/10/2007,95.9,0.00942909
12/10/2007,95,0.013138566
11/10/2007,93.76,0.009753038
10/10/2007,92.85,0.006808261
09/10/2007,92.22,0.033744518
08/10/2007,89.16,-0.010487656
05/10/2007,90.1,0.004895426
04/10/2007,89.66,0.002456729
03/10/2007,89.44,-0.012996573
02/10/2007,90.61,-0.014789118
01/10/2007,91.96,0.020877585
28/09/2007,90.06,-0.005315627
27/09/2007,90.54,0.026638397
26/09/2007,88.16,0.003067313
25/09/2007,87.89,0.001822116
24/09/2007,87.73,-0.012122734
21/09/2007,88.8,-0.000112606
20/09/2007,88.81,0.007459347
19/09/2007,88.15,0.014396958
18/09/2007,86.89,0.03144803
17/09/2007,84.2,0.012067773
14/09/2007,83.19,0.014651833
13/09/2007,81.98,-0.002314957
12/09/2007,82.17,0.02364351
11/09/2007,80.25,0.014813226
10/09/2007,79.07,0.003547451
07/09/2007,78.79,-0.020228091
06/09/2007,80.4,0.014532954
05/09/2007,79.24,-0.002394909
04/09/2007,79.43,0.026147781
31/08/2007,77.38,0.014448673
30/08/2007,76.27,0.010676962
29/08/2007,75.46,0.025093568
28/08/2007,73.59,-0.023369315
27/08/2007,75.33,-0.013056565
24/08/2007,76.32,0.007892701
23/08/2007,75.72,0.017720802
22/08/2007,74.39,-0.002818983
21/08/2007,74.6,-0.01911901
20/08/2007,76.04,-0.00877256
17/08/2007,76.71,0.01431128
16/08/2007,75.62,-0.013137341
15/08/2007,76.62,-0.036269754
14/08/2007,79.45,-0.017344
13/08/2007,80.84,-0.007885699
10/08/2007,81.48,0.000245489
09/08/2007,81.46,0.003320015
08/08/2007,81.19,0.018647979
07/08/2007,79.69,0.01632018
06/08/2007,78.4,0.003833871
03/08/2007,78.1,-0.033739353
02/08/2007,80.78,-0.005308982
01/08/2007,81.21,0.0045665
31/07/2007,80.84,-0.003457647
30/07/2007,81.12,0.00432393
27/07/2007,80.77,-0.015113638
26/07/2007,82,-0.032986499
25/07/2007,84.75,0.004612391
24/07/2007,84.36,-0.023662812
23/07/2007,86.38,-0.001735007
20/07/2007,86.53,-0.026683453
19/07/2007,88.87,0.01439363
18/07/2007,87.6,0.023563114
17/07/2007,85.56,-0.001168088
16/07/2007,85.66,-0.006168189
13/07/2007,86.19,0.015197861
12/07/2007,84.89,0.015193171
11/07/2007,83.61,0.004675427
10/07/2007,83.22,-0.010994375
09/07/2007,84.14,-0.000237671
06/07/2007,84.16,0.00883166
05/07/2007,83.42,0.001199472
03/07/2007,83.32,0.008436834
02/07/2007,82.62,0.012545077
29/06/2007,81.59,0.006023744
28/06/2007,81.1,0.000986923
27/06/2007,81.02,0.007308797
