Date,Close,WAG
20/02/2008,36,0.016242306
19/02/2008,35.42,-0.001410636
15/02/2008,35.47,-0.001690141
14/02/2008,35.53,-0.018681709
13/02/2008,36.2,-0.001104362
12/02/2008,36.24,0.009147673
11/02/2008,35.91,0.023384641
08/02/2008,35.08,0.009739407
07/02/2008,34.74,0.006352895
06/02/2008,34.52,-0.012379602
05/02/2008,34.95,-0.014204784
04/02/2008,35.45,-0.024245301
01/02/2008,36.32,0.035878288
31/01/2008,35.04,0.020761991
30/01/2008,34.32,-0.011587615
29/01/2008,34.72,0.007806892
28/01/2008,34.45,0.004946904
25/01/2008,34.28,-0.020500213
24/01/2008,34.99,-0.013060947
23/01/2008,35.45,0.039706021
22/01/2008,34.07,0.010622702
18/01/2008,33.71,0.011036652
17/01/2008,33.34,0.003003907
16/01/2008,33.24,0.006943424
15/01/2008,33.01,-0.009047106
14/01/2008,33.31,-0.011640185
11/01/2008,33.7,-0.024041029
10/01/2008,34.52,0.022558449
09/01/2008,33.75,-0.014122035
08/01/2008,34.23,-0.024243612
07/01/2008,35.07,0.022492298
04/01/2008,34.29,-0.022207113
03/01/2008,35.06,-0.063004259
02/01/2008,37.34,-0.019624072
31/12/2007,38.08,-0.014081067
28/12/2007,38.62,0.006233786
27/12/2007,38.38,-0.006233786
26/12/2007,38.62,-0.010304058
24/12/2007,39.02,0.014195618
21/12/2007,38.47,0.059439335
20/12/2007,36.25,-0.003579792
19/12/2007,36.38,-0.023364279
18/12/2007,37.24,0.010527834
17/12/2007,36.85,0.00708064
14/12/2007,36.59,-0.001638449
13/12/2007,36.65,-0.009504484
12/12/2007,37,0.002706362
11/12/2007,36.9,-0.009171901
10/12/2007,37.24,0.003496977
07/12/2007,37.11,0.014111496
06/12/2007,36.59,0.00355921
05/12/2007,36.46,0.017988585
04/12/2007,35.81,-0.016341591
03/12/2007,36.4,-0.005206204
30/11/2007,36.59,-0.018950215
29/11/2007,37.29,-0.026985765
28/11/2007,38.31,0.000522193
27/11/2007,38.29,-0.023743051
26/11/2007,39.21,-0.013174754
23/11/2007,39.73,0.008340754
21/11/2007,39.4,-0.009347043
20/11/2007,39.77,0.012397376
19/11/2007,39.28,-0.017413689
16/11/2007,39.97,0.009552612
15/11/2007,39.59,-0.00403328
14/11/2007,39.75,0.016487374
13/11/2007,39.1,0.017023883
12/11/2007,38.44,0.008884302
09/11/2007,38.1,-0.024116299
08/11/2007,39.03,0.013932114
07/11/2007,38.49,-0.00233554
06/11/2007,38.58,-0.002588663
05/11/2007,38.68,-0.011055518
02/11/2007,39.11,0.002047608
01/11/2007,39.03,-0.015760367
31/10/2007,39.65,0.004296734
30/10/2007,39.48,-0.005556973
29/10/2007,39.7,-0.012018172
26/10/2007,40.18,0.00499003
25/10/2007,39.98,0.013345282
24/10/2007,39.45,0.030629083
23/10/2007,38.26,0.01474487
22/10/2007,37.7,-0.003970885
19/10/2007,37.85,-0.013644924
18/10/2007,38.37,0
17/10/2007,38.37,-0.007788201
16/10/2007,38.67,-0.003356141
15/10/2007,38.8,-0.000515331
12/10/2007,38.82,0.003612907
11/10/2007,38.68,-0.004900074
10/10/2007,38.87,-0.008198867
09/10/2007,39.19,0.001532176
08/10/2007,39.13,-0.004335083
05/10/2007,39.3,-0.01188834
04/10/2007,39.77,0.008332329
03/10/2007,39.44,-0.016096927
02/10/2007,40.08,-0.001994019
01/10/2007,40.16,-0.162369516
28/09/2007,47.24,-0.014500622
27/09/2007,47.93,0.004600594
26/09/2007,47.71,0.017336586
25/09/2007,46.89,0.024612641
24/09/2007,45.75,0.007459447
21/09/2007,45.41,0.001322169
20/09/2007,45.35,-0.015317586
19/09/2007,46.05,-0.003252035
18/09/2007,46.2,0.024319306
17/09/2007,45.09,-0.004204941
14/09/2007,45.28,-0.003087103
13/09/2007,45.42,0.008623602
12/09/2007,45.03,0.004005346
11/09/2007,44.85,0.017998236
10/09/2007,44.05,-0.002267575
07/09/2007,44.15,-0.020845762
06/09/2007,45.08,-0.001330082
05/09/2007,45.14,-0.006403908
04/09/2007,45.43,0.007955843
31/08/2007,45.07,0.010034648
30/08/2007,44.62,-0.004918409
29/08/2007,44.84,0.028043448
28/08/2007,43.6,-0.017957068
27/08/2007,44.39,-0.015868028
24/08/2007,45.1,0.006450918
23/08/2007,44.81,-0.004675507
22/08/2007,45.02,0
21/08/2007,45.02,0.00133363
20/08/2007,44.96,-0.015668422
17/08/2007,45.67,0.01211602
16/08/2007,45.12,0.011367558
15/08/2007,44.61,-0.013802534
14/08/2007,45.23,-0.009023942
13/08/2007,45.64,-0.016945876
10/08/2007,46.42,-0.015391497
09/08/2007,47.14,0.017332198
08/08/2007,46.33,0.018077373
07/08/2007,45.5,0.007722046
06/08/2007,45.15,0.02375728
03/08/2007,44.09,-0.016198329
02/08/2007,44.81,0.001786911
01/08/2007,44.73,0.012372219
31/07/2007,44.18,-0.01460536
30/07/2007,44.83,0.006265404
27/07/2007,44.55,-0.014484933
26/07/2007,45.2,-0.00924913
25/07/2007,45.62,0.011907528
24/07/2007,45.08,-0.012564918
23/07/2007,45.65,0.003511085
20/07/2007,45.49,0.007059372
19/07/2007,45.17,0.00822501
18/07/2007,44.8,0.00604502
17/07/2007,44.53,-0.009610086
16/07/2007,44.96,-0.005323881
13/07/2007,45.2,0.00221484
12/07/2007,45.1,0.021062845
11/07/2007,44.16,0.002040123
10/07/2007,44.07,-0.013970484
09/07/2007,44.69,0.006285094
06/07/2007,44.41,0.011322585
05/07/2007,43.91,0.001367366
03/07/2007,43.85,0.00319781
02/07/2007,43.71,0.003896853
29/06/2007,43.54,0.0002297
28/06/2007,43.53,-0.012328923
27/06/2007,44.07,0.007744913
26/06/2007,43.73,-0.011821006
25/06/2007,44.25,-0.016140229
22/06/2007,44.97,0.002672012
21/06/2007,44.85,0.026891237
20/06/2007,43.66,0
19/06/2007,43.66,-0.013874896
18/06/2007,44.27,0.000225912
15/06/2007,44.26,0.009306616
14/06/2007,43.85,-0.003414915
13/06/2007,44,0.011658607
12/06/2007,43.49,-0.017324345
11/06/2007,44.25,-0.001355014
08/06/2007,44.31,0.008157761
