Date,Close,LMT
20/02/2008,107.07,-0.002518541
19/02/2008,107.34,0.014828991
15/02/2008,105.76,-0.012590601
14/02/2008,107.1,-0.016391532
13/02/2008,108.87,0.015364982
12/02/2008,107.21,-0.003724052
11/02/2008,107.61,0.017341204
08/02/2008,105.76,-0.000661657
07/02/2008,105.83,0.002175662
06/02/2008,105.6,-0.020340955
05/02/2008,107.77,-0.018479037
04/02/2008,109.78,0.015236642
01/02/2008,108.12,0.00185151
31/01/2008,107.92,0.012963576
30/01/2008,106.53,0.00084519
29/01/2008,106.44,-0.004031696
28/01/2008,106.87,0.012996981
25/01/2008,105.49,-0.003879091
24/01/2008,105.9,0.040566283
23/01/2008,101.69,0.006610453
22/01/2008,101.02,-0.008477133
18/01/2008,101.88,-0.002646671
17/01/2008,102.15,-0.035675145
16/01/2008,105.86,-0.008934089
15/01/2008,106.81,-0.011912658
14/01/2008,108.09,-0.012594972
11/01/2008,109.46,0.008440417
10/01/2008,108.54,9.21362E-05
09/01/2008,108.53,0.020761347
08/01/2008,106.3,0.000376364
07/01/2008,106.26,-0.002256064
04/01/2008,106.5,-0.013337884
03/01/2008,107.93,0.024194729
02/01/2008,105.35,0.00085466
31/12/2007,105.26,-0.014337163
28/12/2007,106.78,-0.008764625
27/12/2007,107.72,-0.016663216
26/12/2007,109.53,-0.015851063
24/12/2007,111.28,0.007215039
21/12/2007,110.48,0.025299241
20/12/2007,107.72,-0.004908099
19/12/2007,108.25,0.00064686
18/12/2007,108.18,-0.006725347
17/12/2007,108.91,-0.014312656
14/12/2007,110.48,0.010829609
13/12/2007,109.29,0.009007414
12/12/2007,108.31,0.005090954
11/12/2007,107.76,-0.02709796
10/12/2007,110.72,-0.002615795
07/12/2007,111.01,0.00578193
06/12/2007,110.37,0.011206896
05/12/2007,109.14,0.000183268
04/12/2007,109.12,-0.006030169
03/12/2007,109.78,-0.008074437
30/11/2007,110.67,-0.011946071
29/11/2007,112,0.006898742
28/11/2007,111.23,0.027249146
27/11/2007,108.24,0.00064692
26/11/2007,108.17,-0.025916224
23/11/2007,111.01,0.024899823
21/11/2007,108.28,-0.014577384
20/11/2007,109.87,-0.012302281
19/11/2007,111.23,-0.001257862
16/11/2007,111.37,-0.006354911
15/11/2007,112.08,0.001607287
14/11/2007,111.9,-0.003122911
13/11/2007,112.25,0.031860782
12/11/2007,108.73,-0.005686002
09/11/2007,109.35,0.020044083
08/11/2007,107.18,-0.00836203
07/11/2007,108.08,-0.01259613
06/11/2007,109.45,0.000456934
05/11/2007,109.4,-0.00655979
02/11/2007,110.12,0.011783649
01/11/2007,108.83,-0.011056904
31/10/2007,110.04,0.016492952
30/10/2007,108.24,-0.009196313
29/10/2007,109.24,0.005783812
26/10/2007,108.61,-0.014079589
25/10/2007,110.15,0.019526678
24/10/2007,108.02,0.009767974
23/10/2007,106.97,-0.002520892
22/10/2007,107.24,0.010121923
19/10/2007,106.16,-0.026492231
18/10/2007,109.01,-0.008404178
17/10/2007,109.93,-0.006799355
16/10/2007,110.68,-0.000180685
15/10/2007,110.7,-0.008724254
12/10/2007,111.67,-0.001878775
11/10/2007,111.88,0.010241757
10/10/2007,110.74,-0.005942216
09/10/2007,111.4,0.021779445
08/10/2007,109,0.002756088
05/10/2007,108.7,-0.002756088
04/10/2007,109,0.018986447
03/10/2007,106.95,-0.007823454
02/10/2007,107.79,-0.008774822
01/10/2007,108.74,0.002301709
28/09/2007,108.49,0.015793714
27/09/2007,106.79,0.010070199
26/09/2007,105.72,0.007214765
25/09/2007,104.96,0.025181013
24/09/2007,102.35,-0.008270541
21/09/2007,103.2,0.021152375
20/09/2007,101.04,-0.00148346
19/09/2007,101.19,-0.008952787
18/09/2007,102.1,0.026700013
17/09/2007,99.41,-0.019228488
14/09/2007,101.34,0.01691751
13/09/2007,99.64,0.0204813
12/09/2007,97.62,-0.003783042
11/09/2007,97.99,0.004910496
10/09/2007,97.51,0.008962203
07/09/2007,96.64,-0.017946439
06/09/2007,98.39,-0.004866683
05/09/2007,98.87,0.000505842
04/09/2007,98.82,-0.003232979
31/08/2007,99.14,0.00495476
30/08/2007,98.65,-0.01068774
29/08/2007,99.71,0.019443651
28/08/2007,97.79,-0.046162042
27/08/2007,102.41,0.023614198
24/08/2007,100.02,0.031381097
23/08/2007,96.93,-0.008833254
22/08/2007,97.79,0.023591368
21/08/2007,95.51,-0.007198404
20/08/2007,96.2,-0.000207879
17/08/2007,96.22,0.007510989
16/08/2007,95.5,0.007040433
15/08/2007,94.83,-0.012887181
14/08/2007,96.06,-0.019994482
13/08/2007,98,0.03838025
10/08/2007,94.31,0.031779483
09/08/2007,91.36,-0.035589414
