Date,Close,AMZN
20/02/2008,73.64,0.021411743
19/02/2008,72.08,-0.012134732
15/02/2008,72.96,-0.038186947
14/02/2008,75.8,-0.025142991
13/02/2008,77.73,0.043113524
12/02/2008,74.45,-0.009890484
11/02/2008,75.19,0.022732837
08/02/2008,73.5,0.035873939
07/02/2008,70.91,0.034723718
06/02/2008,68.49,-0.051227589
05/02/2008,72.09,-0.025473851
04/02/2008,73.95,-0.009153382
01/02/2008,74.63,-0.040312686
31/01/2008,77.7,0.045956345
30/01/2008,74.21,0.003509723
29/01/2008,73.95,-0.024972921
28/01/2008,75.82,-0.023205317
25/01/2008,77.6,-0.000901655
24/01/2008,77.67,0.048809477
23/01/2008,73.97,-0.05918421
22/01/2008,78.48,-0.01617831
18/01/2008,79.76,-0.004503385
17/01/2008,80.12,-0.002866581
16/01/2008,80.35,0.001369949
15/01/2008,80.24,-0.032250971
14/01/2008,82.87,0.021836793
11/01/2008,81.08,-0.038470935
10/01/2008,84.26,-0.011328892
09/01/2008,85.22,-0.030736099
08/01/2008,87.88,-0.010639602
07/01/2008,88.82,0.000337819
04/01/2008,88.79,-0.069810947
03/01/2008,95.21,-0.010863995
02/01/2008,96.25,0.038227959
31/12/2007,92.64,-0.01934958
28/12/2007,94.45,0.002119768
27/12/2007,94.25,0.014965539
26/12/2007,92.85,0.020015897
24/12/2007,91.01,-0.002743185
21/12/2007,91.26,0.007479137
20/12/2007,90.58,0.013336495
19/12/2007,89.38,0.028253993
18/12/2007,86.89,0.020933431
17/12/2007,85.09,-0.045825323
14/12/2007,89.08,-0.036592136
13/12/2007,92.4,0.012195273
12/12/2007,91.28,0.005823232
11/12/2007,90.75,-0.024706051
10/12/2007,93.02,-0.013772705
07/12/2007,94.31,0.001060895
06/12/2007,94.21,0.010885913
05/12/2007,93.19,-0.01300658
04/12/2007,94.41,0.037776994
03/12/2007,90.91,0.003857392
30/11/2007,90.56,0.01569227
29/11/2007,89.15,-0.012817116
28/11/2007,90.3,0.053569007
27/11/2007,85.59,0.051422437
26/11/2007,81.3,-0.001597739
23/11/2007,81.43,0.02072163
21/11/2007,79.76,-0.007867665
20/11/2007,80.39,0.015166049
19/11/2007,79.18,0.007352042
16/11/2007,78.6,0.009587801
15/11/2007,77.85,-0.008442107
14/11/2007,78.51,-0.017049096
