Date,Close,DVN
20/02/2008,99.58,0.034531984
19/02/2008,96.2,0.031681636
15/02/2008,93.2,-0.005030246
14/02/2008,93.67,0.006103783
13/02/2008,93.1,0.011994309
12/02/2008,91.99,-0.018311584
11/02/2008,93.69,0.045082668
08/02/2008,89.56,0.018595228
07/02/2008,87.91,0.019527384
06/02/2008,86.21,0.019206586
05/02/2008,84.57,-0.031999938
04/02/2008,87.32,0.006318592
01/02/2008,86.77,0.020021621
31/01/2008,85.05,0.010044398
30/01/2008,84.2,0.01302989
29/01/2008,83.11,-0.004082619
28/01/2008,83.45,0.028934671
25/01/2008,81.07,-0.002956031
24/01/2008,81.31,0.019372269
23/01/2008,79.75,0.005784724
22/01/2008,79.29,-0.031654104
18/01/2008,81.84,0.014027546
17/01/2008,80.7,-0.041030151
16/01/2008,84.08,-0.037581736
15/01/2008,87.3,-0.032678964
14/01/2008,90.2,0.034169192
11/01/2008,87.17,-0.016835797
10/01/2008,88.65,-0.007193467
09/01/2008,89.29,0.023111938
08/01/2008,87.25,-0.028807414
07/01/2008,89.8,-0.005552485
04/01/2008,90.3,-0.028816663
03/01/2008,92.94,0.013649871
02/01/2008,91.68,0.030679631
31/12/2007,88.91,-0.016730259
28/12/2007,90.41,0.003212765
27/12/2007,90.12,-0.00773741
26/12/2007,90.82,-0.010514883
24/12/2007,91.78,0.006229869
21/12/2007,91.21,0.026890509
20/12/2007,88.79,0.020136054
19/12/2007,87.02,0.002877037
18/12/2007,86.77,-0.001497092
17/12/2007,86.9,-0.020840019
14/12/2007,88.73,-0.012543562
13/12/2007,89.85,0.002897907
12/12/2007,89.59,0.029680475
11/12/2007,86.97,-0.024757113
10/12/2007,89.15,0.013324497
07/12/2007,87.97,-0.006119693
06/12/2007,88.51,0.037879392
05/12/2007,85.22,0.025071117
04/12/2007,83.11,-0.002643597
03/12/2007,83.33,0.006259801
30/11/2007,82.81,0.009951538
29/11/2007,81.99,0.005013155
28/11/2007,81.58,-0.017256474
27/11/2007,83,-0.011976191
26/11/2007,84,-0.015826479
23/11/2007,85.34,0.0154694
21/11/2007,84.03,-0.029086136
20/11/2007,86.51,0.01010755
19/11/2007,85.64,-0.006633717
16/11/2007,86.21,0.014134924
15/11/2007,85,-0.011812312
14/11/2007,86.01,0.004077596
13/11/2007,85.66,0.012215327
12/11/2007,84.62,-0.046299755
09/11/2007,88.63,-0.02087945
08/11/2007,90.5,0
07/11/2007,90.5,-0.024234348
06/11/2007,92.72,0.003349001
05/11/2007,92.41,-0.001621885
02/11/2007,92.56,0.013596772
01/11/2007,91.31,-0.022631035
31/10/2007,93.4,0.03641523
30/10/2007,90.06,-0.037485321
29/10/2007,93.5,0.003106424
26/10/2007,93.21,0.043189527
25/10/2007,89.27,0.030019309
24/10/2007,86.63,0.012428292
23/10/2007,85.56,0.000467617
22/10/2007,85.52,-0.012895909
19/10/2007,86.63,-0.043924645
18/10/2007,90.52,0.008431379
17/10/2007,89.76,-0.00233684
16/10/2007,89.97,0.00960472
15/10/2007,89.11,0.011512543
12/10/2007,88.09,0.002159214
11/10/2007,87.9,0.009717138
10/10/2007,87.05,0.011321748
09/10/2007,86.07,0.017108456
08/10/2007,84.61,-0.019313528
05/10/2007,86.26,0.005113912
04/10/2007,85.82,0.025849772
03/10/2007,83.63,-0.006079771
02/10/2007,84.14,-0.004269456
01/10/2007,84.5,0.015504187
28/09/2007,83.2,-0.005035378
27/09/2007,83.62,0.022250011
26/09/2007,81.78,-0.001222046
25/09/2007,81.88,-0.015992587
24/09/2007,83.2,-0.019401906
21/09/2007,84.83,0.012096922
20/09/2007,83.81,0.004544375
19/09/2007,83.43,0.016922923
18/09/2007,82.03,0.025808681
17/09/2007,79.94,0.004513548
14/09/2007,79.58,0.001634912
13/09/2007,79.45,-0.010517187
12/09/2007,80.29,0.021909715
11/09/2007,78.55,0.015007015
