Date,Close,APC
20/02/2008,61.84,0.021411294
19/02/2008,60.53,0.026619133
15/02/2008,58.94,-0.009120144
14/02/2008,59.48,-0.00016811
13/02/2008,59.49,0.015073535
12/02/2008,58.6,-0.002386229
11/02/2008,58.74,0.039588503
08/02/2008,56.46,0.024382707
07/02/2008,55.1,-0.004707595
06/02/2008,55.36,-0.027262267
05/02/2008,56.89,-0.049049612
04/02/2008,59.75,-0.004841816
01/02/2008,60.04,0.026326191
31/01/2008,58.48,0.020384192
30/01/2008,57.3,0.015122497
29/01/2008,56.44,-0.002477439
28/01/2008,56.58,0.021978907
25/01/2008,55.35,-0.007738723
24/01/2008,55.78,0.032061034
23/01/2008,54.02,-0.032598716
22/01/2008,55.81,0.001434463
18/01/2008,55.73,-0.006260641
17/01/2008,56.08,-0.048212591
16/01/2008,58.85,-0.04713001
15/01/2008,61.69,-0.050417567
14/01/2008,64.88,0.04218441
11/01/2008,62.2,-0.013414446
10/01/2008,63.04,0.001905367
09/01/2008,62.92,0.017637141
08/01/2008,61.82,-0.016364877
07/01/2008,62.84,-0.017666075
04/01/2008,63.96,-0.042696409
03/01/2008,66.75,0.001199221
02/01/2008,66.67,0.01480837
31/12/2007,65.69,-0.019298051
28/12/2007,66.97,0.010809293
27/12/2007,66.25,-0.012003145
26/12/2007,67.05,0.011097894
24/12/2007,66.31,0.001660252
21/12/2007,66.2,0.024930556
20/12/2007,64.57,0.020022568
19/12/2007,63.29,0.02301524
18/12/2007,61.85,0.006976584
17/12/2007,61.42,-0.014065384
14/12/2007,62.29,-0.014819808
13/12/2007,63.22,-0.003473871
12/12/2007,63.44,0.030244725
11/12/2007,61.55,-0.012272074
10/12/2007,62.31,0.014060838
07/12/2007,61.44,-0.001463772
06/12/2007,61.53,0.032204913
05/12/2007,59.58,0.015220994
04/12/2007,58.68,0.025195466
03/12/2007,57.22,0.010894502
30/11/2007,56.6,-0.002470444
29/11/2007,56.74,0.026611089
28/11/2007,55.25,0.010919126
27/11/2007,54.65,-0.027255545
26/11/2007,56.16,-0.022187915
23/11/2007,57.42,0.027007201
