Date,Close,MO
20/02/2008,72.94,0.000137108
19/02/2008,72.93,0.005499808
15/02/2008,72.53,-0.002203554
14/02/2008,72.69,-0.002198709
13/02/2008,72.85,0.005781954
12/02/2008,72.43,0.000138074
11/02/2008,72.42,-0.009209054
08/02/2008,73.09,-0.013723974
07/02/2008,74.1,0.018249179
06/02/2008,72.76,-0.005072326
05/02/2008,73.13,-0.026182332
04/02/2008,75.07,-0.004916627
01/02/2008,75.44,-0.004628719
31/01/2008,75.79,-0.009324383
30/01/2008,76.5,0.004979698
29/01/2008,76.12,0.014689604
28/01/2008,75.01,0.014232249
25/01/2008,73.95,-0.012631181
24/01/2008,74.89,0.027617838
23/01/2008,72.85,-0.007248886
22/01/2008,73.38,-0.027421073
18/01/2008,75.42,-0.018132148
17/01/2008,76.8,-0.014349674
16/01/2008,77.91,-0.007034626
15/01/2008,78.46,-0.002927142
14/01/2008,78.69,-0.004184902
11/01/2008,79.02,0.002534213
10/01/2008,78.82,-0.004935782
09/01/2008,79.21,0.011299555
08/01/2008,78.32,0.014015016
07/01/2008,77.23,0.030634092
04/01/2008,74.9,-0.00652075
03/01/2008,75.39,0.006120296
02/01/2008,74.93,-0.008637354
31/12/2007,75.58,-0.005015188
28/12/2007,75.96,-0.0035482
27/12/2007,76.23,-0.01639381
26/12/2007,77.49,-0.001160766
24/12/2007,77.58,0.00193536
21/12/2007,77.43,-0.002450824
20/12/2007,77.62,0.012184208
19/12/2007,76.68,0.009829055
18/12/2007,75.93,-0.0011846
17/12/2007,76.02,-0.010468559
14/12/2007,76.82,-0.012162137
13/12/2007,77.76,0.000643211
12/12/2007,77.71,0.007880669
11/12/2007,77.1,-0.014166367
10/12/2007,78.2,0.00770222
07/12/2007,77.6,-0.002574004
06/12/2007,77.8,0
05/12/2007,77.8,0.00502546
04/12/2007,77.41,-0.002064783
03/12/2007,77.57,0.000128924
30/11/2007,77.56,0.020581683
29/11/2007,75.98,0.025189577
28/11/2007,74.09,0.010038066
27/11/2007,73.35,0.026384568
26/11/2007,71.44,-0.021190461
23/11/2007,72.97,0.007703986
21/11/2007,72.41,-0.019149812
20/11/2007,73.81,-0.000406366
19/11/2007,73.84,0.008978431
16/11/2007,73.18,0.012513054
15/11/2007,72.27,0.000692089
14/11/2007,72.22,-0.008685517
13/11/2007,72.85,0.00522985
12/11/2007,72.47,-0.003306244
09/11/2007,72.71,-0.000137523
08/11/2007,72.72,0.010228147
07/11/2007,71.98,-0.013248883
06/11/2007,72.94,0.007983525
05/11/2007,72.36,0.00346093
02/11/2007,72.11,0.003194669
01/11/2007,71.88,-0.014502015
31/10/2007,72.93,0.002333723
30/10/2007,72.76,-0.002882044
29/10/2007,72.97,0
26/10/2007,72.97,0.009777672
25/10/2007,72.26,-0.001382935
24/10/2007,72.36,0.003738322
23/10/2007,72.09,0.008637557
22/10/2007,71.47,0.013665071
19/10/2007,70.5,-0.00551667
18/10/2007,70.89,-0.001268767
17/10/2007,70.98,0.003386963
16/10/2007,70.74,0.005244148
15/10/2007,70.37,0.004415018
12/10/2007,70.06,0.001571317
11/10/2007,69.95,-0.000714541
10/10/2007,70,0.0010005
09/10/2007,69.93,0.009338477
08/10/2007,69.28,-0.004033425
05/10/2007,69.56,-0.001867146
04/10/2007,69.69,-0.00272265
03/10/2007,69.88,-0.001001216
02/10/2007,69.95,0.002576583
01/10/2007,69.77,0.003445804
28/09/2007,69.53,0.000719373
27/09/2007,69.48,0.012746407
26/09/2007,68.6,0.005261632
25/09/2007,68.24,-0.002926546
24/09/2007,68.44,-0.001460067
21/09/2007,68.54,-0.001166521
20/09/2007,68.62,-0.001601748
19/09/2007,68.73,0.009796116
18/09/2007,68.06,0.01569705
17/09/2007,67,-0.000447661
14/09/2007,67.03,-0.001490758
13/09/2007,67.13,-0.00549656
12/09/2007,67.5,-0.00354925
11/09/2007,67.74,0.006516611
10/09/2007,67.3,-0.001336402
07/09/2007,67.39,-0.012973792
06/09/2007,68.27,-0.005259325
05/09/2007,68.63,-0.015040052
04/09/2007,69.67,0.00373886
31/08/2007,69.41,0.002307804
30/08/2007,69.25,-0.007910865
29/08/2007,69.8,0.010513527
28/08/2007,69.07,-0.014516964
27/08/2007,70.08,0.012781103
24/08/2007,69.19,0.008126587
23/08/2007,68.63,0.005698854
22/08/2007,68.24,0.015060081
21/08/2007,67.22,0.003278203
20/08/2007,67,-0.008767424
17/08/2007,67.59,0.018365578
16/08/2007,66.36,0.0057428
15/08/2007,65.98,-0.012650771
14/08/2007,66.82,-0.008790938
13/08/2007,67.41,0.000296736
10/08/2007,67.39,-0.004146311
09/08/2007,67.67,-0.028121617
08/08/2007,69.6,0.005474729
07/08/2007,69.22,0.003473231
06/08/2007,68.98,0.03511203
03/08/2007,66.6,-0.008075414
02/08/2007,67.14,0.008375759
01/08/2007,66.58,0.001653514
31/07/2007,66.47,0.010434877
30/07/2007,65.78,0.0093166
27/07/2007,65.17,-0.02470384
26/07/2007,66.8,-0.015596306
25/07/2007,67.85,-0.003090283
24/07/2007,68.06,-0.022662213
23/07/2007,69.62,-0.002582127
20/07/2007,69.8,-0.011820974
19/07/2007,70.63,0.004683185
18/07/2007,70.3,-0.013843984
17/07/2007,71.28,-0.000420787
16/07/2007,71.31,-0.005454178
13/07/2007,71.7,-0.005147121
12/07/2007,72.07,0.016508489
11/07/2007,70.89,0.006510071
10/07/2007,70.43,-0.017871439
09/07/2007,71.7,0.001395674
06/07/2007,71.6,0.006164211
05/07/2007,71.16,0.002391841
03/07/2007,70.99,0.001268589
02/07/2007,70.9,0.010777189
29/06/2007,70.14,0.003141513
28/06/2007,69.92,-0.00399658
27/06/2007,70.2,0.008152802
26/06/2007,69.63,0.012718772
25/06/2007,68.75,0.008032172
22/06/2007,68.2,-0.005556382
21/06/2007,68.58,0.004530516
20/06/2007,68.27,-0.01814405
19/06/2007,69.52,-0.009163867
18/06/2007,70.16,-0.007242807
15/06/2007,70.67,0.002834067
14/06/2007,70.47,0.002984441
13/06/2007,70.26,0.001709402
12/06/2007,70.14,-0.001139926
11/06/2007,70.22,-0.001138628
08/06/2007,70.3,0.01072588
07/06/2007,69.55,-0.017954315
06/06/2007,70.81,0.001837586
05/06/2007,70.68,-0.015721829
04/06/2007,71.8,-0.000278513
01/06/2007,71.82,0.010075652
31/05/2007,71.1,-0.005470243
30/05/2007,71.49,0.0021004
29/05/2007,71.34,0.007880705
25/05/2007,70.78,0.004389388
24/05/2007,70.47,-0.012970716
23/05/2007,71.39,-0.004053965
22/05/2007,71.68,0.011646803
21/05/2007,70.85,0.012784265
18/05/2007,69.95,0.003580383
17/05/2007,69.7,-0.004152057
16/05/2007,69.99,0.008321425
15/05/2007,69.41,0.008391253
14/05/2007,68.83,0.003492945
11/05/2007,68.59,0.008050984
10/05/2007,68.04,-0.007759354
09/05/2007,68.57,-0.001311667
08/05/2007,68.66,-0.007545015
07/05/2007,69.18,-0.002598529
04/05/2007,69.36,-0.005893785
03/05/2007,69.77,0.00950468
02/05/2007,69.11,0.004350355
01/05/2007,68.81,-0.001597328
30/04/2007,68.92,-0.009818156
27/04/2007,69.6,0.003886854
26/04/2007,69.33,-0.016309374
25/04/2007,70.47,0.007835356
24/04/2007,69.92,0.008474018
23/04/2007,69.33,-0.003168205
20/04/2007,69.55,0.002159051
19/04/2007,69.4,-0.009750579
18/04/2007,70.08,0.007304007
17/04/2007,69.57,0.002878943
16/04/2007,69.37,-0.002735192
13/04/2007,69.56,-0.005591012
12/04/2007,69.95,0.006453949
11/04/2007,69.5,-0.009451595
10/04/2007,70.16,0.003712699
09/04/2007,69.9,-0.012086887
05/04/2007,70.75,0.004391253
04/04/2007,70.44,0.011278583
03/04/2007,69.65,0.020744923
02/04/2007,68.22,-0.252437612
30/03/2007,87.81,0.007659369
29/03/2007,87.14,0.01072984
28/03/2007,86.21,0.01319419
27/03/2007,85.08,0.001529142
26/03/2007,84.95,-0.006102589
23/03/2007,85.47,-0.007924526
22/03/2007,86.15,0.000580552
21/03/2007,86.1,0.003140816
20/03/2007,85.83,0.007132448
19/03/2007,85.22,0.005766418
16/03/2007,84.73,-0.000236016
15/03/2007,84.75,0.010080133
14/03/2007,83.9,-0.001667263
13/03/2007,84.04,-0.03069954
12/03/2007,86.66,-0.002305211
09/03/2007,86.86,0.010415555
08/03/2007,85.96,0.010290081
07/03/2007,85.08,0.00778765
06/03/2007,84.42,0.026527391
05/03/2007,82.21,-0.015330133
02/03/2007,83.48,-0.010249166
01/03/2007,84.34,0.000711659
28/02/2007,84.28,0.01928781
27/02/2007,82.67,-0.035645927
26/02/2007,85.67,0.003390825
