Date,Close,AEP
20/02/2008,42.25,-0.009657359
19/02/2008,42.66,-0.010261284
15/02/2008,43.1,0.001393081
14/02/2008,43.04,-0.018872827
13/02/2008,43.86,-0.000683761
12/02/2008,43.89,0.010536057
11/02/2008,43.43,0.006236306
08/02/2008,43.16,-0.011976191
07/02/2008,43.68,0.000687049
06/02/2008,43.65,0.005513453
05/02/2008,43.41,-0.033747965
04/02/2008,44.9,0.021157665
01/02/2008,43.96,0.02837888
31/01/2008,42.73,0.015566352
30/01/2008,42.07,-0.015566352
29/01/2008,42.73,0.011770381
28/01/2008,42.23,0.02154224
25/01/2008,41.33,-0.030734998
24/01/2008,42.62,-0.038209481
23/01/2008,44.28,0.037505834
22/01/2008,42.65,-0.049627194
18/01/2008,44.82,-0.029459154
17/01/2008,46.16,-0.049862462
16/01/2008,48.52,0.011817283
15/01/2008,47.95,-0.00520022
14/01/2008,48.2,0.004991691
11/01/2008,47.96,-0.005613904
10/01/2008,48.23,0.000829703
09/01/2008,48.19,0.012108707
08/01/2008,47.61,-0.000629921
07/01/2008,47.64,0.028746789
04/01/2008,46.29,-0.003235202
03/01/2008,46.44,0.003019196
02/01/2008,46.3,-0.005599842
31/12/2007,46.56,-0.006849342
28/12/2007,46.88,0.005776035
27/12/2007,46.61,-0.018072141
26/12/2007,47.46,-0.01131376
24/12/2007,48,0.009419222
21/12/2007,47.55,0.009508788
20/12/2007,47.1,0.008100663
19/12/2007,46.72,-0.008949559
18/12/2007,47.14,0.012594894
17/12/2007,46.55,-0.017673195
14/12/2007,47.38,-0.01736627
13/12/2007,48.21,0.011893724
12/12/2007,47.64,-0.007111513
11/12/2007,47.98,-0.024296027
10/12/2007,49.16,-0.000203397
07/12/2007,49.17,-0.000609942
06/12/2007,49.2,-0.002233277
05/12/2007,49.31,0.018627087
04/12/2007,48.4,0.012892672
03/12/2007,47.78,0.002304873
30/11/2007,47.67,0.003572558
29/11/2007,47.5,0.000421141
28/11/2007,47.48,0.020856257
27/11/2007,46.5,0.00972455
26/11/2007,46.05,-0.008648703
23/11/2007,46.45,-0.003009461
21/11/2007,46.59,-0.014912931
20/11/2007,47.29,0.017491914
19/11/2007,46.47,0.00129199
16/11/2007,46.41,0.003669729
15/11/2007,46.24,-0.000432432
14/11/2007,46.26,0.000865052
13/11/2007,46.22,0.006511853
12/11/2007,45.92,-0.00996758
09/11/2007,46.38,-0.009869207
08/11/2007,46.84,0.012027636
07/11/2007,46.28,-0.03210651
06/11/2007,47.79,0.001465815
05/11/2007,47.72,0.005884843
02/11/2007,47.44,0.003378382
01/11/2007,47.28,-0.019479095
31/10/2007,48.21,0.002284291
30/10/2007,48.1,0.002289521
29/10/2007,47.99,0.006690387
26/10/2007,47.67,0.009908377
25/10/2007,47.2,0.014726549
24/10/2007,46.51,0.004741388
23/10/2007,46.29,0.000864491
22/10/2007,46.25,0.013496069
19/10/2007,45.63,-0.027452281
18/10/2007,46.9,-0.002555368
17/10/2007,47.02,-0.006571301
16/10/2007,47.33,-0.001899737
15/10/2007,47.42,-0.017144472
12/10/2007,48.24,0.006864302
11/10/2007,47.91,0.007752789
10/10/2007,47.54,-0.017515043
09/10/2007,48.38,0.013945486
08/10/2007,47.71,-0.005434796
05/10/2007,47.97,-0.00125
04/10/2007,48.03,0.012992639
03/10/2007,47.41,0.01444682
02/10/2007,46.73,-0.006186686
01/10/2007,47.02,0.020194027
28/09/2007,46.08,-0.009073296
27/09/2007,46.5,-0.003863495
26/09/2007,46.68,0.012502857
25/09/2007,46.1,0.00282394
24/09/2007,45.97,-0.002172969
21/09/2007,46.07,0.006533124
20/09/2007,45.77,-0.016038489
19/09/2007,46.51,0.018006778
18/09/2007,45.68,0.01588736
17/09/2007,44.96,-0.002887287
14/09/2007,45.09,-0.003100091
13/09/2007,45.23,-0.005512085
12/09/2007,45.48,0.003965636
11/09/2007,45.3,0.014676714
10/09/2007,44.64,0.002018164
07/09/2007,44.55,-0.019120191
06/09/2007,45.41,0.006185131
05/09/2007,45.13,-0.011675427
04/09/2007,45.66,0.026182991
31/08/2007,44.48,0.000449741
30/08/2007,44.46,-0.004488338
29/08/2007,44.66,-0.004245342
28/08/2007,44.85,-0.004893248
27/08/2007,45.07,-0.037025135
24/08/2007,46.77,0.011396747
23/08/2007,46.24,-0.008613318
22/08/2007,46.64,-0.004065481
21/08/2007,46.83,0.011382062
20/08/2007,46.3,-0.003664982
17/08/2007,46.47,0.030146451
16/08/2007,45.09,0.025152909
15/08/2007,43.97,-0.02159814
14/08/2007,44.93,-0.027224513
13/08/2007,46.17,-0.015687439
10/08/2007,46.9,-0.001491425
09/08/2007,46.97,-0.018562018
08/08/2007,47.85,0.002301497
07/08/2007,47.74,0.0304117
06/08/2007,46.31,0.050259609
03/08/2007,44.04,-0.043977773
02/08/2007,46.02,0.008949094
01/08/2007,45.61,0.047595964
31/07/2007,43.49,-0.013021315
30/07/2007,44.06,0.019943354
27/07/2007,43.19,-0.009448163
26/07/2007,43.6,-0.032271784
25/07/2007,45.03,-0.002439837
24/07/2007,45.14,-0.027315147
23/07/2007,46.39,0.004104121
20/07/2007,46.2,-0.013544225
19/07/2007,46.83,0.011814121
18/07/2007,46.28,0.009116625
17/07/2007,45.86,0.01250702
16/07/2007,45.29,-0.023566441
13/07/2007,46.37,0.006707804
12/07/2007,46.06,0.024616628
11/07/2007,44.94,0.006921988
10/07/2007,44.63,-0.003578622
09/07/2007,44.79,-0.01462792
06/07/2007,45.45,-0.006360368
05/07/2007,45.74,-0.006102896
03/07/2007,46.02,0.004137186
02/07/2007,45.83,0.017387915
29/06/2007,45.04,0.01093883
28/06/2007,44.55,-0.002242153
27/06/2007,44.65,0.015574178
26/06/2007,43.96,-0.007252978
25/06/2007,44.28,0.018002081
22/06/2007,43.49,-0.022283778
21/06/2007,44.47,0.011534675
20/06/2007,43.96,-0.035969476
19/06/2007,45.57,0.004398512
18/06/2007,45.37,-0.019642709
15/06/2007,46.27,0.022512152
14/06/2007,45.24,-0.002207994
13/06/2007,45.34,0.016007456
12/06/2007,44.62,-0.009368795
11/06/2007,45.04,0.002890497
08/06/2007,44.91,0.009171298
07/06/2007,44.5,-0.028358125
06/06/2007,45.78,-0.016464843
05/06/2007,46.54,-0.007492275
04/06/2007,46.89,-0.014187639
01/06/2007,47.56,-0.001470743
31/05/2007,47.63,-0.004399295
30/05/2007,47.84,0.010506506
29/05/2007,47.34,0.00190295
25/05/2007,47.25,-0.002536463
24/05/2007,47.37,-0.03178828
23/05/2007,48.9,0.000409082
22/05/2007,48.88,-0.016636618
21/05/2007,49.7,0.011331566
18/05/2007,49.14,-0.003250714
17/05/2007,49.3,-0.010090903
16/05/2007,49.8,0.007255171
15/05/2007,49.44,0.005679528
14/05/2007,49.16,0.004893974
11/05/2007,48.92,0.003686263
10/05/2007,48.74,-0.014057479
09/05/2007,49.43,-0.007858983
08/05/2007,49.82,-0.014150709
07/05/2007,50.53,0.002576044
04/05/2007,50.4,-0.004553111
03/05/2007,50.63,0.000197531
02/05/2007,50.62,-0.000789889
01/05/2007,50.66,0.008723291
30/04/2007,50.22,-0.002585265
27/04/2007,50.35,0.001988072
26/04/2007,50.25,-0.009112583
25/04/2007,50.71,-0.00472163
24/04/2007,50.95,0.006893183
23/04/2007,50.6,0.005151587
20/04/2007,50.34,0.009179869
19/04/2007,49.88,0.002207728
18/04/2007,49.77,0.005641764
17/04/2007,49.49,0.009134337
