Date,Close,NOV
20/02/2008,65.72,0.02402333
19/02/2008,64.16,0.033600625
15/02/2008,62.04,-0.014720266
14/02/2008,62.96,-0.014819757
13/02/2008,63.9,0.049400679
12/02/2008,60.82,0.011908841
11/02/2008,60.1,0.048232915
08/02/2008,57.27,-0.0246628
07/02/2008,58.7,0.014586273
06/02/2008,57.85,-0.069280931
05/02/2008,62,-0.03673624
04/02/2008,64.32,0.02566868
01/02/2008,62.69,0.040529593
31/01/2008,60.2,-0.058080838
30/01/2008,63.8,-0.004847168
29/01/2008,64.11,-0.01517057
28/01/2008,65.09,0.023629267
25/01/2008,63.57,-0.018855253
24/01/2008,64.78,0.10436619
23/01/2008,58.36,0.004120885
22/01/2008,58.12,-0.024306457
18/01/2008,59.55,-0.008028141
17/01/2008,60.03,-0.066223757
16/01/2008,64.14,-0.063134355
15/01/2008,68.32,-0.060762372
14/01/2008,72.6,0.038901205
11/01/2008,69.83,-0.032683568
10/01/2008,72.15,-0.00951797
09/01/2008,72.84,0.02347493
08/01/2008,71.15,-0.010903099
07/01/2008,71.93,-0.032552108
04/01/2008,74.31,-0.033089308
03/01/2008,76.81,0.01905821
02/01/2008,75.36,0.02553559
31/12/2007,73.46,-0.012311594
28/12/2007,74.37,0.008371639
27/12/2007,73.75,-0.016407038
26/12/2007,74.97,0.012887814
24/12/2007,74.01,0.016759027
21/12/2007,72.78,0.034242742
20/12/2007,70.33,0.014897855
19/12/2007,69.29,-0.005899722
18/12/2007,69.7,-0.014103802
17/12/2007,70.69,-0.090294988
14/12/2007,77.37,0.009349503
13/12/2007,76.65,0.021361572
12/12/2007,75.03,0.035958015
11/12/2007,72.38,-0.021053409
10/12/2007,73.92,0.005425949
07/12/2007,73.52,0.000272072
06/12/2007,73.5,0.02367952
05/12/2007,71.78,0.010081295
04/12/2007,71.06,0.00465478
03/12/2007,70.73,0.037158653
30/11/2007,68.15,-0.020190968
29/11/2007,69.54,0.046807661
28/11/2007,66.36,0.026725268
27/11/2007,64.61,-0.034979235
26/11/2007,66.91,-0.017041236
23/11/2007,68.06,0.028313618
21/11/2007,66.16,-0.026401712
20/11/2007,67.93,0.038720323
19/11/2007,65.35,0.014022882
16/11/2007,64.44,0.02117228
15/11/2007,63.09,-0.043120824
14/11/2007,65.87,0.014835479
13/11/2007,64.9,0.012871388
12/11/2007,64.07,-0.104532953
09/11/2007,71.13,-0.019628945
08/11/2007,72.54,-0.03414966
07/11/2007,75.06,-0.049513134
06/11/2007,78.87,0.074468904
05/11/2007,73.21,-0.010597925
02/11/2007,73.99,0.050447165
01/11/2007,70.35,-0.040258936
31/10/2007,73.24,0.043961589
30/10/2007,70.09,-0.060750502
29/10/2007,74.48,0.026944071
26/10/2007,72.5,-0.023985887
25/10/2007,74.26,0.010695289
24/10/2007,73.47,-0.017539575
