Date,Close,XOM
20/02/2008,88.1,0.012449478
19/02/2008,87.01,0.019028304
15/02/2008,85.37,-0.002106249
14/02/2008,85.55,0.00070159
13/02/2008,85.49,0.013069003
12/02/2008,84.38,0.013842703
11/02/2008,83.22,0.01831131
08/02/2008,81.71,-0.00220049
07/02/2008,81.89,0.00551033
06/02/2008,81.44,-0.008193259
05/02/2008,82.11,-0.039754563
04/02/2008,85.44,-0.005951357
01/02/2008,85.95,0.002912906
31/01/2008,85.7,0.004912865
30/01/2008,85.28,0.00234797
29/01/2008,85.08,-0.00058751
28/01/2008,85.13,0.014077242
25/01/2008,83.94,-0.024245038
24/01/2008,86,0.030099646
23/01/2008,83.45,0.012055601
22/01/2008,82.45,-0.031399941
18/01/2008,85.08,0.013847194
17/01/2008,83.91,-0.030746379
16/01/2008,86.53,-0.028369889
15/01/2008,89.02,-0.020128564
14/01/2008,90.83,0.005852167
11/01/2008,90.3,-0.014948619
10/01/2008,91.66,0.001091584
09/01/2008,91.56,0.016629423
08/01/2008,90.05,-0.0129091
07/01/2008,91.22,-0.009383593
04/01/2008,92.08,-0.01882687
03/01/2008,93.83,0.003416252
02/01/2008,93.51,-0.001923078
31/12/2007,93.69,-0.013885432
28/12/2007,95,0.014098924
27/12/2007,93.67,-0.012096922
26/12/2007,94.81,0.012203685
24/12/2007,93.66,0.002458711
21/12/2007,93.43,0.01401187
20/12/2007,92.13,0.007626971
19/12/2007,91.43,0.000109379
18/12/2007,91.42,0.016877572
17/12/2007,89.89,-0.014248874
14/12/2007,91.18,-0.016748624
13/12/2007,92.72,0.008665565
12/12/2007,91.92,0.018002682
11/12/2007,90.28,-0.019198659
10/12/2007,92.03,0.005775639
07/12/2007,91.5,0.000655953
06/12/2007,91.44,0.016762633
05/12/2007,89.92,0.020220864
04/12/2007,88.12,-0.008250033
03/12/2007,88.85,-0.003482954
30/11/2007,89.16,0.006413524
29/11/2007,88.59,0.007591674
28/11/2007,87.92,0.017671143
27/11/2007,86.38,0.008136741
26/11/2007,85.68,-0.030007425
23/11/2007,88.29,0.014259068
21/11/2007,87.04,-0.008921482
20/11/2007,87.82,0.043163799
19/11/2007,84.11,-0.01170157
16/11/2007,85.1,0.007193851
15/11/2007,84.49,-0.021312282
