Date,Close,FCX
20/02/2008,99.33,0.014092594
19/02/2008,97.94,0.04982194
15/02/2008,93.18,0.009488965
14/02/2008,92.3,-0.019951321
13/02/2008,94.16,0.015303418
12/02/2008,92.73,-0.008055465
11/02/2008,93.48,0.028317596
08/02/2008,90.87,0.042832378
07/02/2008,87.06,0.024299283
06/02/2008,84.97,-0.011001984
05/02/2008,85.91,-0.059535338
04/02/2008,91.18,-0.010039368
01/02/2008,92.1,0.036263093
31/01/2008,88.82,0.023120442
30/01/2008,86.79,0.006241352
29/01/2008,86.25,0.011075601
28/01/2008,85.3,0.012742032
25/01/2008,84.22,0.009424466
24/01/2008,83.43,0.076314001
23/01/2008,77.3,-0.053154433
22/01/2008,81.52,-0.031514833
18/01/2008,84.13,0.031882908
17/01/2008,81.49,-0.083990087
16/01/2008,88.63,-0.06772086
15/01/2008,94.84,-0.033898037
14/01/2008,98.11,0.041518734
11/01/2008,94.12,-0.027766465
10/01/2008,96.77,-0.000929608
09/01/2008,96.86,0.011003952
08/01/2008,95.8,0.003555373
07/01/2008,95.46,-0.043558661
04/01/2008,99.71,-0.04318206
03/01/2008,104.11,0.007907466
02/01/2008,103.29,0.008263305
31/12/2007,102.44,-0.020388165
28/12/2007,104.55,0.006140286
27/12/2007,103.91,-0.026121065
26/12/2007,106.66,0.027662046
24/12/2007,103.75,0.008129339
21/12/2007,102.91,0.019526696
20/12/2007,100.92,0.025693906
19/12/2007,98.36,0.015264344
18/12/2007,96.87,0.020440799
17/12/2007,94.91,-0.073121589
14/12/2007,102.11,-0.009163644
13/12/2007,103.05,-0.026997619
12/12/2007,105.87,0.030302443
11/12/2007,102.71,-0.051887023
10/12/2007,108.18,0.000739782
07/12/2007,108.1,0.030144543
06/12/2007,104.89,0.031868647
05/12/2007,101.6,0.04252538
04/12/2007,97.37,0.005354765
03/12/2007,96.85,-0.021249139
30/11/2007,98.93,0.023316324
29/11/2007,96.65,0.028759329
28/11/2007,93.91,0.050559378
27/11/2007,89.28,-0.000223989
26/11/2007,89.3,-0.042316957
23/11/2007,93.16,0.03384233
21/11/2007,90.06,-0.019680697
20/11/2007,91.85,-0.007051833
19/11/2007,92.5,-0.078361461
16/11/2007,100.04,0.002702569
15/11/2007,99.77,-0.041523362
