Date,Close,JNJ
20/02/2008,63.23,-0.00677755
19/02/2008,63.66,0.012010258
15/02/2008,62.9,0.001750339
14/02/2008,62.79,-0.009825753
13/02/2008,63.41,0.006963155
12/02/2008,62.97,0.017461397
11/02/2008,61.88,-0.002421113
08/02/2008,62.03,-0.012496157
07/02/2008,62.81,-0.003813766
06/02/2008,63.05,0.00285896
05/02/2008,62.87,-0.009498251
04/02/2008,63.47,0.001734606
01/02/2008,63.36,0.003478264
31/01/2008,63.14,0.015321078
30/01/2008,62.18,-0.012625018
29/01/2008,62.97,-0.001586798
28/01/2008,63.07,0.009718869
25/01/2008,62.46,-0.016671022
24/01/2008,63.51,-0.010805837
23/01/2008,64.2,-0.016529302
22/01/2008,65.27,-0.015506544
18/01/2008,66.29,-0.022965519
17/01/2008,67.83,-0.007051594
16/01/2008,68.31,0.008084118
15/01/2008,67.76,-0.00280009
14/01/2008,67.95,0.0010307
11/01/2008,67.88,-0.000441859
10/01/2008,67.91,0.001621104
09/01/2008,67.8,0.012765499
08/01/2008,66.94,0.001195815
07/01/2008,66.86,0.015373325
04/01/2008,65.84,-0.001366017
03/01/2008,65.93,0.000303398
02/01/2008,65.91,-0.011914778
31/12/2007,66.7,-0.010143285
28/12/2007,67.38,0.000742335
27/12/2007,67.33,-0.003410189
26/12/2007,67.56,-0.004578019
24/12/2007,67.87,-0.002354674
21/12/2007,68.03,0.010342882
20/12/2007,67.33,0.000148533
19/12/2007,67.32,-0.00577651
18/12/2007,67.71,0.002365815
17/12/2007,67.55,-0.000591979
14/12/2007,67.59,-0.004134068
13/12/2007,67.87,0.002507931
12/12/2007,67.7,0.002218116
11/12/2007,67.55,-0.003546627
10/12/2007,67.79,0.001623976
07/12/2007,67.68,-0.009119051
06/12/2007,68.3,0.001318585
05/12/2007,68.21,0.003966219
04/12/2007,67.94,0.003391083
03/12/2007,67.71,-0.000442968
30/11/2007,67.74,-0.009695977
29/11/2007,68.4,0.000731261
28/11/2007,68.35,0.00911235
27/11/2007,67.73,0.005329398
26/11/2007,67.37,0.007299846
23/11/2007,66.88,-0.003880023
21/11/2007,67.14,-0.007419532
20/11/2007,67.64,0.000739481
19/11/2007,67.59,-0.002364417
16/11/2007,67.75,0.012924491
15/11/2007,66.88,-0.00014951
14/11/2007,66.89,-0.006259335
13/11/2007,67.31,0.014968099
12/11/2007,66.31,0.017494932
09/11/2007,65.16,0.008786184
08/11/2007,64.59,0.010583756
07/11/2007,63.91,-0.010893354
06/11/2007,64.61,0.001859025
05/11/2007,64.49,-0.004486741
02/11/2007,64.78,0.001854141
01/11/2007,64.66,-0.007856468
31/10/2007,65.17,0.005385043
30/10/2007,64.82,-0.002465333
29/10/2007,64.98,0.010519899
26/10/2007,64.3,0.005458103
25/10/2007,63.95,-0.00763303
24/10/2007,64.44,-0.001705559
23/10/2007,64.55,0.003258595
22/10/2007,64.34,0.001711131
19/10/2007,64.23,-0.010377232
18/10/2007,64.9,0.000770713
17/10/2007,64.85,-0.003386703
16/10/2007,65.07,-0.008873987
15/10/2007,65.65,-0.004407637
12/10/2007,65.94,-0.000151642
11/10/2007,65.95,0.001821218
10/10/2007,65.83,-0.006359803
09/10/2007,66.25,0.003477738
08/10/2007,66.02,-0.003477738
05/10/2007,66.25,0.002115444
04/10/2007,66.11,0.000151274
03/10/2007,66.1,0.000756716
02/10/2007,66.05,-0.001361677
01/10/2007,66.14,0.006674782
28/09/2007,65.7,0.002438282
27/09/2007,65.54,0.002291302
26/09/2007,65.39,0.006443717
25/09/2007,64.97,-0.003533844
24/09/2007,65.2,0.001227747
21/09/2007,65.12,0.005080451
20/09/2007,64.79,0.004641097
19/09/2007,64.49,0.010286874
18/09/2007,63.83,0.014041408
17/09/2007,62.94,-0.00412241
14/09/2007,63.2,0.001425066
13/09/2007,63.11,0.009552692
12/09/2007,62.51,0.007386032
11/09/2007,62.05,0.003390107
10/09/2007,61.84,0.002590675
07/09/2007,61.68,0.000324307
06/09/2007,61.66,0.000162193
05/09/2007,61.65,-0.005338523
04/09/2007,61.98,0.003070213
31/08/2007,61.79,0.003079669
30/08/2007,61.6,-0.004211897
29/08/2007,61.86,0.009909918
28/08/2007,61.25,-0.005698021
27/08/2007,61.6,-0.004535155
24/08/2007,61.88,-0.003709981
23/08/2007,62.11,0.001611344
22/08/2007,62.01,0.005498073
21/08/2007,61.67,-0.002591095
20/08/2007,61.83,-0.00306823
17/08/2007,62.02,0.006308149
16/08/2007,61.63,0.005368922
15/08/2007,61.3,0.002777099
14/08/2007,61.13,-0.005221092
13/08/2007,61.45,0.004893974
10/08/2007,61.15,0.005246774
09/08/2007,60.83,-0.026923456
08/08/2007,62.49,0.006582668
07/08/2007,62.08,-0.00353755
06/08/2007,62.3,0.028491956
03/08/2007,60.55,-0.007896077
02/08/2007,61.03,0.001147635
01/08/2007,60.96,0.007574546
31/07/2007,60.5,0.007132816
30/07/2007,60.07,0.005006686
27/07/2007,59.77,-0.019714049
26/07/2007,60.96,-0.009306949
25/07/2007,61.53,0.00097561
24/07/2007,61.47,-0.008585134
23/07/2007,62,0.003392846
20/07/2007,61.79,-0.009663467
19/07/2007,62.39,0.003050006
18/07/2007,62.2,-0.008644203
17/07/2007,62.74,-0.016753988
16/07/2007,63.8,0.005816255
13/07/2007,63.43,0.001104188
12/07/2007,63.36,0.007922716
11/07/2007,62.86,0.010555032
10/07/2007,62.2,-0.008325376
09/07/2007,62.72,0.009451412
06/07/2007,62.13,-0.002411383
05/07/2007,62.28,0.005312739
03/07/2007,61.95,0.001615509
02/07/2007,61.85,0.003725606
29/06/2007,61.62,0.001949318
28/06/2007,61.5,0.000813339
27/06/2007,61.45,-0.003249394
26/06/2007,61.65,0.008797711
25/06/2007,61.11,0.006237709
22/06/2007,60.73,-0.022469197
21/06/2007,62.11,0.001127668
20/06/2007,62.04,-0.006106399
19/06/2007,62.42,0.001442886
18/06/2007,62.33,-0.007034402
15/06/2007,62.77,0.005111016
14/06/2007,62.45,0.004332832
13/06/2007,62.18,0.005644721
12/06/2007,61.83,-0.007091085
11/06/2007,62.27,0.002250805
08/06/2007,62.13,0.002094579
07/06/2007,62,-0.014411779
06/06/2007,62.9,-0.006497131
05/06/2007,63.31,-0.004570176
04/06/2007,63.6,0.002991893
01/06/2007,63.41,0.002210295
31/05/2007,63.27,0.000790576
30/05/2007,63.22,0.002692644
29/05/2007,63.05,-0.002217998
25/05/2007,63.19,-0.004578835
24/05/2007,63.48,-0.005185022
23/05/2007,63.81,0.003610962
22/05/2007,63.58,0.000944139
21/05/2007,63.52,0.001575548
18/05/2007,63.42,0.010780066
17/05/2007,62.74,-0.00492886
16/05/2007,63.05,0.019701126
15/05/2007,61.82,-0.012698073
14/05/2007,62.61,0.005445241
11/05/2007,62.27,-0.003686788
10/05/2007,62.5,-0.025433801
09/05/2007,64.11,0.006415795
08/05/2007,63.7,-0.008752791
07/05/2007,64.26,-0.003417745
04/05/2007,64.48,0.002484473
03/05/2007,64.32,-0.002484473
02/05/2007,64.48,-0.001239926
01/05/2007,64.56,0.005280335
30/04/2007,64.22,0.000778877
27/04/2007,64.17,-0.001090258
26/04/2007,64.24,-0.006825965
25/04/2007,64.68,0.002941862
24/04/2007,64.49,-0.004023528
23/04/2007,64.75,-0.005698021
20/04/2007,65.12,0.002767955
19/04/2007,64.94,0.007884404
18/04/2007,64.43,-0.001860754
17/04/2007,64.55,0.023987981
16/04/2007,63.02,0.010688464
13/04/2007,62.35,0.006920443
12/04/2007,61.92,0.000484614
11/04/2007,61.89,0.003561027
10/04/2007,61.67,0.000648824
09/04/2007,61.63,0.001298912
05/04/2007,61.55,0.004233155
04/04/2007,61.29,0.010661956
03/04/2007,60.64,0.0089449
02/04/2007,60.1,-0.002658692
30/03/2007,60.26,-0.0013267
29/03/2007,60.34,0.005650672
28/03/2007,60,-0.000499875
27/03/2007,60.03,-0.003658135
26/03/2007,60.25,-0.004306068
23/03/2007,60.51,-0.005767504
22/03/2007,60.86,-0.005897789
21/03/2007,61.22,0.002453186
20/03/2007,61.07,0.005582937
19/03/2007,60.73,0.003629169
16/03/2007,60.51,-0.000330469
15/03/2007,60.53,-0.002969319
14/03/2007,60.71,-0.000987817
13/03/2007,60.77,-0.016645293
12/03/2007,61.79,-0.005648365
09/03/2007,62.14,0.006781876
08/03/2007,61.72,-0.00226574
07/03/2007,61.86,0.002589836
06/03/2007,61.7,-0.002104753
05/03/2007,61.83,-0.001938925
02/03/2007,61.95,-0.008038628
01/03/2007,62.45,-0.007656761
28/02/2007,62.93,-0.001905065
27/02/2007,63.05,-0.019631569
26/02/2007,64.3,0.00233554
23/02/2007,64.15,-0.009772823
22/02/2007,64.78,-0.003390356
21/02/2007,65,-0.007051999
20/02/2007,65.46,-0.000763534
16/02/2007,65.51,-0.004265048
15/02/2007,65.79,-0.000911577
14/02/2007,65.85,0.007163027
13/02/2007,65.38,-0.001222868
12/02/2007,65.46,-0.002136427
09/02/2007,65.6,-0.002436055
08/02/2007,65.76,-0.000608088
07/02/2007,65.8,-0.003034904
06/02/2007,66,-0.004535155
05/02/2007,66.3,-0.004214335
02/02/2007,66.58,-0.00643763
01/02/2007,67.01,0.003138781
31/01/2007,66.8,0.006156638
30/01/2007,66.39,0.003621552
29/01/2007,66.15,0.001210105
26/01/2007,66.07,-0.009190272
