Date,Close,CMCSA
20/02/2008,20.15,-0.015756111
19/02/2008,20.47,0.013772967
15/02/2008,20.19,0.048195987
14/02/2008,19.24,0.077231348
13/02/2008,17.81,0.033108047
12/02/2008,17.23,0.011675556
11/02/2008,17.03,-0.001760047
08/02/2008,17.06,-0.018583578
07/02/2008,17.38,-0.008022966
06/02/2008,17.52,0.004576667
05/02/2008,17.44,-0.040454955
04/02/2008,18.16,-0.021248416
01/02/2008,18.55,0.021248416
31/01/2008,18.16,0.02848559
30/01/2008,17.65,-0.017411279
29/01/2008,17.96,0.015147555
28/01/2008,17.69,0.026928009
25/01/2008,17.22,-0.012694919
24/01/2008,17.44,0.010374733
23/01/2008,17.26,0.035981469
22/01/2008,16.65,-0.022566278
18/01/2008,17.03,-0.022068259
17/01/2008,17.41,-0.043277335
16/01/2008,18.18,0.028453802
15/01/2008,17.67,0
14/01/2008,17.67,0.031620916
11/01/2008,17.12,-0.005824128
10/01/2008,17.22,0.009334957
09/01/2008,17.06,0.026129753
08/01/2008,16.62,-0.022606555
07/01/2008,17,0.009456335
04/01/2008,16.84,-0.029258963
03/01/2008,17.34,-0.020548668
02/01/2008,17.7,-0.031148236
31/12/2007,18.26,-0.007637789
28/12/2007,18.4,-0.001629107
27/12/2007,18.43,-0.005411269
26/12/2007,18.53,0.01248998
24/12/2007,18.3,-0.005992935
21/12/2007,18.41,0.015877695
20/12/2007,18.12,0.004979263
19/12/2007,18.03,-0.002769318
18/12/2007,18.08,-0.001105583
17/12/2007,18.1,-0.002207506
14/12/2007,18.14,0.00552793
13/12/2007,18.04,0.022989518
12/12/2007,17.63,-0.008472234
11/12/2007,17.78,-0.031555344
10/12/2007,18.35,0.003822008
07/12/2007,18.28,-0.001093494
06/12/2007,18.3,0.006578971
05/12/2007,18.18,-0.131259838
04/12/2007,20.73,-0.015318634
03/12/2007,21.05,0.024526356
30/11/2007,20.54,0.011260829
29/11/2007,20.31,0.016882228
28/11/2007,19.97,0.025356328
27/11/2007,19.47,0.019186484
26/11/2007,19.1,-0.022775312
23/11/2007,19.54,0.018074337
21/11/2007,19.19,-0.009336167
20/11/2007,19.37,0.001033058
19/11/2007,19.35,-0.027524673
16/11/2007,19.89,0.011630978
15/11/2007,19.66,0.000508776
14/11/2007,19.65,-0.013646914
13/11/2007,19.92,0.050448164
12/11/2007,18.94,-0.022965519
09/11/2007,19.38,-0.022449922
08/11/2007,19.82,-0.01353065
07/11/2007,20.09,-0.029428313
06/11/2007,20.69,0.013135679
05/11/2007,20.42,-0.006346128
02/11/2007,20.55,-0.002430135
01/11/2007,20.6,-0.021609484
31/10/2007,21.05,0.007151401
30/10/2007,20.9,-0.00095648
29/10/2007,20.92,-0.014709637
26/10/2007,21.23,-0.002352389
25/10/2007,21.28,-0.114016553
24/10/2007,23.85,0.010537505
23/10/2007,23.6,-0.003806306
22/10/2007,23.69,0.009756175
19/10/2007,23.46,-0.025669409
18/10/2007,24.07,-0.002489628
17/10/2007,24.13,-0.002896754
16/10/2007,24.2,0.012474174
15/10/2007,23.9,-0.004591951
12/10/2007,24.01,0.0138396
11/10/2007,23.68,-0.000844238
10/10/2007,23.7,-0.008403411
09/10/2007,23.9,0.004192878
08/10/2007,23.8,-0.017493157
05/10/2007,24.22,0.011628038
04/10/2007,23.94,0.006705809
03/10/2007,23.78,-0.009208939
02/10/2007,24,-0.014478019
01/10/2007,24.35,0.007006004
28/09/2007,24.18,-0.002890772
27/09/2007,24.25,-0.003293539
26/09/2007,24.33,0.00991334
25/09/2007,24.09,0.017588393
24/09/2007,23.67,-0.008414017
21/09/2007,23.87,0.006303866
20/09/2007,23.72,-0.024980483
19/09/2007,24.32,-0.027576768
18/09/2007,25,0.004409708
17/09/2007,24.89,-0.011186693
14/09/2007,25.17,-0.002777229
13/09/2007,25.24,0.000792707
12/09/2007,25.22,-0.010648888
11/09/2007,25.49,0.015020045
10/09/2007,25.11,0.004390348
07/09/2007,25,-0.02644717
06/09/2007,25.67,-0.00388803
05/09/2007,25.77,-0.006575154
04/09/2007,25.94,-0.00576592
31/08/2007,26.09,0.021306249
30/08/2007,25.54,-0.007411776
29/08/2007,25.73,0.031986932
28/08/2007,24.92,-0.036252985
27/08/2007,25.84,0.014029848
24/08/2007,25.48,0.000392542
23/08/2007,25.47,0.018625464
22/08/2007,25,0.019386714
21/08/2007,24.52,-0.004476101
20/08/2007,24.63,-0.024860944
17/08/2007,25.25,0.010750651
16/08/2007,24.98,-0.004393856
15/08/2007,25.09,-0.016209092
14/08/2007,25.5,-0.010144449
13/08/2007,25.76,0.012500163
10/08/2007,25.44,0.015448911
09/08/2007,25.05,-0.026395072
08/08/2007,25.72,-0.00620157
07/08/2007,25.88,-0.001544402
06/08/2007,25.92,0.013595082
03/08/2007,25.57,-0.009342224
02/08/2007,25.81,-0.010790085
01/08/2007,26.09,-0.006875505
31/07/2007,26.27,-0.035156949
30/07/2007,27.21,0.020420238
27/07/2007,26.66,-0.020420238
26/07/2007,27.21,-0.047722059
25/07/2007,28.54,0.008091513
24/07/2007,28.31,-0.018894894
23/07/2007,28.85,0.009052987
20/07/2007,28.59,-0.013203805
19/07/2007,28.97,-0.001724436
18/07/2007,29.02,0.029372741
17/07/2007,28.18,0.019348508
16/07/2007,27.64,-0.011868508
13/07/2007,27.97,0.008978333
12/07/2007,27.72,-0.001081666
11/07/2007,27.75,0.005420067
10/07/2007,27.6,-0.024692613
09/07/2007,28.29,-0.010198787
06/07/2007,28.58,0.003856271
05/07/2007,28.47,-0.004206105
03/07/2007,28.59,0.005260401
02/07/2007,28.44,0.011315538
29/06/2007,28.12,0.002135992
28/06/2007,28.06,0.005001797
27/06/2007,27.92,0.003588091
26/06/2007,27.82,0.004322773
25/06/2007,27.7,-0.002163722
22/06/2007,27.76,-0.022440835
21/06/2007,28.39,0.007424464
20/06/2007,28.18,0.00284293
19/06/2007,28.1,0.004279607
18/06/2007,27.98,-0.000357334
15/06/2007,27.99,0.01693429
14/06/2007,27.52,0.02390259
13/06/2007,26.87,0.027161232
12/06/2007,26.15,-0.00837781
11/06/2007,26.37,0.001518027
08/06/2007,26.33,0.005713213
07/06/2007,26.18,-0.023032923
06/06/2007,26.79,-0.01187398
05/06/2007,27.11,0.002585412
04/06/2007,27.04,-0.011399278
01/06/2007,27.35,-0.002191381
31/05/2007,27.41,-0.00218659
30/05/2007,27.47,0.014299052
29/05/2007,27.08,-0.005891033
25/05/2007,27.24,0.01404829
24/05/2007,26.86,-0.017346809
23/05/2007,27.33,-0.001097093
22/05/2007,27.36,-0.006557401
21/05/2007,27.54,0.000363174
18/05/2007,27.53,0.023150033
17/05/2007,26.9,-0.011090687
16/05/2007,27.2,0.022681768
15/05/2007,26.59,0.000376152
14/05/2007,26.58,0.006416327
11/05/2007,26.41,0.015646188
10/05/2007,26,-0.010711656
09/05/2007,26.28,-0.006447965
08/05/2007,26.45,-0.010530372
07/05/2007,26.73,-0.00596794
04/05/2007,26.89,-0.012932011
03/05/2007,27.24,0.003677827
02/05/2007,27.14,0.016345089
01/05/2007,26.7,0.001499251
30/04/2007,26.66,-0.010076592
27/04/2007,26.93,-0.006292821
26/04/2007,27.1,-0.035879913
25/04/2007,28.09,0.020137322
24/04/2007,27.53,-0.004349409
23/04/2007,27.65,-0.00935932
20/04/2007,27.91,0.012619601
19/04/2007,27.56,-0.009749129
18/04/2007,27.83,-0.006089935
17/04/2007,28,0.003936309
16/04/2007,27.89,-0.010344305
13/04/2007,28.18,0.011061665
12/04/2007,27.87,0.016278167
11/04/2007,27.42,0.026234647
10/04/2007,26.71,0.009403868
09/04/2007,26.46,-0.005652926
05/04/2007,26.61,0.009439375
04/04/2007,26.36,0.004562746
03/04/2007,26.24,0.019238762
02/04/2007,25.74,-0.008125407
30/03/2007,25.95,0.003474236
29/03/2007,25.86,0.003874472
28/03/2007,25.76,-0.012345836
27/03/2007,26.08,-0.008400202
26/03/2007,26.3,-0.007953081
23/03/2007,26.51,-0.00826451
22/03/2007,26.73,-0.004479291
21/03/2007,26.85,0.021457627
20/03/2007,26.28,0.014565225
19/03/2007,25.9,0.01792023
16/03/2007,25.44,-0.010946161
15/03/2007,25.72,-0.004267708
14/03/2007,25.83,0.012466075
13/03/2007,25.51,-0.025543184
12/03/2007,26.17,0.001912412
