Date,Close,VZ
20/02/2008,35.24,-0.002833666
19/02/2008,35.34,-0.068086972
15/02/2008,37.83,-0.005009898
14/02/2008,38.02,-0.016693137
13/02/2008,38.66,0.028865819
12/02/2008,37.56,0.020713585
11/02/2008,36.79,0.010107995
08/02/2008,36.42,-0.014447573
07/02/2008,36.95,0.006788892
06/02/2008,36.7,-0.003535975
05/02/2008,36.83,-0.04719858
04/02/2008,38.61,-0.003619446
01/02/2008,38.75,-0.002062388
31/01/2008,38.83,0.015311056
30/01/2008,38.24,-0.012215876
29/01/2008,38.71,0.01562125
28/01/2008,38.11,0.009226374
25/01/2008,37.76,-0.012370206
24/01/2008,38.23,0.004193977
23/01/2008,38.07,0.006324132
22/01/2008,37.83,-0.032764241
18/01/2008,39.09,-0.045507852
17/01/2008,40.91,-0.033885256
16/01/2008,42.32,0.00355072
15/01/2008,42.17,-0.019258463
14/01/2008,42.99,0.011463455
11/01/2008,42.5,-0.022106776
10/01/2008,43.45,0.022812907
09/01/2008,42.47,0.01136645
08/01/2008,41.99,-0.031875209
07/01/2008,43.35,0.01745245
04/01/2008,42.6,-0.018835576
03/01/2008,43.41,0.004617879
02/01/2008,43.21,-0.011047293
31/12/2007,43.69,-0.021062946
28/12/2007,44.62,0.005393271
27/12/2007,44.38,-0.016093329
26/12/2007,45.1,0.006897346
24/12/2007,44.79,0.010548858
21/12/2007,44.32,0.011345708
20/12/2007,43.82,0.003887052
19/12/2007,43.65,-0.00365882
18/12/2007,43.81,0.016339105
17/12/2007,43.1,-0.029040568
14/12/2007,44.37,-0.01454327
13/12/2007,45.02,0.001778569
12/12/2007,44.94,0.010513462
11/12/2007,44.47,-0.019595372
10/12/2007,45.35,0.001103144
07/12/2007,45.3,0.019617214
06/12/2007,44.42,-0.002248708
05/12/2007,44.52,0.016304709
04/12/2007,43.8,0.016342866
03/12/2007,43.09,-0.002780998
30/11/2007,43.21,0.017038573
29/11/2007,42.48,0.001649193
28/11/2007,42.41,0.022655076
27/11/2007,41.46,0.00556296
26/11/2007,41.23,-0.033626633
23/11/2007,42.64,0.016314347
21/11/2007,41.95,-0.028435707
20/11/2007,43.16,0.00255191
19/11/2007,43.05,-0.014757012
16/11/2007,43.69,0.014989327
15/11/2007,43.04,-0.011090687
14/11/2007,43.52,-0.001377727
13/11/2007,43.58,0.018060227
12/11/2007,42.8,0.00070118
09/11/2007,42.77,0.000935673
08/11/2007,42.73,-0.008621747
07/11/2007,43.1,-0.014740018
06/11/2007,43.74,-0.001827319
05/11/2007,43.82,-0.012698583
02/11/2007,44.38,-0.008079039
01/11/2007,44.74,-0.029294023
31/10/2007,46.07,0.01553132
30/10/2007,45.36,-0.013793322
29/10/2007,45.99,0.008516265
26/10/2007,45.6,0.015247229
25/10/2007,44.91,0.010970669
24/10/2007,44.42,-0.00874151
23/10/2007,44.81,0.01076968
22/10/2007,44.33,0.001354402
19/10/2007,44.27,-0.015688354
18/10/2007,44.97,-0.006428039
17/10/2007,45.26,0.007317917
16/10/2007,44.93,0.006699444
15/10/2007,44.63,-0.019965171
12/10/2007,45.53,-0.003289116
11/10/2007,45.68,0.00109517
10/10/2007,45.63,0.000219178
09/10/2007,45.62,0.014573011
08/10/2007,44.96,-0.005766261
05/10/2007,45.22,-0.00441307
04/10/2007,45.42,0.003970885
03/10/2007,45.24,-0.002207994
02/10/2007,45.34,-0.00132246
01/10/2007,45.4,0.024978997
28/09/2007,44.28,-0.008992866
27/09/2007,44.68,0.004486324
26/09/2007,44.48,0.009260371
25/09/2007,44.07,-0.001133916
24/09/2007,44.12,-0.005875723
21/09/2007,44.38,0.0131551
20/09/2007,43.8,0.000456725
19/09/2007,43.78,0.010793537
18/09/2007,43.31,0.016764071
17/09/2007,42.59,0.00164493
14/09/2007,42.52,-0.002114414
13/09/2007,42.61,0.017519387
12/09/2007,41.87,0
11/09/2007,41.87,0.014918467
10/09/2007,41.25,-0.002179441
07/09/2007,41.34,-0.022010458
06/09/2007,42.26,0.007362579
05/09/2007,41.95,-0.017017664
04/09/2007,42.67,0.018687711
31/08/2007,41.88,-0.001193175
30/08/2007,41.93,-0.007129308
29/08/2007,42.23,0.01695563
28/08/2007,41.52,-0.025444245
27/08/2007,42.59,-0.001173296
24/08/2007,42.64,0.011558095
23/08/2007,42.15,0.00785999
22/08/2007,41.82,0.002633786
21/08/2007,41.71,0.014489507
20/08/2007,41.11,0.007569319
17/08/2007,40.8,0.014069095
16/08/2007,40.23,-0.006688988
15/08/2007,40.5,-0.011294007
14/08/2007,40.96,-0.016705388
13/08/2007,41.65,0.00771274
10/08/2007,41.33,-0.014174411
09/08/2007,41.92,-0.029845947
08/08/2007,43.19,0.001853998
07/08/2007,43.11,-0.007165176
06/08/2007,43.42,0.015550969
03/08/2007,42.75,-0.008849615
02/08/2007,43.13,-0.002547182
01/08/2007,43.24,0.014442366
31/07/2007,42.62,0.026389265
30/07/2007,41.51,-0.011735256
27/07/2007,42,-0.009478744
26/07/2007,42.4,-0.019154989
25/07/2007,43.22,0.002548362
24/07/2007,43.11,0.007450558
23/07/2007,42.79,0.011990269
20/07/2007,42.28,0.000473149
19/07/2007,42.26,0.006885935
18/07/2007,41.97,-0.006885935
17/07/2007,42.26,-0.011762074
16/07/2007,42.76,0.023664143
13/07/2007,41.76,0.007933687
12/07/2007,41.43,0.015323175
11/07/2007,40.8,0.006886402
10/07/2007,40.52,-0.036350016
09/07/2007,42.02,0.011248174
06/07/2007,41.55,-0.010295793
05/07/2007,41.98,-0.003329373
03/07/2007,42.12,0.012903405
02/07/2007,41.58,0.009909447
29/06/2007,41.17,0.002431908
28/06/2007,41.07,0.003658987
27/06/2007,40.92,-0.003658987
26/06/2007,41.07,-0.010415499
25/06/2007,41.5,-0.003127634
22/06/2007,41.63,-0.019270253
21/06/2007,42.44,-0.002353496
20/06/2007,42.54,-0.012381889
19/06/2007,43.07,0.012146844
18/06/2007,42.55,-0.010287675
15/06/2007,42.99,-0.005335821
14/06/2007,43.22,0.007431525
13/06/2007,42.9,-0.004187026
12/06/2007,43.08,-0.009931944
11/06/2007,43.51,0.010164098
08/06/2007,43.07,0.011207215
07/06/2007,42.59,-0.007718434
06/06/2007,42.92,0.003734832
05/06/2007,42.76,-0.004433562
04/06/2007,42.95,-0.001395998
01/06/2007,43.01,-0.012017709
31/05/2007,43.53,-0.006639979
30/05/2007,43.82,0.014249839
29/05/2007,43.2,0.016336419
25/05/2007,42.5,-0.000940734
24/05/2007,42.54,-0.003051287
23/05/2007,42.67,0.00140713
22/05/2007,42.61,0.001644158
21/05/2007,42.54,-0.001174674
18/05/2007,42.59,0.010622076
17/05/2007,42.14,-0.014137842
16/05/2007,42.74,0.00469044
15/05/2007,42.54,0.022344643
14/05/2007,41.6,0.006027746
11/05/2007,41.35,0.013880656
10/05/2007,40.78,-0.009275146
09/05/2007,41.16,0.013206355
08/05/2007,40.62,-0.005156549
07/05/2007,40.83,0.004172297
04/05/2007,40.66,-0.01003312
03/05/2007,41.07,0.03644881
02/05/2007,39.6,0.02791117
01/05/2007,38.51,0.00860613
30/04/2007,38.18,0.007624593
27/04/2007,37.89,-0.002109149
26/04/2007,37.97,0.00846342
25/04/2007,37.65,0.001328904
24/04/2007,37.6,0.001330672
23/04/2007,37.55,-0.009541551
20/04/2007,37.91,0.010607365
19/04/2007,37.51,0.002402243
18/04/2007,37.42,-0.001068376
17/04/2007,37.46,-0.010885545
16/04/2007,37.87,0.012755953
13/04/2007,37.39,0.000535045
12/04/2007,37.37,-0.000267559
11/04/2007,37.38,-0.011173301
10/04/2007,37.8,-0.005277057
09/04/2007,38,0
05/04/2007,38,-0.000526177
04/04/2007,38.02,-0.002626742
03/04/2007,38.12,0.00763664
02/04/2007,37.83,-0.002376239
30/03/2007,37.92,0.009272818
29/03/2007,37.57,0.009090972
28/03/2007,37.23,-0.012279919
27/03/2007,37.69,0.000530786
26/03/2007,37.67,-0.011875057
23/03/2007,38.12,0.002889796
22/03/2007,38.01,0.008719833
21/03/2007,37.68,0.018752224
20/03/2007,36.98,0.006239
19/03/2007,36.75,0.011769672
16/03/2007,36.32,-0.001100716
15/03/2007,36.36,0.002202644
14/03/2007,36.28,0.00414308
13/03/2007,36.13,-0.012378098
12/03/2007,36.58,0.003560185
09/03/2007,36.45,-0.000822707
08/03/2007,36.48,0.022173857
07/03/2007,35.68,-0.022173857
06/03/2007,36.48,0.00964062
05/03/2007,36.13,-0.00964062
02/03/2007,36.48,-0.016852804
01/03/2007,37.1,-0.008053735
28/02/2007,37.4,0.020803128
27/02/2007,36.63,-0.046929432
26/02/2007,38.39,-0.000520833
23/02/2007,38.41,-0.000780742
22/02/2007,38.44,0.003909819
21/02/2007,38.29,0.000783801
20/02/2007,38.26,-0.006253277
16/02/2007,38.5,0.002600782
15/02/2007,38.4,-0.005971717
14/02/2007,38.63,0.015390939
13/02/2007,38.04,0.012432378
12/02/2007,37.57,-0.003454235
09/02/2007,37.7,-0.006609409
08/02/2007,37.95,-0.003682277
07/02/2007,38.09,0.000262571
06/02/2007,38.08,-0.000262571
05/02/2007,38.09,-0.002098086
02/02/2007,38.17,0.004463707
01/02/2007,38,-0.013591427
31/01/2007,38.52,-0.001556421
30/01/2007,38.58,0.014358686
29/01/2007,38.03,0.005272883
26/01/2007,37.83,0.008761506
25/01/2007,37.5,-0.015085637
24/01/2007,38.07,0.01535234
23/01/2007,37.49,0.006422286
22/01/2007,37.25,0
19/01/2007,37.25,-0.008553915
18/01/2007,37.57,0.018536461
17/01/2007,36.88,-0.007563515
16/01/2007,37.16,-0.004564379
12/01/2007,37.33,0.005910818
11/01/2007,37.11,0.009748249
10/01/2007,36.75,-0.005698021
09/01/2007,36.96,0.004066699
08/01/2007,36.81,-0.015366255
