Date,Close,LLY
20/02/2008,50.37,0.001390683
19/02/2008,50.3,-0.010284901
15/02/2008,50.82,0.016667052
14/02/2008,49.98,-0.007177064
13/02/2008,50.34,-0.013417723
12/02/2008,51.02,0.015605255
11/02/2008,50.23,0
08/02/2008,50.23,-0.019517623
07/02/2008,51.22,-0.003508092
06/02/2008,51.4,0.003117695
05/02/2008,51.24,-0.016260521
04/02/2008,52.08,0.00809721
01/02/2008,51.66,0.005240187
31/01/2008,51.39,0.000778665
30/01/2008,51.35,-0.018522621
29/01/2008,52.31,0.017549385
28/01/2008,51.4,0.012923618
25/01/2008,50.74,-0.011365986
24/01/2008,51.32,-0.01661874
23/01/2008,52.18,0.000191663
22/01/2008,52.17,-0.029091587
18/01/2008,53.71,-0.020820651
17/01/2008,54.84,-0.022181055
16/01/2008,56.07,-0.009231381
15/01/2008,56.59,-0.010371896
14/01/2008,57.18,0.00649182
11/01/2008,56.81,-0.000703854
10/01/2008,56.85,-0.000175886
09/01/2008,56.86,0.01416956
08/01/2008,56.06,0.027304833
07/01/2008,54.55,0.051727563
04/01/2008,51.8,-0.022713067
03/01/2008,52.99,0.008338119
02/01/2008,52.55,-0.015858365
31/12/2007,53.39,-0.012286082
28/12/2007,54.05,0.003150193
27/12/2007,53.88,-0.007949021
26/12/2007,54.31,-0.003308827
24/12/2007,54.49,0.004782938
21/12/2007,54.23,0.018612114
20/12/2007,53.23,0.000939761
19/12/2007,53.18,-0.005812335
18/12/2007,53.49,0.005812335
17/12/2007,53.18,-0.009916818
14/12/2007,53.71,-0.008712633
13/12/2007,54.18,0.001847405
12/12/2007,54.08,0.000369891
11/12/2007,54.06,-0.013230623
10/12/2007,54.78,0.008800937
07/12/2007,54.3,0.006837318
06/12/2007,53.93,0.008192189
05/12/2007,53.49,0.026137852
04/12/2007,52.11,-0.008027566
03/12/2007,52.53,-0.007963637
30/11/2007,52.95,0.003026293
29/11/2007,52.79,0.010090519
28/11/2007,52.26,0.026171892
27/11/2007,50.91,0.024658239
26/11/2007,49.67,-0.022298356
23/11/2007,50.79,0.034044137
21/11/2007,49.09,-0.025343271
20/11/2007,50.35,-0.00830701
19/11/2007,50.77,-0.020277552
16/11/2007,51.81,-0.004813719
15/11/2007,52.06,-0.018460892
14/11/2007,53.03,0.007381504
13/11/2007,52.64,0.002663117
12/11/2007,52.5,0.019037206
09/11/2007,51.51,-0.002133231
08/11/2007,51.62,0.001745032
07/11/2007,51.53,-0.018267982
06/11/2007,52.48,0.006116227
05/11/2007,52.16,-0.009730116
02/11/2007,52.67,-0.001896814
01/11/2007,52.77,-0.025815126
31/10/2007,54.15,0.008531209
30/10/2007,53.69,0.003171349
29/10/2007,53.52,0.015819539
26/10/2007,52.68,0.00475693
25/10/2007,52.43,-0.068547735
24/10/2007,56.15,-0.017302692
23/10/2007,57.13,0.01855013
22/10/2007,56.08,0.000356697
19/10/2007,56.06,-0.010469442
18/10/2007,56.65,-0.005281702
17/10/2007,56.95,-0.0035057
16/10/2007,57.15,-0.013728602
15/10/2007,57.94,-0.010131451
12/10/2007,58.53,0.003080085
11/10/2007,58.35,-0.000856531
10/10/2007,58.4,-0.0025652
09/10/2007,58.55,-0.007656354
08/10/2007,59,-0.00793454
05/10/2007,59.47,0.008612736
04/10/2007,58.96,0.001357773
03/10/2007,58.88,0.007843177
02/10/2007,58.42,0.002227745
01/10/2007,58.29,0.023608109
28/09/2007,56.93,-0.007699076
27/09/2007,57.37,-0.000522785
26/09/2007,57.4,0.003315595
25/09/2007,57.21,-0.005577843
24/09/2007,57.53,-0.001563179
21/09/2007,57.62,0.009415937
20/09/2007,57.08,-0.007852758
19/09/2007,57.53,0.006802154
18/09/2007,57.14,0.021045962
17/09/2007,55.95,-0.015429942
14/09/2007,56.82,-0.00631581
13/09/2007,57.18,0.002276111
12/09/2007,57.05,0.007919091
11/09/2007,56.6,0.008160414
10/09/2007,56.14,-0.000534236
07/09/2007,56.17,-0.022532198
06/09/2007,57.45,0.002788916
05/09/2007,57.29,-0.014555793
04/09/2007,58.13,0.013509038
31/08/2007,57.35,0.011927873
30/08/2007,56.67,0.006195258
29/08/2007,56.32,0.003913899
28/08/2007,56.1,-0.005156025
27/08/2007,56.39,-0.00389381
24/08/2007,56.61,0.013158085
23/08/2007,55.87,0.002329541
22/08/2007,55.74,0.008286843
21/08/2007,55.28,-0.006311445
20/08/2007,55.63,-0.003230441
17/08/2007,55.81,0.017715575
16/08/2007,54.83,-0.006363079
15/08/2007,55.18,-0.004700786
14/08/2007,55.44,-0.026521088
13/08/2007,56.93,-0.00403191
10/08/2007,57.16,-0.011999101
09/08/2007,57.85,-0.009462436
08/08/2007,58.4,0.032721332
07/08/2007,56.52,0.005321992
06/08/2007,56.22,0.037884005
03/08/2007,54.13,-0.008645322
02/08/2007,54.6,0.007352974
01/08/2007,54.2,0.002031583
31/07/2007,54.09,-0.012493273
30/07/2007,54.77,-0.004554157
27/07/2007,55.02,-0.030077455
26/07/2007,56.7,-0.030226376
25/07/2007,58.44,0.021971302
24/07/2007,57.17,0
23/07/2007,57.17,0.020142024
20/07/2007,56.03,-0.006227224
19/07/2007,56.38,0.005870336
18/07/2007,56.05,-0.006225009
