Date,Close,WMB
20/02/2008,35.87,0.023411025
19/02/2008,35.04,0.027192882
15/02/2008,34.1,-0.007304634
14/02/2008,34.35,-0.003197212
13/02/2008,34.46,0.017564854
12/02/2008,33.86,-0.009991267
11/02/2008,34.2,0.038752986
08/02/2008,32.9,0.02026474
07/02/2008,32.24,0.003729029
06/02/2008,32.12,-0.002487563
05/02/2008,32.2,-0.021202208
04/02/2008,32.89,0.012236311
01/02/2008,32.49,0.016134387
31/01/2008,31.97,-0.000625391
30/01/2008,31.99,0.005328331
29/01/2008,31.82,-0.002510987
28/01/2008,31.9,0.000940881
25/01/2008,31.87,-0.002194014
24/01/2008,31.94,0.031163094
23/01/2008,30.96,-0.002580647
22/01/2008,31.04,-0.023245753
18/01/2008,31.77,0.001259843
17/01/2008,31.73,-0.065562264
16/01/2008,33.88,-0.009400774
15/01/2008,34.2,-0.043205118
14/01/2008,35.71,0.016090679
11/01/2008,35.14,-0.023623146
10/01/2008,35.98,-0.00055571
09/01/2008,36,0.011173301
08/01/2008,35.6,0.005351372
07/01/2008,35.41,-0.005070433
04/01/2008,35.59,-0.030712056
03/01/2008,36.7,0.025387677
02/01/2008,35.78,0
31/12/2007,35.78,-0.014704107
28/12/2007,36.31,0.01163448
27/12/2007,35.89,-0.00527999
26/12/2007,36.08,0.004166094
24/12/2007,35.93,-0.001390627
21/12/2007,35.98,0.015122103
20/12/2007,35.44,0.004808381
19/12/2007,35.27,0.015716854
18/12/2007,34.72,0.00288434
17/12/2007,34.62,-0.011202185
14/12/2007,35.01,-0.022314158
13/12/2007,35.8,0.003637894
12/12/2007,35.67,0.015824009
11/12/2007,35.11,-0.021972715
10/12/2007,35.89,0.008956119
07/12/2007,35.57,0.002815317
06/12/2007,35.47,0.010201279
05/12/2007,35.11,0.008006906
04/12/2007,34.83,-0.008006906
03/12/2007,35.11,0.01145816
30/11/2007,34.71,0.012757494
29/11/2007,34.27,0.00849822
28/11/2007,33.98,0.004128582
27/11/2007,33.84,-0.014667321
26/11/2007,34.34,-0.017321449
23/11/2007,34.94,0.026096001
21/11/2007,34.04,-0.015739177
20/11/2007,34.58,0.006382383
19/11/2007,34.36,-0.015880224
16/11/2007,34.91,0.013264324
15/11/2007,34.45,-0.010682937
14/11/2007,34.82,0.007784384
13/11/2007,34.55,0.006096695
12/11/2007,34.34,-0.028987537
09/11/2007,35.35,-0.00873122
08/11/2007,35.66,-0.017512609
07/11/2007,36.29,-0.023690693
06/11/2007,37.16,0.021488655
05/11/2007,36.37,0.001926518
02/11/2007,36.3,0.018068594
01/11/2007,35.65,-0.023289104
31/10/2007,36.49,0.016022442
30/10/2007,35.91,-0.011628038
29/10/2007,36.33,-0.000825423
26/10/2007,36.36,0.016080191
25/10/2007,35.78,0.022041017
24/10/2007,35,0.02693083
23/10/2007,34.07,0.011513042
22/10/2007,33.68,-0.004148154
19/10/2007,33.82,-0.034581391
18/10/2007,35.01,0.003720136
17/10/2007,34.88,-0.004576667
16/10/2007,35.04,0.003144207
15/10/2007,34.93,0.00085923
12/10/2007,34.9,0.002294895
11/10/2007,34.82,0.000287233
10/10/2007,34.81,-0.006300135
09/10/2007,35.03,0.005438685
08/10/2007,34.84,0
05/10/2007,34.84,0.009806828
04/10/2007,34.5,0.011075601
03/10/2007,34.12,-0.018295849
02/10/2007,34.75,0.00432589
01/10/2007,34.6,0.015730007
28/09/2007,34.06,-0.006438418
27/09/2007,34.28,0.012032427
26/09/2007,33.87,0.013375144
25/09/2007,33.42,-0.004478288
24/09/2007,33.57,0.002385924
21/09/2007,33.49,-0.003874241
20/09/2007,33.62,-0.005931215
19/09/2007,33.82,0.004742155
18/09/2007,33.66,0.020408872
17/09/2007,32.98,0.003036747
14/09/2007,32.88,0.000608458
13/09/2007,32.86,0.013172192
12/09/2007,32.43,0.012410957
11/09/2007,32.03,0.015099375
10/09/2007,31.55,-0.011345851
07/09/2007,31.91,-0.018628294
06/09/2007,32.51,0.011446374
05/09/2007,32.14,0.008436232
04/09/2007,31.87,0.027677924
31/08/2007,31,-0.000644953
30/08/2007,31.02,-0.010901038
29/08/2007,31.36,0.041672696
28/08/2007,30.08,-0.030771659
27/08/2007,31.02,-0.027346696
24/08/2007,31.88,0.014534221
23/08/2007,31.42,-0.002542913
22/08/2007,31.5,0.017291497
21/08/2007,30.96,-0.007080815
20/08/2007,31.18,-0.006393884
17/08/2007,31.38,0.013797748
16/08/2007,30.95,0.001940492
15/08/2007,30.89,-0.038423523
14/08/2007,32.1,-0.020657433
13/08/2007,32.77,0.032250857
10/08/2007,31.73,0.002208551
09/08/2007,31.66,-0.041453507
08/08/2007,33,0.031709598
07/08/2007,31.97,0.003760581
06/08/2007,31.85,-0.029086209
03/08/2007,32.79,-0.011220739
02/08/2007,33.16,0.011220739
01/08/2007,32.79,0.016605548
31/07/2007,32.25,0.013737337
30/07/2007,31.81,0.012972813
27/07/2007,31.4,-0.015798117
26/07/2007,31.9,-0.043251642
25/07/2007,33.31,0.004513322
24/07/2007,33.16,-0.033801024
23/07/2007,34.3,-0.012170536
20/07/2007,34.72,0.009550065
19/07/2007,34.39,0.015236158
18/07/2007,33.87,0.0184749
17/07/2007,33.25,-0.003602526
16/07/2007,33.37,-0.02017274
13/07/2007,34.05,0.010332195
