Date,Close,SBUX
20/02/2008,18.26,0.008800937
19/02/2008,18.1,-0.010442524
15/02/2008,18.29,0.006032374
14/02/2008,18.18,-0.036190825
13/02/2008,18.85,0.007454774
12/02/2008,18.71,0.010206911
11/02/2008,18.52,0.014138354
08/02/2008,18.26,-0.014678165
07/02/2008,18.53,0.02072048
06/02/2008,18.15,-0.019640566
05/02/2008,18.51,-0.036078183
04/02/2008,19.19,-0.001562094
01/02/2008,19.22,0.016260521
31/01/2008,18.91,-0.016260521
30/01/2008,19.22,-0.038279744
29/01/2008,19.97,0.015645033
28/01/2008,19.66,0
25/01/2008,19.66,-0.039396768
24/01/2008,20.45,0.023751735
23/01/2008,19.97,0.06731319
22/01/2008,18.67,0.000535762
18/01/2008,18.66,-0.020684906
17/01/2008,19.05,-0.013037994
16/01/2008,19.3,0.024122827
15/01/2008,18.84,-0.036993017
14/01/2008,19.55,-0.012201473
11/01/2008,19.79,-0.025936616
10/01/2008,20.31,0.042752299
09/01/2008,19.46,-0.020346582
08/01/2008,19.86,0.077444542
07/01/2008,18.38,0.014798845
04/01/2008,18.11,-0.032059252
03/01/2008,18.7,-0.032099573
02/01/2008,19.31,-0.058337303
31/12/2007,20.47,0.01674916
28/12/2007,20.13,-0.016260521
27/12/2007,20.46,-0.017442303
26/12/2007,20.82,-0.01903007
24/12/2007,21.22,0.007568626
21/12/2007,21.06,0.025488276
20/12/2007,20.53,0.024656081
19/12/2007,20.03,-0.028059926
18/12/2007,20.6,0.022086787
17/12/2007,20.15,-0.053152607
14/12/2007,21.25,-0.01169604
13/12/2007,21.5,-0.017520042
12/12/2007,21.88,-0.000913659
11/12/2007,21.9,-0.037199001
10/12/2007,22.73,0.004851167
07/12/2007,22.62,-0.010116647
06/12/2007,22.85,0.008791265
05/12/2007,22.65,0.013781058
04/12/2007,22.34,-0.020820243
03/12/2007,22.81,-0.025109544
30/11/2007,23.39,0.015076745
29/11/2007,23.04,0.003478264
28/11/2007,22.96,0.015361285
27/11/2007,22.61,0.019201304
26/11/2007,22.18,-0.03934209
23/11/2007,23.07,0.011334036
21/11/2007,22.81,-0.012633581
20/11/2007,23.1,0.010006609
19/11/2007,22.87,-0.01303233
16/11/2007,23.17,-0.039353502
15/11/2007,24.1,-0.006204777
14/11/2007,24.25,0.010779541
13/11/2007,23.99,0.036074355
12/11/2007,23.14,0.024941131
09/11/2007,22.57,-0.036114432
08/11/2007,23.4,-0.02989067
07/11/2007,24.11,-0.03424713
06/11/2007,24.95,-0.000400721
05/11/2007,24.96,-0.022579688
02/11/2007,25.53,-0.011682376
01/11/2007,25.83,-0.032377614
31/10/2007,26.68,0.020065031
30/10/2007,26.15,-0.003054603
29/10/2007,26.23,0.002290077
26/10/2007,26.17,0
25/10/2007,26.17,0.003828489
24/10/2007,26.07,-0.00268148
23/10/2007,26.14,-0.00191095
22/10/2007,26.19,0.003442344
19/10/2007,26.1,-0.021229
18/10/2007,26.66,0.009800305
17/10/2007,26.4,0.012578782
16/10/2007,26.07,-0.001533155
15/10/2007,26.11,-0.008770314
12/10/2007,26.34,0.00075959
11/10/2007,26.32,-0.008700641
10/10/2007,26.55,-0.00825211
09/10/2007,26.77,0.004117543
08/10/2007,26.66,-0.006728997
05/10/2007,26.84,0.011994147
04/10/2007,26.52,-0.000753864
03/10/2007,26.54,-0.002258187
02/10/2007,26.6,0.010582109
01/10/2007,26.32,0.004569696
28/09/2007,26.2,-0.028965726
27/09/2007,26.97,-0.0263462
26/09/2007,27.69,0.021906681
25/09/2007,27.09,-0.00221239
24/09/2007,27.15,-0.011717454
21/09/2007,27.47,-0.000727802
20/09/2007,27.49,-0.010494035
19/09/2007,27.78,-0.001798238
18/09/2007,27.83,0.019227873
17/09/2007,27.3,-0.012377297
14/09/2007,27.64,0.005805532
13/09/2007,27.48,0.005473467
12/09/2007,27.33,0
11/09/2007,27.33,0.010667749
10/09/2007,27.04,-0.004428052
07/09/2007,27.16,-0.01534557
06/09/2007,27.58,0.00508907
05/09/2007,27.44,-0.010152371
04/09/2007,27.72,0.006151639
31/08/2007,27.55,0.007286007
30/08/2007,27.35,-0.004741938
29/08/2007,27.48,0.022075952
28/08/2007,26.88,-0.018065007
27/08/2007,27.37,-0.008005865
24/08/2007,27.59,0.002540375
23/08/2007,27.52,-0.00072648
22/08/2007,27.54,0.006922964
21/08/2007,27.35,0.016218564
20/08/2007,26.91,0.007834399
17/08/2007,26.7,0.00337648
16/08/2007,26.61,0.001504325
15/08/2007,26.57,-0.021594287
14/08/2007,27.15,-0.024018622
13/08/2007,27.81,-0.008236394
10/08/2007,28.04,-0.00035657
09/08/2007,28.05,0.011834458
08/08/2007,27.72,0.021882711
07/08/2007,27.12,0.008516993
06/08/2007,26.89,0.021805375
03/08/2007,26.31,-0.02292041
02/08/2007,26.92,-0.010347469
01/08/2007,27.2,0.019302752
31/07/2007,26.68,-0.01118163
30/07/2007,26.98,0.001854944
27/07/2007,26.93,-0.018396398
26/07/2007,27.43,-0.019137612
25/07/2007,27.96,-0.011733468
24/07/2007,28.29,0.004250803
23/07/2007,28.17,0.016825169
20/07/2007,27.7,-0.000360946
19/07/2007,27.71,0.044648626
18/07/2007,26.5,0.024060737
17/07/2007,25.87,-0.008084741
16/07/2007,26.08,0.000383509
13/07/2007,26.07,0.004228336
12/07/2007,25.96,-0.001154957
11/07/2007,25.99,-0.004606534
10/07/2007,26.11,-0.008770314
09/07/2007,26.34,-0.007941051
06/07/2007,26.55,0.007941051
05/07/2007,26.34,-0.000759013
03/07/2007,26.36,0.011829941
02/07/2007,26.05,-0.007267196
29/06/2007,26.24,-0.007971194
28/06/2007,26.45,0.012172079
27/06/2007,26.13,0.013873055
26/06/2007,25.77,0.004277665
25/06/2007,25.66,0.004687509
22/06/2007,25.54,-0.027801018
21/06/2007,26.26,-0.039572166
20/06/2007,27.32,-0.009834354
19/06/2007,27.59,-0.002533938
18/06/2007,27.66,-0.003968975
15/06/2007,27.77,0.005778275
14/06/2007,27.61,-0.005778275
13/06/2007,27.77,0.001080886
12/06/2007,27.74,0.007235922
11/06/2007,27.54,-0.0047093
08/06/2007,27.67,0.008346991
07/06/2007,27.44,-0.025545552
06/06/2007,28.15,-0.015509652
05/06/2007,28.59,-0.008359505
04/06/2007,28.83,-0.010352059
01/06/2007,29.13,0.011046022
31/05/2007,28.81,0.003825426
30/05/2007,28.7,0.004539907
29/05/2007,28.57,-0.001399091
25/05/2007,28.61,0.010541208
24/05/2007,28.31,-0.020280415
23/05/2007,28.89,-0.004145084
22/05/2007,29.01,-0.009264091
21/05/2007,29.28,0.011334485
18/05/2007,28.95,0.016719303
17/05/2007,28.47,0.009528923
16/05/2007,28.2,-0.006714993
15/05/2007,28.39,-0.017804625
14/05/2007,28.9,-0.024270547
11/05/2007,29.61,0.002366865
10/05/2007,29.54,-0.01678455
09/05/2007,30.04,-0.004649626
08/05/2007,30.18,-0.005617064
07/05/2007,30.35,-0.011466137
04/05/2007,30.7,-0.029527177
03/05/2007,31.62,0.011770456
02/05/2007,31.25,0.007709643
01/05/2007,31.01,-0.000322425
30/04/2007,31.02,-0.015355388
27/04/2007,31.5,-0.010107477
26/04/2007,31.82,-0.000628338
25/04/2007,31.84,0.015828124
24/04/2007,31.34,-0.007312066
23/04/2007,31.57,-0.002846752
20/04/2007,31.66,0.028188926
19/04/2007,30.78,-0.006476707
18/04/2007,30.98,-0.00193486
17/04/2007,31.04,-0.000322113
16/04/2007,31.05,0.009383664
13/04/2007,30.76,0.002930167
12/04/2007,30.67,-0.001954398
11/04/2007,30.73,-0.013895845
10/04/2007,31.16,0.000642055
09/04/2007,31.14,-0.008314727
05/04/2007,31.4,0.001912656
04/04/2007,31.34,-0.004774798
03/04/2007,31.49,0.007650659
02/04/2007,31.25,-0.003513819
30/03/2007,31.36,0.000957091
29/03/2007,31.33,0.001597189
28/03/2007,31.28,-0.013968481
27/03/2007,31.72,-0.007224784
26/03/2007,31.95,0.016727548
23/03/2007,31.42,-0.00697751
22/03/2007,31.64,-0.019715863
21/03/2007,32.27,0.027967259
20/03/2007,31.38,0.010894052
19/03/2007,31.04,0.014930495
16/03/2007,30.58,0.032909734
15/03/2007,29.59,0.009166589
14/03/2007,29.32,-0.001363327
13/03/2007,29.36,-0.023894793
12/03/2007,30.07,-0.007949694
09/03/2007,30.31,-0.012784964
08/03/2007,30.7,0.007520062
07/03/2007,30.47,0.015545211
06/03/2007,30,0.019862629
05/03/2007,29.41,-0.015854608
02/03/2007,29.88,-0.016924247
01/03/2007,30.39,-0.016642577
28/02/2007,30.9,0.00486619
27/02/2007,30.75,-0.04015836
26/02/2007,32.01,-0.022854608
23/02/2007,32.75,-0.007907584
22/02/2007,33.01,0.018652123
21/02/2007,32.4,-0.012879663
20/02/2007,32.82,-0.00577246
16/02/2007,33.01,-0.006341558
15/02/2007,33.22,-0.003605773
14/02/2007,33.34,0.02060679
13/02/2007,32.66,-0.000306138
12/02/2007,32.67,-0.008837479
09/02/2007,32.96,-0.013859818
08/02/2007,33.42,-0.00745271
07/02/2007,33.67,0
06/02/2007,33.67,-0.010341354
05/02/2007,34.02,-0.007321749
02/02/2007,34.27,-0.004076884
01/02/2007,34.41,-0.015285085
31/01/2007,34.94,0.010935361
30/01/2007,34.56,0
29/01/2007,34.56,0.019872074
26/01/2007,33.88,-0.002652912
25/01/2007,33.97,-0.023852207
24/01/2007,34.79,-0.00458848
23/01/2007,34.95,-0.009681169
22/01/2007,35.29,-0.007059185
19/01/2007,35.54,-0.006450731
