Date,Close,GS
20/02/2008,177.25,0.019655953
19/02/2008,173.8,-0.02617906
15/02/2008,178.41,0.01042351
14/02/2008,176.56,-0.020295589
13/02/2008,180.18,-0.002605106
12/02/2008,180.65,-0.028486047
11/02/2008,185.87,-0.006435374
08/02/2008,187.07,-0.01795932
07/02/2008,190.46,0.017424904
06/02/2008,187.17,-0.014269664
05/02/2008,189.86,-0.056022429
04/02/2008,200.8,-0.03417044
01/02/2008,207.78,0.040414996
31/01/2008,199.55,0.005023874
30/01/2008,198.55,0.012671229
29/01/2008,196.05,-0.001019628
28/01/2008,196.25,0.02518063
25/01/2008,191.37,-0.040100618
24/01/2008,199.2,-0.000953361
23/01/2008,199.39,0.044613633
22/01/2008,190.69,0.018418091
18/01/2008,187.21,-0.019937729
17/01/2008,190.98,-0.033569874
16/01/2008,197.5,0.021546933
15/01/2008,193.29,-0.04234187
14/01/2008,201.65,0.014536084
11/01/2008,198.74,0.009250666
10/01/2008,196.91,0.026554331
09/01/2008,191.75,0.011803416
08/01/2008,189.5,-0.027224959
07/01/2008,194.73,-0.026353322
04/01/2008,199.93,-0.024261881
03/01/2008,204.84,-0.013383965
02/01/2008,207.6,-0.035257408
31/12/2007,215.05,0.014567343
28/12/2007,211.94,-4.71821E-05
27/12/2007,211.95,-0.022117363
26/12/2007,216.69,0.010997535
24/12/2007,214.32,0.022269273
21/12/2007,209.6,0.033621912
20/12/2007,202.67,-0.00732496
19/12/2007,204.16,0.013064992
18/12/2007,201.51,-0.03472334
17/12/2007,208.63,-0.00973058
14/12/2007,210.67,0.010449815
13/12/2007,208.48,-0.019475275
12/12/2007,212.58,0.006749607
11/12/2007,211.15,-0.060014331
10/12/2007,224.21,0.028592764
07/12/2007,217.89,-0.020981696
06/12/2007,222.51,0.019285032
05/12/2007,218.26,0.014026252
04/12/2007,215.22,-0.052804558
03/12/2007,226.89,0.001102463
30/11/2007,226.64,0.010021812
29/11/2007,224.38,-0.013897103
28/11/2007,227.52,0.064397884
27/11/2007,213.33,0.027949916
26/11/2007,207.45,-0.042607818
23/11/2007,216.48,0.032774425
21/11/2007,209.5,-0.037383153
20/11/2007,217.48,-0.013972192
19/11/2007,220.54,-0.021131812
16/11/2007,225.25,-0.007827223
15/11/2007,227.02,-0.027329922
14/11/2007,233.31,0.001157929
13/11/2007,233.04,0.081921832
12/11/2007,214.71,0.015867388
09/11/2007,211.33,0.006599117
08/11/2007,209.94,-0.019995007
07/11/2007,214.18,-0.04107222
06/11/2007,223.16,0.021606548
05/11/2007,218.39,-0.050056209
02/11/2007,229.6,-0.045174876
01/11/2007,240.21,-0.031592573
31/10/2007,247.92,0.031093135
30/10/2007,240.33,-0.014376255
29/10/2007,243.81,0.032896469
26/10/2007,235.92,0.040041667
25/10/2007,226.66,0.006817504
24/10/2007,225.12,0.006059544
23/10/2007,223.76,0.007086185
22/10/2007,222.18,0.020415832
19/10/2007,217.69,-0.045615485
18/10/2007,227.85,0.001009946
17/10/2007,227.62,0.012333011
16/10/2007,224.83,-0.019861058
15/10/2007,229.34,-0.018233385
12/10/2007,233.56,0.019673333
11/10/2007,229.01,-0.029811865
10/10/2007,235.94,-0.013722487
09/10/2007,239.2,0.052526232
08/10/2007,226.96,-0.00676242
05/10/2007,228.5,0.011222474
04/10/2007,225.95,-0.006176944
03/10/2007,227.35,-0.002942664
