Date,Close,DIS
20/02/2008,32.58,0.012042758
19/02/2008,32.19,-0.009276504
15/02/2008,32.49,0.005246116
14/02/2008,32.32,-0.01413234
13/02/2008,32.78,0.02314561
12/02/2008,32.03,0.003126957
11/02/2008,31.93,-0.005932882
08/02/2008,32.12,0.012531492
07/02/2008,31.72,0.006959851
06/02/2008,31.5,0.046459549
05/02/2008,30.07,-0.027228187
04/02/2008,30.9,0.00779731
01/02/2008,30.66,0.027109098
31/01/2008,29.84,0.014515023
30/01/2008,29.41,0.020959365
29/01/2008,28.8,-0.019598358
28/01/2008,29.37,0.023773729
25/01/2008,28.68,-0.018995563
24/01/2008,29.23,0.024589984
23/01/2008,28.52,0.014124529
22/01/2008,28.12,-0.013773836
18/01/2008,28.51,-0.009078275
17/01/2008,28.77,-0.036181421
16/01/2008,29.83,-0.000670241
15/01/2008,29.85,-0.016611678
14/01/2008,30.35,0.000988957
11/01/2008,30.32,-0.011477417
10/01/2008,30.67,0.016768435
09/01/2008,30.16,-0.012520757
08/01/2008,30.54,-0.020097921
07/01/2008,31.16,0.000963237
04/01/2008,31.13,-0.020350464
03/01/2008,31.77,-0.002200913
02/01/2008,31.84,-0.013724482
31/12/2007,32.28,-0.004327673
28/12/2007,32.42,-0.000308404
27/12/2007,32.43,-0.011954165
26/12/2007,32.82,-0.012715884
24/12/2007,33.24,0.009066245
21/12/2007,32.94,0.018692133
20/12/2007,32.33,0.002167519
19/12/2007,32.26,-0.023285366
18/12/2007,33.02,0.000908953
17/12/2007,32.99,-0.000606061
14/12/2007,33.01,0.007602287
13/12/2007,32.76,0.014760416
12/12/2007,32.28,0.016240207
11/12/2007,31.76,-0.018406385
10/12/2007,32.35,-0.01350957
07/12/2007,32.79,0.002137079
06/12/2007,32.72,-0.00091645
05/12/2007,32.75,0
04/12/2007,32.75,-0.008815987
03/12/2007,33.04,-0.003323768
30/11/2007,33.15,0.01030937
29/11/2007,32.81,0.003664126
28/11/2007,32.69,0.030121824
27/11/2007,31.72,0.015248072
26/11/2007,31.24,-0.019024036
23/11/2007,31.84,0.010735815
21/11/2007,31.5,-0.001586043
20/11/2007,31.55,0.009554213
19/11/2007,31.25,-0.040143364
16/11/2007,32.53,0.004004318
15/11/2007,32.4,0.016807118
14/11/2007,31.86,-0.035459241
13/11/2007,33.01,0.030449838
12/11/2007,32.02,-0.022236864
09/11/2007,32.74,-0.026820954
08/11/2007,33.63,0.003873087
07/11/2007,33.5,-0.017165263
06/11/2007,34.08,0.005885832
05/11/2007,33.88,-0.001179941
02/11/2007,33.92,0.003544008
01/11/2007,33.8,-0.024259556
31/10/2007,34.63,0.009866592
30/10/2007,34.29,-0.011309385
29/10/2007,34.68,0.008688152
26/10/2007,34.38,-0.002033998
25/10/2007,34.45,-0.017551882
24/10/2007,35.06,0.004860624
23/10/2007,34.89,0.006037103
22/10/2007,34.68,0.025406535
19/10/2007,33.81,-0.028285892
18/10/2007,34.78,-0.01710418
17/10/2007,35.38,0.010512954
16/10/2007,35.01,-0.003706348
15/10/2007,35.14,-0.009347186
12/10/2007,35.47,0.013053534
11/10/2007,35.01,-0.007682496
10/10/2007,35.28,-0.004807022
09/10/2007,35.45,0.005090509
08/10/2007,35.27,-0.005654525
05/10/2007,35.47,0.01620044
04/10/2007,34.9,0.005170939
03/10/2007,34.72,-0.001439056
02/10/2007,34.77,0.00345722
01/10/2007,34.65,0.007531901
28/09/2007,34.39,0.005247825
27/09/2007,34.21,-0.009020867
26/09/2007,34.52,0.013121635
25/09/2007,34.07,-0.007311043
24/09/2007,34.32,-0.008125407
21/09/2007,34.6,0.016317378
20/09/2007,34.04,-0.01516064
19/09/2007,34.56,-0.000578536
18/09/2007,34.58,0.035318562
17/09/2007,33.38,-0.005377963
14/09/2007,33.56,0.001192606
13/09/2007,33.52,-0.005948858
12/09/2007,33.72,0.006844246
11/09/2007,33.49,-0.002087995
10/09/2007,33.56,-0.000893522
07/09/2007,33.59,-0.024118816
06/09/2007,34.41,0.010810916
05/09/2007,34.04,-0.002640459
04/09/2007,34.13,0.015650696
31/08/2007,33.6,0.003876552
30/08/2007,33.47,-0.01247047
29/08/2007,33.89,0.02057011
28/08/2007,33.2,-0.019093659
27/08/2007,33.84,-0.000886132
24/08/2007,33.87,0.021185337
23/08/2007,33.16,-0.012288481
22/08/2007,33.57,0.008375759
21/08/2007,33.29,0.011480489
20/08/2007,32.91,0.007013293
17/08/2007,32.68,0.003064667
16/08/2007,32.58,0.027066515
15/08/2007,31.71,-0.020291004
14/08/2007,32.36,-0.026830878
13/08/2007,33.24,0.00240964
10/08/2007,33.16,0.004836769
09/08/2007,33,-0.038346205
08/08/2007,34.29,-0.007553784
07/08/2007,34.55,0.007262196
06/08/2007,34.3,0.01173034
03/08/2007,33.9,-0.013478083
02/08/2007,34.36,0.015545114
01/08/2007,33.83,0.024840421
31/07/2007,33,-0.030147038
30/07/2007,34.01,0.007970522
27/07/2007,33.74,-0.010026625
26/07/2007,34.08,-0.024635357
25/07/2007,34.93,0.005166487
24/07/2007,34.75,-0.008025265
23/07/2007,35.03,0.019893982
20/07/2007,34.34,-0.003778525
19/07/2007,34.47,-0.003764302
18/07/2007,34.6,-0.00230947
17/07/2007,34.68,0.006073771
16/07/2007,34.47,0.00290529
13/07/2007,34.37,0.003497526
12/07/2007,34.25,0.007914448
11/07/2007,33.98,0.002652131
10/07/2007,33.89,-0.016679245
09/07/2007,34.46,-0.000870196
06/07/2007,34.49,-0.004050931
05/07/2007,34.63,0.002602286
03/07/2007,34.54,0.000579207
02/07/2007,34.52,0.011069149
29/06/2007,34.14,0.008530718
28/06/2007,33.85,-0.012331337
27/06/2007,34.27,0.006146661
26/06/2007,34.06,0
25/06/2007,34.06,-0.002346042
22/06/2007,34.14,-0.001463486
21/06/2007,34.19,0
20/06/2007,34.19,-0.016534097
19/06/2007,34.76,0.006349228
18/06/2007,34.54,0.004061508
15/06/2007,34.4,0.017891664
14/06/2007,33.79,0.011609001
13/06/2007,33.4,-0.004778982
12/06/2007,33.56,-0.018305796
11/06/2007,34.18,-0.000584966
08/06/2007,34.2,-0.001752849
07/06/2007,34.26,-0.018794828
06/06/2007,34.91,-0.010259423
05/06/2007,35.27,-0.012117945
04/06/2007,35.7,0.012968888
01/06/2007,35.24,-0.005659325
31/05/2007,35.44,-0.013174683
30/05/2007,35.91,0.008951109
29/05/2007,35.59,-0.012287225
25/05/2007,36.03,0.005287337
24/05/2007,35.84,-0.017699577
23/05/2007,36.48,0.005773212
22/05/2007,36.27,-0.004676119
21/05/2007,36.44,0.011592733
18/05/2007,36.02,0.000833218
17/05/2007,35.99,-0.000555556
16/05/2007,36.01,0.001945796
15/05/2007,35.94,-0.001112347
14/05/2007,35.98,-0.002498266
11/05/2007,36.07,0.010590957
10/05/2007,35.69,-0.011976191
09/05/2007,36.12,-0.011834458
08/05/2007,36.55,0.013496968
07/05/2007,36.06,0.005840651
04/05/2007,35.85,0.00447303
03/05/2007,35.69,-0.000280151
02/05/2007,35.7,0.00646342
01/05/2007,35.47,0.013910799
30/04/2007,34.98,0
27/04/2007,34.98,-0.005416977
26/04/2007,35.17,-0.004255929
25/04/2007,35.32,0.011676055
24/04/2007,34.91,-0.004857846
23/04/2007,35.08,-0.005685064
20/04/2007,35.28,0.0102565
19/04/2007,34.92,0
18/04/2007,34.92,-0.006564887
17/04/2007,35.15,0.003705291
16/04/2007,35.02,0.008603437
13/04/2007,34.72,0.00144113
12/04/2007,34.67,0.002310137
11/04/2007,34.59,-0.011497683
10/04/2007,34.99,0.002288985
09/04/2007,34.91,0
05/04/2007,34.91,0.007764237
04/04/2007,34.64,-0.008050647
03/04/2007,34.92,0.01297035
02/04/2007,34.47,0.001161103
30/03/2007,34.43,0.001162453
29/03/2007,34.39,0.004663372
28/03/2007,34.23,-0.012483832
27/03/2007,34.66,-0.016027819
26/03/2007,35.22,0.006551797
23/03/2007,34.99,-0.009670155
22/03/2007,35.33,0.004539015
21/03/2007,35.17,0.022718447
20/03/2007,34.38,0.008470914
19/03/2007,34.09,0.014180444
16/03/2007,33.61,-0.005341259
15/03/2007,33.79,0.001777252
14/03/2007,33.73,0.003266521
13/03/2007,33.62,-0.017104516
12/03/2007,34.2,-0.004958447
09/03/2007,34.37,-0.00926737
08/03/2007,34.69,0.007523184
07/03/2007,34.43,0.001744186
06/03/2007,34.37,0.019092958
05/03/2007,33.72,-0.006797721
02/03/2007,33.95,-0.01287697
01/03/2007,34.39,0.00407926
28/02/2007,34.25,0.034153282
27/02/2007,33.1,-0.058952708
26/02/2007,35.11,-0.000854093
23/02/2007,35.14,-0.00056899
22/02/2007,35.16,0.00056899
21/02/2007,35.14,0.002564469
20/02/2007,35.05,0.004575358
16/02/2007,34.89,0.006325496
15/02/2007,34.67,-0.002304812
14/02/2007,34.75,0.004614949
13/02/2007,34.59,0.019559812
12/02/2007,33.92,-0.012888286
09/02/2007,34.36,-0.026706541
08/02/2007,35.29,-0.00536952
07/02/2007,35.48,0.008207206
06/02/2007,35.19,-0.001987226
05/02/2007,35.26,0.002271438
02/02/2007,35.18,0.004844004
01/02/2007,35.01,-0.004559712
31/01/2007,35.17,0.00370318
30/01/2007,35.04,0.010327114
29/01/2007,34.68,0.003755602
26/01/2007,34.55,-0.011224754
25/01/2007,34.94,-0.011666088
24/01/2007,35.35,-0.00648529
23/01/2007,35.58,0.012159064
22/01/2007,35.15,-0.009908078
19/01/2007,35.5,-0.009810871
18/01/2007,35.85,0.016878038
17/01/2007,35.25,0.006260692
16/01/2007,35.03,-0.005125296
12/01/2007,35.21,0.006267827
11/01/2007,34.99,0.014392879
10/01/2007,34.49,0.001160429
09/01/2007,34.45,-0.001450327
08/01/2007,34.5,0.00902612
05/01/2007,34.19,-0.008156177
04/01/2007,34.47,0.007863736
03/01/2007,34.2,-0.002044692
29/12/2006,34.27,-0.00726853
28/12/2006,34.52,-0.000579207
27/12/2006,34.54,0.000289561
26/12/2006,34.53,0.010773142
22/12/2006,34.16,-0.011062704
21/12/2006,34.54,-0.002024585
20/12/2006,34.61,-0.00691048
19/12/2006,34.85,0.01038371
18/12/2006,34.49,0.005524073
15/12/2006,34.3,-0.012170536
14/12/2006,34.72,0.007806892
13/12/2006,34.45,-0.002609075
12/12/2006,34.54,0.000579207
11/12/2006,34.52,0.003773042
08/12/2006,34.39,0.007296107
07/12/2006,34.14,0.001172333
06/12/2006,34.1,-0.00292826
05/12/2006,34.2,0.022472856
04/12/2006,33.44,0.010521666
01/12/2006,33.09,0.001209556
30/11/2006,33.05,0.005156996
29/11/2006,32.88,-0.00030409
28/11/2006,32.89,0.009163167
27/11/2006,32.59,-0.00977107
24/11/2006,32.91,-0.002427922
22/11/2006,32.99,-0.007248597
21/11/2006,33.23,0.003315753
20/11/2006,33.12,0.005449605
17/11/2006,32.94,-0.003636368
16/11/2006,33.06,0.011254872
15/11/2006,32.69,0.00490648
14/11/2006,32.53,0.008334668
13/11/2006,32.26,-0.00433035
10/11/2006,32.4,-0.035772229
09/11/2006,33.58,0.014397369
08/11/2006,33.1,0.007581537
07/11/2006,32.85,0.011943183
06/11/2006,32.46,0.017716081
03/11/2006,31.89,0.0059758
02/11/2006,31.7,-0.000945925
01/11/2006,31.73,0.008545708
31/10/2006,31.46,-0.012634407
30/10/2006,31.86,0.004088699
27/10/2006,31.73,-0.007848102
