Date,Close,C
20/02/2008,25.49,0.006691621
19/02/2008,25.32,-0.006299233
15/02/2008,25.48,-0.010152371
14/02/2008,25.74,-0.023042494
13/02/2008,26.34,0.004947679
12/02/2008,26.21,0.015379004
11/02/2008,25.81,-0.008487705
08/02/2008,26.03,-0.025413846
07/02/2008,26.7,-0.008205939
06/02/2008,26.92,-0.004817501
05/02/2008,27.05,-0.077166401
04/02/2008,29.22,-0.015956882
01/02/2008,29.69,0.052552707
31/01/2008,28.17,0.010347996
30/01/2008,27.88,-0.001075462
29/01/2008,27.91,0.00935932
28/01/2008,27.65,0.037211882
25/01/2008,26.64,-0.025571154
24/01/2008,27.33,0.03613729
23/01/2008,26.36,0.077264577
22/01/2008,24.4,-0.002047084
18/01/2008,24.45,-0.020644328
17/01/2008,24.96,-0.050010421
16/01/2008,26.24,-0.026327207
15/01/2008,26.94,-0.075750487
14/01/2008,29.06,0.017355521
11/01/2008,28.56,0.015881753
10/01/2008,28.11,0.022303083
09/01/2008,27.49,0.012813648
08/01/2008,27.14,-0.040438723
07/01/2008,28.26,0.000707965
04/01/2008,28.24,-0.024139706
03/01/2008,28.93,0.000345722
02/01/2008,28.92,-0.017820897
31/12/2007,29.44,0.005108133
28/12/2007,29.29,-0.009175935
27/12/2007,29.56,-0.029663898
26/12/2007,30.45,-0.017255841
24/12/2007,30.98,0.024176284
21/12/2007,30.24,0.011641575
20/12/2007,29.89,-0.010649019
19/12/2007,30.21,-0.005611502
18/12/2007,30.38,-0.012755692
17/12/2007,30.77,0.002277535
14/12/2007,30.7,-0.010047079
13/12/2007,31.01,-0.014724978
12/12/2007,31.47,-0.054418371
11/12/2007,33.23,-0.045301864
10/12/2007,34.77,0.013318089
07/12/2007,34.31,-0.001165162
06/12/2007,34.35,0.019400961
05/12/2007,33.69,0.034423689
04/12/2007,32.55,-0.015546724
03/12/2007,33.06,-0.007233305
30/11/2007,33.3,0.030799812
29/11/2007,32.29,0
28/11/2007,32.29,0.062950024
27/11/2007,30.32,-0.012455094
26/11/2007,30.7,-0.032054026
23/11/2007,31.7,0.031077305
21/11/2007,30.73,-0.021568517
20/11/2007,31.4,-0.01892801
19/11/2007,32,-0.060624622
16/11/2007,34,-0.016914956
15/11/2007,34.58,-0.041353952
14/11/2007,36.04,0.003892137
13/11/2007,35.9,0.067104485
12/11/2007,33.57,0.014099529
09/11/2007,33.1,0.006060625
08/11/2007,32.9,-0.015382599
07/11/2007,33.41,-0.048775911
06/11/2007,35.08,-0.023106128
05/11/2007,35.9,-0.049718238
02/11/2007,37.73,-0.020462414
01/11/2007,38.51,-0.084367879
31/10/2007,41.9,-0.004999415
30/10/2007,42.11,-0.013679459
29/10/2007,42.69,0.00140647
26/10/2007,42.63,0.033392084
25/10/2007,41.23,-0.014208547
24/10/2007,41.82,-0.01471662
23/10/2007,42.44,-0.003997654
22/10/2007,42.61,0.005884447
19/10/2007,42.36,-0.034113994
18/10/2007,43.83,-0.018759732
17/10/2007,44.66,-0.002906654
16/10/2007,44.79,-0.031860324
15/10/2007,46.24,-0.034643779
12/10/2007,47.87,-0.00935655
11/10/2007,48.32,0.024723656
10/10/2007,47.14,-0.010130944
09/10/2007,47.62,-0.003772798
08/10/2007,47.8,-0.010405921
05/10/2007,48.3,0.013968746
04/10/2007,47.63,-0.0054439
03/10/2007,47.89,0.000626632
02/10/2007,47.86,0.002929485
01/10/2007,47.72,0.022249037
28/09/2007,46.67,-0.004489585
27/09/2007,46.88,0.007064142
26/09/2007,46.55,0.005169083
25/09/2007,46.31,-0.006028005
24/09/2007,46.59,-0.019554289
21/09/2007,47.51,0.006546323
20/09/2007,47.2,-0.022416357
19/09/2007,48.27,-0.002069537
18/09/2007,48.37,0.049586429
17/09/2007,46.03,-0.013165184
14/09/2007,46.64,0.006021524
13/09/2007,46.36,0.013026671
12/09/2007,45.76,-0.005448417
11/09/2007,46.01,0.015551732
10/09/2007,45.3,-0.003965636
07/09/2007,45.48,-0.003949972
06/09/2007,45.66,-0.007418755
05/09/2007,46,-0.025964338
04/09/2007,47.21,0.007014589
31/08/2007,46.88,0.013962207
30/08/2007,46.23,-0.015454268
29/08/2007,46.95,0.017402953
28/08/2007,46.14,-0.03513616
27/08/2007,47.79,-0.014747385
24/08/2007,48.5,0.003097576
23/08/2007,48.35,-0.001653235
22/08/2007,48.43,0.007669226
21/08/2007,48.06,-0.00684295
20/08/2007,48.39,-0.008642029
