Date,Close,EXC
20/02/2008,78.36,-0.001785032
19/02/2008,78.5,-0.001909005
15/02/2008,78.65,0.00650554
14/02/2008,78.14,-0.007649196
13/02/2008,78.74,-0.010988428
12/02/2008,79.61,0.012768014
11/02/2008,78.6,0.03535035
08/02/2008,75.87,-0.001317176
07/02/2008,75.97,0.001317176
06/02/2008,75.87,0.004491421
05/02/2008,75.53,-0.044284812
04/02/2008,78.95,0.019569596
01/02/2008,77.42,0.01719688
31/01/2008,76.1,0.041041029
30/01/2008,73.04,-0.002597937
29/01/2008,73.23,-0.000819001
28/01/2008,73.29,0.002595807
25/01/2008,73.1,-0.026326191
24/01/2008,75.05,-0.041754271
23/01/2008,78.25,0.06767015
22/01/2008,73.13,-0.036650857
18/01/2008,75.86,-0.022291218
17/01/2008,77.57,-0.046965262
16/01/2008,81.3,-0.039906446
15/01/2008,84.61,-0.002950377
14/01/2008,84.86,0.009234113
11/01/2008,84.08,-0.013115329
10/01/2008,85.19,-0.015491545
09/01/2008,86.52,0.016196101
08/01/2008,85.13,0.015507857
07/01/2008,83.82,0.021586608
04/01/2008,82.03,0.011648712
03/01/2008,81.08,0.011162214
02/01/2008,80.18,-0.018045231
31/12/2007,81.64,-0.013625515
28/12/2007,82.76,0.01656958
27/12/2007,81.4,-0.005635198
26/12/2007,81.86,-0.002440216
24/12/2007,82.06,-0.002434276
21/12/2007,82.26,-0.002064486
20/12/2007,82.43,-0.012897184
19/12/2007,83.5,-0.024254368
18/12/2007,85.55,0.032189964
17/12/2007,82.84,-0.013072082
14/12/2007,83.93,-0.013961419
13/12/2007,85.11,0.031025039
12/12/2007,82.51,-0.012046887
11/12/2007,83.51,-0.031471747
10/12/2007,86.18,0.010732721
07/12/2007,85.26,-0.004447052
06/12/2007,85.64,-0.005705319
05/12/2007,86.13,0.024089056
04/12/2007,84.08,0.019819278
03/12/2007,82.43,0.016636469
30/11/2007,81.07,-0.008719736
29/11/2007,81.78,-0.006338393
28/11/2007,82.3,0.01530486
27/11/2007,81.05,0.011540737
26/11/2007,80.12,-0.006469294
23/11/2007,80.64,0.004225183
21/11/2007,80.3,-0.010652894
20/11/2007,81.16,0.016648415
19/11/2007,79.82,0.000250595
16/11/2007,79.8,0.006537614
15/11/2007,79.28,-0.001638415
14/11/2007,79.41,0.00226929
13/11/2007,79.23,0.001010229
12/11/2007,79.15,-0.039755096
09/11/2007,82.36,-0.012068696
08/11/2007,83.36,0.020604292
07/11/2007,81.66,-0.02682292
06/11/2007,83.88,-0.000476758
05/11/2007,83.92,0.025953536
02/11/2007,81.77,0.007241517
01/11/2007,81.18,-0.019517575
31/10/2007,82.78,0.022231281
30/10/2007,80.96,0.001112278
29/10/2007,80.87,0.008070067
26/10/2007,80.22,0.025119655
25/10/2007,78.23,0.023147086
24/10/2007,76.44,0.003144657
23/10/2007,76.2,0.005527057
22/10/2007,75.78,0.008481365
19/10/2007,75.14,-0.024452382
18/10/2007,77,-0.003241494
17/10/2007,77.25,-0.009661911
16/10/2007,78,-0.003966482
15/10/2007,78.31,-0.011048433
12/10/2007,79.18,0.005445464
11/10/2007,78.75,0.018325623
10/10/2007,77.32,-0.011189108
09/10/2007,78.19,0.017156177
08/10/2007,76.86,0.003388508
05/10/2007,76.6,0.007074574
04/10/2007,76.06,0.008847862
03/10/2007,75.39,-0.009767765
02/10/2007,76.13,0.004476047
01/10/2007,75.79,0.005689728
28/09/2007,75.36,-0.021009176
27/09/2007,76.96,-0.016878581
26/09/2007,78.27,0.004866813
25/09/2007,77.89,-0.003588367
24/09/2007,78.17,0.005387391
21/09/2007,77.75,0.006063361
20/09/2007,77.28,-0.013878403
19/09/2007,78.36,0.021281515
18/09/2007,76.71,0.025615343
17/09/2007,74.77,-0.022481772
14/09/2007,76.47,0.006033596
