Date,Close,GD
20/02/2008,84.16,0.002736631
19/02/2008,83.93,0.005975161
15/02/2008,83.43,0.001199329
14/02/2008,83.33,-0.009792292
13/02/2008,84.15,0.001308045
12/02/2008,84.04,0.008844327
11/02/2008,83.3,-0.000839983
08/02/2008,83.37,-0.000959118
07/02/2008,83.45,0.005527531
06/02/2008,82.99,0.00072324
05/02/2008,82.93,-0.023241616
04/02/2008,84.88,-0.005404783
01/02/2008,85.34,0.009536777
31/01/2008,84.53,0.009748056
30/01/2008,83.71,0.004669828
29/01/2008,83.32,0.006260555
28/01/2008,82.8,0.020375255
25/01/2008,81.13,-0.023630819
24/01/2008,83.07,0.049603062
23/01/2008,79.05,0.00253325
22/01/2008,78.85,-0.024429652
18/01/2008,80.8,0.00012377
17/01/2008,80.79,-0.038606397
16/01/2008,83.97,-0.015949301
15/01/2008,85.32,-0.012578782
14/01/2008,86.4,-0.001850139
11/01/2008,86.56,-0.025886616
10/01/2008,88.83,-0.001125113
09/01/2008,88.93,0.037813854
08/01/2008,85.63,-0.003264548
07/01/2008,85.91,-0.00104706
04/01/2008,86,-0.028655256
03/01/2008,88.5,0.012049708
02/01/2008,87.44,-0.01757116
31/12/2007,88.99,-0.000674006
28/12/2007,89.05,-0.00190722
27/12/2007,89.22,-0.013470841
26/12/2007,90.43,-0.003091534
24/12/2007,90.71,0.016338235
21/12/2007,89.24,0.009344284
20/12/2007,88.41,0.003285563
19/12/2007,88.12,-0.001814059
18/12/2007,88.28,-0.014841739
17/12/2007,89.6,-0.0203277
14/12/2007,91.44,-0.014332493
13/12/2007,92.76,0.011711259
12/12/2007,91.68,0.004263
11/12/2007,91.29,-0.02925353
10/12/2007,94,0.003410063
07/12/2007,93.68,0.006532821
06/12/2007,93.07,0.006900297
05/12/2007,92.43,0.028198698
04/12/2007,89.86,0.009504181
03/12/2007,89.01,0.002587324
30/11/2007,88.78,0
29/11/2007,88.78,-0.013870468
28/11/2007,90.02,0.020084827
27/11/2007,88.23,0.010596578
26/11/2007,87.3,-0.013652089
23/11/2007,88.5,0.019511144
21/11/2007,86.79,-0.019059065
20/11/2007,88.46,0.000113052
19/11/2007,88.45,-0.014590607
16/11/2007,89.75,0.019577583
15/11/2007,88.01,-0.005326093
14/11/2007,88.48,0.001583532
13/11/2007,88.34,0.01804732
12/11/2007,86.76,-0.016914689
09/11/2007,88.24,-0.030139573
08/11/2007,90.94,0.005292184
07/11/2007,90.46,-0.033267553
06/11/2007,93.52,0.018018506
05/11/2007,91.85,0.018903739
02/11/2007,90.13,0.002332686
01/11/2007,89.92,-0.011499463
31/10/2007,90.96,0.010832426
30/10/2007,89.98,-0.005209788
29/10/2007,90.45,-0.008586579
26/10/2007,91.23,0.009360786
25/10/2007,90.38,0.004213334
24/10/2007,90,0.032752786
23/10/2007,87.1,0.013407506
22/10/2007,85.94,0.005483941
19/10/2007,85.47,-0.026212459
18/10/2007,87.74,0.004912892
17/10/2007,87.31,-0.009915176
16/10/2007,88.18,-0.008694234
15/10/2007,88.95,-0.000674309
12/10/2007,89.01,0.022725668
