Date,Close,PEP
20/02/2008,71.12,-0.000281175
19/02/2008,71.14,-0.008259304
15/02/2008,71.73,0.002233078
14/02/2008,71.57,-0.000837989
13/02/2008,71.63,-0.004596428
12/02/2008,71.96,0.013994071
11/02/2008,70.96,0.016339072
08/02/2008,69.81,-0.008558033
07/02/2008,70.41,0.053680672
06/02/2008,66.73,-0.018117514
05/02/2008,67.95,-0.018517698
04/02/2008,69.22,0.005650142
01/02/2008,68.83,0.011396967
31/01/2008,68.05,0.00974609
30/01/2008,67.39,-0.018233118
29/01/2008,68.63,-0.023615208
28/01/2008,70.27,0.019398554
25/01/2008,68.92,-0.01168423
24/01/2008,69.73,-0.010982069
23/01/2008,70.5,0.015149639
22/01/2008,69.44,-0.028674782
18/01/2008,71.46,-0.008916192
17/01/2008,72.1,-0.019775432
16/01/2008,73.54,-0.017389398
15/01/2008,74.83,-0.027547047
14/01/2008,76.92,-0.011118408
11/01/2008,77.78,-0.022752809
10/01/2008,79.57,0.010485852
09/01/2008,78.74,0.010211986
08/01/2008,77.94,0.007986646
07/01/2008,77.32,0.023157966
04/01/2008,75.55,-0.003039717
03/01/2008,75.78,0.006487082
02/01/2008,75.29,-0.008069361
31/12/2007,75.9,-0.014778272
28/12/2007,77.03,0.004293248
27/12/2007,76.7,-0.007533482
26/12/2007,77.28,-0.005548759
24/12/2007,77.71,0.004643372
21/12/2007,77.35,0.011180564
20/12/2007,76.49,-0.00391441
19/12/2007,76.79,-0.002990705
18/12/2007,77.02,-0.00453398
17/12/2007,77.37,-0.013989832
14/12/2007,78.46,-0.002927142
13/12/2007,78.69,0.007654075
12/12/2007,78.09,0.020832739
11/12/2007,76.48,-0.010405921
10/12/2007,77.28,0.003629768
07/12/2007,77,-0.000389535
06/12/2007,77.03,0.00991528
05/12/2007,76.27,-0.004969929
04/12/2007,76.65,0.000913659
03/12/2007,76.58,-0.00780441
30/11/2007,77.18,0.008326876
29/11/2007,76.54,-0.008067708
28/11/2007,77.16,0.016201034
27/11/2007,75.92,0.01633394
26/11/2007,74.69,-0.010918883
23/11/2007,75.51,0.006243793
21/11/2007,75.04,0.002668803
20/11/2007,74.84,-0.00320171
19/11/2007,75.08,0.012464143
16/11/2007,74.15,0.007716819
15/11/2007,73.58,-0.006502326
14/11/2007,74.06,0.009769413
13/11/2007,73.34,0.010554549
12/11/2007,72.57,-0.012461647
09/11/2007,73.48,-0.000272146
08/11/2007,73.5,0.01590818
07/11/2007,72.34,-0.015772116
06/11/2007,73.49,0.009982989
05/11/2007,72.76,-0.003019077
02/11/2007,72.98,0.008117263
01/11/2007,72.39,-0.018205964
31/10/2007,73.72,-0.001626457
30/10/2007,73.84,0.001897791
29/10/2007,73.7,0.018625573
26/10/2007,72.34,0.004988924
25/10/2007,71.98,0.002503827
24/10/2007,71.8,0.003767534
23/10/2007,71.53,0.005045561
22/10/2007,71.17,0.010878118
19/10/2007,70.4,-0.020804799
18/10/2007,71.88,-0.003194669
17/10/2007,72.11,0.003333799
16/10/2007,71.87,0.007261588
15/10/2007,71.35,-0.006008542
12/10/2007,71.78,0.000139324
11/10/2007,71.77,-0.025178464
10/10/2007,73.6,0.005313002
09/10/2007,73.21,-0.009516113
08/10/2007,73.91,0.002302744
05/10/2007,73.74,-0.001761399
04/10/2007,73.87,0.005429632
03/10/2007,73.47,-0.00393942
02/10/2007,73.76,-0.00338364
01/10/2007,74.01,0.010185462
28/09/2007,73.26,0.008774391
27/09/2007,72.62,0.005384894
26/09/2007,72.23,0.014081794
25/09/2007,71.22,-0.000421141
24/09/2007,71.25,-0.002663117
21/09/2007,71.44,0.005755614
20/09/2007,71.03,-0.001125651
19/09/2007,71.11,0.003239668
18/09/2007,70.88,0.015354297
17/09/2007,69.8,0.00344432
14/09/2007,69.56,-0.004589796
13/09/2007,69.88,0.004302316
12/09/2007,69.58,-0.004159203
11/09/2007,69.87,0.020386739
10/09/2007,68.46,0.007036089
07/09/2007,67.98,-0.00849573
