Date,Close,MSFT
20/02/2008,28.22,0.001773365
19/02/2008,28.17,-0.008835541
15/02/2008,28.42,-0.002810965
14/02/2008,28.5,-0.01601148
13/02/2008,28.96,0.021641333
12/02/2008,28.34,0.004597709
11/02/2008,28.21,-0.012330612
08/02/2008,28.56,0.015526071
07/02/2008,28.12,-0.014124529
06/02/2008,28.52,-0.019101119
05/02/2008,29.07,-0.037804029
04/02/2008,30.19,-0.00857525
01/02/2008,30.45,-0.068226294
31/01/2008,32.6,0.012345836
30/01/2008,32.2,-0.012345836
29/01/2008,32.6,-0.003674223
28/01/2008,32.72,-0.006701213
25/01/2008,32.94,-0.009367042
24/01/2008,33.25,0.04050876
23/01/2008,31.93,-0.000939114
22/01/2008,31.96,-0.032325425
18/01/2008,33.01,-0.003024806
17/01/2008,33.11,-0.003617731
16/01/2008,33.23,-0.022907442
15/01/2008,34,-0.0114053
14/01/2008,34.39,0.014055868
11/01/2008,33.91,-0.012309651
10/01/2008,34.33,-0.003199072
09/01/2008,34.44,0.029166893
08/01/2008,33.45,-0.034090871
07/01/2008,34.61,0.006667658
04/01/2008,34.38,-0.028389003
03/01/2008,35.37,0.0042499
02/01/2008,35.22,-0.010731535
31/12/2007,35.6,-0.014501091
28/12/2007,36.12,0.004161471
27/12/2007,35.97,-0.017636169
26/12/2007,36.61,0.000819784
24/12/2007,36.58,0.014317425
21/12/2007,36.06,0.0150883
20/12/2007,35.52,0.020765929
19/12/2007,34.79,0.001438228
18/12/2007,34.74,0.010125936
17/12/2007,34.39,-0.026400385
14/12/2007,35.31,0.002552107
13/12/2007,35.22,0.021524723
12/12/2007,34.47,0.010791996
11/12/2007,34.1,-0.019169916
10/12/2007,34.76,0.006638789
07/12/2007,34.53,-0.000579039
06/12/2007,34.55,0.011644964
05/12/2007,34.15,0.041249123
04/12/2007,32.77,-0.004566913
03/12/2007,32.92,-0.020445691
30/11/2007,33.6,0.000297663
29/11/2007,33.59,-0.003269434
28/11/2007,33.7,0.019173745
27/11/2007,33.06,0.002726035
26/11/2007,32.97,-0.033992539
23/11/2007,34.11,-0.003511856
21/11/2007,34.23,-0.010173028
20/11/2007,34.58,0.018092119
19/11/2007,33.96,-0.003820725
16/11/2007,34.09,0.009727416
15/11/2007,33.76,-0.005022909
14/11/2007,33.93,-0.015499652
13/11/2007,34.46,0.031842313
12/11/2007,33.38,-0.010430731
09/11/2007,33.73,-0.029504112
08/11/2007,34.74,-0.022204157
07/11/2007,35.52,-0.024747544
06/11/2007,36.41,-0.008750398
05/11/2007,36.73,-0.008944361
02/11/2007,37.06,0
01/11/2007,37.06,0.006768673
31/10/2007,36.81,0.034266961
30/10/2007,35.57,0.028516332
29/10/2007,34.57,-0.013218583
26/10/2007,35.03,0.090781483
25/10/2007,31.99,0.023403978
24/10/2007,31.25,0.011263192
23/10/2007,30.9,0.012701685
22/10/2007,30.51,0.011206446
19/10/2007,30.17,-0.032287168
18/10/2007,31.16,0.002570696
17/10/2007,31.08,0.024756965
16/10/2007,30.32,0.009277734
15/10/2007,30.04,-0.004318226
12/10/2007,30.17,0.008655181
11/10/2007,29.91,-0.010641936
10/10/2007,30.23,0.004309637
09/10/2007,30.1,0.008675396
08/10/2007,29.84,0
05/10/2007,29.84,0.004366086
04/10/2007,29.71,0.008789779
03/10/2007,29.45,-0.008453136
02/10/2007,29.7,-0.002354129
01/10/2007,29.77,0.010467764
28/09/2007,29.46,-0.001017812
27/09/2007,29.49,-0.000339041
26/09/2007,29.5,-0.002031833
25/09/2007,29.56,0.016371443
24/09/2007,29.08,0.01489721
21/09/2007,28.65,0.00806032
20/09/2007,28.42,-0.008758157
19/09/2007,28.67,-0.009027839
18/09/2007,28.93,0.006937246
17/09/2007,28.73,-0.010732317
14/09/2007,29.04,-0.004123717
13/09/2007,29.16,0.007918788
12/09/2007,28.93,0
11/09/2007,28.93,0.015677032
10/09/2007,28.48,0.001405482
07/09/2007,28.44,-0.016390951
06/09/2007,28.91,0.014985469
05/09/2007,28.48,-0.011520463
04/09/2007,28.81,0.002780676
31/08/2007,28.73,0.009793712
30/08/2007,28.45,-0.004908846
29/08/2007,28.59,0.023355626
28/08/2007,27.93,-0.019851769
27/08/2007,28.49,-0.011169401
24/08/2007,28.81,0.017860744
23/08/2007,28.3,0.002830858
22/08/2007,28.22,0.005329556
21/08/2007,28.07,-0.006745987
20/08/2007,28.26,0.00035392
17/08/2007,28.25,0.015697789
16/08/2007,27.81,-0.010373908
15/08/2007,28.1,-0.006031595
14/08/2007,28.27,-0.012653947
13/08/2007,28.63,-0.002790375
10/08/2007,28.71,-0.020342022
09/08/2007,29.3,-0.023609866
08/08/2007,30,0.015113638
07/08/2007,29.55,0.000338467
06/08/2007,29.54,0.01982971
03/08/2007,28.96,-0.019152432
02/08/2007,29.52,0.007480484
01/08/2007,29.3,0.010636573
31/07/2007,28.99,-0.014043731
30/07/2007,29.4,0.000340194
27/07/2007,29.39,-0.019876012
26/07/2007,29.98,-0.024057842
25/07/2007,30.71,-0.002926356
24/07/2007,30.8,-0.012582841
23/07/2007,31.19,0.00096231
20/07/2007,31.16,-0.011169735
19/07/2007,31.51,0.018901732
18/07/2007,30.92,0.004538095
17/07/2007,30.78,0.024668246
16/07/2007,30.03,0.007017573
13/07/2007,29.82,-0.008348688
12/07/2007,30.07,0.019476774
11/07/2007,29.49,0.00544034
10/07/2007,29.33,-0.018243749
09/07/2007,29.87,-0.003342249
06/07/2007,29.97,-0.000667111
05/07/2007,29.99,-0.000999833
03/07/2007,30.02,0.009370885
02/07/2007,29.74,0.009120144
29/06/2007,29.47,-0.012141802
28/06/2007,29.83,-0.001340034
27/06/2007,29.87,0.011786632
26/06/2007,29.52,0.001016777
25/06/2007,29.49,0
22/06/2007,29.49,-0.024452734
21/06/2007,30.22,0.006973297
20/06/2007,30.01,-0.014883688
19/06/2007,30.46,-0.001640151
18/06/2007,30.51,0.000655738
15/06/2007,30.49,-0.000983445
14/06/2007,30.52,0.004268599
13/06/2007,30.39,0.017928767
12/06/2007,29.85,-0.005678986
11/06/2007,30.02,-0.000998835
08/06/2007,30.05,0.014412852
07/06/2007,29.62,-0.022367816
06/06/2007,30.29,-0.009528575
05/06/2007,30.58,-0.004567708
04/06/2007,30.72,0.00424075
01/06/2007,30.59,-0.00326371
