Date,Close,COP
20/02/2008,81.6,0.011834458
19/02/2008,80.64,0.019914241
15/02/2008,79.05,0.001139169
14/02/2008,78.96,0.003933766
13/02/2008,78.65,0.029024933
12/02/2008,76.4,-0.007433039
11/02/2008,76.97,0.020873748
08/02/2008,75.38,0.011474442
07/02/2008,74.52,0.014190386
06/02/2008,73.47,-0.035039691
05/02/2008,76.09,-0.047105275
04/02/2008,79.76,-0.007494414
01/02/2008,80.36,0.00311585
31/01/2008,80.11,0.012308621
30/01/2008,79.13,0.010927682
29/01/2008,78.27,0.02405081
28/01/2008,76.41,0.030293269
25/01/2008,74.13,-0.004576051
24/01/2008,74.47,0.03748729
23/01/2008,71.73,0.00769719
22/01/2008,71.18,-0.023739575
18/01/2008,72.89,-0.008061805
17/01/2008,73.48,-0.04796031
16/01/2008,77.09,-0.044649141
15/01/2008,80.61,-0.033905687
14/01/2008,83.39,0.004205979
11/01/2008,83.04,-0.010303194
10/01/2008,83.9,0.002267169
09/01/2008,83.71,0.014438947
08/01/2008,82.51,-0.022529413
07/01/2008,84.39,-0.013768973
04/01/2008,85.56,-0.030955812
03/01/2008,88.25,0.004087663
02/01/2008,87.89,-0.004654075
31/12/2007,88.3,-0.009355871
28/12/2007,89.13,0.005399946
27/12/2007,88.65,-0.003603202
26/12/2007,88.97,0.020209589
24/12/2007,87.19,0.005520428
21/12/2007,86.71,0.017215733
20/12/2007,85.23,0.012277335
19/12/2007,84.19,0.00775059
18/12/2007,83.54,0.019704476
17/12/2007,81.91,-0.01670741
14/12/2007,83.29,-0.016078474
13/12/2007,84.64,0.015118436
12/12/2007,83.37,0.020356937
11/12/2007,81.69,-0.021316055
10/12/2007,83.45,0.001799101
07/12/2007,83.3,0
06/12/2007,83.3,0.023564797
05/12/2007,81.36,0.020488703
04/12/2007,79.71,-0.006751714
03/12/2007,80.25,0.002620252
30/11/2007,80.04,0.015359738
29/11/2007,78.82,0.014054147
28/11/2007,77.72,0.021590122
27/11/2007,76.06,-0.008379206
26/11/2007,76.7,-0.031063979
23/11/2007,79.12,0.01656722
21/11/2007,77.82,-0.01871355
20/11/2007,79.29,0.027619707
19/11/2007,77.13,-0.023069074
16/11/2007,78.93,0.011339868
15/11/2007,78.04,-0.016898947
14/11/2007,79.37,-0.005027031
13/11/2007,79.77,0.01007946
12/11/2007,78.97,-0.044457268
09/11/2007,82.56,-0.016696082
08/11/2007,83.95,0.018514595
07/11/2007,82.41,-0.032590172
06/11/2007,85.14,0.014432996
05/11/2007,83.92,-0.00771563
02/11/2007,84.57,0.016212061
01/11/2007,83.21,-0.020813025
31/10/2007,84.96,0.026719147
30/10/2007,82.72,-0.022827403
29/10/2007,84.63,-0.002124647
26/10/2007,84.81,0.013293964
25/10/2007,83.69,0.024677677
24/10/2007,81.65,-0.019045884
23/10/2007,83.22,0.001202357
22/10/2007,83.12,-0.0231891
19/10/2007,85.07,-0.033975997
18/10/2007,88.01,0.006268898
17/10/2007,87.46,-0.003879955
16/10/2007,87.8,0.016536895
15/10/2007,86.36,0.007438435
12/10/2007,85.72,0
11/10/2007,85.72,-0.011713674
10/10/2007,86.73,0.009848872
09/10/2007,85.88,0.018213299
08/10/2007,84.33,0.001542752
05/10/2007,84.2,0.003092663
04/10/2007,83.94,-0.001428572
03/10/2007,84.06,-0.016634608
02/10/2007,85.47,-0.022215422
01/10/2007,87.39,-0.004338897
28/09/2007,87.77,-0.002162409
27/09/2007,87.96,0.007531703
26/09/2007,87.3,0.000114554
25/09/2007,87.29,-0.02142089
24/09/2007,89.18,0.002694814
21/09/2007,88.94,0.0059769
20/09/2007,88.41,0.001358235
19/09/2007,88.29,0.005679252
18/09/2007,87.79,0.035477869
17/09/2007,84.73,-0.006352963
14/09/2007,85.27,0.001878155
13/09/2007,85.11,0.003059546
12/09/2007,84.85,0.015679143
11/09/2007,83.53,0.016172209
10/09/2007,82.19,-0.007515187
07/09/2007,82.81,-0.00985348
06/09/2007,83.63,0.018220715
05/09/2007,82.12,-0.01642549
04/09/2007,83.48,0.019230199
31/08/2007,81.89,0.007353876
30/08/2007,81.29,-0.00588742
29/08/2007,81.77,0.036870536
28/08/2007,78.81,-0.027162318
27/08/2007,80.98,0.002968095
24/08/2007,80.74,0.016735747
23/08/2007,79.4,0.00631714
22/08/2007,78.9,0.008400202
21/08/2007,78.24,-0.020494076
20/08/2007,79.86,0.009183032
17/08/2007,79.13,0.02365688
16/08/2007,77.28,-0.001293159
15/08/2007,77.38,-0.018945779
14/08/2007,78.86,-0.00430217
13/08/2007,79.2,0.012578782
10/08/2007,78.21,-0.000255689
09/08/2007,78.23,-0.030713553
08/08/2007,80.67,0.008590156
07/08/2007,79.98,0.012961863
06/08/2007,78.95,0.017376188
03/08/2007,77.59,-0.033832812
02/08/2007,80.26,-0.006086597
01/08/2007,80.75,-0.00111393
31/07/2007,80.84,-0.006780523
30/07/2007,81.39,0.019728911
27/07/2007,79.8,-0.024875981
26/07/2007,81.81,-0.029863748
25/07/2007,84.29,0.023527673
24/07/2007,82.33,-0.039300128
