Date,Close,WMT
20/02/2008,49.7,0.000805153
19/02/2008,49.66,0.004439967
15/02/2008,49.44,-0.010663012
14/02/2008,49.97,-0.013713819
13/02/2008,50.66,0.008126098
12/02/2008,50.25,0.013019713
11/02/2008,49.6,0.017080529
08/02/2008,48.76,-0.02190757
07/02/2008,49.84,0.020472996
06/02/2008,48.83,-0.014839179
05/02/2008,49.56,-0.01023797
04/02/2008,50.07,-0.021926804
01/02/2008,51.18,0.008634277
31/01/2008,50.74,0.031634269
30/01/2008,49.16,0.003055926
29/01/2008,49.01,0.006140011
28/01/2008,48.71,0.012810093
25/01/2008,48.09,-0.016907619
24/01/2008,48.91,-0.025236022
23/01/2008,50.16,0.019324273
22/01/2008,49.2,0.033481119
18/01/2008,47.58,0.002103935
17/01/2008,47.48,-0.000210593
16/01/2008,47.49,0.010584349
15/01/2008,46.99,-0.014367456
14/01/2008,47.67,-0.001048328
11/01/2008,47.72,-0.014149216
10/01/2008,48.4,0.031482138
09/01/2008,46.9,0.020028666
08/01/2008,45.97,-0.012752794
07/01/2008,46.56,0.018205964
04/01/2008,45.72,-0.014332493
03/01/2008,46.38,-0.011149344
02/01/2008,46.9,-0.013343415
31/12/2007,47.53,-0.0115052
28/12/2007,48.08,0.006468463
27/12/2007,47.77,-0.012688678
26/12/2007,48.38,-0.007413543
24/12/2007,48.74,0.01093358
21/12/2007,48.21,0.007495351
20/12/2007,47.85,-0.004795172
19/12/2007,48.08,-0.003322262
18/12/2007,48.24,0.008535495
17/12/2007,47.83,0.004190243
14/12/2007,47.63,-0.014589671
13/12/2007,48.33,0.002071252
12/12/2007,48.23,-0.016451122
11/12/2007,49.03,-0.008125172
10/12/2007,49.43,0.008329149
07/12/2007,49.02,-0.005086998
06/12/2007,49.27,0.00753798
05/12/2007,48.9,0.014625866
04/12/2007,48.19,0.006662527
03/12/2007,47.87,-0.000626501
30/11/2007,47.9,0.007544042
29/11/2007,47.54,0.006542178
28/11/2007,47.23,0.030090385
27/11/2007,45.83,0.017609964
26/11/2007,45.03,-0.015425603
23/11/2007,45.73,0.019208009
21/11/2007,44.86,-0.014165797
20/11/2007,45.5,0.000659558
19/11/2007,45.47,-0.018952751
16/11/2007,46.34,0.003025721
15/11/2007,46.2,-0.006687545
14/11/2007,46.51,0.011678333
13/11/2007,45.97,0.059374588
12/11/2007,43.32,0.009742596
09/11/2007,42.9,-0.016643935
08/11/2007,43.62,-0.007081697
07/11/2007,43.93,-0.00816146
06/11/2007,44.29,0.005887698
05/11/2007,44.03,-0.003627299
02/11/2007,44.19,0.003627299
01/11/2007,44.03,-0.026447082
31/10/2007,45.21,-0.003532792
30/10/2007,45.37,0.007966406
29/10/2007,45.01,0.008254369
26/10/2007,44.64,0.017171683
25/10/2007,43.88,0.00022792
24/10/2007,43.87,-0.001366743
23/10/2007,43.93,-0.029605212
22/10/2007,45.25,0.005984724
19/10/2007,44.98,-0.020029282
18/10/2007,45.89,-0.002176753
17/10/2007,45.99,0.002830704
16/10/2007,45.86,-0.012783188
15/10/2007,46.45,-0.013046918
12/10/2007,47.06,0.003405708
11/10/2007,46.9,0.028329281
10/10/2007,45.59,0.008370093
09/10/2007,45.21,-0.00132626
08/10/2007,45.27,-0.002206532
05/10/2007,45.37,0.008188604
04/10/2007,45,-0.002884724
03/10/2007,45.13,0.005777794
02/10/2007,44.87,0.008954615
01/10/2007,44.47,0.018611522
28/09/2007,43.65,0.0009168
27/09/2007,43.61,0.007133847
26/09/2007,43.3,0.003238495
25/09/2007,43.16,-0.018593443
24/09/2007,43.97,-0.005895709
21/09/2007,44.23,-0.002032751
20/09/2007,44.32,-0.009655402
19/09/2007,44.75,0.00695148
18/09/2007,44.44,0.025525543
17/09/2007,43.32,0
14/09/2007,43.32,0.00601993
13/09/2007,43.06,0.008161407
12/09/2007,42.71,-0.005370708
11/09/2007,42.94,0.015726178
10/09/2007,42.27,-0.002834871
07/09/2007,42.39,-0.008690601
06/09/2007,42.76,0.007276173
05/09/2007,42.45,-0.019825722
04/09/2007,43.3,-0.007592352
31/08/2007,43.63,0.007130565
30/08/2007,43.32,-0.019884097
29/08/2007,44.19,0.018039078
28/08/2007,43.4,-0.009630893
27/08/2007,43.82,0.001827319
24/08/2007,43.74,0.013117206
23/08/2007,43.17,-0.013345803
22/08/2007,43.75,0.001143511
21/08/2007,43.7,0.002520336
20/08/2007,43.59,0.00229674
17/08/2007,43.49,-0.000229911
16/08/2007,43.5,0.005070304
15/08/2007,43.28,-0.0123997
14/08/2007,43.82,-0.052239902
13/08/2007,46.17,0.002168258
10/08/2007,46.07,-0.008214486
09/08/2007,46.45,-0.041536486
08/08/2007,48.42,0.028489568
07/08/2007,47.06,0.00085034
06/08/2007,47.02,0.032421253
03/08/2007,45.52,-0.026234567
02/08/2007,46.73,0.010973752
01/08/2007,46.22,0.005858756
31/07/2007,45.95,-0.005642376
30/07/2007,46.21,0.005860028
27/07/2007,45.94,-0.018974265
26/07/2007,46.82,-0.022178541
25/07/2007,47.87,-0.003128587
24/07/2007,48.02,-0.001872465
23/07/2007,48.11,0.001039825
20/07/2007,48.06,-0.015075144
19/07/2007,48.79,0.015491377
18/07/2007,48.04,-0.006432225
17/07/2007,48.35,-0.012128836
16/07/2007,48.94,-0.004281789
13/07/2007,49.15,0.006531969
12/07/2007,48.83,0.023832855
11/07/2007,47.68,0.002099518
10/07/2007,47.58,-0.019151293
09/07/2007,48.5,0.002270617
06/07/2007,48.39,0.006218926
05/07/2007,48.09,-0.007870795
03/07/2007,48.47,0.002892564
02/07/2007,48.33,0.00456243
29/06/2007,48.11,-0.002076413
28/06/2007,48.21,-0.005172247
27/06/2007,48.46,0.0101629
26/06/2007,47.97,0.003131853
25/06/2007,47.82,-0.000209096
22/06/2007,47.83,-0.011640123
21/06/2007,48.39,-0.004124568
20/06/2007,48.59,-0.004517461
19/06/2007,48.81,-0.00612747
18/06/2007,49.11,-0.004672431
15/06/2007,49.34,0.001216792
14/06/2007,49.28,-0.00445435
13/06/2007,49.5,0.011990795
12/06/2007,48.91,-0.018233893
11/06/2007,49.81,-0.00540596
08/06/2007,50.08,0.006410278
07/06/2007,49.76,-0.019700169
06/06/2007,50.75,0.00454232
05/06/2007,50.52,-0.013565528
04/06/2007,51.21,0.0345684
01/06/2007,49.47,0.038533664
31/05/2007,47.6,0.010135222
30/05/2007,47.12,0.003827349
29/05/2007,46.94,0.000639318
25/05/2007,46.91,0.005557945
24/05/2007,46.65,0.006883228
23/05/2007,46.33,-0.004522458
22/05/2007,46.54,-0.001717476
21/05/2007,46.62,-0.013846211
18/05/2007,47.27,0.003390552
17/05/2007,47.11,-0.001484781
16/05/2007,47.18,-0.009282767
15/05/2007,47.62,-0.004609269
14/05/2007,47.84,0.001254968
11/05/2007,47.78,0.000628075
10/05/2007,47.75,-0.003762546
09/05/2007,47.93,-0.003540564
08/05/2007,48.1,-0.010547094
07/05/2007,48.61,0.007019021
04/05/2007,48.27,-0.001862776
03/05/2007,48.36,0.00165563
02/05/2007,48.28,-0.00103509
01/05/2007,48.33,0.008519532
30/04/2007,47.92,-0.008726421
27/04/2007,48.34,-0.007419655
26/04/2007,48.7,-0.00225618
25/04/2007,48.81,0.00246154
24/04/2007,48.69,-0.004917035
23/04/2007,48.93,-0.016820743
20/04/2007,49.76,0.028952073
19/04/2007,48.34,0.00768356
18/04/2007,47.97,-0.004160605
17/04/2007,48.17,0.002078139
16/04/2007,48.07,0.013825105
13/04/2007,47.41,0.003168905
12/04/2007,47.26,-0.000211573
11/04/2007,47.27,-0.014074384
10/04/2007,47.94,-0.010994821
