Date,Close,TWX
20/02/2008,16.49,-0.009055299
19/02/2008,16.64,-0.003599284
15/02/2008,16.7,0.01569133
14/02/2008,16.44,-0.00847976
13/02/2008,16.58,0.021952101
12/02/2008,16.22,0.037052904
11/02/2008,15.63,0.002562461
08/02/2008,15.59,0.003212338
07/02/2008,15.54,-0.010880107
06/02/2008,15.71,0.019929943
05/02/2008,15.4,-0.028170877
04/02/2008,15.84,-0.014415793
01/02/2008,16.07,0.023930613
31/01/2008,15.69,0.019305619
30/01/2008,15.39,0.010450781
29/01/2008,15.23,-0.001312336
28/01/2008,15.25,0.019199531
25/01/2008,14.96,-0.030933694
24/01/2008,15.43,0.013703314
23/01/2008,15.22,0.00263158
22/01/2008,15.18,-0.023438573
18/01/2008,15.54,0.003222691
17/01/2008,15.49,-0.029890938
16/01/2008,15.96,0.014515875
15/01/2008,15.73,-0.030675332
14/01/2008,16.22,0.013031522
11/01/2008,16.01,-0.003118182
10/01/2008,16.06,0.008127585
09/01/2008,15.93,0.013270337
08/01/2008,15.72,-0.005076153
07/01/2008,15.8,-0.006937902
04/01/2008,15.91,-0.026056065
03/01/2008,16.33,0.002452484
02/01/2008,16.29,-0.013414835
31/12/2007,16.51,-0.008443958
28/12/2007,16.65,-0.00120048
27/12/2007,16.67,-0.013702925
26/12/2007,16.9,-0.001773574
24/12/2007,16.93,0.019082273
21/12/2007,16.61,0.015165592
20/12/2007,16.36,0
19/12/2007,16.36,-0.017570885
18/12/2007,16.65,0.009049836
17/12/2007,16.5,-0.02336135
14/12/2007,16.89,0.00653403
13/12/2007,16.78,-0.010669929
12/12/2007,16.96,0.002952467
11/12/2007,16.91,-0.018746888
10/12/2007,17.23,-0.009818156
07/12/2007,17.4,0.003454235
06/12/2007,17.34,0.02097979
05/12/2007,16.98,-0.002352942
04/12/2007,17.02,-0.00702579
03/12/2007,17.14,-0.006976772
30/11/2007,17.26,-0.001736614
29/11/2007,17.29,0.004056801
28/11/2007,17.22,0.03546471
27/11/2007,16.62,0.020055367
26/11/2007,16.29,-0.026054185
23/11/2007,16.72,0.010219506
21/11/2007,16.55,-0.018557851
20/11/2007,16.86,0.002375298
19/11/2007,16.82,-0.028137847
16/11/2007,17.3,0.016905095
15/11/2007,17.01,-0.00352113
14/11/2007,17.07,-0.037935583
13/11/2007,17.73,0.034426808
12/11/2007,17.13,-0.006400953
09/11/2007,17.24,-0.026332374
08/11/2007,17.7,-0.005633818
07/11/2007,17.8,-0.029340605
06/11/2007,18.33,0.028778965
05/11/2007,17.81,-0.003922672
02/11/2007,17.88,-0.006688988
01/11/2007,18,-0.014341117
31/10/2007,18.26,0.016009174
30/10/2007,17.97,-0.007208237
29/10/2007,18.1,-0.013717636
26/10/2007,18.35,0.035500123
25/10/2007,17.71,-0.036044933
24/10/2007,18.36,0.014262447
23/10/2007,18.1,0.002766253
22/10/2007,18.05,0.004998622
19/10/2007,17.96,-0.022571836
18/10/2007,18.37,-0.00813233
17/10/2007,18.52,-0.002157498
16/10/2007,18.56,-0.012316086
15/10/2007,18.79,-0.01006098
12/10/2007,18.98,0.001054296
11/10/2007,18.96,-0.004210533
10/10/2007,19.04,-0.004192878
09/10/2007,19.12,0.001046573
08/10/2007,19.1,0.002096437
05/10/2007,19.06,0.003679373
04/10/2007,18.99,0.013786008
03/10/2007,18.73,0.007502715
02/10/2007,18.59,-0.008569951
01/10/2007,18.75,0.021019367
28/09/2007,18.36,0.008752791
27/09/2007,18.2,0.008275909
26/09/2007,18.05,-0.003870616
25/09/2007,18.12,0
24/09/2007,18.12,0.001657001
21/09/2007,18.09,-0.016991365
20/09/2007,18.4,-0.005420067
19/09/2007,18.5,-0.008611463
18/09/2007,18.66,0.022765211
17/09/2007,18.24,-0.021692825
14/09/2007,18.64,-0.01912917
13/09/2007,19,0.023430252
12/09/2007,18.56,0.014107668
11/09/2007,18.3,0.005479466
10/09/2007,18.2,-0.009297305
07/09/2007,18.37,-0.027384261
06/09/2007,18.88,-0.006335818
05/09/2007,19,-0.013072082
04/09/2007,19.25,0.014125268
31/08/2007,18.98,0.019686723
30/08/2007,18.61,-0.010689573
29/08/2007,18.81,0.019324273
28/08/2007,18.45,-0.031477659
27/08/2007,19.04,0.001576873
24/08/2007,19.01,-0.001576873
23/08/2007,19.04,0.005794064
22/08/2007,18.93,0.015438156
21/08/2007,18.64,0.011872778
20/08/2007,18.42,0.007082568
17/08/2007,18.29,0.004383569
16/08/2007,18.21,-0.006022466
15/08/2007,18.32,0.007121367
14/08/2007,18.19,-0.032984877
