Date,Close,IBM
20/02/2008,107.85,0.026781023
19/02/2008,105,-0.01098704
15/02/2008,106.16,0.000282632
14/02/2008,106.13,-0.021347816
13/02/2008,108.42,0.017585938
12/02/2008,106.53,0.01313384
11/02/2008,105.14,0.017945878
08/02/2008,103.27,0.009046314
07/02/2008,102.34,-0.012140197
06/02/2008,103.59,-0.013710008
05/02/2008,105.02,-0.027332061
04/02/2008,107.93,-0.010598689
01/02/2008,109.08,0.018225214
31/01/2008,107.11,0.0137246
30/01/2008,105.65,-0.004250302
29/01/2008,106.1,0.01061219
28/01/2008,104.98,0.004391415
25/01/2008,104.52,-0.022608918
24/01/2008,106.91,0.007605313
23/01/2008,106.1,0.04708568
22/01/2008,101.22,-0.021308596
18/01/2008,103.4,0.022494836
17/01/2008,101.1,-0.005228641
16/01/2008,101.63,-0.001965989
15/01/2008,101.83,-0.010744389
14/01/2008,102.93,0.052454696
11/01/2008,97.67,-0.022775416
10/01/2008,99.92,0.016244114
09/01/2008,98.31,0.007350722
08/01/2008,97.59,-0.024895032
07/01/2008,100.05,-0.010736757
04/01/2008,101.13,-0.036600697
03/01/2008,104.9,0.002003913
02/01/2008,104.69,-0.032053122
31/12/2007,108.1,-0.018241488
28/12/2007,110.09,0.004460839
27/12/2007,109.6,-0.017725188
26/12/2007,111.56,-0.000806416
24/12/2007,111.65,0.005388428
21/12/2007,111.05,0.020101636
20/12/2007,108.84,0.015742523
19/12/2007,107.14,0.007777036
18/12/2007,106.31,0.016885243
17/12/2007,104.53,-0.011792814
14/12/2007,105.77,-0.022529581
13/12/2007,108.18,-0.002677131
12/12/2007,108.47,0.013738265
11/12/2007,106.99,-0.022184106
10/12/2007,109.39,0.004856825
07/12/2007,108.86,-0.007686714
06/12/2007,109.7,0.014137755
05/12/2007,108.16,0.014246714
04/12/2007,106.63,0.007530865
03/12/2007,105.83,0.006160865
30/11/2007,105.18,-0.021817679
29/11/2007,107.5,0.001210034
28/11/2007,107.37,0.033525867
27/11/2007,103.83,0.018076294
26/11/2007,101.97,-0.0201929
23/11/2007,104.05,0.017744199
21/11/2007,102.22,-0.011671014
20/11/2007,103.42,0.011671014
19/11/2007,102.22,-0.024830994
16/11/2007,104.79,0.011421018
15/11/2007,103.6,0.001545595
14/11/2007,103.44,-0.017536744
13/11/2007,105.27,0.036962412
12/11/2007,101.45,0.011899
09/11/2007,100.25,-0.056809226
08/11/2007,106.11,-0.045774371
07/11/2007,111.08,-0.018640451
