Date,Close,UPS
20/02/2008,72.64,0.005660262
19/02/2008,72.23,-0.002627032
15/02/2008,72.42,0.001105278
14/02/2008,72.34,-0.016044225
13/02/2008,73.51,0.014248768
12/02/2008,72.47,0.014734768
11/02/2008,71.41,0.011691097
08/02/2008,70.58,-0.016301654
07/02/2008,71.74,-0.000278746
06/02/2008,71.76,0.000139363
05/02/2008,71.75,-0.013428595
04/02/2008,72.72,-0.014471242
01/02/2008,73.78,0.011039294
31/01/2008,72.97,0.01310454
30/01/2008,72.02,0.015391377
29/01/2008,70.92,-0.001831373
28/01/2008,71.05,0.015317276
25/01/2008,69.97,-0.017707099
24/01/2008,71.22,-0.005740303
23/01/2008,71.63,0.058793966
22/01/2008,67.54,0.005642183
18/01/2008,67.16,-0.000148887
17/01/2008,67.17,-0.021503038
16/01/2008,68.63,-0.004796869
15/01/2008,68.96,-0.013825105
14/01/2008,69.92,0.004730852
11/01/2008,69.59,-0.001005386
10/01/2008,69.66,0.043271398
09/01/2008,66.71,0.00059979
08/01/2008,66.67,-0.017396915
07/01/2008,67.84,-0.002502762
04/01/2008,68.01,-0.017779542
03/01/2008,69.23,0.001011634
02/01/2008,69.16,-0.022305758
31/12/2007,70.72,-0.01180784
28/12/2007,71.56,-0.004740006
27/12/2007,71.9,-0.017919156
26/12/2007,73.2,-0.003545619
24/12/2007,73.46,0.014534741
21/12/2007,72.4,0.011111225
20/12/2007,71.6,0.004198747
19/12/2007,71.3,-0.016414334
18/12/2007,72.48,0.006366804
17/12/2007,72.02,-0.008158795
14/12/2007,72.61,-0.017880774
13/12/2007,73.92,-0.00162206
12/12/2007,74.04,0.000135071
11/12/2007,74.03,-0.014882624
10/12/2007,75.14,0.012993284
07/12/2007,74.17,0.004594603
06/12/2007,73.83,0.00665899
05/12/2007,73.34,0.009728103
04/12/2007,72.63,-0.003710579
03/12/2007,72.9,-0.010642753
30/11/2007,73.68,0.005170783
29/11/2007,73.3,-0.003676725
28/11/2007,73.57,0.029379397
27/11/2007,71.44,0.015233017
26/11/2007,70.36,-0.007927561
23/11/2007,70.92,0.011059236
21/11/2007,70.14,-0.02129991
20/11/2007,71.65,-0.004317255
19/11/2007,71.96,-0.000694589
16/11/2007,72.01,-0.015023368
15/11/2007,73.1,-0.003141435
14/11/2007,73.33,-0.009095291
13/11/2007,74,0.018411703
12/11/2007,72.65,0.027066384
09/11/2007,70.71,-0.0189121
08/11/2007,72.06,0.005287337
07/11/2007,71.68,-0.034956612
06/11/2007,74.23,-0.003362252
05/11/2007,74.48,0.006060217
02/11/2007,74.03,0.00596127
01/11/2007,73.59,-0.020311412
31/10/2007,75.1,0.004671346
30/10/2007,74.75,-0.004671346
29/10/2007,75.1,0.001732525
26/10/2007,74.97,0
25/10/2007,74.97,-0.006514681
24/10/2007,75.46,-0.002382529
23/10/2007,75.64,0.00729785
22/10/2007,75.09,0.000799361
19/10/2007,75.03,-0.01310843
18/10/2007,76.02,0.000263123
17/10/2007,76,0.00250313
16/10/2007,75.81,-0.00958327
15/10/2007,76.54,-0.001044659
12/10/2007,76.62,0.001436688
11/10/2007,76.51,0.002355405
10/10/2007,76.33,-0.007179719
09/10/2007,76.88,0.005608832
08/10/2007,76.45,0.000523355
05/10/2007,76.41,0.010657294
04/10/2007,75.6,0.000132284
03/10/2007,75.59,-0.000793441
02/10/2007,75.65,-0.003299244
01/10/2007,75.9,0.010596126
28/09/2007,75.1,0.00373533
27/09/2007,74.82,-0.000267272
26/09/2007,74.84,-0.007454774
25/09/2007,75.4,-0.00079544
24/09/2007,75.46,-0.00383573
21/09/2007,75.75,0.006356795
20/09/2007,75.27,-0.009256876
19/09/2007,75.97,0.00250412
18/09/2007,75.78,0.019319767
17/09/2007,74.33,-0.00067245
14/09/2007,74.38,0
13/09/2007,74.38,0.002827333
12/09/2007,74.17,0.000269687
11/09/2007,74.15,0.004866848
10/09/2007,73.79,-0.004597088
07/09/2007,74.13,-0.012867085
06/09/2007,75.09,-0.003589236
05/09/2007,75.36,-0.010428449
04/09/2007,76.15,0.003815543
31/08/2007,75.86,0.005021816
30/08/2007,75.48,-0.007917698
29/08/2007,76.08,0.009774216
28/08/2007,75.34,-0.01423324
27/08/2007,76.42,-0.007950514
24/08/2007,77.03,0.007950514
23/08/2007,76.42,0.004984924
22/08/2007,76.04,0.006861996
21/08/2007,75.52,-0.005546033
20/08/2007,75.94,-0.004991472
17/08/2007,76.32,0.019849798
16/08/2007,74.82,0.007916848
15/08/2007,74.23,-0.019741871
14/08/2007,75.71,-0.013121826
13/08/2007,76.71,-0.000521308
10/08/2007,76.75,-0.01743667
09/08/2007,78.1,-0.003451144
08/08/2007,78.37,0.008071276
07/08/2007,77.74,-0.001157036
06/08/2007,77.83,0.034774746
03/08/2007,75.17,-0.018583731
02/08/2007,76.58,-0.004559971
01/08/2007,76.93,0.015853591
31/07/2007,75.72,-0.014422697
30/07/2007,76.82,0.015083242
27/07/2007,75.67,-0.00039638
26/07/2007,75.7,-0.006714527
25/07/2007,76.21,0.020280369
24/07/2007,74.68,0.001876425
23/07/2007,74.54,-0.006285544
20/07/2007,75.01,-0.01100442
19/07/2007,75.84,0.008474627
18/07/2007,75.2,-0.004246291
17/07/2007,75.52,-0.000132406
16/07/2007,75.53,0.005043812
13/07/2007,75.15,0.005203134
12/07/2007,74.76,0.005768344
11/07/2007,74.33,0.003909151
10/07/2007,74.04,-0.004850454
09/07/2007,74.4,0.009453143
06/07/2007,73.7,-0.000678196
05/07/2007,73.75,0.007485574
