Date,Close,ORCL
20/02/2008,19.43,0.021327206
19/02/2008,19.02,-0.003673581
15/02/2008,19.09,0
14/02/2008,19.09,-0.029421477
13/02/2008,19.66,0.012797718
12/02/2008,19.41,-0.001544402
11/02/2008,19.44,0.012943489
08/02/2008,19.19,-0.000520969
07/02/2008,19.2,-0.024692613
06/02/2008,19.68,0.021572485
05/02/2008,19.26,-0.047652198
04/02/2008,20.2,-0.023484445
01/02/2008,20.68,0.006306109
31/01/2008,20.55,0.01371898
30/01/2008,20.27,0.009915798
29/01/2008,20.07,-0.009422336
28/01/2008,20.26,-0.00098668
25/01/2008,20.28,-0.016141216
24/01/2008,20.61,0
23/01/2008,20.61,0.024559191
22/01/2008,20.11,-0.070549756
18/01/2008,21.58,0.007908857
17/01/2008,21.41,-0.023541359
16/01/2008,21.92,0.028223016
15/01/2008,21.31,-0.034589568
14/01/2008,22.06,0.044492973
11/01/2008,21.1,-0.027117136
10/01/2008,21.68,0.003234006
09/01/2008,21.61,0.021516265
08/01/2008,21.15,-0.050702103
07/01/2008,22.25,0.009936848
04/01/2008,22.03,-0.047860263
03/01/2008,23.11,0.027194658
02/01/2008,22.49,-0.003993793
31/12/2007,22.58,-0.017124458
28/12/2007,22.97,-0.003042819
27/12/2007,23.04,0.00173762
26/12/2007,23,0.010489607
24/12/2007,22.76,0.002199253
21/12/2007,22.71,0.027227748
20/12/2007,22.1,0.06254955
19/12/2007,20.76,-0.023328837
18/12/2007,21.25,0.01469569
17/12/2007,20.94,-0.012339976
14/12/2007,21.2,-0.019154989
13/12/2007,21.61,0.011168101
12/12/2007,21.37,0.014137842
11/12/2007,21.07,-0.026693226
10/12/2007,21.64,0.023376474
07/12/2007,21.14,-0.013158085
06/12/2007,21.42,0.009380932
05/12/2007,21.22,0.057712984
04/12/2007,20.03,-0.010429695
03/12/2007,20.24,0.002968829
30/11/2007,20.18,-0.014756785
29/11/2007,20.48,-0.001463772
28/11/2007,20.51,0.030695479
27/11/2007,19.89,0.009598457
26/11/2007,19.7,-0.03049474
23/11/2007,20.31,0.004935844
21/11/2007,20.21,-0.02347296
20/11/2007,20.69,0.007763261
19/11/2007,20.53,-0.013065756
16/11/2007,20.8,0.018438174
15/11/2007,20.42,0.011822798
14/11/2007,20.18,-0.016708005
13/11/2007,20.52,0.054067221
12/11/2007,19.44,0.004123717
09/11/2007,19.36,-0.04987183
08/11/2007,20.35,-0.082496697
07/11/2007,22.1,-0.032497852
06/11/2007,22.83,0.03385624
05/11/2007,22.07,0.001814059
02/11/2007,22.03,0.012331739
01/11/2007,21.76,-0.018666602
31/10/2007,22.17,0.024658784
30/10/2007,21.63,-0.006451635
29/10/2007,21.77,0.019481136
26/10/2007,21.35,0.016529302
25/10/2007,21,-0.008534902
24/10/2007,21.18,-0.012667305
23/10/2007,21.45,0.011723464
22/10/2007,21.2,0.021454935
19/10/2007,20.75,-0.032245563
18/10/2007,21.43,-0.002795901
17/10/2007,21.49,-0.012026047
16/10/2007,21.75,-0.014605463
15/10/2007,22.07,-0.01662586
12/10/2007,22.44,-0.000890869
11/10/2007,22.46,-0.020273943
10/10/2007,22.92,0.014502561
09/10/2007,22.59,0.003547676
08/10/2007,22.51,0.014768673
05/10/2007,22.18,0.01911756
04/10/2007,21.76,0.008769962
03/10/2007,21.57,-0.012897461
02/10/2007,21.85,-0.005476965
01/10/2007,21.97,0.014672432
28/09/2007,21.65,0.000924214
27/09/2007,21.63,-0.006451635
26/09/2007,21.77,-0.00777858
25/09/2007,21.94,0.006860306
24/09/2007,21.79,-0.0086818
21/09/2007,21.98,0.043707561
20/09/2007,21.04,0.009551171
19/09/2007,20.84,0.00529229
18/09/2007,20.73,0.034850153
17/09/2007,20.02,-0.002494389
14/09/2007,20.07,-0.01875672
13/09/2007,20.45,-0.004391322
12/09/2007,20.54,0.003902444
11/09/2007,20.46,0.014275409
10/09/2007,20.17,0.000495909
07/09/2007,20.16,-0.018673761
06/09/2007,20.54,-0.009207722
05/09/2007,20.73,0.000482509
04/09/2007,20.72,0.021464239
31/08/2007,20.28,0.003457647
30/08/2007,20.21,0.003966292
29/08/2007,20.13,0.039002158
28/08/2007,19.36,-0.025498577
27/08/2007,19.86,-0.004020106
24/08/2007,19.94,0.029002287
23/08/2007,19.37,0.002584649
22/08/2007,19.32,0.002591346
21/08/2007,19.27,0.008337724
20/08/2007,19.11,-0.012480661
17/08/2007,19.35,0.010912033
16/08/2007,19.14,-0.002087683
15/08/2007,19.18,-0.00882435
14/08/2007,19.35,-0.01894093
13/08/2007,19.72,-0.013598799
10/08/2007,19.99,-0.00499003
09/08/2007,20.09,-0.005460426
08/08/2007,20.2,0.026079713
07/08/2007,19.68,-0.020121403
06/08/2007,20.08,0.02113818
