Date,Close,TGT
20/02/2008,53.4,0.022345183
19/02/2008,52.22,-0.016146234
15/02/2008,53.07,-0.001318143
14/02/2008,53.14,-0.025454231
13/02/2008,54.51,0.011068182
12/02/2008,53.91,-0.0051804
11/02/2008,54.19,0.03168322
08/02/2008,52.5,-0.030021016
07/02/2008,54.1,0.059008553
06/02/2008,51,-0.03373814
05/02/2008,52.75,-0.024345772
04/02/2008,54.05,-0.054018532
01/02/2008,57.05,0.028987537
31/01/2008,55.42,0.0564157
30/01/2008,52.38,-0.007986352
29/01/2008,52.8,-0.012609558
28/01/2008,53.47,0.035599076
25/01/2008,51.6,-0.026958903
24/01/2008,53.01,-0.025699738
23/01/2008,54.39,0.010349381
22/01/2008,53.83,0.071809924
18/01/2008,50.1,0.003198723
17/01/2008,49.94,-0.004794256
16/01/2008,50.18,0.006196921
15/01/2008,49.87,-0.012355677
14/01/2008,50.49,0.010752792
11/01/2008,49.95,-0.031529705
10/01/2008,51.55,0.032130486
09/01/2008,49.92,0.019622355
08/01/2008,48.95,-0.000816827
07/01/2008,48.99,0.018749905
04/01/2008,48.08,-0.030519522
03/01/2008,49.57,0.001211143
02/01/2008,49.51,-0.009848336
31/12/2007,50,-0.014691549
28/12/2007,50.74,0.001972776
27/12/2007,50.64,-0.010216199
26/12/2007,51.16,-0.025283601
24/12/2007,52.47,0.034710222
21/12/2007,50.68,0.009317145
20/12/2007,50.21,-0.026725898
19/12/2007,51.57,-0.027540467
18/12/2007,53.01,0.020776503
17/12/2007,51.92,0.006957894
14/12/2007,51.56,-0.018066992
13/12/2007,52.5,-0.012869216
12/12/2007,53.18,0.00263604
11/12/2007,53.04,-0.047136855
10/12/2007,55.6,0.001620017
07/12/2007,55.51,-0.001080303
06/12/2007,55.57,-0.078865398
05/12/2007,60.13,0.011709736
04/12/2007,59.43,-0.001513241
03/12/2007,59.52,-0.007532047
30/11/2007,59.97,0.008877037
29/11/2007,59.44,-0.002352547
28/11/2007,59.58,0.044268679
27/11/2007,57,0.031726061
26/11/2007,55.22,-0.034704079
23/11/2007,57.17,0.055195099
21/11/2007,54.1,0.045569847
20/11/2007,51.69,-0.041866139
19/11/2007,53.9,0.000371126
16/11/2007,53.88,-0.020573834
15/11/2007,55,-0.031674832
14/11/2007,56.77,-0.048647557
13/11/2007,59.6,0.051116694
12/11/2007,56.63,0.007800075
09/11/2007,56.19,-0.043700922
08/11/2007,58.7,-0.002042206
07/11/2007,58.82,-0.002038044
06/11/2007,58.94,0.017629896
05/11/2007,57.91,-0.024224999
02/11/2007,59.33,0.014601278
01/11/2007,58.47,-0.048244355
31/10/2007,61.36,-0.023992778
30/10/2007,62.85,0.005744391
29/10/2007,62.49,-0.00860426
26/10/2007,63.03,0.011488877
25/10/2007,62.31,0.009837996
24/10/2007,61.7,0.005525774
23/10/2007,61.36,-0.003091696
22/10/2007,61.55,0.012753606
19/10/2007,60.77,-0.030627039
18/10/2007,62.66,-0.012055984
17/10/2007,63.42,-0.003777153
16/10/2007,63.66,0.000157097
15/10/2007,63.65,-0.008136487
12/10/2007,64.17,-0.006988149
11/10/2007,64.62,-0.017639847
10/10/2007,65.77,0.000304136
09/10/2007,65.75,-0.008481044
08/10/2007,66.31,-0.018823382
05/10/2007,67.57,0.035858015
04/10/2007,65.19,-0.00809721
03/10/2007,65.72,0.006105025
02/10/2007,65.32,0.005064856
01/10/2007,64.99,0.022091751
28/09/2007,63.57,0.02985773
27/09/2007,61.7,-0.013042613
26/09/2007,62.51,0.018731373
25/09/2007,61.35,-0.04696446
24/09/2007,64.3,-0.02077797
21/09/2007,65.65,0.000914355
20/09/2007,65.59,-0.008955057
19/09/2007,66.18,-0.016484713
18/09/2007,67.28,0.059241438
17/09/2007,63.41,-0.017198673
14/09/2007,64.51,0.001396107
13/09/2007,64.42,0.026743768
12/09/2007,62.72,0.014777012
11/09/2007,61.8,0.022086787
10/09/2007,60.45,-0.009057287
07/09/2007,61,-0.038432256
06/09/2007,63.39,0.024109095
05/09/2007,61.88,-0.037429044
04/09/2007,64.24,-0.025967503
31/08/2007,65.93,0.032683655
30/08/2007,63.81,-0.001878817
29/08/2007,63.93,0.044785991
28/08/2007,61.13,-0.018155791
27/08/2007,62.25,-0.013403743
24/08/2007,63.09,0.017266616
23/08/2007,62.01,-0.025003293
22/08/2007,63.58,0.056289114
21/08/2007,60.1,0.016948136
20/08/2007,59.09,-0.034758633
17/08/2007,61.18,0.023651148
16/08/2007,59.75,0.027831425
15/08/2007,58.11,-0.033505672
14/08/2007,60.09,-0.051567845
13/08/2007,63.27,0.014487239
10/08/2007,62.36,-0.002562461
09/08/2007,62.52,-0.042126326
08/08/2007,65.21,0.039889546
07/08/2007,62.66,0.017223766
06/08/2007,61.59,0.017690879
03/08/2007,60.51,-0.041912129
02/08/2007,63.1,0.041416466
01/08/2007,60.54,-0.000495417
31/07/2007,60.57,-0.036473773
30/07/2007,62.82,0.011527505
27/07/2007,62.1,-0.001930503
26/07/2007,62.22,-0.034592409
25/07/2007,64.41,-0.006036703
24/07/2007,64.8,-0.028449473
23/07/2007,66.67,-0.011334946
20/07/2007,67.43,-0.021421007
19/07/2007,68.89,0.01270925
18/07/2007,68.02,-0.007323894
17/07/2007,68.52,-0.005385356
16/07/2007,68.89,-0.017982215
13/07/2007,70.14,0.001426737
12/07/2007,70.04,0.065490811
11/07/2007,65.6,0.012115784
10/07/2007,64.81,-0.029044846
09/07/2007,66.72,-0.020472455
06/07/2007,68.1,0.058818251
05/07/2007,64.21,0.014905744
03/07/2007,63.26,-0.009126735
02/07/2007,63.84,0.003766483
29/06/2007,63.6,0.001573564
28/06/2007,63.5,-0.003929278
27/06/2007,63.75,0.01326405
26/06/2007,62.91,-0.01967483
25/06/2007,64.16,-0.001712996
22/06/2007,64.27,-0.002020674
21/06/2007,64.4,0.002331909
20/06/2007,64.25,0.014738429
19/06/2007,63.31,-0.01052724
18/06/2007,63.98,0.002974096
15/06/2007,63.79,-0.000783515
14/06/2007,63.84,0.0058126
13/06/2007,63.47,0.016041001
12/06/2007,62.46,-0.00765554
11/06/2007,62.94,-0.006808672
08/06/2007,63.37,0.013344122
07/06/2007,62.53,-0.024797922
06/06/2007,64.1,0.002186476
05/06/2007,63.96,0.001721305
04/06/2007,63.85,0.002823088
01/06/2007,63.67,0.019667565
31/05/2007,62.43,0.021861449
30/05/2007,61.08,0.004594691
29/05/2007,60.8,0.000658111
25/05/2007,60.76,0.009923998
24/05/2007,60.16,0.026272983
23/05/2007,58.6,0.009602269
22/05/2007,58.04,-0.001721467
21/05/2007,58.14,-0.000171984
18/05/2007,58.15,0.007942031
17/05/2007,57.69,0.00660872
16/05/2007,57.31,-0.004179007
15/05/2007,57.55,-0.007443988
14/05/2007,57.98,-0.004645969
11/05/2007,58.25,-0.008036292
10/05/2007,58.72,-0.007465254
09/05/2007,59.16,0.006443977
08/05/2007,58.78,-0.00965046
07/05/2007,59.35,0.006253718
04/05/2007,58.98,0.006805062
03/05/2007,58.58,-0.006296286
02/05/2007,58.95,-0.011636863
01/05/2007,59.64,0.004537442
30/04/2007,59.37,-0.023307198
27/04/2007,60.77,-0.00295761
26/04/2007,60.95,0.007079967
25/04/2007,60.52,0.003144396
24/04/2007,60.33,-0.018068823
23/04/2007,61.43,-0.011169683
20/04/2007,62.12,0.013940897
19/04/2007,61.26,0.007372852
18/04/2007,60.81,0.003294353
17/04/2007,60.61,0.007286007
16/04/2007,60.17,0.008679741
13/04/2007,59.65,-0.005016733
12/04/2007,59.95,0.004513926
11/04/2007,59.68,-0.014637653
10/04/2007,60.56,-0.01344944
09/04/2007,61.38,0.00440853
