Date,Close,UNP
20/02/2008,123.97,0.009889834
19/02/2008,122.75,-0.016562689
15/02/2008,124.8,0.000561055
14/02/2008,124.73,-0.009812995
13/02/2008,125.96,0.003021391
12/02/2008,125.58,0.000637247
11/02/2008,125.5,0.001195934
08/02/2008,125.35,0.008653207
07/02/2008,124.27,0.009134698
06/02/2008,123.14,0.004150228
05/02/2008,122.63,-0.024726424
04/02/2008,125.7,-0.017897746
01/02/2008,127.97,0.02540397
31/01/2008,124.76,0.030931979
30/01/2008,120.96,-0.004042743
29/01/2008,121.45,0.001895579
28/01/2008,121.22,0.011699922
25/01/2008,119.81,-0.009552758
24/01/2008,120.96,0.033200511
23/01/2008,117.01,0.058421043
22/01/2008,110.37,-0.000724572
18/01/2008,110.45,0.012848142
17/01/2008,109.04,-0.034787684
16/01/2008,112.9,0.005417661
15/01/2008,112.29,-0.0259321
14/01/2008,115.24,0.009854015
11/01/2008,114.11,-0.023728166
10/01/2008,116.85,0.020141581
09/01/2008,114.52,-0.006440966
08/01/2008,115.26,-0.03184901
07/01/2008,118.99,-0.008785565
04/01/2008,120.04,-0.031326875
03/01/2008,123.86,-0.003063283
02/01/2008,124.24,-0.011046298
31/12/2007,125.62,-0.016657184
28/12/2007,127.73,0.003372155
27/12/2007,127.3,-0.005483758
26/12/2007,128,-0.00366515
24/12/2007,128.47,0.01925479
21/12/2007,126.02,0.021820214
20/12/2007,123.3,-0.01056845
19/12/2007,124.61,-0.037951334
18/12/2007,129.43,0.003637916
17/12/2007,128.96,-0.012330612
14/12/2007,130.56,-0.024513256
13/12/2007,133.8,0.00923534
12/12/2007,132.57,0.014665359
11/12/2007,130.64,-0.034753403
10/12/2007,135.26,0.003109962
07/12/2007,134.84,0.005130313
06/12/2007,134.15,0.036823291
05/12/2007,129.3,0.019997542
04/12/2007,126.74,0.003398541
03/12/2007,126.31,0.001346802
30/11/2007,126.14,0.005246018
29/11/2007,125.48,-0.011174186
28/11/2007,126.89,0.019738006
27/11/2007,124.41,0.024821228
26/11/2007,121.36,-0.02698912
23/11/2007,124.68,0.014298075
21/11/2007,122.91,-0.028394593
20/11/2007,126.45,0.01393612
19/11/2007,124.7,-0.01417334
16/11/2007,126.48,0.016340884
15/11/2007,124.43,0.000482315
14/11/2007,124.37,-0.00888539
13/11/2007,125.48,0.015095838
12/11/2007,123.6,-0.008459265
09/11/2007,124.65,-0.014574383
08/11/2007,126.48,0.015216386
07/11/2007,124.57,-0.018295133
06/11/2007,126.87,0.009981071
05/11/2007,125.61,-0.003100038
02/11/2007,126,0.009970172
01/11/2007,124.75,-0.02603098
31/10/2007,128.04,0.014395529
30/10/2007,126.21,-0.010012303
29/10/2007,127.48,-0.003289219
26/10/2007,127.9,0.004859325
25/10/2007,127.28,-0.013655551
24/10/2007,129.03,-0.007181775
23/10/2007,129.96,0.036914971
22/10/2007,125.25,0.021221598
19/10/2007,122.62,-0.026636055
18/10/2007,125.93,0.056770785
17/10/2007,118.98,0.023814699
16/10/2007,116.18,-0.016898926
15/10/2007,118.16,-0.011444083
12/10/2007,119.52,0.009414999
11/10/2007,118.4,0.006099646
10/10/2007,117.68,-0.003901286
09/10/2007,118.14,0.006624228
08/10/2007,117.36,8.52115E-05
05/10/2007,117.35,0.04345292
04/10/2007,112.36,0.011997637
03/10/2007,111.02,-0.020593551
02/10/2007,113.33,-0.008697617
01/10/2007,114.32,0.011082882
28/09/2007,113.06,-0.006348108
27/09/2007,113.78,0.012558757
26/09/2007,112.36,0.013079108
25/09/2007,110.9,-0.004408663
24/09/2007,111.39,-0.013199157
21/09/2007,112.87,0.007202272
20/09/2007,112.06,-0.024418332
19/09/2007,114.83,-0.012376288
18/09/2007,116.26,0.046298861
17/09/2007,111,-0.00744966
14/09/2007,111.83,-0.007572082
13/09/2007,112.68,0.036052149
12/09/2007,108.69,0.001933969
11/09/2007,108.48,0.023881732
10/09/2007,105.92,-0.020465135
07/09/2007,108.11,-0.010764169
06/09/2007,109.28,0.001373564
05/09/2007,109.13,-0.030857735
04/09/2007,112.55,0.008745371
31/08/2007,111.57,0.033818107
30/08/2007,107.86,-0.01900971
29/08/2007,109.93,0.028698625
28/08/2007,106.82,-0.024870694
27/08/2007,109.51,-0.014144764
24/08/2007,111.07,0.012775963
23/08/2007,109.66,-0.028852044
22/08/2007,112.87,0.029216874
21/08/2007,109.62,-0.019065407
20/08/2007,111.73,0.053306748
17/08/2007,105.93,0.008818148
16/08/2007,105,-0.024924874
15/08/2007,107.65,-0.049740766
14/08/2007,113.14,-0.041804365
13/08/2007,117.97,0.011252356
10/08/2007,116.65,0.008177364
09/08/2007,115.7,-0.028626934
08/08/2007,119.06,0.018565362
07/08/2007,116.87,0.01882937
06/08/2007,114.69,0.003843807
03/08/2007,114.25,-0.049019376
02/08/2007,119.99,0.005431844
01/08/2007,119.34,0.00167729
31/07/2007,119.14,-0.013008856
30/07/2007,120.7,0.01317674
27/07/2007,119.12,-0.008193341
26/07/2007,120.1,-0.022313717
25/07/2007,122.81,-0.017595288
24/07/2007,124.99,-0.018469868
23/07/2007,127.32,0.011453974
20/07/2007,125.87,0.001033345
19/07/2007,125.74,-0.001351083
18/07/2007,125.91,0.016092577
17/07/2007,123.9,0.013979421
16/07/2007,122.18,0.011359082
13/07/2007,120.8,0.008897078
12/07/2007,119.73,0.016675475
11/07/2007,117.75,0.023023094
10/07/2007,115.07,-0.015435998
09/07/2007,116.86,0.000427954
06/07/2007,116.81,0.006958492
05/07/2007,116,-0.006273385
03/07/2007,116.73,0.004206556
02/07/2007,116.24,0.009421393
29/06/2007,115.15,0.000434311
28/06/2007,115.1,0.003481292
27/06/2007,114.7,0.010693414
26/06/2007,113.48,-0.010693414
25/06/2007,114.7,-0.012045728
22/06/2007,116.09,-0.016318872
21/06/2007,118,0.005864621
20/06/2007,117.31,-0.018663718
19/06/2007,119.52,0.000251036
18/06/2007,119.49,-0.00642338
15/06/2007,120.26,0.01744718
14/06/2007,118.18,0.01234531
13/06/2007,116.73,0.02973615
12/06/2007,113.31,-0.020613884
11/06/2007,115.67,-0.008436689
08/06/2007,116.65,0.015812314
07/06/2007,114.82,-0.028673953
06/06/2007,118.16,-0.023585604
05/06/2007,120.98,-0.007821867
04/06/2007,121.93,-0.000819807
01/06/2007,122.03,0.011124502
31/05/2007,120.68,0.015532671
30/05/2007,118.82,0.001347482
29/05/2007,118.66,0.005916677
25/05/2007,117.96,0.005951892
24/05/2007,117.26,-0.013889112
23/05/2007,118.9,0.002863642
22/05/2007,118.56,-0.004376375
21/05/2007,119.08,-0.006445425
18/05/2007,119.85,-0.007978103
17/05/2007,120.81,0.011823618
16/05/2007,119.39,0.009256209
15/05/2007,118.29,0.007467154
14/05/2007,117.41,0.004353214
11/05/2007,116.9,0.007556278
10/05/2007,116.02,-0.013016111
09/05/2007,117.54,0
08/05/2007,117.54,0.009402582
07/05/2007,116.44,-0.001716149
04/05/2007,116.64,0.000771903
03/05/2007,116.55,0.027222623
02/05/2007,113.42,0.010636512
01/05/2007,112.22,-0.017927799
30/04/2007,114.25,-0.013820899
27/04/2007,115.84,0.009279803
26/04/2007,114.77,-0.013758708
25/04/2007,116.36,0.003616018
24/04/2007,115.94,-0.005676458
23/04/2007,116.6,-0.005217924
20/04/2007,117.21,0.006333469
19/04/2007,116.47,0.02336697
18/04/2007,113.78,0.029613295
17/04/2007,110.46,-0.008743127
16/04/2007,111.43,0.014918228
13/04/2007,109.78,-0.011232002
12/04/2007,111.02,0.042410808
11/04/2007,106.41,-0.010284309
10/04/2007,107.51,0.003354145
09/04/2007,107.15,0.037560869
