Date,Close,BK
20/02/2008,45.82,0.020282882
19/02/2008,44.9,-0.029839862
15/02/2008,46.26,0.008466348
14/02/2008,45.87,-0.031121731
13/02/2008,47.32,0.011263534
12/02/2008,46.79,0.011824281
11/02/2008,46.24,0.00129842
08/02/2008,46.18,-0.000216521
07/02/2008,46.19,0.023881078
06/02/2008,45.1,0.006674107
05/02/2008,44.8,-0.042606116
04/02/2008,46.75,-0.020955365
01/02/2008,47.74,0.025887293
31/01/2008,46.52,0.028785241
30/01/2008,45.2,0.002658398
29/01/2008,45.08,-0.009273637
28/01/2008,45.5,0.036253691
25/01/2008,43.88,-0.038229759
24/01/2008,45.59,-0.013940544
23/01/2008,46.23,0.025855954
22/01/2008,45.05,0.029281371
18/01/2008,43.75,-0.023046659
17/01/2008,44.77,-0.00712222
16/01/2008,45.09,0.001998003
15/01/2008,45,-0.046247251
14/01/2008,47.13,0.013457428
11/01/2008,46.5,-0.021908778
10/01/2008,47.53,-0.005455322
09/01/2008,47.79,0.016668811
08/01/2008,47,-0.037787608
07/01/2008,48.81,0.013614072
04/01/2008,48.15,-0.020962543
03/01/2008,49.17,0.04237394
02/01/2008,47.13,-0.034000564
31/12/2007,48.76,0.005346507
28/12/2007,48.5,-0.002059733
27/12/2007,48.6,-0.022984842
26/12/2007,49.73,-0.001808137
24/12/2007,49.82,0.012929473
21/12/2007,49.18,0.005505162
20/12/2007,48.91,0.005124537
19/12/2007,48.66,0.010951654
18/12/2007,48.13,0.018029839
17/12/2007,47.27,-0.017614211
14/12/2007,48.11,-0.014035318
13/12/2007,48.79,0.005755412
12/12/2007,48.51,0.0201985
11/12/2007,47.54,-0.044433471
10/12/2007,49.7,0.015001295
07/12/2007,48.96,-0.011171031
06/12/2007,49.51,0.025778842
05/12/2007,48.25,0.008115745
04/12/2007,47.86,-0.000208921
03/12/2007,47.87,-0.001878327
30/11/2007,47.96,0.013434291
29/11/2007,47.32,-0.005479466
28/11/2007,47.58,0.051979355
27/11/2007,45.17,0.029202434
26/11/2007,43.87,-0.03450163
23/11/2007,45.41,0.018895749
21/11/2007,44.56,-0.029628521
20/11/2007,45.9,-0.007380107
19/11/2007,46.24,-0.011824281
16/11/2007,46.79,0.022914967
15/11/2007,45.73,-0.025049895
14/11/2007,46.89,-0.008494424
13/11/2007,47.29,0.02396862
12/11/2007,46.17,0.029229638
09/11/2007,44.84,-0.025540798
08/11/2007,46,0.005012542
07/11/2007,45.77,-0.053388542
06/11/2007,48.28,0.017973316
05/11/2007,47.42,0.004650188
02/11/2007,47.2,0.004459079
01/11/2007,46.99,-0.038819565
31/10/2007,48.85,0.017970121
30/10/2007,47.98,-0.000208398
29/10/2007,47.99,-0.006438905
26/10/2007,48.3,0.00810731
25/10/2007,47.91,0.021519818
24/10/2007,46.89,-0.012293499
23/10/2007,47.47,0.026685328
22/10/2007,46.22,0.013724211
19/10/2007,45.59,-0.005032283
18/10/2007,45.82,0.041440547
17/10/2007,43.96,-0.008832579
16/10/2007,44.35,0.002709417
15/10/2007,44.23,-0.031819349
12/10/2007,45.66,0.015894374
11/10/2007,44.94,0
10/10/2007,44.94,-0.002000668
09/10/2007,45.03,0.002445804
08/10/2007,44.92,0.00289823
05/10/2007,44.79,0.013033892
04/10/2007,44.21,-0.004288462
03/10/2007,44.4,-0.01030706
02/10/2007,44.86,-0.001559194
01/10/2007,44.93,0.017739322
28/09/2007,44.14,-0.002940846
27/09/2007,44.27,0.018926571
26/09/2007,43.44,0.01250885
25/09/2007,42.9,-0.011818003
24/09/2007,43.41,-0.011679968
21/09/2007,43.92,0.008460094
20/09/2007,43.55,-0.027181741
19/09/2007,44.75,0.010332527
18/09/2007,44.29,0.042432005
17/09/2007,42.45,-0.002352942
14/09/2007,42.55,-0.000704804
13/09/2007,42.58,0.037812593
12/09/2007,41,0.013258235
11/09/2007,40.46,0.023506959
10/09/2007,39.52,-0.005047966
07/09/2007,39.72,-0.012260882
06/09/2007,40.21,-0.009652346
05/09/2007,40.6,-0.017094433
04/09/2007,41.3,0.021290416
31/08/2007,40.43,0.015956459
30/08/2007,39.79,-0.004763705
29/08/2007,39.98,0.007028141
28/08/2007,39.7,-0.054411852
27/08/2007,41.92,-0.004759647
24/08/2007,42.12,0.00643089
23/08/2007,41.85,-0.003815888
22/08/2007,42.01,-0.007824581
21/08/2007,42.34,-0.005417514
20/08/2007,42.57,-0.020230896
17/08/2007,43.44,0.039920774
16/08/2007,41.74,0.047844277
15/08/2007,39.79,-0.011494379
14/08/2007,40.25,-0.04160678
13/08/2007,41.96,-0.008779271
10/08/2007,42.33,-0.025884621
09/08/2007,43.44,-0.034614925
08/08/2007,44.97,0.011630639
07/08/2007,44.45,0.024597004
06/08/2007,43.37,0.064769122
03/08/2007,40.65,-0.043092478
02/08/2007,42.44,0.01137453
01/08/2007,41.96,-0.013963071
31/07/2007,42.55,-0.01747278
30/07/2007,43.3,0.021948114
27/07/2007,42.36,-0.010333582
26/07/2007,42.8,-0.017141953
25/07/2007,43.54,0.014109174
24/07/2007,42.93,-0.037938736
23/07/2007,44.59,-0.001568628
20/07/2007,44.66,-0.01201884
19/07/2007,45.2,-0.020366411
18/07/2007,46.13,-0.012708841
17/07/2007,46.72,0.018579061
16/07/2007,45.86,-0.006086975
13/07/2007,46.14,0.006086975
12/07/2007,45.86,0.030104088
11/07/2007,44.5,0.004730271
10/07/2007,44.29,-0.017679771
09/07/2007,45.08,-0.002658398
06/07/2007,45.2,0.014484933
05/07/2007,44.55,0.005627477
03/07/2007,44.3,0.001129306
02/07/2007,44.25,0.065608774
29/06/2007,41.44,-0.011277864
28/06/2007,41.91,0.014177818
27/06/2007,41.32,0.016347808
26/06/2007,40.65,0.004932192
25/06/2007,40.45,-0.003208691
22/06/2007,40.58,-0.018797087
21/06/2007,41.35,0.00411972
20/06/2007,41.18,-0.020906685
19/06/2007,42.05,0.000475737
18/06/2007,42.03,-0.002613759
15/06/2007,42.14,0.011936165
14/06/2007,41.64,0.00384986
13/06/2007,41.48,0.044364101
12/06/2007,39.68,-0.010030174
11/06/2007,40.08,0.011543416
08/06/2007,39.62,0.029455325
07/06/2007,38.47,-0.023125388
06/06/2007,39.37,-0.012620056
05/06/2007,39.87,-0.010479138
04/06/2007,40.29,-0.003963344
01/06/2007,40.45,-0.002715716
31/05/2007,40.56,0.003457647
30/05/2007,40.42,0.017973524
29/05/2007,39.7,-0.000503651
25/05/2007,39.72,-0.003016594
24/05/2007,39.84,-0.008497927
23/05/2007,40.18,-0.00298211
22/05/2007,40.3,0.004725789
21/05/2007,40.11,-0.004725789
18/05/2007,40.3,-0.011104371
17/05/2007,40.75,-0.011225106
16/05/2007,41.21,0.011716024
15/05/2007,40.73,0
14/05/2007,40.73,-0.010015963
11/05/2007,41.14,0.008543931
10/05/2007,40.79,-0.011456554
09/05/2007,41.26,0.003642107
08/05/2007,41.11,-0.00702948
07/05/2007,41.4,0.003145037
04/05/2007,41.27,0.002183142
03/05/2007,41.18,0.007311756
02/05/2007,40.88,0.011811161
01/05/2007,40.4,-0.00197824
30/04/2007,40.48,-0.008119124
27/04/2007,40.81,-0.000489956
26/04/2007,40.83,-0.001712958
25/04/2007,40.9,0.007115721
24/04/2007,40.61,-0.009557725
23/04/2007,41,-0.012121361
20/04/2007,41.5,0.010172042
19/04/2007,41.08,-0.008966497
18/04/2007,41.45,-0.002890872
17/04/2007,41.57,-0.000481
16/04/2007,41.59,0.021385991
13/04/2007,40.71,0.005171788
12/04/2007,40.5,-0.000740467
11/04/2007,40.53,-0.010797651
10/04/2007,40.97,0.000244111
09/04/2007,40.96,0.003668831
05/04/2007,40.81,0.001962228
04/04/2007,40.73,-0.001226843
03/04/2007,40.78,0.009114486
02/04/2007,40.41,-0.003458501
30/03/2007,40.55,-0.000246579
29/03/2007,40.56,0.007423939
