Date,Close,INTC
20/02/2008,20.38,0.010853585
19/02/2008,20.16,0.002483239
15/02/2008,20.11,-0.017254557
14/02/2008,20.46,-0.036001008
13/02/2008,21.21,0.01472361
12/02/2008,20.9,0.010582109
11/02/2008,20.68,0.020025089
08/02/2008,20.27,0.010912807
07/02/2008,20.05,0.006504902
06/02/2008,19.92,-0.009990093
05/02/2008,20.12,-0.052286836
04/02/2008,21.2,-0.026531694
01/02/2008,21.77,0.031259835
31/01/2008,21.1,0.019622549
30/01/2008,20.69,0.009225606
29/01/2008,20.5,0.010296732
28/01/2008,20.29,0.01439588
25/01/2008,20,-0.033918218
24/01/2008,20.69,0.034918719
23/01/2008,19.98,0.071032703
22/01/2008,18.61,-0.020739909
18/01/2008,19,-0.017219314
17/01/2008,19.33,-0.028055908
16/01/2008,19.88,-0.132210098
15/01/2008,22.69,-0.017042143
14/01/2008,23.08,0.048378637
11/01/2008,21.99,-0.024703704
10/01/2008,22.54,-0.009273637
09/01/2008,22.75,0.0217738
08/01/2008,22.26,-0.027471821
07/01/2008,22.88,0.009220702
04/01/2008,22.67,-0.084545466
03/01/2008,24.67,-0.027190799
02/01/2008,25.35,-0.050385585
31/12/2007,26.66,-0.003743921
28/12/2007,26.76,-0.002612429
27/12/2007,26.83,-0.022845504
26/12/2007,27.45,0.005113232
24/12/2007,27.31,0.012898649
21/12/2007,26.96,0.02061156
20/12/2007,26.41,0.008365068
19/12/2007,26.19,0.010748664
18/12/2007,25.91,0.007360095
17/12/2007,25.72,-0.021919739
14/12/2007,26.29,-0.032556664
13/12/2007,27.16,-0.00440853
12/12/2007,27.28,0.012912926
11/12/2007,26.93,-0.031075431
10/12/2007,27.78,0.001801478
07/12/2007,27.73,-0.00897511
06/12/2007,27.98,0.027537972
05/12/2007,27.22,0.034002902
04/12/2007,26.31,0.002283106
03/12/2007,26.25,0.006497252
30/11/2007,26.08,-0.009919959
29/11/2007,26.34,0.005711038
28/11/2007,26.19,0.042111485
27/11/2007,25.11,0.029913306
26/11/2007,24.37,-0.028319045
23/11/2007,25.07,0.0177067
21/11/2007,24.63,-0.035497246
20/11/2007,25.52,0.013809649
19/11/2007,25.17,-0.013417723
16/11/2007,25.51,-0.000783699
15/11/2007,25.53,-0.01245637
14/11/2007,25.85,-0.011156107
13/11/2007,26.14,0.029899335
12/11/2007,25.37,0.008709477
09/11/2007,25.15,-0.030542703
08/11/2007,25.93,-0.036725687
07/11/2007,26.9,-0.021696016
06/11/2007,27.49,0.02392899
05/11/2007,26.84,0.001491425
02/11/2007,26.8,0.011257155
01/11/2007,26.5,-0.014981554
31/10/2007,26.9,0.023698683
30/10/2007,26.27,0.000380735
29/10/2007,26.26,0.01226069
26/10/2007,25.94,0.001929385
25/10/2007,25.89,-0.004624286
24/10/2007,26.01,-0.029920808
23/10/2007,26.8,0.005988042
22/10/2007,26.64,0.012844906
19/10/2007,26.3,-0.025156198
18/10/2007,26.97,0.009312788
17/10/2007,26.72,0.047518518
16/10/2007,25.48,-0.010540796
15/10/2007,25.75,0.00779731
12/10/2007,25.55,0.004707737
11/10/2007,25.43,-0.01754089
10/10/2007,25.88,0.001546791
09/10/2007,25.84,0.00699032
08/10/2007,25.66,0.004687509
05/10/2007,25.54,-0.002346501
04/10/2007,25.6,-0.008169662
03/10/2007,25.81,-0.021844134
02/10/2007,26.38,0.000379147
01/10/2007,26.37,0.019529627
28/09/2007,25.86,0.003874472
27/09/2007,25.76,-0.005806093
26/09/2007,25.91,0.000772201
25/09/2007,25.89,-0.003470217
24/09/2007,25.98,0.004243015
21/09/2007,25.87,0.002321982
20/09/2007,25.81,0.005049535
19/09/2007,25.68,0.010569681
18/09/2007,25.41,0.022285045
17/09/2007,24.85,-0.003214145
14/09/2007,24.93,-0.016706833
13/09/2007,25.35,-0.004329863
12/09/2007,25.46,-0.007824766
11/09/2007,25.66,0.012154629
10/09/2007,25.35,-0.004722559
07/09/2007,25.47,-0.026347902
06/09/2007,26.15,0.006137342
05/09/2007,25.99,-0.007283912
04/09/2007,26.18,0.016561133
31/08/2007,25.75,0.018421058
30/08/2007,25.28,0.007544209
29/08/2007,25.09,0.046083587
28/08/2007,23.96,-0.020244443
27/08/2007,24.45,-0.01381013
24/08/2007,24.79,0.022848811
23/08/2007,24.23,0.003307155
22/08/2007,24.15,0.010824419
21/08/2007,23.89,-0.009166731
20/08/2007,24.11,0.017151644
17/08/2007,23.7,0.025642431
16/08/2007,23.1,-0.005181359
15/08/2007,23.22,-0.024671604
14/08/2007,23.8,-0.009201236
13/08/2007,24.02,0.001666667
10/08/2007,23.98,0.002505221
09/08/2007,23.92,-0.03127827
08/08/2007,24.68,0.022537319
07/08/2007,24.13,0
06/08/2007,24.13,0.009159098
03/08/2007,23.91,-0.016179569
02/08/2007,24.3,0.02079077
01/08/2007,23.8,0.00759177
31/07/2007,23.62,-0.009690407
30/07/2007,23.85,0.013083116
27/07/2007,23.54,-0.019352729
26/07/2007,24,-0.020619287
25/07/2007,24.5,-0.001223741
24/07/2007,24.53,-0.007715774
23/07/2007,24.72,0.006900778
20/07/2007,24.55,-0.028510263
19/07/2007,25.26,0.007949167
18/07/2007,25.06,-0.049436024
17/07/2007,26.33,0.014537364
16/07/2007,25.95,-0.000770416
13/07/2007,25.97,-0.001154512
12/07/2007,26,0.056570351
11/07/2007,24.57,-0.016148918
10/07/2007,24.97,0.000400561
09/07/2007,24.96,0.011281344
06/07/2007,24.68,0.003246756
05/07/2007,24.6,0.000406587
03/07/2007,24.59,0.013098836
02/07/2007,24.27,0.022079631
29/06/2007,23.74,-0.00755354
28/06/2007,23.92,0.005449605
27/06/2007,23.79,0.017384368
26/06/2007,23.38,-0.004268039
25/06/2007,23.48,-0.009326053
22/06/2007,23.7,-0.024589695
21/06/2007,24.29,0.014514043
20/06/2007,23.94,-0.00666114
19/06/2007,24.1,-0.002900354
18/06/2007,24.17,-0.002891966
15/06/2007,24.24,0.042559614
14/06/2007,23.23,0.024402082
13/06/2007,22.67,0.020950176
12/06/2007,22.2,0.012236726
11/06/2007,21.93,0.004570392
08/06/2007,21.83,0.024108724
07/06/2007,21.31,-0.008411265
06/06/2007,21.49,-0.021634906
05/06/2007,21.96,-0.009066245
04/06/2007,22.16,-0.008984786
01/06/2007,22.36,0.008082666
31/05/2007,22.18,0.004518761
30/05/2007,22.08,-0.009914457
29/05/2007,22.3,0.006297817
25/05/2007,22.16,0.008610975
24/05/2007,21.97,-0.031364578
23/05/2007,22.67,-0.014016874
22/05/2007,22.99,0.015782879
21/05/2007,22.63,-0.003088465
18/05/2007,22.7,0.020922197
17/05/2007,22.23,0.002251746
16/05/2007,22.18,0.007694086
15/05/2007,22.01,-0.004985281
14/05/2007,22.12,-0.007207238
11/05/2007,22.28,0.003146777
10/05/2007,22.21,-0.011638448
09/05/2007,22.47,0.01434359
08/05/2007,22.15,0.00861488
07/05/2007,21.96,0.00273598
04/05/2007,21.9,0.007332755
03/05/2007,21.74,-0.008701681
02/05/2007,21.93,0.005945593
01/05/2007,21.8,0.013857035
30/04/2007,21.5,-0.0170629
27/04/2007,21.87,-0.010009183
26/04/2007,22.09,-0.007666328
25/04/2007,22.26,0.014479891
24/04/2007,21.94,0.001368301
23/04/2007,21.91,-0.011345708
20/04/2007,22.16,0.015920282
19/04/2007,21.81,0.021316841
18/04/2007,21.35,0.017482137
17/04/2007,20.98,0.013919111
16/04/2007,20.69,0.011178731
13/04/2007,20.46,-0.001953126
12/04/2007,20.5,0.001464486
11/04/2007,20.47,-0.01020665
10/04/2007,20.68,0.028447235
09/04/2007,20.1,0.026211178
05/04/2007,19.58,0.010267031
04/04/2007,19.38,0.00361851
03/04/2007,19.31,0.009365313
02/04/2007,19.13,0
30/03/2007,19.13,0.002093146
29/03/2007,19.09,0.012121361
28/03/2007,18.86,-0.010548621
27/03/2007,19.06,-0.011994929
26/03/2007,19.29,0.001037344
23/03/2007,19.27,0.00572471
22/03/2007,19.16,-0.009350717
21/03/2007,19.34,0.018262965
20/03/2007,18.99,-0.006299233
19/03/2007,19.11,-0.002090957
16/03/2007,19.15,0.00052233
15/03/2007,19.14,-0.004691174
14/03/2007,19.23,0.005736652
13/03/2007,19.12,-0.018653391
12/03/2007,19.48,0.019699963
09/03/2007,19.1,-0.006783225
08/03/2007,19.23,0.005736652
07/03/2007,19.12,-0.014538158
06/03/2007,19.4,0.015061308
05/03/2007,19.11,-0.005739645
02/03/2007,19.22,-0.019067828
01/03/2007,19.59,-0.013688427
28/02/2007,19.86,-0.008523491
27/02/2007,20.03,-0.040122799
