Date,Close,BA
20/02/2008,84,-0.016177952
19/02/2008,85.37,0.002228087
15/02/2008,85.18,-0.000469484
14/02/2008,85.22,-0.003046282
13/02/2008,85.48,0.022717494
12/02/2008,83.56,0.02951213
11/02/2008,81.13,0.022436439
08/02/2008,79.33,-0.005280374
07/02/2008,79.75,-0.00200426
06/02/2008,79.91,-0.022030594
05/02/2008,81.69,-0.014703467
04/02/2008,82.9,0.001690209
01/02/2008,82.76,-0.005062081
31/01/2008,83.18,0.003733819
30/01/2008,82.87,0.023317909
29/01/2008,80.96,0.042387778
28/01/2008,77.6,0.007372471
25/01/2008,77.03,-0.00763017
24/01/2008,77.62,0.013619771
23/01/2008,76.57,-0.013362072
22/01/2008,77.6,-0.0102565
18/01/2008,78.4,-0.014184635
17/01/2008,79.52,-0.004391751
16/01/2008,79.87,0.025487971
15/01/2008,77.86,-0.047774395
14/01/2008,81.67,0.014181137
11/01/2008,80.52,-0.022594281
10/01/2008,82.36,0.025330261
09/01/2008,80.3,0.00486862
08/01/2008,79.91,-0.036372113
07/01/2008,82.87,-0.034978965
04/01/2008,85.82,-0.013426128
03/01/2008,86.98,0.004147471
02/01/2008,86.62,-0.00965081
31/12/2007,87.46,-0.00899215
28/12/2007,88.25,-0.00711345
27/12/2007,88.88,-0.012522525
26/12/2007,90,-0.000222198
24/12/2007,90.02,0.01060929
21/12/2007,89.07,0.021332932
20/12/2007,87.19,0.00655891
19/12/2007,86.62,-0.006329499
18/12/2007,87.17,-0.002635048
17/12/2007,87.4,-0.011602906
14/12/2007,88.42,-0.001469176
13/12/2007,88.55,0.018579209
12/12/2007,86.92,-0.020271734
11/12/2007,88.7,-0.043461125
10/12/2007,92.64,-0.005597431
07/12/2007,93.16,0.014924036
06/12/2007,91.78,0.011837052
05/12/2007,90.7,0.007858804
04/12/2007,89.99,-0.019804806
03/12/2007,91.79,-0.008137624
30/11/2007,92.54,-0.007214029
29/11/2007,93.21,-0.004282203
28/11/2007,93.61,0.020287736
27/11/2007,91.73,0.01981789
26/11/2007,89.93,0.004346137
23/11/2007,89.54,0.02407576
21/11/2007,87.41,-0.005134946
20/11/2007,87.86,-0.00465566
19/11/2007,88.27,-0.019298254
16/11/2007,89.99,-0.014890255
15/11/2007,91.34,-0.015750068
14/11/2007,92.79,-0.009759314
13/11/2007,93.7,0.009005207
12/11/2007,92.86,-0.01443335
09/11/2007,94.21,-0.02173428
08/11/2007,96.28,-0.006315701
07/11/2007,96.89,-0.008325245
06/11/2007,97.7,-0.00275975
05/11/2007,97.97,0.002145814
02/11/2007,97.76,0.011936754
01/11/2007,96.6,-0.020391095
31/10/2007,98.59,0.01286257
30/10/2007,97.33,0.003499386
29/10/2007,96.99,0.010051377
26/10/2007,96.02,0.000208312
25/10/2007,96,0.01829127
24/10/2007,94.26,-0.007293516
23/10/2007,94.95,0.000210659
22/10/2007,94.93,0.010909392
19/10/2007,93.9,-0.031861844
18/10/2007,96.94,0.014024018
17/10/2007,95.59,-0.003654784
16/10/2007,95.94,0.011637181
15/10/2007,94.83,-0.01942417
12/10/2007,96.69,0.004457121
11/10/2007,96.26,-0.024829428
10/10/2007,98.68,-0.027683775
09/10/2007,101.45,0.00375272
08/10/2007,101.07,-0.011607449
05/10/2007,102.25,-0.021766276
04/10/2007,104.5,-0.00210305
03/10/2007,104.72,-0.011488377
02/10/2007,105.93,-0.006773946
01/10/2007,106.65,0.015687337
28/09/2007,104.99,-0.004466627
27/09/2007,105.46,0.009623246
26/09/2007,104.45,-0.004584973
25/09/2007,104.93,0.018079154
24/09/2007,103.05,0.004473845
21/09/2007,102.59,0.013147756
20/09/2007,101.25,0.01222254
19/09/2007,100.02,0.015618233
18/09/2007,98.47,-0.001724926
17/09/2007,98.64,-0.00717211
14/09/2007,99.35,0.004034297
13/09/2007,98.95,0.006387207
12/09/2007,98.32,0.008990661
11/09/2007,97.44,0.021892247
10/09/2007,95.33,0.005153295
07/09/2007,94.84,-0.014238096
06/09/2007,96.2,0.003749223
05/09/2007,95.84,-0.000834376
04/09/2007,95.92,-0.008098892
31/08/2007,96.7,-0.001549987
30/08/2007,96.85,-0.000516129
29/08/2007,96.9,0.012983823
28/08/2007,95.65,-0.029766861
27/08/2007,98.54,0.000710624
24/08/2007,98.47,0.017724966
23/08/2007,96.74,-0.012838465
22/08/2007,97.99,0.010670051
21/08/2007,96.95,-0.002678205
20/08/2007,97.21,0.013254828
17/08/2007,95.93,0.03381888
16/08/2007,92.74,-0.029431075
