Date,Close,BMY
20/02/2008,23.06,-0.004327138
19/02/2008,23.16,-0.006026708
15/02/2008,23.3,0.00387014
14/02/2008,23.21,-0.027620196
13/02/2008,23.86,0.028482265
12/02/2008,23.19,0.010403215
11/02/2008,22.95,-0.005215136
08/02/2008,23.07,-0.011635555
07/02/2008,23.34,-0.020356937
06/02/2008,23.82,0.016508311
05/02/2008,23.43,-0.025285797
04/02/2008,24.03,0.002917277
01/02/2008,23.96,0.04002237
31/01/2008,23.02,-0.010371744
30/01/2008,23.26,-0.014935204
29/01/2008,23.61,0.000847458
28/01/2008,23.59,0.026633877
25/01/2008,22.97,-0.016407967
24/01/2008,23.35,0.033089654
23/01/2008,22.59,-0.013192803
22/01/2008,22.89,-0.067156324
18/01/2008,24.48,-0.015403628
17/01/2008,24.86,-0.037889299
16/01/2008,25.82,-0.010785929
15/01/2008,26.1,-0.033531113
14/01/2008,26.99,0.019076696
11/01/2008,26.48,-0.016851176
10/01/2008,26.93,-0.005554541
09/01/2008,27.08,0.016381602
08/01/2008,26.64,0.022780028
07/01/2008,26.04,0.01119919
04/01/2008,25.75,-0.013883756
03/01/2008,26.11,-0.000765697
02/01/2008,26.13,-0.014815086
31/12/2007,26.52,-0.024214258
28/12/2007,27.17,-0.00806456
27/12/2007,27.39,-0.020596934
26/12/2007,27.96,-0.002143624
24/12/2007,28.02,0.001428572
21/12/2007,27.98,0.003221768
20/12/2007,27.89,-0.002506716
19/12/2007,27.96,-0.007482665
18/12/2007,28.17,0.012861914
17/12/2007,27.81,-0.009661911
14/12/2007,28.08,-0.02566497
13/12/2007,28.81,-0.002772965
12/12/2007,28.89,0.006598392
11/12/2007,28.7,-0.021031632
10/12/2007,29.31,0.002733176
07/12/2007,29.23,0.005144926
06/12/2007,29.08,-0.006170743
05/12/2007,29.26,0.006858737
04/12/2007,29.06,-0.015705342
03/12/2007,29.52,-0.003719362
30/11/2007,29.63,0.007792687
29/11/2007,29.4,0.009226103
28/11/2007,29.13,0.035287504
27/11/2007,28.12,0.018665294
26/11/2007,27.6,-0.017241806
23/11/2007,28.08,0.022327179
21/11/2007,27.46,-0.023394985
20/11/2007,28.11,0.00285002
19/11/2007,28.03,0.008599121
16/11/2007,27.79,0.001440404
15/11/2007,27.75,-0.012889545
14/11/2007,28.11,0.005350468
13/11/2007,27.96,-0.002857145
12/11/2007,28.04,-0.008876323
09/11/2007,28.29,-0.015433488
08/11/2007,28.73,0
07/11/2007,28.73,-0.017253706
06/11/2007,29.23,0.003427008
05/11/2007,29.13,0.008619257
02/11/2007,28.88,-0.009648593
01/11/2007,29.16,-0.028066086
31/10/2007,29.99,-0.000999833
30/10/2007,30.02,0.009707189
29/10/2007,29.73,-0.000672495
26/10/2007,29.75,0.013195928
25/10/2007,29.36,0.032540081
24/10/2007,28.42,-0.004213489
23/10/2007,28.54,-0.012880944
22/10/2007,28.91,-0.014082321
19/10/2007,29.32,-0.00882858
18/10/2007,29.58,-0.008416141
17/10/2007,29.83,0.019976964
16/10/2007,29.24,-0.016619002
15/10/2007,29.73,-0.001344538
12/10/2007,29.77,0.009110912
11/10/2007,29.5,-0.004397098
10/10/2007,29.63,-0.007397478
09/10/2007,29.85,-0.004012041
08/10/2007,29.97,-0.003996009
05/10/2007,30.09,0.01169995
04/10/2007,29.74,0
03/10/2007,29.74,0.021411183
02/10/2007,29.11,0.00275198
01/10/2007,29.03,0.007260187
28/09/2007,28.82,-0.006571008
27/09/2007,29.01,0.004145084
26/09/2007,28.89,0.012188902
25/09/2007,28.54,-0.008721493
24/09/2007,28.79,-0.007267725
21/09/2007,29,0.015989218
20/09/2007,28.54,-0.012880944
19/09/2007,28.91,0
18/09/2007,28.91,0.029129977
17/09/2007,28.08,-0.010627093
14/09/2007,28.38,-0.014690715
13/09/2007,28.8,0.016101153
12/09/2007,28.34,0.003888992
11/09/2007,28.23,0.008180732
10/09/2007,28,0.006808842
07/09/2007,27.81,-0.030455612
06/09/2007,28.67,-0.006258713
05/09/2007,28.85,-0.011716192
04/09/2007,29.19,0.001371272
31/08/2007,29.15,0.012079526
30/08/2007,28.8,-0.007265211
29/08/2007,29.01,0.009002831
28/08/2007,28.75,-0.022356907
27/08/2007,29.4,-0.00508907
24/08/2007,29.55,0.018787914
23/08/2007,29,0.008658063
