Date,Close,BAC
20/02/2008,42.97,0.007006101
19/02/2008,42.67,-0.000702823
15/02/2008,42.7,0.010831281
14/02/2008,42.24,-0.025477596
13/02/2008,43.33,0.011839953
12/02/2008,42.82,0.016007875
11/02/2008,42.14,-0.000474496
08/02/2008,42.16,-0.028296054
07/02/2008,43.37,0.024271903
06/02/2008,42.33,-0.00094451
05/02/2008,42.37,-0.038430655
04/02/2008,44.03,-0.022457715
01/02/2008,45.03,0.019736007
31/01/2008,44.15,0.044935767
30/01/2008,42.21,0.006417134
29/01/2008,41.94,0.017801769
28/01/2008,41.2,0.042644042
25/01/2008,39.48,-0.010582109
24/01/2008,39.9,-0.016652553
23/01/2008,40.57,0.081625588
22/01/2008,37.39,0.038718031
18/01/2008,35.97,-0.025797259
17/01/2008,36.91,-0.047098652
16/01/2008,38.69,0.0211579
15/01/2008,37.88,-0.034763552
14/01/2008,39.22,0.018528579
11/01/2008,38.5,-0.020566278
10/01/2008,39.3,0.014351861
09/01/2008,38.74,0.008554816
08/01/2008,38.41,-0.038058482
07/01/2008,39.9,0.001253919
04/01/2008,39.85,-0.011229064
03/01/2008,40.3,-0.00643089
02/01/2008,40.56,-0.017111148
31/12/2007,41.26,0.003885386
28/12/2007,41.1,-0.008720986
27/12/2007,41.46,-0.020057979
26/12/2007,42.3,0.000472925
24/12/2007,42.28,0.008551121
21/12/2007,41.92,0.012240642
20/12/2007,41.41,-0.004337356
19/12/2007,41.59,0.002166327
18/12/2007,41.5,-0.004807702
17/12/2007,41.7,-0.010970775
14/12/2007,42.16,-0.020890327
13/12/2007,43.05,-0.008788216
12/12/2007,43.43,-0.027703861
11/12/2007,44.65,-0.043604235
10/12/2007,46.64,0.027607448
07/12/2007,45.37,-0.012920359
06/12/2007,45.96,0.016010869
05/12/2007,45.23,0.011563393
04/12/2007,44.71,-0.016855578
03/12/2007,45.47,-0.01441073
30/11/2007,46.13,0.033057219
29/11/2007,44.63,-0.00491731
28/11/2007,44.85,0.043519796
27/11/2007,42.94,0.024995406
26/11/2007,41.88,-0.029874032
23/11/2007,43.15,0.023685009
21/11/2007,42.14,-0.014839514
20/11/2007,42.77,-0.001168361
19/11/2007,42.82,-0.035558282
16/11/2007,44.37,0.006557401
15/11/2007,44.08,-0.036748373
