Date,Close,MDLZ
20/02/2008,31.28,0.003202052
19/02/2008,31.18,-0.004799241
15/02/2008,31.33,0.06664735
14/02/2008,29.31,-0.008493341
13/02/2008,29.56,0.010884461
12/02/2008,29.24,-0.002732242
11/02/2008,29.32,0.017547328
08/02/2008,28.81,-0.020952166
07/02/2008,29.42,0.00545332
06/02/2008,29.26,0.010651192
05/02/2008,28.95,-0.017802593
04/02/2008,29.47,0.001698082
01/02/2008,29.42,0.005111614
31/01/2008,29.27,-0.006130809
30/01/2008,29.45,-0.024816834
29/01/2008,30.19,-0.008246789
28/01/2008,30.44,0.021920506
25/01/2008,29.78,-0.007360354
24/01/2008,30,-0.018167304
23/01/2008,30.55,0.022175325
22/01/2008,29.88,-0.008995563
18/01/2008,30.15,-0.016447739
17/01/2008,30.65,-0.017144201
16/01/2008,31.18,0.003856046
15/01/2008,31.06,-0.023545472
14/01/2008,31.8,-0.004079717
11/01/2008,31.93,-0.023829071
10/01/2008,32.7,0.028223303
09/01/2008,31.79,0.005994654
08/01/2008,31.6,-0.010702022
07/01/2008,31.94,0.01546016
04/01/2008,31.45,-0.011067307
03/01/2008,31.8,-0.007830894
02/01/2008,32.05,-0.017934927
31/12/2007,32.63,-0.00975915
28/12/2007,32.95,0.000607165
27/12/2007,32.93,-0.017758179
26/12/2007,33.52,0.004185357
24/12/2007,33.38,0.003601444
21/12/2007,33.26,0.010578911
20/12/2007,32.91,-0.003639676
19/12/2007,33.03,-0.000605327
18/12/2007,33.05,0.014629947
17/12/2007,32.57,-0.022466033
14/12/2007,33.31,-0.025197717
13/12/2007,34.16,0
12/12/2007,34.16,-0.003214967
11/12/2007,34.27,-0.015921598
10/12/2007,34.82,0.004028782
07/12/2007,34.68,-0.014882931
06/12/2007,35.2,0.010566998
05/12/2007,34.83,0.01242252
04/12/2007,34.4,-0.000581226
03/12/2007,34.42,-0.003769759
30/11/2007,34.55,0.006387943
29/11/2007,34.33,0.015558805
28/11/2007,33.8,0.017910927
27/11/2007,33.2,0.005436437
26/11/2007,33.02,-0.01263935
23/11/2007,33.44,0.019019441
21/11/2007,32.81,-0.007288219
20/11/2007,33.05,0.022954336
19/11/2007,32.3,-0.006480504
16/11/2007,32.51,0.004315666
15/11/2007,32.37,-0.018669249
14/11/2007,32.98,-0.010556575
13/11/2007,33.33,0.018777051
12/11/2007,32.71,0.000611621
09/11/2007,32.69,-0.012766131
08/11/2007,33.11,-0.006622541
07/11/2007,33.33,-0.001798562
06/11/2007,33.39,0.007213737
05/11/2007,33.15,0.010004631
02/11/2007,32.82,0.00060957
01/11/2007,32.8,-0.018426741
31/10/2007,33.41,0.024542968
30/10/2007,32.6,-0.011589029
29/10/2007,32.98,-0.00965608
