Date,Close,NKE
20/02/2008,61.2,0.001308045
19/02/2008,61.12,-0.018961754
15/02/2008,62.29,-0.000160527
14/02/2008,62.3,-0.004004811
13/02/2008,62.55,0.019045121
12/02/2008,61.37,0.011636614
11/02/2008,60.66,0.000329761
08/02/2008,60.64,-0.001976936
07/02/2008,60.76,0.01208724
06/02/2008,60.03,0.003838776
05/02/2008,59.8,-0.015596799
04/02/2008,60.74,-0.028724084
01/02/2008,62.51,0.022814678
31/01/2008,61.1,0.02821764
30/01/2008,59.4,0.035121383
29/01/2008,57.35,0.001046755
28/01/2008,57.29,0.022774398
25/01/2008,56,-0.024866813
24/01/2008,57.41,-0.001914209
23/01/2008,57.52,0.004006625
22/01/2008,57.29,0.01388545
18/01/2008,56.5,0.009246154
17/01/2008,55.98,-0.029742624
16/01/2008,57.67,0.010633762
15/01/2008,57.06,-0.062334464
14/01/2008,60.73,0.000494112
11/01/2008,60.7,-0.029862654
10/01/2008,62.54,0.009155955
09/01/2008,61.97,0.002261713
08/01/2008,61.83,-0.004518323
07/01/2008,62.11,0.005974987
04/01/2008,61.74,-0.015588905
03/01/2008,62.71,-0.009048399
02/01/2008,63.28,-0.015056746
31/12/2007,64.24,-0.001089071
28/12/2007,64.31,-0.01067213
27/12/2007,65,-0.016478859
26/12/2007,66.08,-0.01203384
24/12/2007,66.88,0.009162663
21/12/2007,66.27,0.00393106
20/12/2007,66.01,0.034053055
19/12/2007,63.8,0.000784006
18/12/2007,63.75,0.011041122
17/12/2007,63.05,-0.019942562
14/12/2007,64.32,-0.009901071
13/12/2007,64.96,0.007881966
12/12/2007,64.45,0.003886519
11/12/2007,64.2,-0.025528066
10/12/2007,65.86,0.007009018
07/12/2007,65.4,-0.000152894
06/12/2007,65.41,-0.008070086
05/12/2007,65.94,0.002125399
04/12/2007,65.8,-0.018072781
03/12/2007,67,0.020355019
30/11/2007,65.65,0.014421852
29/11/2007,64.71,-0.007697082
28/11/2007,65.21,0.02814897
27/11/2007,63.4,0.019430457
26/11/2007,62.18,-0.024935779
23/11/2007,63.75,0.013741036
21/11/2007,62.88,0.009587801
20/11/2007,62.28,0.004505962
19/11/2007,62,-0.010269667
16/11/2007,62.64,-0.006524011
15/11/2007,63.05,-0.002692644
14/11/2007,63.22,-0.012106114
13/11/2007,63.99,0.021961543
12/11/2007,62.6,0.00624952
09/11/2007,62.21,-0.017369571
08/11/2007,63.3,0.008248778
07/11/2007,62.78,-0.01909027
06/11/2007,63.99,0.009578467
05/11/2007,63.38,-0.007701413
02/11/2007,63.87,0.000783147
01/11/2007,63.82,-0.037519776
31/10/2007,66.26,0.02027663
30/10/2007,64.93,-0.004456404
29/10/2007,65.22,0.009396973
26/10/2007,64.61,0.011989244
25/10/2007,63.84,0.005970167
24/10/2007,63.46,-0.010346542
23/10/2007,64.12,0.014926823
22/10/2007,63.17,-0.002529646
19/10/2007,63.33,0.001105933
18/10/2007,63.26,0.001582028
17/10/2007,63.16,-0.011804654
16/10/2007,63.91,-0.000156458
15/10/2007,63.92,0.012119453
12/10/2007,63.15,0.034475064
11/10/2007,61.01,-0.013835982
10/10/2007,61.86,0.001455958
09/10/2007,61.77,0.028906595
08/10/2007,60.01,-0.005649733
05/10/2007,60.35,0.016540349
04/10/2007,59.36,0.002361276
03/10/2007,59.22,0.001013685
02/10/2007,59.16,-0.003880224
01/10/2007,59.39,0.012367798
28/09/2007,58.66,0.008388306
27/09/2007,58.17,-0.003774884
26/09/2007,58.39,-0.001027046
25/09/2007,58.45,0.011009917
24/09/2007,57.81,0.009559471
21/09/2007,57.26,-0.018342788
20/09/2007,58.32,-0.004106782
19/09/2007,58.56,-0.003919903
18/09/2007,58.79,0.043099633
17/09/2007,56.31,-0.016206097
14/09/2007,57.23,0.006134451
13/09/2007,56.88,0.014164543
12/09/2007,56.08,0.009855827
11/09/2007,55.53,0.00686667
10/09/2007,55.15,0.008193036
07/09/2007,54.7,-0.01991016
06/09/2007,55.8,0.005931535
05/09/2007,55.47,-0.016981372
04/09/2007,56.42,0.001418943
31/08/2007,56.34,0.010347996
30/08/2007,55.76,0.005394726
29/08/2007,55.46,0.035419796
28/08/2007,53.53,-0.006517107
27/08/2007,53.88,-0.004444452
24/08/2007,54.12,0.001664355
23/08/2007,54.03,-0.002956942
22/08/2007,54.19,0.001292586
21/08/2007,54.12,-0.004792636
20/08/2007,54.38,-0.001653652
17/08/2007,54.47,0.023779683
16/08/2007,53.19,-0.007118801
15/08/2007,53.57,-0.020142971
14/08/2007,54.66,-0.026894501
13/08/2007,56.15,0.006611299
10/08/2007,55.78,0.034284904
09/08/2007,53.9,-0.04905517
08/08/2007,56.61,-0.025291311
07/08/2007,58.06,0.010213886
06/08/2007,57.47,0.017022434
03/08/2007,56.5,-0.007933052
02/08/2007,56.95,0.000878349
01/08/2007,56.9,0.007940051
31/07/2007,56.45,-0.006885013
30/07/2007,56.84,0.024938948
27/07/2007,55.44,-0.025993986
26/07/2007,56.9,-0.016212331
25/07/2007,57.83,-0.008951687
24/07/2007,58.35,-0.017834868
23/07/2007,59.4,0.01492565
20/07/2007,58.52,-0.022138631
19/07/2007,59.83,0.002510252
18/07/2007,59.68,0.003861333
17/07/2007,59.45,0.011333962
16/07/2007,58.78,-0.00390526
13/07/2007,59.01,-0.007596897
12/07/2007,59.46,0.01713213
11/07/2007,58.45,0
10/07/2007,58.45,-0.01072077
09/07/2007,59.08,-0.009936924
06/07/2007,59.67,0.00537726
05/07/2007,59.35,0.006253718
03/07/2007,58.98,0.009882514
02/07/2007,58.4,0.001885338
29/06/2007,58.29,0
28/06/2007,58.29,0
27/06/2007,58.29,0.079785407
26/06/2007,53.82,0.000185822
25/06/2007,53.81,0.016111251
22/06/2007,52.95,-0.011827792
21/06/2007,53.58,-0.000932749
20/06/2007,53.63,-0.016092089
19/06/2007,54.5,0.016092089
18/06/2007,53.63,0.003923405
15/06/2007,53.42,-0.004855285
14/06/2007,53.68,0.00373274
13/06/2007,53.48,0.005437343
12/06/2007,53.19,-0.003940337
11/06/2007,53.4,0.008273834
08/06/2007,52.96,-0.021297274
07/06/2007,54.1,-0.029325478
06/06/2007,55.71,-0.020959915
05/06/2007,56.89,-0.005958658
04/06/2007,57.23,0.009480408
01/06/2007,56.69,-0.001057828
31/05/2007,56.75,0.018137055
30/05/2007,55.73,0.018289328
29/05/2007,54.72,0.008073438
25/05/2007,54.28,-0.003494256
24/05/2007,54.47,-0.006404999
23/05/2007,54.82,-0.005638942
22/05/2007,55.13,0.008196021
21/05/2007,54.68,0.026500207
18/05/2007,53.25,0.005649733
17/05/2007,52.95,-0.000755144
16/05/2007,52.99,0.007767397
15/05/2007,52.58,-0.005500251
14/05/2007,52.87,-0.003021721
11/05/2007,53.03,-0.00526614
10/05/2007,53.31,-0.011377536
09/05/2007,53.92,0.0031578
08/05/2007,53.75,-0.00223007
07/05/2007,53.87,0.01082504
04/05/2007,53.29,0.00018767
03/05/2007,53.28,-0.003746726
02/05/2007,53.48,0.009204536
01/05/2007,52.99,-0.016284871
30/04/2007,53.86,-0.004815716
27/04/2007,54.12,0.005187118
26/04/2007,53.84,0.004094553
25/04/2007,53.62,0.00205358
24/04/2007,53.51,-0.000933968
23/04/2007,53.56,0.000560276
20/04/2007,53.53,0.000934492
19/04/2007,53.48,-0.00763718
18/04/2007,53.89,-0.004813042
17/04/2007,54.15,-0.004054558
16/04/2007,54.37,0.013331062
13/04/2007,53.65,-0.010752792
12/04/2007,54.23,0.004435417
11/04/2007,53.99,-0.00037037
10/04/2007,54.01,0.002038737
09/04/2007,53.9,0.007822726
05/04/2007,53.48,-0.002054731
04/04/2007,53.59,0.007304087
03/04/2007,53.2,-0.693429096
02/04/2007,106.43,0.001598571
30/03/2007,106.26,0.012214326
29/03/2007,104.97,-0.001523085
28/03/2007,105.13,-0.013604367
27/03/2007,106.57,-0.020617372
26/03/2007,108.79,-0.002387074
23/03/2007,109.05,0.004135085
22/03/2007,108.6,-0.00229938
21/03/2007,108.85,-0.003668046
20/03/2007,109.25,0.008549025
19/03/2007,108.32,0.00787807
16/03/2007,107.47,0.016985347
15/03/2007,105.66,0.007981798
14/03/2007,104.82,0.002101042
13/03/2007,104.6,-0.00951482
12/03/2007,105.6,-0.002364626
09/03/2007,105.85,0.011879446
08/03/2007,104.6,9.56069E-05
07/03/2007,104.59,-0.004864333
06/03/2007,105.1,0.025439799
05/03/2007,102.46,-0.01357136
02/03/2007,103.86,-0.013674609
01/03/2007,105.29,0.007818499
28/02/2007,104.47,0.004797553
27/02/2007,103.97,-0.036453517
26/02/2007,107.83,-0.001945616
23/02/2007,108.04,-0.001757063
22/02/2007,108.23,0.010402249
21/02/2007,107.11,0.002804789
20/02/2007,106.81,0.00478627
16/02/2007,106.3,0.00745955
15/02/2007,105.51,0.00123287
14/02/2007,105.38,0.001709564
13/02/2007,105.2,0.007921022
12/02/2007,104.37,0.007404948
09/02/2007,103.6,0.002029084
08/02/2007,103.39,0.004750603
07/02/2007,102.9,0.016955373
06/02/2007,101.17,0.01744897
05/02/2007,99.42,-0.007814888
02/02/2007,100.2,-0.004778982
01/02/2007,100.68,0.018748356
31/01/2007,98.81,0.010785615
