Date,Close,LOW
20/02/2008,23.31,0.007319731
19/02/2008,23.14,-0.008177364
15/02/2008,23.33,-0.009385734
14/02/2008,23.55,-0.025986374
13/02/2008,24.17,-0.00082713
12/02/2008,24.19,-0.003301695
11/02/2008,24.27,0.027570669
08/02/2008,23.61,-0.015549799
07/02/2008,23.98,0.013011726
06/02/2008,23.67,-0.017588393
05/02/2008,24.09,-0.02824006
04/02/2008,24.78,-0.03060044
01/02/2008,25.55,-0.033862412
31/01/2008,26.43,0.042115554
30/01/2008,25.34,-0.017602645
29/01/2008,25.79,0.015237646
28/01/2008,25.4,0.027541154
25/01/2008,24.71,-0.027934777
24/01/2008,25.41,-0.02449102
23/01/2008,26.04,0.059329378
22/01/2008,24.54,0.100662702
18/01/2008,22.19,0.018190588
17/01/2008,21.79,0.007832337
16/01/2008,21.62,0.040109174
15/01/2008,20.77,-0.003364579
14/01/2008,20.84,0.025760841
11/01/2008,20.31,-0.02287761
10/01/2008,20.78,0.005791522
09/01/2008,20.66,0.006799443
08/01/2008,20.52,-0.028346842
07/01/2008,21.11,0.001422138
04/01/2008,21.08,-0.031748698
03/01/2008,21.76,-0.01911756
02/01/2008,22.18,-0.019643489
31/12/2007,22.62,-0.001766785
28/12/2007,22.66,-0.021825397
27/12/2007,23.16,-0.001294499
26/12/2007,23.19,-0.012001859
24/12/2007,23.47,0.005126026
21/12/2007,23.35,0.021208326
20/12/2007,22.86,0.001313198
19/12/2007,22.83,-0.008287943
18/12/2007,23.02,0.012237915
17/12/2007,22.74,0.000879894
14/12/2007,22.72,-0.015720848
13/12/2007,23.08,-0.015050811
12/12/2007,23.43,-0.00722946
11/12/2007,23.6,-0.059227834
10/12/2007,25.04,-0.00159617
07/12/2007,25.08,0.003594971
06/12/2007,24.99,0.018171306
05/12/2007,24.54,0.010651473
04/12/2007,24.28,0.006197087
03/12/2007,24.13,-0.011537005
30/11/2007,24.41,0.032052692
29/11/2007,23.64,0.007217183
28/11/2007,23.47,0.060597992
27/11/2007,22.09,0.011381867
26/11/2007,21.84,-0.01949733
23/11/2007,22.27,0.007210486
21/11/2007,22.11,-0.01792966
20/11/2007,22.51,-0.026738389
19/11/2007,23.12,-0.078577701
16/11/2007,25.01,-0.001598083
15/11/2007,25.05,0.00841857
14/11/2007,24.84,-0.00841857
13/11/2007,25.05,0.02752096
12/11/2007,24.37,0.018637939
09/11/2007,23.92,-0.025181929
08/11/2007,24.53,0.006133734
07/11/2007,24.38,-0.014253957
06/11/2007,24.73,-0.01604527
05/11/2007,25.13,-0.034034186
02/11/2007,26,-0.005752652
01/11/2007,26.15,-0.02790528
31/10/2007,26.89,-0.003711957
30/10/2007,26.99,-0.007750546
29/10/2007,27.2,0.001839927
26/10/2007,27.15,0.006651909
25/10/2007,26.97,-0.007756272
24/10/2007,27.18,0.01706906
23/10/2007,26.72,-0.007457156
22/10/2007,26.92,0.029785425
19/10/2007,26.13,-0.035711369
18/10/2007,27.08,-0.011017372
17/10/2007,27.38,-0.01342302
16/10/2007,27.75,-0.014666691
15/10/2007,28.16,-0.026976588
12/10/2007,28.93,-0.001381693
11/10/2007,28.97,-0.003445903
10/10/2007,29.07,0.002066116
09/10/2007,29.01,0.008655065
08/10/2007,28.76,-0.018260628
05/10/2007,29.29,0.022441819
04/10/2007,28.64,-0.010074777
03/10/2007,28.93,0.007633625
02/10/2007,28.71,0.000348371
01/10/2007,28.7,0.023978582
28/09/2007,28.02,-0.009943264
27/09/2007,28.3,-0.009145333
26/09/2007,28.56,0.001752235
25/09/2007,28.51,-0.069109783
24/09/2007,30.55,-0.002288705
21/09/2007,30.62,-0.014589333
20/09/2007,31.07,-0.026990049
19/09/2007,31.92,0.000940292
18/09/2007,31.89,0.036077336
17/09/2007,30.76,-0.001299545
14/09/2007,30.8,0.004229712
13/09/2007,30.67,0.030455846
12/09/2007,29.75,-0.011031367
11/09/2007,30.08,0.010695289
10/09/2007,29.76,0.011150648
07/09/2007,29.43,-0.026158433
06/09/2007,30.21,0.000993542
05/09/2007,30.18,-0.022281394
04/09/2007,30.86,-0.006459971
31/08/2007,31.06,0.025763695
30/08/2007,30.27,0.0039722
29/08/2007,30.15,0.039578986
28/08/2007,28.98,-0.021843872
27/08/2007,29.62,-0.019392116
24/08/2007,30.2,0.019054563
23/08/2007,29.63,-0.006391948
22/08/2007,29.82,0.030991753
21/08/2007,28.91,0.014283469
20/08/2007,28.5,0.058893665
17/08/2007,26.87,0.00223547
16/08/2007,26.81,0.018065979
15/08/2007,26.33,-0.0158255
14/08/2007,26.75,-0.02910502
13/08/2007,27.54,-0.007956642
10/08/2007,27.76,0.011958831
09/08/2007,27.43,-0.037213596
08/08/2007,28.47,0.019507623
07/08/2007,27.92,-0.004288784
06/08/2007,28.04,0.021265894
03/08/2007,27.45,-0.036484733
02/08/2007,28.47,0.005635802
01/08/2007,28.31,0.01065351
31/07/2007,28.01,-0.007114936
30/07/2007,28.21,0.015720224
27/07/2007,27.77,-0.0210234
