Date,Close,HAL
20/02/2008,36.72,0.01067772
19/02/2008,36.33,0.013579258
15/02/2008,35.84,0
14/02/2008,35.84,0.004754589
13/02/2008,35.67,0.031323745
12/02/2008,34.57,-0.000578369
11/02/2008,34.59,0.024880546
08/02/2008,33.74,0.004753425
07/02/2008,33.58,0.003579956
06/02/2008,33.46,-0.018653391
05/02/2008,34.09,-0.018023744
04/02/2008,34.71,0.028640181
01/02/2008,33.73,0.016741796
31/01/2008,33.17,0.003321761
30/01/2008,33.06,-0.020063557
29/01/2008,33.73,0.005350786
28/01/2008,33.55,0.013805741
25/01/2008,33.09,0.021999054
24/01/2008,32.37,0.022178013
23/01/2008,31.66,-0.009118126
22/01/2008,31.95,-0.013986242
18/01/2008,32.4,-0.027398974
17/01/2008,33.3,-0.036271114
16/01/2008,34.53,-0.023752726
15/01/2008,35.36,-0.031457013
14/01/2008,36.49,0.015744007
11/01/2008,35.92,-0.007488594
10/01/2008,36.19,-0.015083242
09/01/2008,36.74,0.004911333
08/01/2008,36.56,-0.021378165
07/01/2008,37.35,-0.017516371
04/01/2008,38.01,-0.028784562
03/01/2008,39.12,0.011052676
02/01/2008,38.69,0.020366239
31/12/2007,37.91,-0.002897408
28/12/2007,38.02,0.002106373
27/12/2007,37.94,-0.005519793
26/12/2007,38.15,0.018252061
24/12/2007,37.46,0.004548503
21/12/2007,37.29,0.020317643
20/12/2007,36.54,0.009624713
19/12/2007,36.19,-0.007158621
18/12/2007,36.45,-0.006017524
17/12/2007,36.67,-0.025045068
14/12/2007,37.6,-0.029093914
13/12/2007,38.71,0.002845688
12/12/2007,38.6,0.019093035
11/12/2007,37.87,-0.004478996
10/12/2007,38.04,0.012964859
07/12/2007,37.55,-0.006106484
06/12/2007,37.78,0.023568311
05/12/2007,36.9,0.01666933
04/12/2007,36.29,-0.010689426
03/12/2007,36.68,0.00191022
30/11/2007,36.61,0.000546448
29/11/2007,36.59,0.020431412
28/11/2007,35.85,0.0217124
27/11/2007,35.08,-0.021154364
26/11/2007,35.83,-0.026984016
23/11/2007,36.81,0.011475536
21/11/2007,36.39,-0.020400544
20/11/2007,37.14,0.021775493
19/11/2007,36.34,-0.018539244
16/11/2007,37.02,0.012230075
15/11/2007,36.57,-0.012230075
14/11/2007,37.02,-0.011548403
13/11/2007,37.45,0.017237163
12/11/2007,36.81,-0.044109169
09/11/2007,38.47,-0.035243688
08/11/2007,39.85,-0.002255923
07/11/2007,39.94,-0.017374475
06/11/2007,40.64,0.021891421
05/11/2007,39.76,-0.013738195
02/11/2007,40.31,0.028433165
01/11/2007,39.18,-0.006106889
31/10/2007,39.42,0.007383866
30/10/2007,39.13,-0.036632295
29/10/2007,40.59,-0.01685639
26/10/2007,41.28,0.006562182
25/10/2007,41.01,0.011526798
24/10/2007,40.54,0.006185842
23/10/2007,40.29,0.024115713
22/10/2007,39.33,0.01227951
19/10/2007,38.85,-0.054107863
18/10/2007,41.01,-0.004136762
17/10/2007,41.18,-0.001698411
16/10/2007,41.25,-0.005560271
15/10/2007,41.48,0.007744472
12/10/2007,41.16,0.012960201
11/10/2007,40.63,0.014378036
10/10/2007,40.05,0.014841173
09/10/2007,39.46,0.015064756
08/10/2007,38.87,-0.002825949
05/10/2007,38.98,-0.01350511
04/10/2007,39.51,0.009664368
03/10/2007,39.13,0.001278609
02/10/2007,39.08,0.006160184
01/10/2007,38.84,0.011393184
28/09/2007,38.4,-0.005453851
27/09/2007,38.61,0.005453851
26/09/2007,38.4,0.0104713
25/09/2007,38,-0.014888612
24/09/2007,38.57,-0.009804
21/09/2007,38.95,0.015524245
20/09/2007,38.35,0.008642191
19/09/2007,38.02,0.010842365
18/09/2007,37.61,0.023403893
17/09/2007,36.74,-0.010020395
14/09/2007,37.11,0.006759523
13/09/2007,36.86,0.006532413
12/09/2007,36.62,0.021809008
11/09/2007,35.83,0.016036354
10/09/2007,35.26,0.000567376
07/09/2007,35.24,-0.009601881
06/09/2007,35.58,0.006768215
05/09/2007,35.34,0.009953161
04/09/2007,34.99,0.011497683
31/08/2007,34.59,0.0136809
30/08/2007,34.12,0.012089193
29/08/2007,33.71,0.022803268
28/08/2007,32.95,-0.014163262
27/08/2007,33.42,-0.009233126
24/08/2007,33.73,0.010730356
23/08/2007,33.37,0.023345004
22/08/2007,32.6,0.005536772
21/08/2007,32.42,-0.006456594
20/08/2007,32.63,0.011714067
17/08/2007,32.25,0.00872008
16/08/2007,31.97,-0.017364777
15/08/2007,32.53,-0.01100592
14/08/2007,32.89,-0.009983444
13/08/2007,33.22,-0.000300978
10/08/2007,33.23,-0.006299706
09/08/2007,33.44,-0.030336592
08/08/2007,34.47,-0.00636208
07/08/2007,34.69,0.011306107
06/08/2007,34.3,0.000875018
03/08/2007,34.27,-0.034134965
02/08/2007,35.46,-0.005624312
01/08/2007,35.66,-0.010044727
31/07/2007,36.02,-0.008569506
30/07/2007,36.33,0.007459628
27/07/2007,36.06,-0.022213994
26/07/2007,36.87,-0.018275166
25/07/2007,37.55,0.008289926
24/07/2007,37.24,-0.013337088
23/07/2007,37.74,0.031492308
20/07/2007,36.57,0.004659458
19/07/2007,36.4,0.020819628
18/07/2007,35.65,0.009866183
17/07/2007,35.3,-0.003675955
16/07/2007,35.43,-0.002255428
13/07/2007,35.51,0.014752041
12/07/2007,34.99,0.016424516
11/07/2007,34.42,-0.01585276
10/07/2007,34.97,-0.003425639
09/07/2007,35.09,0.00657615
06/07/2007,34.86,0.010380716
05/07/2007,34.5,-0.010380716
03/07/2007,34.86,-0.002578429
02/07/2007,34.95,0.012959145
29/06/2007,34.5,-0.000579542
28/06/2007,34.52,-0.008365836
27/06/2007,34.81,0.010976424
26/06/2007,34.43,-0.018132602
25/06/2007,35.06,-0.018649877
22/06/2007,35.72,-0.005026539
21/06/2007,35.9,0.019975344
20/06/2007,35.19,-0.028297167
19/06/2007,36.2,0.007764875
18/06/2007,35.92,-0.012450016
15/06/2007,36.37,0.003029054
14/06/2007,36.26,0.021182509
13/06/2007,35.5,0.023369545
12/06/2007,34.68,-0.016586025
11/06/2007,35.26,0.000567376
08/06/2007,35.24,0.005976964
07/06/2007,35.03,-0.021463688
06/06/2007,35.79,-0.014975321
05/06/2007,36.33,-0.003023226
04/06/2007,36.44,0.016881541
01/06/2007,35.83,-0.003343553
31/05/2007,35.95,-0.004163781
30/05/2007,36.1,0.008624341
29/05/2007,35.79,-0.009178204
25/05/2007,36.12,0.006109433
24/05/2007,35.9,-0.021766943
23/05/2007,36.69,0.010686497
22/05/2007,36.3,-0.011231456
21/05/2007,36.71,0.006833428
18/05/2007,36.46,0.003021565
17/05/2007,36.35,0.021129504
16/05/2007,35.59,0.045116113
15/05/2007,34.02,-0.001468645
14/05/2007,34.07,0.01508235
11/05/2007,33.56,0.022601535
10/05/2007,32.81,-0.01030937
09/05/2007,33.15,0.023810649
08/05/2007,32.37,0.003403995
07/05/2007,32.26,-0.000619771
04/05/2007,32.28,0.000309837
03/05/2007,32.27,0.010591999
02/05/2007,31.93,0.017056636
01/05/2007,31.39,-0.012033077
30/04/2007,31.77,0.000629723
27/04/2007,31.75,0.003786688
26/04/2007,31.63,0.002849456
25/04/2007,31.54,0.014370357
24/04/2007,31.09,-0.013418732
23/04/2007,31.51,-0.004433193
20/04/2007,31.65,-0.011622559
19/04/2007,32.02,-0.010562385
18/04/2007,32.36,-0.006775511
17/04/2007,32.58,-0.01007796
16/04/2007,32.91,0.007319337
13/04/2007,32.67,-0.001529286
12/04/2007,32.72,0.008286069
11/04/2007,32.45,-0.012555669
10/04/2007,32.86,0.007943824
09/04/2007,32.6,-0.010375436
05/04/2007,32.94,0.00304044
04/04/2007,32.84,0.002439026
03/04/2007,32.76,0.015070253
02/04/2007,32.27,0.016560291
30/03/2007,31.74,-0.009407407
29/03/2007,32.04,0.023047587
28/03/2007,31.31,0.00866084
27/03/2007,31.04,-0.010575327
26/03/2007,31.37,0.009287497
23/03/2007,31.08,0.010674531
22/03/2007,30.75,0.001953126
21/03/2007,30.69,0.006210185
20/03/2007,30.5,-0.060431739
19/03/2007,32.4,0.010549276
16/03/2007,32.06,-0.002492213
15/03/2007,32.14,0.009692119
14/03/2007,31.83,0.000942952
13/03/2007,31.8,-0.012189556
12/03/2007,32.19,0.005295138
09/03/2007,32.02,0.009098102
08/03/2007,31.73,0.008863622
07/03/2007,31.45,0.015379989
06/03/2007,30.97,0.022531565
05/03/2007,30.28,-0.022854406
02/03/2007,30.98,-0.011553402
01/03/2007,31.34,0.013492013
28/02/2007,30.92,0.006163848
27/02/2007,30.73,-0.037366634
26/02/2007,31.9,0.011032421
23/02/2007,31.55,0.001268633
22/02/2007,31.51,0.040147833
21/02/2007,30.27,0.007627296
20/02/2007,30.04,-0.000332834
16/02/2007,30.05,-0.010921836
15/02/2007,30.38,-0.010478157
14/02/2007,30.7,0.001629992
13/02/2007,30.65,0.030476025
12/02/2007,29.73,-0.006036236
09/02/2007,29.91,0.006372653
08/02/2007,29.72,0.002695419
07/02/2007,29.64,-0.008399176
06/02/2007,29.89,0.002344667
05/02/2007,29.82,0.002350177
02/02/2007,29.75,0.004379323
01/02/2007,29.62,0.002704532
31/01/2007,29.54,0.0074754
30/01/2007,29.32,0.019284344
29/01/2007,28.76,-0.01346938
26/01/2007,29.15,-0.020038028
25/01/2007,29.74,-0.013691982
24/01/2007,30.15,0.014028286
23/01/2007,29.73,0.01388676
22/01/2007,29.32,-0.001703868
19/01/2007,29.37,0.025518626
18/01/2007,28.63,-0.014907539
17/01/2007,29.06,0.008987271
16/01/2007,28.8,-0.011049836
12/01/2007,29.12,0.029624052
11/01/2007,28.27,-0.00317853
10/01/2007,28.36,-0.012265792
09/01/2007,28.71,-0.008670073
08/01/2007,28.96,-0.001380262
05/01/2007,29,-0.007899749
04/01/2007,29.23,-0.021659053
03/01/2007,29.87,-0.038744176
29/12/2006,31.05,-0.006740517
28/12/2006,31.26,-0.002874942
27/12/2006,31.35,0.005758173
26/12/2006,31.17,-0.009260804
22/12/2006,31.46,-0.009490739
21/12/2006,31.76,-0.006277485
20/12/2006,31.96,-0.010582109
19/12/2006,32.3,0.011208087
18/12/2006,31.94,-0.028701245
15/12/2006,32.87,-0.010591717
14/12/2006,33.22,0.015165592
13/12/2006,32.72,0.014468468
12/12/2006,32.25,-0.010794245
11/12/2006,32.6,-0.006421059
08/12/2006,32.81,-0.003043216
07/12/2006,32.91,-0.00786929
06/12/2006,33.17,-0.001205182
05/12/2006,33.21,-0.002706362
04/12/2006,33.3,-0.006883163
01/12/2006,33.53,-0.006243517
30/11/2006,33.74,0.002968242
29/11/2006,33.64,0.028034994
28/11/2006,32.71,0.025701988
27/11/2006,31.88,-0.012778731
24/11/2006,32.29,-0.009861405
22/11/2006,32.61,-0.001532098
21/11/2006,32.66,0.010155496
20/11/2006,32.33,-0.008316697
17/11/2006,32.6,0.002764554
16/11/2006,32.51,-0.031489129
15/11/2006,33.55,0.04511585
14/11/2006,32.07,0.00249766
13/11/2006,31.99,0.006271579
10/11/2006,31.79,-0.010015733
09/11/2006,32.11,0.00750238
08/11/2006,31.87,0.005348448
07/11/2006,31.7,-0.025538604
06/11/2006,32.52,0.023018124
03/11/2006,31.78,0.018419066
02/11/2006,31.2,-0.010521379
01/11/2006,31.53,-0.025674547
