Date,Close,MON
20/02/2008,119.05,0.009961251
19/02/2008,117.87,0.021611338
15/02/2008,115.35,-0.00570541
14/02/2008,116.01,0.01739023
13/02/2008,114.01,-0.009080653
12/02/2008,115.05,0.008905245
11/02/2008,114.03,0.036708743
08/02/2008,109.92,0.056035233
07/02/2008,103.93,-0.023299994
06/02/2008,106.38,-0.011124209
05/02/2008,107.57,-0.060422271
04/02/2008,114.27,-0.002883735
01/02/2008,114.6,0.026616364
31/01/2008,111.59,0.000268877
30/01/2008,111.56,0.011086688
29/01/2008,110.33,-0.002805813
28/01/2008,110.64,0.02294748
25/01/2008,108.13,-0.021681314
24/01/2008,110.5,0.055924148
23/01/2008,104.49,0.007685694
22/01/2008,103.69,-0.019672139
18/01/2008,105.75,0.059815257
17/01/2008,99.61,-0.12346686
16/01/2008,112.7,-0.090215349
15/01/2008,123.34,-0.031208886
14/01/2008,127.25,0.053425646
11/01/2008,120.63,-0.01162085
10/01/2008,122.04,0.020697816
09/01/2008,119.54,-0.004007352
08/01/2008,120.02,-0.003493308
07/01/2008,120.44,0.006748057
04/01/2008,119.63,-0.010725524
03/01/2008,120.92,0.081373674
02/01/2008,111.47,-0.00197168
31/12/2007,111.69,0.003947256
28/12/2007,111.25,-0.010284016
27/12/2007,112.4,-0.025733647
26/12/2007,115.33,0.007484804
24/12/2007,114.47,0.027993678
21/12/2007,111.31,0.02593766
20/12/2007,108.46,0.051264179
19/12/2007,103.04,0.019897741
18/12/2007,101.01,-0.001780416
17/12/2007,101.19,-0.032187134
14/12/2007,104.5,-0.004678036
13/12/2007,104.99,0.018747845
12/12/2007,103.04,0.003597301
11/12/2007,102.67,-0.063125231
10/12/2007,109.36,0.028944507
07/12/2007,106.24,-0.001692843
06/12/2007,106.42,0.015244342
05/12/2007,104.81,0.03317472
04/12/2007,101.39,-0.002167489
03/12/2007,101.61,0.022291698
30/11/2007,99.37,0.012149588
29/11/2007,98.17,-0.009529675
28/11/2007,99.11,0.075094154
27/11/2007,91.94,0.028798813
26/11/2007,89.33,-0.012017503
23/11/2007,90.41,0.030090965
21/11/2007,87.73,-0.057474992
20/11/2007,92.92,0.022419048
19/11/2007,90.86,-0.036949218
16/11/2007,94.28,0.016361377
15/11/2007,92.75,-0.021228596
14/11/2007,94.74,0.011038108
13/11/2007,93.7,0.048880883
12/11/2007,89.23,-0.080706286
09/11/2007,96.73,-0.0159987
08/11/2007,98.29,0.038687739
07/11/2007,94.56,-0.022792414
06/11/2007,96.74,0.035242694
05/11/2007,93.39,-0.011074546
02/11/2007,94.43,0.006587359
01/11/2007,93.81,-0.039913363
31/10/2007,97.63,0.04858533
30/10/2007,93,-0.026945515
29/10/2007,95.54,0.01327593
26/10/2007,94.28,0.01949296
25/10/2007,92.46,0.029970957
24/10/2007,89.73,-0.001113834
23/10/2007,89.83,0.030402975
22/10/2007,87.14,-0.012431021
19/10/2007,88.23,-0.027610316
18/10/2007,90.7,0.024780819
17/10/2007,88.48,-0.027423411
16/10/2007,90.94,-0.004498334
15/10/2007,91.35,-0.023690869
12/10/2007,93.54,0.029840005
11/10/2007,90.79,0.022387748
10/10/2007,88.78,-0.008300665
09/10/2007,89.52,0.019742307
08/10/2007,87.77,0.00961656
05/10/2007,86.93,0.025279464
04/10/2007,84.76,0.006153866
03/10/2007,84.24,-0.005327663
02/10/2007,84.69,-0.01208864
01/10/2007,85.72,-0.000233291
28/09/2007,85.74,0.014094666
27/09/2007,84.54,0.009388624
26/09/2007,83.75,0.035364278
25/09/2007,80.84,0.021253457
24/09/2007,79.14,0.004178544
21/09/2007,78.81,-0.002914161
20/09/2007,79.04,-0.016811336
19/09/2007,80.38,0.031596209
18/09/2007,77.88,0.031831542
17/09/2007,75.44,0.026052232
14/09/2007,73.5,0.015493557
13/09/2007,72.37,0.008185963
12/09/2007,71.78,0.000975678
11/09/2007,71.71,0.016592057
10/09/2007,70.53,0.008972502
07/09/2007,69.9,-0.011945535
06/09/2007,70.74,0.003540328
05/09/2007,70.49,-0.013387081
04/09/2007,71.44,0.024083895
31/08/2007,69.74,0.012843816
30/08/2007,68.85,0.015810606
29/08/2007,67.77,0.03468035
28/08/2007,65.46,-0.03468035
27/08/2007,67.77,-0.003241016
24/08/2007,67.99,0.03593739
23/08/2007,65.59,-0.013778702
22/08/2007,66.5,0.036757584
21/08/2007,64.1,0.005004702
20/08/2007,63.78,0.010877383
17/08/2007,63.09,0.005881902
16/08/2007,62.72,-0.011886977
15/08/2007,63.47,-0.032245857
14/08/2007,65.55,-0.029906805
13/08/2007,67.54,-0.010603929
10/08/2007,68.26,-0.017571061
09/08/2007,69.47,0.0067885
08/08/2007,69,0.049312039
07/08/2007,65.68,0.027318621
06/08/2007,63.91,-0.002656459
03/08/2007,64.08,-0.013947227
02/08/2007,64.98,-0.00291971
01/08/2007,65.17,0.011109511
31/07/2007,64.45,-0.009112736
30/07/2007,65.04,0.024750271
27/07/2007,63.45,-0.02074472
26/07/2007,64.78,-0.026205034
25/07/2007,66.5,-0.029047685
24/07/2007,68.46,-0.018381008
23/07/2007,69.73,0.009944594
20/07/2007,69.04,-0.008940218
19/07/2007,69.66,0.000574383
18/07/2007,69.62,0.003453241
17/07/2007,69.38,-0.005892091
16/07/2007,69.79,-0.003861285
13/07/2007,70.06,0.023248466
12/07/2007,68.45,0.037055054
11/07/2007,65.96,0.006540445
10/07/2007,65.53,-0.024122985
09/07/2007,67.13,0.004329334
06/07/2007,66.84,0.006454056
05/07/2007,66.41,-0.01450059
03/07/2007,67.38,-0.017798514
02/07/2007,68.59,0.015426737
29/06/2007,67.54,0.012814957
28/06/2007,66.68,0.010250316
27/06/2007,66,-0.018167304
26/06/2007,67.21,-0.000446263
25/06/2007,67.24,-0.004599756
22/06/2007,67.55,0.005641345
21/06/2007,67.17,0.017723504
20/06/2007,65.99,-0.021735098
19/06/2007,67.44,0.021735098
18/06/2007,65.99,0.017272115
15/06/2007,64.86,0.024187806
14/06/2007,63.31,0.016242395
13/06/2007,62.29,0.035292014
12/06/2007,60.13,-0.012231557
11/06/2007,60.87,0.007089305
08/06/2007,60.44,0.02106749
07/06/2007,59.18,-0.025360051
06/06/2007,60.7,-0.021996814
05/06/2007,62.05,0.007765773
04/06/2007,61.57,-0.01066246
01/06/2007,62.23,0.010175328
31/05/2007,61.6,-0.001135718
30/05/2007,61.67,0.019484857
29/05/2007,60.48,-0.000661157
25/05/2007,60.52,0.011633836
24/05/2007,59.82,-0.011138009
23/05/2007,60.49,-0.007903878
22/05/2007,60.97,-0.014006744
21/05/2007,61.83,0
18/05/2007,61.83,-0.009016323
17/05/2007,62.39,0.0101491
16/05/2007,61.76,0.012218121
15/05/2007,61.01,0.045435692
14/05/2007,58.3,-0.004278997
11/05/2007,58.55,0.011681974
10/05/2007,57.87,-0.02086259
09/05/2007,59.09,0.003390408
08/05/2007,58.89,-0.013828214
07/05/2007,59.71,0.004027527
04/05/2007,59.47,-0.000504329
03/05/2007,59.5,0.014729802
02/05/2007,58.63,0.015296337
01/05/2007,57.74,-0.021417764
30/04/2007,58.99,-0.021964166
27/04/2007,60.3,0.005487667
26/04/2007,59.97,-0.001999001
25/04/2007,60.09,0.019323461
24/04/2007,58.94,-0.001017467
23/04/2007,59,-0.003721879
20/04/2007,59.22,0.017373968
19/04/2007,58.2,-0.00188825
18/04/2007,58.31,-0.007687746
17/04/2007,58.76,-0.001700391
16/04/2007,58.86,0.008188377
13/04/2007,58.38,0.003603608
12/04/2007,58.17,0.017165571
11/04/2007,57.18,-0.006276171
10/04/2007,57.54,-0.012950194
09/04/2007,58.29,0.012776417
05/04/2007,57.55,-0.004161615
04/04/2007,57.79,0.03146406
03/04/2007,56,0.017836704
02/04/2007,55.01,0.000909339
30/03/2007,54.96,0.001638897
29/03/2007,54.87,0.010810916
28/03/2007,54.28,-0.003127014
27/03/2007,54.45,-0.021080192
26/03/2007,55.61,0.014125552
23/03/2007,54.83,0.005853318
22/03/2007,54.51,-0.008949014
21/03/2007,55,0.032147605
20/03/2007,53.26,0.000751315
19/03/2007,53.22,0.031882055
16/03/2007,51.55,-0.023390637
15/03/2007,52.77,-0.002649509
14/03/2007,52.91,0.008160212
13/03/2007,52.48,-0.040700036
12/03/2007,54.66,0.011592733
09/03/2007,54.03,0.000370233
08/03/2007,54.01,0.019065998
07/03/2007,52.99,0.006247062
06/03/2007,52.66,0.035959799
05/03/2007,50.8,-0.002359419
02/03/2007,50.92,-0.028078135
01/03/2007,52.37,-0.006471283
28/02/2007,52.71,0.004944856
27/02/2007,52.45,-0.043647361
26/02/2007,54.79,-0.017190327
23/02/2007,55.74,-0.013188571
22/02/2007,56.48,0.00372506
21/02/2007,56.27,0.007850174
20/02/2007,55.83,0.003229282
16/02/2007,55.65,0.000719037
15/02/2007,55.61,-0.002514369
14/02/2007,55.75,0.023594561
13/02/2007,54.45,0.012753153
12/02/2007,53.76,-0.008520148
