Date,Close,COST
20/02/2008,64.56,0.027162358
19/02/2008,62.83,-0.017199635
15/02/2008,63.92,-0.00140702
14/02/2008,64.01,-0.025755144
13/02/2008,65.68,0.019525565
12/02/2008,64.41,0.006385817
11/02/2008,64,0.011946071
08/02/2008,63.24,-0.023596688
07/02/2008,64.75,0.016192164
06/02/2008,63.71,-0.018043731
05/02/2008,64.87,-0.0320088
04/02/2008,66.98,-0.012020624
01/02/2008,67.79,-0.002210271
31/01/2008,67.94,0.02549143
30/01/2008,66.23,-0.006771525
29/01/2008,66.68,0.004810593
28/01/2008,66.36,0.013655196
25/01/2008,65.46,-0.025489654
24/01/2008,67.15,-0.021509374
23/01/2008,68.61,0.036664589
22/01/2008,66.14,0.024643476
18/01/2008,64.53,0.003570601
17/01/2008,64.3,0.003115267
16/01/2008,64.1,0.001873829
15/01/2008,63.98,-0.011345215
14/01/2008,64.71,-0.026233013
11/01/2008,66.43,-0.050344478
10/01/2008,69.86,0.037778867
09/01/2008,67.27,0.034788747
08/01/2008,64.97,-0.015426041
07/01/2008,65.98,0.005014065
04/01/2008,65.65,-0.022144461
03/01/2008,67.12,-0.01508235
02/01/2008,68.14,-0.023496367
31/12/2007,69.76,-0.006572391
28/12/2007,70.22,0.005139931
27/12/2007,69.86,-0.010395252
26/12/2007,70.59,-0.002405378
24/12/2007,70.76,0.009656423
21/12/2007,70.08,0.017126417
20/12/2007,68.89,0.007138205
19/12/2007,68.4,-0.000730727
18/12/2007,68.45,0.004098966
17/12/2007,68.17,-0.004683164
14/12/2007,68.49,-0.000729767
13/12/2007,68.54,-0.023788334
12/12/2007,70.19,0.003282201
11/12/2007,69.96,-0.018271169
10/12/2007,71.25,-0.008107397
07/12/2007,71.83,0.014019576
06/12/2007,70.83,0.01679994
05/12/2007,69.65,0.006915458
04/12/2007,69.17,0.032770547
03/12/2007,66.94,-0.006848322
30/11/2007,67.4,0.004610016
29/11/2007,67.09,0.001640934
28/11/2007,66.98,0.015497188
27/11/2007,65.95,0.008680478
26/11/2007,65.38,-0.024028357
23/11/2007,66.97,0.013529972
21/11/2007,66.07,-0.003927497
20/11/2007,66.33,-0.001957979
19/11/2007,66.46,-0.005102818
16/11/2007,66.8,0.006910047
15/11/2007,66.34,0.004229614
14/11/2007,66.06,-0.020229955
13/11/2007,67.41,0.025237933
12/11/2007,65.73,0.006716557
09/11/2007,65.29,-0.019565347
08/11/2007,66.58,0.006479342
07/11/2007,66.15,-0.017086747
06/11/2007,67.29,0.020569752
05/11/2007,65.92,0.005171114
02/11/2007,65.58,0.011039671
01/11/2007,64.86,-0.036334605
31/10/2007,67.26,0.001636783
30/10/2007,67.15,0.002236304
29/10/2007,67,0.022184566
26/10/2007,65.53,0.010893855
25/10/2007,64.82,-0.00645858
24/10/2007,65.24,-0.014456616
23/10/2007,66.19,-0.012909216
22/10/2007,67.05,0.020339684
19/10/2007,65.7,-0.012554048
18/10/2007,66.53,0.000150319
17/10/2007,66.52,0.008605775
16/10/2007,65.95,-0.009357146
15/10/2007,66.57,-0.02125368
12/10/2007,68,-0.018071025
11/10/2007,69.24,0.00158994
10/10/2007,69.13,0.087945495
09/10/2007,63.31,-0.006298242
08/10/2007,63.71,0.006930253
05/10/2007,63.27,0.018826338
04/10/2007,62.09,0.002741716
03/10/2007,61.92,0.004856736
02/10/2007,61.62,-0.003078671
01/10/2007,61.81,0.007144047
28/09/2007,61.37,0.004081972
27/09/2007,61.12,0.007060205
26/09/2007,60.69,0.021821471
25/09/2007,59.38,-0.014545103
24/09/2007,60.25,-0.007770561
21/09/2007,60.72,-0.007056729
20/09/2007,61.15,-0.012513367
19/09/2007,61.92,0.001616293
18/09/2007,61.82,0.038082571
17/09/2007,59.51,-0.007533308
14/09/2007,59.96,0.000166792
13/09/2007,59.95,0.024826066
12/09/2007,58.48,-0.001879218
11/09/2007,58.59,0.023311079
10/09/2007,57.24,0.004201687
07/09/2007,57,-0.022379284
06/09/2007,58.29,-0.012106892
05/09/2007,59,-0.043286751
04/09/2007,61.61,-0.00226978
31/08/2007,61.75,0.011892296
30/08/2007,61.02,-0.004741282
29/08/2007,61.31,0.038405518
28/08/2007,59,-0.033828103
27/08/2007,61.03,-0.010594183
24/08/2007,61.68,0.01354791
23/08/2007,60.85,-0.006715282
22/08/2007,61.26,0.016126728
21/08/2007,60.28,0.039764989
20/08/2007,57.93,-0.007566674
17/08/2007,58.37,-0.014626111
16/08/2007,59.23,0.012572371
15/08/2007,58.49,-0.03873399
14/08/2007,60.8,-0.015989899
13/08/2007,61.78,-0.02351544
10/08/2007,63.25,0.000158115
09/08/2007,63.24,-0.026680731
08/08/2007,64.95,0.008659402
07/08/2007,64.39,0.022935344
06/08/2007,62.93,0.039544935
03/08/2007,60.49,-0.005769405
02/08/2007,60.84,0.011904903
01/08/2007,60.12,0.005336904
31/07/2007,59.8,0.005365539
30/07/2007,59.48,0.015417501
27/07/2007,58.57,-0.008161923
26/07/2007,59.05,-0.020947561
25/07/2007,60.3,0.002490661
24/07/2007,60.15,-0.012391732
23/07/2007,60.9,-0.005730675
20/07/2007,61.25,-0.015069555
19/07/2007,62.18,-0.003852332
18/07/2007,62.42,0.004656773
17/07/2007,62.13,0.004516865
16/07/2007,61.85,-0.018105117
13/07/2007,62.98,0.019885197
12/07/2007,61.74,0.016658886
11/07/2007,60.72,0.003464492
10/07/2007,60.51,-0.013949516
09/07/2007,61.36,-0.001302932
06/07/2007,61.44,0.021718524
05/07/2007,60.12,0.000665557
03/07/2007,60.08,-0.002825565
02/07/2007,60.25,0.029133996
29/06/2007,58.52,0.005139638
28/06/2007,58.22,-0.002744427
27/06/2007,58.38,0.018149319
