Date,Close,OXY
20/02/2008,76.15,0.014417286
19/02/2008,75.06,0.045518145
15/02/2008,71.72,-0.000139421
14/02/2008,71.73,0.022558408
13/02/2008,70.13,0.027759481
12/02/2008,68.21,-0.004826335
11/02/2008,68.54,0.027512459
08/02/2008,66.68,0.022138888
07/02/2008,65.22,0.005843473
06/02/2008,64.84,-0.02723223
05/02/2008,66.63,-0.038423804
04/02/2008,69.24,0.000577868
01/02/2008,69.2,0.020438668
31/01/2008,67.8,-0.015513263
30/01/2008,68.86,0.005387709
29/01/2008,68.49,0.058937843
28/01/2008,64.57,-0.003710006
25/01/2008,64.81,-0.012877688
24/01/2008,65.65,0.016587694
23/01/2008,64.57,-0.009095877
22/01/2008,65.16,-0.043249984
18/01/2008,68.04,-0.001615391
17/01/2008,68.15,-0.027783584
16/01/2008,70.07,-0.02689356
15/01/2008,71.98,-0.045755622
14/01/2008,75.35,0.035527475
11/01/2008,72.72,-0.003842991
10/01/2008,73,-0.039088987
09/01/2008,75.91,0.018749303
08/01/2008,74.5,-0.025183571
07/01/2008,76.4,-0.017644464
04/01/2008,77.76,-0.03475424
03/01/2008,80.51,0.027195432
02/01/2008,78.35,0.017510426
31/12/2007,76.99,-0.014314514
28/12/2007,78.1,0.000896689
27/12/2007,78.03,-0.000384394
26/12/2007,78.06,0.016403338
24/12/2007,76.79,0.012580431
21/12/2007,75.83,0.042702966
20/12/2007,72.66,0.009819593
19/12/2007,71.95,0.022346513
18/12/2007,70.36,0.02125906
17/12/2007,68.88,-0.030314017
14/12/2007,71,-0.030378923
13/12/2007,73.19,0.010024114
12/12/2007,72.46,0.035825985
11/12/2007,69.91,-0.029457418
10/12/2007,72,-0.00415801
07/12/2007,72.3,-0.003314005
06/12/2007,72.54,0.031366335
05/12/2007,70.3,0.013461466
04/12/2007,69.36,-0.017011346
03/12/2007,70.55,0.01111756
30/11/2007,69.77,-0.003005369
29/11/2007,69.98,0.002718754
28/11/2007,69.79,0.01836506
27/11/2007,68.52,-0.010886239
26/11/2007,69.27,-0.040042132
23/11/2007,72.1,0.025566781
21/11/2007,70.28,-0.014409064
20/11/2007,71.3,0.047241574
19/11/2007,68.01,-0.007178992
16/11/2007,68.5,0.037482079
15/11/2007,65.98,-0.033972278
14/11/2007,68.26,0.000879379
13/11/2007,68.2,0.014324988
12/11/2007,67.23,-0.051456898
09/11/2007,70.78,-0.015977915
08/11/2007,71.92,0.014566084
07/11/2007,70.88,-0.038878798
06/11/2007,73.69,0.040855921
05/11/2007,70.74,0.028679912
02/11/2007,68.74,0.029227173
01/11/2007,66.76,-0.033726781
31/10/2007,69.05,0.033127799
30/10/2007,66.8,-0.05007249
29/10/2007,70.23,-0.007659612
26/10/2007,70.77,0.024604302
25/10/2007,69.05,0.017826305
24/10/2007,67.83,0.016050278
23/10/2007,66.75,0.023494828
22/10/2007,65.2,-0.022895398
19/10/2007,66.71,-0.050138378
18/10/2007,70.14,0.005002512
17/10/2007,69.79,-0.012105823
16/10/2007,70.64,0.021752432
15/10/2007,69.12,-0.001301236
12/10/2007,69.21,0.021173311
11/10/2007,67.76,0.008447623
10/10/2007,67.19,0.00432546
09/10/2007,66.9,0.026199727
08/10/2007,65.17,-0.018848407
05/10/2007,66.41,0.008771986
04/10/2007,65.83,0.026631298
03/10/2007,64.1,-0.017934927
02/10/2007,65.26,-0.013545599
01/10/2007,66.15,0.031792588
28/09/2007,64.08,-0.009628899
27/09/2007,64.7,0.012911434
26/09/2007,63.87,0.014667876
25/09/2007,62.94,-0.011845673
24/09/2007,63.69,-0.011241336
21/09/2007,64.41,0.008262577
20/09/2007,63.88,-0.006397775
19/09/2007,64.29,0.008121238
18/09/2007,63.77,0.043917314
17/09/2007,61.03,-0.001309972
14/09/2007,61.11,-0.01607047
13/09/2007,62.1,0.02033417
12/09/2007,60.85,0.015735314
11/09/2007,59.9,0.020577552
10/09/2007,58.68,-0.005946836
07/09/2007,59.03,-0.001185135
06/09/2007,59.1,0.012428865
05/09/2007,58.37,0.006014281
04/09/2007,58.02,0.02318995
31/08/2007,56.69,0.005483343
30/08/2007,56.38,0.002486238
29/08/2007,56.24,0.028130236
28/08/2007,54.68,-0.030261675
27/08/2007,56.36,-0.006543484
24/08/2007,56.73,0.029879672
23/08/2007,55.06,0.001999819
22/08/2007,54.95,0.007122667
21/08/2007,54.56,-0.00875918
20/08/2007,55.04,0.012983633
17/08/2007,54.33,0.022899632
16/08/2007,53.1,-0.020134908
15/08/2007,54.18,-0.019375492
14/08/2007,55.24,-0.006495873
13/08/2007,55.6,-0.000719166
10/08/2007,55.64,0.018868484
09/08/2007,54.6,-0.031725804
08/08/2007,56.36,0.018083028
07/08/2007,55.35,0.019336611
06/08/2007,54.29,-0.017709272
03/08/2007,55.26,-0.030475494
02/08/2007,56.97,-0.004203895
01/08/2007,57.21,0.008601826
31/07/2007,56.72,-0.012091622
30/07/2007,57.41,0.008923163
27/07/2007,56.9,-0.022074417
26/07/2007,58.17,-0.042903375
25/07/2007,60.72,0.025858476
24/07/2007,59.17,-0.03650646
23/07/2007,61.37,-0.011824873
20/07/2007,62.1,-0.002251891
19/07/2007,62.24,0.004993165
18/07/2007,61.93,0.027170247
17/07/2007,60.27,-0.020852902
16/07/2007,61.54,-0.0329261
13/07/2007,63.6,0.029519495
12/07/2007,61.75,0.033594465
11/07/2007,59.71,-0.001338912
10/07/2007,59.79,-0.014116318
09/07/2007,60.64,0.014450878
06/07/2007,59.77,0.005200045
05/07/2007,59.46,0.011161963
