Date,Close,ALL
20/02/2008,47.12,0.009595979
19/02/2008,46.67,0.010554756
15/02/2008,46.18,-0.008624461
14/02/2008,46.58,-0.008976337
13/02/2008,47,0.019334652
12/02/2008,46.1,0.008277111
11/02/2008,45.72,-0.018420718
08/02/2008,46.57,-0.023345712
07/02/2008,47.67,0.013303966
06/02/2008,47.04,-0.011204007
05/02/2008,47.57,-0.022655027
04/02/2008,48.66,-0.015497863
01/02/2008,49.42,0.004055156
31/01/2008,49.22,0.014942454
30/01/2008,48.49,-0.0746823
29/01/2008,52.25,-0.008006143
28/01/2008,52.67,0.043063287
25/01/2008,50.45,-0.03160622
24/01/2008,52.07,0.014898215
23/01/2008,51.3,0.043424468
22/01/2008,49.12,0.013527568
18/01/2008,48.46,-0.022848811
17/01/2008,49.58,-0.026864614
16/01/2008,50.93,-0.004701282
15/01/2008,51.17,-0.019929072
14/01/2008,52.2,0.013694881
11/01/2008,51.49,-0.006002535
10/01/2008,51.8,0.011455324
09/01/2008,51.21,0.013961489
08/01/2008,50.5,-0.012202474
07/01/2008,51.12,0.000782779
04/01/2008,51.08,0.000979336
03/01/2008,51.03,-0.002348797
02/01/2008,51.15,-0.02089455
31/12/2007,52.23,0.000766137
28/12/2007,52.19,0.00307043
27/12/2007,52.03,-0.014880091
26/12/2007,52.81,-0.000757146
24/12/2007,52.85,0.018331619
21/12/2007,51.89,0.036503268
20/12/2007,50.03,-0.006177164
19/12/2007,50.34,-0.020449002
18/12/2007,51.38,-0.000583714
17/12/2007,51.41,-0.003301294
14/12/2007,51.58,-0.014626897
13/12/2007,52.34,0.001529637
12/12/2007,52.26,-0.004962789
11/12/2007,52.52,-0.0309332
10/12/2007,54.17,0.032076275
07/12/2007,52.46,-0.007785096
06/12/2007,52.87,0.02063899
05/12/2007,51.79,0.02127117
04/12/2007,50.7,-0.011764842
03/12/2007,51.3,0.003514942
30/11/2007,51.12,-0.002929976
29/11/2007,51.27,-0.010284363
28/11/2007,51.8,0.019887573
27/11/2007,50.78,0.027552152
26/11/2007,49.4,-0.013870963
23/11/2007,50.09,0.017521342
21/11/2007,49.22,-0.032383401
20/11/2007,50.84,-0.007056086
19/11/2007,51.2,-0.027736755
16/11/2007,52.64,-0.010770062
15/11/2007,53.21,-0.013996683
14/11/2007,53.96,-0.012889149
13/11/2007,54.66,0.027449795
12/11/2007,53.18,0.000940645
09/11/2007,53.13,0.012119065
08/11/2007,52.49,0.032135944
07/11/2007,50.83,-0.008814081
06/11/2007,51.28,0.010783361
05/11/2007,50.73,-0.010198166
02/11/2007,51.25,-0.004477765
01/11/2007,51.48,-0.017713209
31/10/2007,52.4,0.013835732
30/10/2007,51.68,-0.007710138
29/10/2007,52.08,-0.006697949
26/10/2007,52.43,0.001527009
25/10/2007,52.35,-0.012528638
24/10/2007,53.01,-0.006580827
23/10/2007,53.36,-0.020221448
22/10/2007,54.45,-0.000734349
19/10/2007,54.49,-0.019266317
18/10/2007,55.55,-0.035891769
17/10/2007,57.58,0.001042572
16/10/2007,57.52,-0.018089907
15/10/2007,58.57,-0.004089288
12/10/2007,58.81,0.008538303
11/10/2007,58.31,-0.003594971
10/10/2007,58.52,-0.005283353
09/10/2007,58.83,0.006993632
08/10/2007,58.42,-0.007163599
05/10/2007,58.84,0.006650208
04/10/2007,58.45,0.003255936
03/10/2007,58.26,-0.000686342
02/10/2007,58.3,-0.000857265
01/10/2007,58.35,0.020080301
28/09/2007,57.19,0.014974295
27/09/2007,56.34,0.011424616
26/09/2007,55.7,0.006122836
25/09/2007,55.36,-0.000722282
24/09/2007,55.4,-0.008626941
21/09/2007,55.88,0
20/09/2007,55.88,-0.009085303
19/09/2007,56.39,0.00836974
18/09/2007,55.92,0.023705082
17/09/2007,54.61,-0.002742984
14/09/2007,54.76,-0.000912659
13/09/2007,54.81,0.006222568
12/09/2007,54.47,0.007000766
11/09/2007,54.09,0.012651332
10/09/2007,53.41,-0.009132484
07/09/2007,53.9,-0.012903405
06/09/2007,54.6,-0.003473813
05/09/2007,54.79,-0.009446028
04/09/2007,55.31,0.010176355
31/08/2007,54.75,0.009543108
30/08/2007,54.23,-0.012825387
29/08/2007,54.93,0.004013139
28/08/2007,54.71,-0.028292724
27/08/2007,56.28,-0.010252874
24/08/2007,56.86,0.015419003
23/08/2007,55.99,-0.008005024
22/08/2007,56.44,0.024028411
21/08/2007,55.1,-0.004346258
20/08/2007,55.34,-0.019150473
17/08/2007,56.41,0.027679697
16/08/2007,54.87,0.040730874
15/08/2007,52.68,0.005901969
14/08/2007,52.37,0.001337537
13/08/2007,52.3,0.004023379
10/08/2007,52.09,0.017819569
09/08/2007,51.17,-0.056235138
08/08/2007,54.13,-0.002583027
07/08/2007,54.27,0
06/08/2007,54.27,0.050256136
03/08/2007,51.61,-0.041186199
02/08/2007,53.78,0.004659406
01/08/2007,53.53,0.00712414
31/07/2007,53.15,-0.022878334
30/07/2007,54.38,0.016314785
27/07/2007,53.5,-0.029286558
26/07/2007,55.09,-0.016383479
25/07/2007,56,0.003577821
24/07/2007,55.8,-0.030532681
23/07/2007,57.53,0.002785032
20/07/2007,57.37,-0.029878596
19/07/2007,59.11,-0.024234494
18/07/2007,60.56,0.002314433
17/07/2007,60.42,-0.005611502
16/07/2007,60.76,-0.004761523
13/07/2007,61.05,-0.006205115
12/07/2007,61.43,0.007844459
11/07/2007,60.95,0.000328192
10/07/2007,60.93,-0.011909758
09/07/2007,61.66,-0.002106117
06/07/2007,61.79,-0.000485398
05/07/2007,61.82,-0.004358009
03/07/2007,62.09,0.005652926
02/07/2007,61.74,0.003732256
29/06/2007,61.51,0.001789928
28/06/2007,61.4,0.013279972
27/06/2007,60.59,-0.006252077
