Date,Close,BRK.B
20/02/2008,4775,-0.003136437
19/02/2008,4790,-0.001043297
15/02/2008,4795,0.005437069
14/02/2008,4769,0.00020971
13/02/2008,4768,0.023126097
12/02/2008,4659,0.003009461
11/02/2008,4645,0.011475713
08/02/2008,4592,0.011829273
07/02/2008,4538,-0.000440626
06/02/2008,4540,-0.001100716
05/02/2008,4545,0.009728133
04/02/2008,4501,-0.004875896
01/02/2008,4523,-0.005951742
31/01/2008,4550,-0.014401296
30/01/2008,4616,-0.006262843
29/01/2008,4645,0.027279378
28/01/2008,4520,-0.024044874
25/01/2008,4630,0.002378637
24/01/2008,4619,0.004121928
23/01/2008,4600,0.006761941
22/01/2008,4569,0.036554103
18/01/2008,4405,0.01302429
17/01/2008,4348,0.028696708
16/01/2008,4225,-0.009657359
15/01/2008,4266,-0.014313388
14/01/2008,4327.5,-0.01137355
11/01/2008,4377,-0.019009398
10/01/2008,4461,0.033275632
09/01/2008,4315,-0.02291051
08/01/2008,4415,-0.00519599
07/01/2008,4438,-0.024923408
04/01/2008,4550,-0.021739987
03/01/2008,4650,0.00972455
02/01/2008,4605,-0.028050228
31/12/2007,4736,0.010826982
28/12/2007,4685,0.024196471
27/12/2007,4573,0.00065624
26/12/2007,4570,0.006586193
24/12/2007,4540,0.01442066
21/12/2007,4475,0.007626775
20/12/2007,4441,-0.008296942
19/12/2007,4478,-0.007120635
18/12/2007,4510,-0.003320424
17/12/2007,4525,-0.049368792
14/12/2007,4754,0.004004642
13/12/2007,4735,-0.015507436
12/12/2007,4809,-0.02322579
11/12/2007,4922,-0.012718451
10/12/2007,4985,0.007045827
07/12/2007,4950,-0.000202
06/12/2007,4951,0.009334483
05/12/2007,4905,0.016962627
04/12/2007,4822.5,0.015147848
03/12/2007,4750,0.012712036
30/11/2007,4690,0.011149344
29/11/2007,4638,0.01367654
28/11/2007,4575,-0.000437063
27/11/2007,4577,0.00306346
26/11/2007,4563,0.01947395
23/11/2007,4475,0.000782429
21/11/2007,4471.5,-0.017732926
20/11/2007,4551.5,-0.002961665
19/11/2007,4565,0.004610833
16/11/2007,4544,0.008508809
15/11/2007,4505.5,-0.014214332
14/11/2007,4570,0.010116647
13/11/2007,4524,0.012231888
12/11/2007,4469,0.008088114
09/11/2007,4433,-0.01166194
08/11/2007,4485,-0.004005346
07/11/2007,4503,0.006572741
06/11/2007,4473.5,0.008192628
05/11/2007,4437,0.007919489
02/11/2007,4402,0.005695425
01/11/2007,4377,-0.00841775
31/10/2007,4414,0.028494575
30/10/2007,4290,0.003970576
29/10/2007,4273,0.009405195
26/10/2007,4233,-0.004596084
25/10/2007,4252.5,0.001294194
24/10/2007,4247,-0.002116901
23/10/2007,4256,0.010154769
22/10/2007,4213,-0.007095583
19/10/2007,4243,-0.013344456
18/10/2007,4300,-0.008106588
17/10/2007,4335,0.024046916
16/10/2007,4232,0.005687219
15/10/2007,4208,-0.006159697
12/10/2007,4234,0.009253833
11/10/2007,4195,0.008378266
10/10/2007,4160,0.017214633
09/10/2007,4089,-0.005122587
08/10/2007,4110,0.019904822
05/10/2007,4029,0.014752112
04/10/2007,3970,-0.003018111
03/10/2007,3982,-0.003634772
02/10/2007,3996.5,0.00942751
01/10/2007,3959,0.001769688
28/09/2007,3952,0.009789666
27/09/2007,3913.5,0.003712004
26/09/2007,3899,0.001154809
25/09/2007,3894.5,-0.002436367
24/09/2007,3904,0.003592511
21/09/2007,3890,-0.006406172
20/09/2007,3915,0.003838776
19/09/2007,3900,-0.013245227
18/09/2007,3952,0.001139313
17/09/2007,3947.5,-0.012211394
14/09/2007,3996,0.009807698
13/09/2007,3957,0.002150402
12/09/2007,3948.5,0
11/09/2007,3948.5,0.001393905
10/09/2007,3943,-0.009214328
07/09/2007,3979.5,-0.00501317
06/09/2007,3999.5,0.005138822
05/09/2007,3979,0.005544369
04/09/2007,3957,0.017077005
31/08/2007,3890,-0.014799964
30/08/2007,3948,-0.000506457
29/08/2007,3950,-0.003790276
