Date,Close,QCOM
20/02/2008,43.37,0.033289525
19/02/2008,41.95,-0.005941788
15/02/2008,42.2,0.032023923
14/02/2008,40.87,-0.027511388
13/02/2008,42.01,0.025800105
12/02/2008,40.94,-0.022223137
11/02/2008,41.86,-0.001432323
08/02/2008,41.92,0.02365546
07/02/2008,40.94,0.032016632
06/02/2008,39.65,-0.026628424
05/02/2008,40.72,-0.027372425
04/02/2008,41.85,-0.008328424
01/02/2008,42.2,-0.005199728
31/01/2008,42.42,0.051764881
30/01/2008,40.28,-0.000496401
29/01/2008,40.3,-0.004950505
28/01/2008,40.5,0.01242252
25/01/2008,40,-0.010197825
24/01/2008,40.41,0.098209702
23/01/2008,36.63,-0.008156652
22/01/2008,36.93,-0.037730299
18/01/2008,38.35,-0.018344398
17/01/2008,39.06,-0.022780028
16/01/2008,39.96,0.015382979
15/01/2008,39.35,-0.016383479
14/01/2008,40,0.034850277
11/01/2008,38.63,0.016706209
10/01/2008,37.99,0.00527845
09/01/2008,37.79,0.048803395
08/01/2008,35.99,-0.012700336
07/01/2008,36.45,-0.015786936
04/01/2008,37.03,-0.023222717
03/01/2008,37.9,-0.012845897
02/01/2008,38.39,-0.024698966
31/12/2007,39.35,-0.005575281
28/12/2007,39.57,-0.002776027
27/12/2007,39.68,-0.015007785
26/12/2007,40.28,-0.000744509
24/12/2007,40.31,0.008720623
21/12/2007,39.96,0.021245109
20/12/2007,39.12,0.021706279
19/12/2007,38.28,-0.011428696
18/12/2007,38.72,-0.010277583
17/12/2007,39.12,-0.006624228
14/12/2007,39.38,-0.012115242
13/12/2007,39.86,-0.028442625
12/12/2007,41.01,0.02044658
11/12/2007,40.18,-0.009659518
10/12/2007,40.57,0.011153914
07/12/2007,40.12,-0.007202316
06/12/2007,40.41,0.000990344
05/12/2007,40.37,0.025336863
04/12/2007,39.36,-0.015128882
03/12/2007,39.96,-0.020312811
30/11/2007,40.78,-0.015572091
29/11/2007,41.42,-0.001688578
28/11/2007,41.49,0.041083136
27/11/2007,39.82,0.016202886
26/11/2007,39.18,-0.033876028
23/11/2007,40.53,0.001728609
21/11/2007,40.46,-0.021516723
20/11/2007,41.34,-0.009868897
19/11/2007,41.75,0.009385221
16/11/2007,41.36,0.013387081
15/11/2007,40.81,0.019048195
14/11/2007,40.04,0.022223137
13/11/2007,39.16,0.048930623
12/11/2007,37.29,-0.021489088
09/11/2007,38.1,-0.0426471
08/11/2007,39.76,-0.035334127
07/11/2007,41.19,-0.008942658
06/11/2007,41.56,0.017231345
05/11/2007,40.85,-0.011923733
02/11/2007,41.34,0.001210214
01/11/2007,41.29,-0.03428091
31/10/2007,42.73,0.022483494
30/10/2007,41.78,0.003596695
29/10/2007,41.63,0.007232433
26/10/2007,41.33,0.013151675
25/10/2007,40.79,-0.009515748
24/10/2007,41.18,0.001214919
23/10/2007,41.13,0.006341485
22/10/2007,40.87,0.01379672
19/10/2007,40.31,-0.026198095
18/10/2007,41.38,-0.000724725
17/10/2007,41.41,0.013860404
16/10/2007,40.84,-0.010958347
15/10/2007,41.29,-0.020851564
12/10/2007,42.16,0.01650163
11/10/2007,41.47,-0.019816812
10/10/2007,42.3,-0.008240188
09/10/2007,42.65,-0.002809648
08/10/2007,42.77,-0.013700435
05/10/2007,43.36,0.013466653
04/10/2007,42.78,0.011993089
03/10/2007,42.27,0.0068843
02/10/2007,41.98,-0.002616868
01/10/2007,42.09,-0.004030829
28/09/2007,42.26,0.000710143
27/09/2007,42.23,-0.00023677
26/09/2007,42.24,0.016470118
25/09/2007,41.55,-0.002163722
24/09/2007,41.64,0.019644138
21/09/2007,40.83,0.007127964
20/09/2007,40.54,0.012410187
19/09/2007,40.04,0.006012042
18/09/2007,39.8,0.020305266
17/09/2007,39,-0.010965302
14/09/2007,39.43,0.0066158
13/09/2007,39.17,0.033751906
12/09/2007,37.87,-0.003690041
11/09/2007,38.01,0.033166988
10/09/2007,36.77,-0.03000493
07/09/2007,37.89,-0.024248353
06/09/2007,38.82,-0.002829584
05/09/2007,38.93,-0.027364261
04/09/2007,40.01,0.003003757
31/08/2007,39.89,0.020514839
30/08/2007,39.08,0.00410257
29/08/2007,38.92,0.027349015
28/08/2007,37.87,-0.018574766
27/08/2007,38.58,0.00911346
24/08/2007,38.23,0.009725402
23/08/2007,37.86,0.015706432
22/08/2007,37.27,0.009977162
21/08/2007,36.9,-0.01399377
20/08/2007,37.42,-0.00320171
17/08/2007,37.54,0.016382802
16/08/2007,36.93,0.02300841
15/08/2007,36.09,-0.045764043
14/08/2007,37.78,-0.029728395
13/08/2007,38.92,0.026821032
10/08/2007,37.89,-0.008671714
09/08/2007,38.22,-0.049263502
08/08/2007,40.15,-0.008679534
07/08/2007,40.5,-0.031115782
06/08/2007,41.78,0.024471239
03/08/2007,40.77,-0.030675029
02/08/2007,42.04,0.01558224
01/08/2007,41.39,-0.006262063
31/07/2007,41.65,-0.020908341
30/07/2007,42.53,0.020428264
27/07/2007,41.67,-0.009791123
26/07/2007,42.08,-0.008754344
25/07/2007,42.45,-0.01473194
24/07/2007,43.08,0.007689657
23/07/2007,42.75,-0.00583092
20/07/2007,43,-0.008106588
19/07/2007,43.35,-0.039575543
18/07/2007,45.1,0.001553312
17/07/2007,45.03,0
16/07/2007,45.03,-0.007081242
13/07/2007,45.35,0.002207506
