Date,Close,GOOG
20/02/2008,509,9.82367E-05
19/02/2008,508.95,-0.039847751
15/02/2008,529.64,-0.004915773
14/02/2008,532.25,-0.00444291
13/02/2008,534.62,0.031407242
12/02/2008,518.09,-0.005908124
11/02/2008,521.16,0.008614015
08/02/2008,516.69,0.022983667
07/02/2008,504.95,0.006437151
06/02/2008,501.71,-0.010094185
05/02/2008,506.8,0.022690376
04/02/2008,495.43,-0.040486876
01/02/2008,515.9,-0.089673077
31/01/2008,564.3,0.028818159
30/01/2008,548.27,-0.00409542
29/01/2008,550.52,-0.009869036
28/01/2008,555.98,-0.01856822
25/01/2008,566.4,-0.014182148
24/01/2008,574.49,0.046076656
23/01/2008,548.62,-0.063094084
22/01/2008,584.35,-0.026846117
18/01/2008,600.25,-0.000899221
17/01/2008,600.79,-0.024920336
16/01/2008,615.95,-0.034623752
15/01/2008,637.65,-0.025042541
14/01/2008,653.82,0.024102028
11/01/2008,638.25,-0.013198841
10/01/2008,646.73,-0.009954464
09/01/2008,653.2,0.033500424
08/01/2008,631.68,-0.027434914
07/01/2008,649.25,-0.011866168
04/01/2008,657,-0.042216456
03/01/2008,685.33,0.000204302
02/01/2008,685.19,-0.009138056
31/12/2007,691.48,-0.015853877
28/12/2007,702.53,0.002551185
27/12/2007,700.74,-0.01431045
26/12/2007,710.84,0.014324721
24/12/2007,700.73,0.0057821
21/12/2007,696.69,0.010098327
20/12/2007,689.69,0.018024569
19/12/2007,677.37,0.005952399
18/12/2007,673.35,0.006137456
17/12/2007,669.23,-0.030505827
14/12/2007,689.96,-0.005910379
13/12/2007,694.05,-0.007607328
12/12/2007,699.35,0.000214508
11/12/2007,699.2,-0.027117532
10/12/2007,718.42,0.004953648
07/12/2007,714.87,-0.000545405
06/12/2007,715.26,0.023696618
05/12/2007,698.51,0.020757687
04/12/2007,684.16,0.003851538
03/12/2007,681.53,-0.016689728
30/11/2007,693,-0.005755412
29/11/2007,697,0.006823803
28/11/2007,692.26,0.027369682
27/11/2007,673.57,0.011302255
