Date,Close,DOW
20/02/2008,38.96,-0.005630934
19/02/2008,39.18,0.014396136
15/02/2008,38.62,0.001814177
14/02/2008,38.55,-0.009038151
13/02/2008,38.9,0.004896286
12/02/2008,38.71,0.017722643
11/02/2008,38.03,-0.012282919
08/02/2008,38.5,0.015179564
07/02/2008,37.92,-0.003422407
06/02/2008,38.05,-0.003410734
05/02/2008,38.18,-0.027639626
04/02/2008,39.25,-0.016174222
01/02/2008,39.89,0.031837657
31/01/2008,38.64,0.022508147
30/01/2008,37.78,-0.004226102
29/01/2008,37.94,0.009267907
28/01/2008,37.59,0.034644872
25/01/2008,36.31,0.008296508
24/01/2008,36.01,-0.009672592
23/01/2008,36.36,0.039836965
22/01/2008,34.94,0
18/01/2008,34.94,0.008623221
17/01/2008,34.64,-0.033776448
16/01/2008,35.83,-0.005288808
15/01/2008,36.02,-0.029273052
14/01/2008,37.09,0.02318391
11/01/2008,36.24,-0.01804807
10/01/2008,36.9,0.008983319
09/01/2008,36.57,-0.008441167
08/01/2008,36.88,-0.008101584
07/01/2008,37.18,0.005123376
04/01/2008,36.99,-0.040789553
03/01/2008,38.53,-0.005693597
02/01/2008,38.75,-0.017142546
31/12/2007,39.42,-0.016853625
28/12/2007,40.09,-0.004479848
27/12/2007,40.27,-0.016012166
26/12/2007,40.92,-0.00487568
24/12/2007,41.12,-0.003156492
21/12/2007,41.25,0.005835173
20/12/2007,41.01,0.000243873
19/12/2007,41,-0.014287687
18/12/2007,41.59,0.005787332
17/12/2007,41.35,-0.041682567
14/12/2007,43.11,-0.02925923
13/12/2007,44.39,0.061314768
12/12/2007,41.75,0.00721157
11/12/2007,41.45,-0.03275091
10/12/2007,42.83,0.002103542
07/12/2007,42.74,0.014137842
06/12/2007,42.14,0.008340332
05/12/2007,41.79,0.017866241
04/12/2007,41.05,-0.011865983
03/12/2007,41.54,-0.009583207
30/11/2007,41.94,0.005019731
29/11/2007,41.73,0.001438849
28/11/2007,41.67,0.044157284
27/11/2007,39.87,0.013128187
26/11/2007,39.35,-0.020126466
23/11/2007,40.15,0.022161572
21/11/2007,39.27,-0.03010009
20/11/2007,40.47,0.022742452
19/11/2007,39.56,-0.016297214
16/11/2007,40.21,-0.005208991
15/11/2007,40.42,-0.025404395
14/11/2007,41.46,0.004835599
13/11/2007,41.26,0.009741918
12/11/2007,40.86,-0.022983956
09/11/2007,41.81,-0.034092875
08/11/2007,43.26,-0.010119682
07/11/2007,43.7,-0.024636798
06/11/2007,44.79,0.024407991
05/11/2007,43.71,-0.005930674
02/11/2007,43.97,-0.003858818
01/11/2007,44.14,-0.020184583
31/10/2007,45.04,0.012061795
30/10/2007,44.5,-0.015386634
29/10/2007,45.19,0.014712704
26/10/2007,44.53,0.019730768
25/10/2007,43.66,-0.007302634
24/10/2007,43.98,-0.003404838
23/10/2007,44.13,0.015528972
22/10/2007,43.45,-0.00756624
19/10/2007,43.78,-0.021243737
18/10/2007,44.72,-0.001117443
17/10/2007,44.77,-0.006900417
16/10/2007,45.08,-0.015845402
15/10/2007,45.8,-0.015168221
12/10/2007,46.5,0.037467412
11/10/2007,44.79,-0.000223239
10/10/2007,44.8,-0.00445435
09/10/2007,45,0.01342302
08/10/2007,44.4,-0.006062666
05/10/2007,44.67,0.007189427
04/10/2007,44.35,0.005652926
03/10/2007,44.1,-0.004750603
02/10/2007,44.31,0.005431106
01/10/2007,44.07,0.023184787
28/09/2007,43.06,-0.021140493
27/09/2007,43.98,0.001137527
26/09/2007,43.93,-0.002046618
25/09/2007,44.02,0.000454442
24/09/2007,44,0.008215473
21/09/2007,43.64,0.002064458
20/09/2007,43.55,-0.012096462
19/09/2007,44.08,0.010032004
18/09/2007,43.64,0.034265093
17/09/2007,42.17,0.004515753
14/09/2007,41.98,-0.000476304
13/09/2007,42,0.002383791
12/09/2007,41.9,0.005264429
11/09/2007,41.68,0.017669587
10/09/2007,40.95,-0.013100624
07/09/2007,41.49,-0.028512266
06/09/2007,42.69,0.006816339
05/09/2007,42.4,-0.016374635
04/09/2007,43.1,0.010964766
31/08/2007,42.63,0.003054155
30/08/2007,42.5,0.00094162
29/08/2007,42.46,0.018061327
28/08/2007,41.7,-0.034876296
27/08/2007,43.18,-0.005773021
24/08/2007,43.43,0.009020531
23/08/2007,43.04,0.001627718
22/08/2007,42.97,0.031440954
21/08/2007,41.64,-0.003835096
20/08/2007,41.8,0.015672412
17/08/2007,41.15,0.032101522
16/08/2007,39.85,-0.007998043
15/08/2007,40.17,-0.019963694
14/08/2007,40.98,-0.01525638
13/08/2007,41.61,-0.007899502
10/08/2007,41.94,-0.004994659
09/08/2007,42.15,-0.027610551
08/08/2007,43.33,0.006250744
07/08/2007,43.06,0.000464576
06/08/2007,43.04,0.003491217
03/08/2007,42.89,-0.038422288
02/08/2007,44.57,0.009241585
01/08/2007,44.16,0.01551834
31/07/2007,43.48,-0.006419096
30/07/2007,43.76,0.030393245
27/07/2007,42.45,-0.023283939
26/07/2007,43.45,-0.049830775
25/07/2007,45.67,-0.009588219
24/07/2007,46.11,-0.020606009
23/07/2007,47.07,-0.003181676
20/07/2007,47.22,-0.009484738
19/07/2007,47.67,0.010756194
18/07/2007,47.16,0.005315203
17/07/2007,46.91,0.015684068
16/07/2007,46.18,-0.003242896
13/07/2007,46.33,0.004326202
12/07/2007,46.13,0.014850677
11/07/2007,45.45,0.008395984
10/07/2007,45.07,-0.029298117
09/07/2007,46.41,0.012794276
06/07/2007,45.82,0.00065495
05/07/2007,45.79,0.011642086
03/07/2007,45.26,0.003984951
02/07/2007,45.08,0.019261514
29/06/2007,44.22,-0.004512643
28/06/2007,44.42,-0.003146777
27/06/2007,44.56,-0.010936388
26/06/2007,45.05,-0.000443853
25/06/2007,45.07,-0.000221852
22/06/2007,45.08,-0.011030335
21/06/2007,45.58,0.009478744
20/06/2007,45.15,-0.007941802
19/06/2007,45.51,0.009937147
18/06/2007,45.06,-0.006856159
15/06/2007,45.37,0.006190601
14/06/2007,45.09,0.00222025
13/06/2007,44.99,0.009379256
12/06/2007,44.57,-0.018010492
11/06/2007,45.38,-0.0011012
08/06/2007,45.43,0.010177079
07/06/2007,44.97,-0.020033691
06/06/2007,45.88,-0.013638051
05/06/2007,46.51,0.013638051
04/06/2007,45.88,-0.001089206
01/06/2007,45.93,0.012047019
31/05/2007,45.38,-0.001541341
30/05/2007,45.45,0.009283886
29/05/2007,45.03,-0.003768153
25/05/2007,45.2,0.007550558
24/05/2007,44.86,-0.01152495
23/05/2007,45.38,-0.008557375
22/05/2007,45.77,-0.003271897
21/05/2007,45.92,-0.00152323
18/05/2007,45.99,-0.001520913
17/05/2007,46.06,-0.004981061
16/05/2007,46.29,0.006067191
15/05/2007,46.01,0.010706974
14/05/2007,45.52,-0.005913937
11/05/2007,45.79,0.008553622
10/05/2007,45.4,-0.004614886
09/05/2007,45.61,0.003734216
08/05/2007,45.44,0.001321295
07/05/2007,45.38,0.010188349
04/05/2007,44.92,0.004909628
03/05/2007,44.7,0.009440394
02/05/2007,44.28,0.005661888
01/05/2007,44.03,-0.013086829
30/04/2007,44.61,-0.017994488
27/04/2007,45.42,-0.00395518
26/04/2007,45.6,-0.010254262
25/04/2007,46.07,0.014429634
24/04/2007,45.41,0.006406738
23/04/2007,45.12,-0.001992694
20/04/2007,45.21,0.005545096
19/04/2007,44.96,-0.007533827
18/04/2007,45.3,-0.004844757
17/04/2007,45.52,-0.009184407
16/04/2007,45.94,0.001306905
13/04/2007,45.88,-0.002612104
12/04/2007,46,0.019980904
11/04/2007,45.09,-0.00927159
10/04/2007,45.51,-0.024312029
09/04/2007,46.63,0.047429306
05/04/2007,44.47,-0.007839664
04/04/2007,44.82,-0.01637567
03/04/2007,45.56,-0.000877578
02/04/2007,45.6,-0.005685561
30/03/2007,45.86,-0.003917306
29/03/2007,46.04,-0.006710708
28/03/2007,46.35,-0.007736983
27/03/2007,46.71,-0.007890008
26/03/2007,47.08,0.029749984
