Date,Close,MA
20/02/2008,208.22,0.019495307
19/02/2008,204.2,-0.008776263
15/02/2008,206,0.018470505
14/02/2008,202.23,-0.012432898
13/02/2008,204.76,0.003718568
12/02/2008,204,-0.010290013
11/02/2008,206.11,0.002428836
08/02/2008,205.61,0.023273456
07/02/2008,200.88,-0.020058332
06/02/2008,204.95,-0.008889379
05/02/2008,206.78,-0.043622982
04/02/2008,216,0.002688797
01/02/2008,215.42,0.039870818
31/01/2008,207,0.090971778
30/01/2008,189,-0.012931894
29/01/2008,191.46,0.012931894
28/01/2008,189,-0.023168675
25/01/2008,193.43,0.008566808
24/01/2008,191.78,-0.004214695
23/01/2008,192.59,0.05562326
22/01/2008,182.17,0.042328133
18/01/2008,174.62,-0.012859352
17/01/2008,176.88,0.007661568
16/01/2008,175.53,0.003023995
15/01/2008,175,-0.018232768
14/01/2008,178.22,-0.005316334
11/01/2008,179.17,-0.089728562
10/01/2008,195.99,-0.003005836
09/01/2008,196.58,-0.007197558
08/01/2008,198,-0.01259709
07/01/2008,200.51,-0.003385614
04/01/2008,201.19,-0.052902417
03/01/2008,212.12,-0.011996395
02/01/2008,214.68,-0.002419281
31/12/2007,215.2,0.024460298
28/12/2007,210,-0.000142847
27/12/2007,210.03,0.002622108
26/12/2007,209.48,-0.012523883
24/12/2007,212.12,-0.001083704
21/12/2007,212.35,0.026725523
20/12/2007,206.75,-0.02667843
19/12/2007,212.34,0.051060329
18/12/2007,201.77,-0.015540023
17/12/2007,204.93,-0.055199188
14/12/2007,216.56,-0.030200585
13/12/2007,223.2,0.042559614
12/12/2007,213.9,-0.016690234
11/12/2007,217.5,0.009423573
10/12/2007,215.46,0.027574325
07/12/2007,209.6,0.017227701
06/12/2007,206.02,0.029305946
05/12/2007,200.07,0.021624649
04/12/2007,195.79,-0.030630805
03/12/2007,201.88,0.006111365
30/11/2007,200.65,0.01460906
29/11/2007,197.74,0.010881279
28/11/2007,195.6,0.061897159
27/11/2007,183.86,0.014518019
26/11/2007,181.21,0.000607215
23/11/2007,181.1,0.00099442
21/11/2007,180.92,-0.006610866
20/11/2007,182.12,0.001208725
19/11/2007,181.9,-0.01619579
16/11/2007,184.87,-5.40906E-05
15/11/2007,184.88,-0.010170947
14/11/2007,186.77,-0.010863305
13/11/2007,188.81,0.037394089
12/11/2007,181.88,-0.05934306
09/11/2007,193,0.008115745
08/11/2007,191.44,-0.041139537
07/11/2007,199.48,0.000401123
06/11/2007,199.4,0.069942599
05/11/2007,185.93,-0.021864318
02/11/2007,190.04,0.002951098
01/11/2007,189.48,-0.002266798
31/10/2007,189.91,0.189349512
30/10/2007,157.15,-0.00127186
29/10/2007,157.35,0.002035754
26/10/2007,157.03,0.036643638
25/10/2007,151.38,0.027321908
24/10/2007,147.3,-0.006968198
23/10/2007,148.33,0.011799947
22/10/2007,146.59,-0.033605899
19/10/2007,151.6,-0.013887292
18/10/2007,153.72,-0.005773051
17/10/2007,154.61,-0.006382795
16/10/2007,155.6,-0.014736639
15/10/2007,157.91,-0.033012465
12/10/2007,163.21,0.008429522
11/10/2007,161.84,-0.018245776
10/10/2007,164.82,0.01300742
09/10/2007,162.69,0.002030458
08/10/2007,162.36,-0.000615726
05/10/2007,162.46,0.005617125
04/10/2007,161.55,0.028951126
03/10/2007,156.94,0.025556373
02/10/2007,152.98,-0.002546109
01/10/2007,153.37,0.035843752
28/09/2007,147.97,-0.000202723
27/09/2007,148,0.035417145
26/09/2007,142.85,-0.000979569
25/09/2007,142.99,0.005118328
24/09/2007,142.26,-0.029778532
21/09/2007,146.56,-0.019928379
20/09/2007,149.51,6.68874E-05
19/09/2007,149.5,0.024991989
18/09/2007,145.81,0.064369366
17/09/2007,136.72,-0.008231099
14/09/2007,137.85,-0.011898464
13/09/2007,139.5,0.019325322
12/09/2007,136.83,0.034650307
11/09/2007,132.17,0.018787783
10/09/2007,129.71,-0.003847342
07/09/2007,130.21,-0.03442109
06/09/2007,134.77,-0.005844725
05/09/2007,135.56,-0.019576958
04/09/2007,138.24,0.009083375
31/08/2007,136.99,0.033551726
30/08/2007,132.47,-0.007145843
