Date,Close,GILD
20/02/2008,45.6,0.009253205
19/02/2008,45.18,0.012472322
15/02/2008,44.62,-0.002685767
14/02/2008,44.74,-0.015744865
13/02/2008,45.45,0.007952328
12/02/2008,45.09,0.010926633
11/02/2008,44.6,0.00157074
08/02/2008,44.53,0.002248202
07/02/2008,44.43,-0.009854503
06/02/2008,44.87,0.006708433
05/02/2008,44.57,-0.037864968
04/02/2008,46.29,0.007807457
01/02/2008,45.93,0.005239043
31/01/2008,45.69,0.037689822
30/01/2008,44,0.019507216
29/01/2008,43.15,0.003482302
28/01/2008,43,-0.001626583
25/01/2008,43.07,-0.057081017
24/01/2008,45.6,0.017476388
23/01/2008,44.81,0.009191859
22/01/2008,44.4,-0.039090767
18/01/2008,46.17,-0.022699047
17/01/2008,47.23,-0.008223557
16/01/2008,47.62,0.008435309
15/01/2008,47.22,-0.019711269
14/01/2008,48.16,-0.010739467
11/01/2008,48.68,0.009494395
10/01/2008,48.22,-0.005789925
09/01/2008,48.5,0.034612789
08/01/2008,46.85,-0.018190011
07/01/2008,47.71,0.038675902
04/01/2008,45.9,-0.021339316
03/01/2008,46.89,0.033614788
02/01/2008,45.34,-0.014669119
31/12/2007,46.01,-0.006930935
28/12/2007,46.33,0.000431779
27/12/2007,46.31,-0.017763977
26/12/2007,47.14,0.004891025
24/12/2007,46.91,0.009639145
21/12/2007,46.46,0.011690975
20/12/2007,45.92,0.003053437
19/12/2007,45.78,0.005036691
18/12/2007,45.55,0.002417849
17/12/2007,45.44,-0.008982424
14/12/2007,45.85,-0.007821026
13/12/2007,46.21,-0.013754784
12/12/2007,46.85,0.021793936
11/12/2007,45.84,-0.040612549
10/12/2007,47.74,0.014133765
07/12/2007,47.07,-0.011406968
06/12/2007,47.61,0.017587062
05/12/2007,46.78,0.03413746
04/12/2007,45.21,-0.016017896
03/12/2007,45.94,-0.012975961
30/11/2007,46.54,0.016901811
29/11/2007,45.76,-0.001528551
28/11/2007,45.83,0.029674454
27/11/2007,44.49,0.059739983
26/11/2007,41.91,-0.03308996
23/11/2007,43.32,0.00601993
21/11/2007,43.06,-0.015897121
20/11/2007,43.75,0.010800978
19/11/2007,43.28,-0.030939684
16/11/2007,44.64,0.022427036
15/11/2007,43.65,-0.005938802
14/11/2007,43.91,0.018387096
13/11/2007,43.11,0.012840144
12/11/2007,42.56,-0.023453995
09/11/2007,43.57,-0.033847997
08/11/2007,45.07,0.010034648
07/11/2007,44.62,-0.054303104
06/11/2007,47.11,-0.0019086
05/11/2007,47.2,0.00616302
02/11/2007,46.91,0.024383558
01/11/2007,45.78,-0.00891601
31/10/2007,46.19,0.015490656
30/10/2007,45.48,-0.010498784
29/10/2007,45.96,-0.008881245
26/10/2007,46.37,0.018720616
25/10/2007,45.51,0.034651952
24/10/2007,43.96,0.021615006
23/10/2007,43.02,0.010515344
22/10/2007,42.57,0.013480162
19/10/2007,42,-0.035321178
18/10/2007,43.51,0.018323602
17/10/2007,42.72,0.007518832
16/10/2007,42.4,0.009240677
15/10/2007,42.01,-0.03024495
12/10/2007,43.3,0.022892847
11/10/2007,42.32,-0.015475104
10/10/2007,42.98,0.020924708
09/10/2007,42.09,0.021129237
08/10/2007,41.21,-0.021604297
05/10/2007,42.11,0.014110003
04/10/2007,41.52,0.005070637
03/10/2007,41.31,-0.002176279
02/10/2007,41.4,-0.011288699
01/10/2007,41.87,0.024173282
28/09/2007,40.87,-0.006098324
27/09/2007,41.12,0.00781254
26/09/2007,40.8,0.001962709
25/09/2007,40.72,0.023606513
24/09/2007,39.77,-0.009011325
21/09/2007,40.13,0.016836684
20/09/2007,39.46,0.020999491
19/09/2007,38.64,0.002850851
18/09/2007,38.53,0.034322271
17/09/2007,37.23,-0.020997449
14/09/2007,38.02,-0.012545904
13/09/2007,38.5,0.006514681
12/09/2007,38.25,0.003666845
11/09/2007,38.11,0.017470005
10/09/2007,37.45,-0.005591813
07/09/2007,37.66,0.001860466
06/09/2007,37.59,0.030248053
05/09/2007,36.47,-0.017935263
04/09/2007,37.13,0.020681009
31/08/2007,36.37,0.006343974
30/08/2007,36.14,0.002493421
29/08/2007,36.05,0.010596864
28/08/2007,35.67,-0.02928386
27/08/2007,36.73,-0.015131334
24/08/2007,37.29,0.002954212
23/08/2007,37.18,-0.008303248
22/08/2007,37.49,-0.006381303
21/08/2007,37.73,-0.002382529
20/08/2007,37.82,-0.004748096
17/08/2007,38,0.010582109
16/08/2007,37.6,-0.005569568
15/08/2007,37.81,0.003709596
14/08/2007,37.67,0.006925973
13/08/2007,37.41,0.009399828
10/08/2007,37.06,-0.006723166
09/08/2007,37.31,-0.02931677
08/08/2007,38.42,0.014683012
07/08/2007,37.86,-0.007630612
06/08/2007,38.15,0.032501529
03/08/2007,36.93,-0.020901082
02/08/2007,37.71,0.016308342
01/08/2007,37.1,-0.003497918
31/07/2007,37.23,-0.005090433
30/07/2007,37.42,0.012369074
27/07/2007,36.96,-0.008352467
26/07/2007,37.27,-0.017289964
25/07/2007,37.92,0.001583532
24/07/2007,37.86,-0.003691014
23/07/2007,38,-0.019544596
20/07/2007,38.75,-0.042193956
19/07/2007,40.42,0.027082899
18/07/2007,39.34,0.002800053
17/07/2007,39.23,-0.009892281
16/07/2007,39.62,-0.008544913
13/07/2007,39.96,0.000500626
12/07/2007,39.94,0.005523489
11/07/2007,39.72,-0.003518476
10/07/2007,39.86,0.01236921
09/07/2007,39.37,0.00637026
06/07/2007,39.12,0.003585151
05/07/2007,38.98,-0.001794182
03/07/2007,39.05,-0.007398937
02/07/2007,39.34,0.013821566
29/06/2007,38.8,-0.020156314
28/06/2007,39.59,-0.005290351
27/06/2007,39.8,0.025446666
26/06/2007,38.8,0.002063984
25/06/2007,38.72,-0.706487553
22/06/2007,78.48,-0.011024632
21/06/2007,79.35,0.003155572
20/06/2007,79.1,-0.021264091
19/06/2007,80.8,0.003595565
18/06/2007,80.51,-0.003966783
15/06/2007,80.83,0.002353379
14/06/2007,80.64,0.003727175
13/06/2007,80.34,0.017832948
12/06/2007,78.92,-0.003794111
11/06/2007,79.22,0.00278094
08/06/2007,79,0.005330638
07/06/2007,78.58,-0.035380901
06/06/2007,81.41,-0.022830378
05/06/2007,83.29,-0.005865822
04/06/2007,83.78,0.009353708
01/06/2007,83,0.002774931
31/05/2007,82.77,0.006180714
30/05/2007,82.26,0.003653639
29/05/2007,81.96,0.002687845
25/05/2007,81.74,-0.007192083
24/05/2007,82.33,-0.002910857
23/05/2007,82.57,-0.013831479
22/05/2007,83.72,0.012258296
21/05/2007,82.7,-0.003861941
18/05/2007,83.02,0.001084664
17/05/2007,82.93,-0.012700866
16/05/2007,83.99,0.025931622
15/05/2007,81.84,0.00171212
14/05/2007,81.7,-0.005371107
11/05/2007,82.14,0.013605652
10/05/2007,81.03,-0.024864169
09/05/2007,83.07,0.003014048
08/05/2007,82.82,-0.001688986
07/05/2007,82.96,-0.001926783
04/05/2007,83.12,-0.001082186
03/05/2007,83.21,-0.002400673
02/05/2007,83.41,0.010000686
01/05/2007,82.58,0.010468751
30/04/2007,81.72,-0.001711701
27/04/2007,81.86,-0.025568204
26/04/2007,83.98,-0.002853747
25/04/2007,84.22,0.01014389
24/04/2007,83.37,0.002161384
23/04/2007,83.19,0.009663078
20/04/2007,82.39,0.008287677
19/04/2007,81.71,0.040969886
18/04/2007,78.43,-0.011787956
17/04/2007,79.36,-0.004275123
16/04/2007,79.7,0.016190589
13/04/2007,78.42,-0.007242265
12/04/2007,78.99,0.029419554
11/04/2007,76.7,-0.007533482
10/04/2007,77.28,-0.005420067
09/04/2007,77.7,-0.007947741
05/04/2007,78.32,0.004863698
04/04/2007,77.94,0.000513347
03/04/2007,77.9,0.018004502
02/04/2007,76.51,0.00013071
30/03/2007,76.5,0.003273325
29/03/2007,76.25,0.015996111
28/03/2007,75.04,0.000533191
27/03/2007,75,-0.003992021
26/03/2007,75.3,0.00960776
23/03/2007,74.58,-0.002009243
22/03/2007,74.73,0.004291277
21/03/2007,74.41,0.021737033
20/03/2007,72.81,0.028418126
19/03/2007,70.77,0.017533056
16/03/2007,69.54,-0.008305933
15/03/2007,70.12,0.008018371
14/03/2007,69.56,0.010549993
13/03/2007,68.83,-0.02850175
12/03/2007,70.82,0.0079388
09/03/2007,70.26,0.002850629
08/03/2007,70.06,-0.000142725
07/03/2007,70.07,-0.009233676
06/03/2007,70.72,0.010376044
05/03/2007,69.99,-0.006408909
02/03/2007,70.44,-0.002127208
01/03/2007,70.59,-0.013647767
28/02/2007,71.56,0.01378944
27/02/2007,70.58,-0.047993722
26/02/2007,74.05,0.005687989
23/02/2007,73.63,-0.005823024
22/02/2007,74.06,-0.002292806
21/02/2007,74.23,0.020964558
20/02/2007,72.69,0.008704718
16/02/2007,72.06,-0.001802427
15/02/2007,72.19,0.006531883
14/02/2007,71.72,0.016164524
13/02/2007,70.57,-0.003395109
12/02/2007,70.81,-0.004930629
09/02/2007,71.16,-0.013955013
08/02/2007,72.16,-0.001108033
07/02/2007,72.24,0.026795459
06/02/2007,70.33,0.004417535
05/02/2007,70.02,-0.009240239
02/02/2007,70.67,-0.012095787
01/02/2007,71.53,0.106246317
31/01/2007,64.32,0.013303272
30/01/2007,63.47,0.004421293
29/01/2007,63.19,0.007306259
26/01/2007,62.73,-0.010781776
25/01/2007,63.41,-0.013160146
