Date,Close,CAT
20/02/2008,71.25,0.012001556
19/02/2008,70.4,0.006412562
15/02/2008,69.95,-0.006980583
14/02/2008,70.44,-0.017031871
13/02/2008,71.65,0.023297912
12/02/2008,70,0.008320232
11/02/2008,69.42,0.020520257
08/02/2008,68.01,-0.004547796
07/02/2008,68.32,0.004989005
06/02/2008,67.98,0.006789694
05/02/2008,67.52,-0.049551553
04/02/2008,70.95,-0.011351814
01/02/2008,71.76,0.010788196
31/01/2008,70.99,0.036581573
30/01/2008,68.44,-0.008004118
29/01/2008,68.99,0.011370385
28/01/2008,68.21,0.033997609
25/01/2008,65.93,0.010367527
24/01/2008,65.25,0.002608764
23/01/2008,65.08,0.019550662
22/01/2008,63.82,0.015952324
18/01/2008,62.81,0.005427855
17/01/2008,62.47,-0.028406518
16/01/2008,64.27,-0.017429299
15/01/2008,65.4,-0.028192114
14/01/2008,67.27,0.018908126
11/01/2008,66.01,-0.020987129
10/01/2008,67.41,0.002673798
09/01/2008,67.23,0.001190654
08/01/2008,67.15,-0.023256862
07/01/2008,68.73,0.00291418
04/01/2008,68.53,-0.026637526
03/01/2008,70.38,-0.003545852
02/01/2008,70.63,-0.026958822
31/12/2007,72.56,-0.008235018
28/12/2007,73.16,0.005894869
27/12/2007,72.73,-0.013113151
26/12/2007,73.69,0.01352572
24/12/2007,72.7,-0.00041257
21/12/2007,72.73,0.016916654
20/12/2007,71.51,0.009413487
19/12/2007,70.84,-0.002960042
18/12/2007,71.05,-0.001547008
17/12/2007,71.16,-0.030856824
14/12/2007,73.39,-0.011245969
13/12/2007,74.22,0.005403958
12/12/2007,73.82,0.001355565
11/12/2007,73.72,-0.038061813
10/12/2007,76.58,0.031571796
07/12/2007,74.2,-0.002019523
06/12/2007,74.35,0.022304746
05/12/2007,72.71,0.009673928
04/12/2007,72.01,-0.000694107
03/12/2007,72.06,0.002222841
30/11/2007,71.9,0.002506616
29/11/2007,71.72,0.00741729
28/11/2007,71.19,0.033857959
27/11/2007,68.82,0.014489825
26/11/2007,67.83,-0.011725182
23/11/2007,68.63,0.010104794
21/11/2007,67.94,-0.004991935
20/11/2007,68.28,0.001172333
19/11/2007,68.2,-0.018018506
16/11/2007,69.44,-0.004167571
15/11/2007,69.73,-0.00429308
14/11/2007,70.03,-0.014741585
13/11/2007,71.07,0.020900739
12/11/2007,69.6,-0.011570731
09/11/2007,70.41,-0.02828528
