Date,Close,DD
20/02/2008,46.46,0.005179122
19/02/2008,46.22,0.015920083
15/02/2008,45.49,-0.015920083
14/02/2008,46.22,-0.009474662
13/02/2008,46.66,-0.009810273
12/02/2008,47.12,0.025579041
11/02/2008,45.93,0.010725724
08/02/2008,45.44,0.005738263
07/02/2008,45.18,0.009786555
06/02/2008,44.74,0.002909907
05/02/2008,44.61,-0.022826476
04/02/2008,45.64,-0.006769324
01/02/2008,45.95,0.016899338
31/01/2008,45.18,0.013817915
30/01/2008,44.56,-0.013153684
29/01/2008,45.15,0.006889682
28/01/2008,44.84,0.002679769
25/01/2008,44.72,-0.016191992
24/01/2008,45.45,0.001982161
23/01/2008,45.36,0.06418585
22/01/2008,42.54,-0.00375411
18/01/2008,42.7,-0.002339182
17/01/2008,42.8,-0.034446574
16/01/2008,44.3,-0.01834093
15/01/2008,45.12,-0.019750477
14/01/2008,46.02,0.029997838
11/01/2008,44.66,-0.013787187
10/01/2008,45.28,0.011103823
09/01/2008,44.78,0.046392416
08/01/2008,42.75,-0.012321439
07/01/2008,43.28,-0.002307871
04/01/2008,43.38,-0.016007659
03/01/2008,44.08,0.00774315
02/01/2008,43.74,-0.007969984
31/12/2007,44.09,-0.004751678
28/12/2007,44.3,-0.002254792
27/12/2007,44.4,-0.014977367
26/12/2007,45.07,-0.003543747
24/12/2007,45.23,-0.002649593
21/12/2007,45.35,0.025911657
20/12/2007,44.19,0.03711386
19/12/2007,42.58,-0.013992766
18/12/2007,43.18,-0.010596736
17/12/2007,43.64,-0.024670256
14/12/2007,44.73,-0.032768187
13/12/2007,46.22,0.008037406
12/12/2007,45.85,-0.00087203
11/12/2007,45.89,-0.038474504
10/12/2007,47.69,0.010539727
07/12/2007,47.19,-0.001270648
06/12/2007,47.25,0.011708489
05/12/2007,46.7,0.004291852
04/12/2007,46.5,-0.00771212
03/12/2007,46.86,0.015267472
30/11/2007,46.15,0.001300954
29/11/2007,46.09,0.001085423
28/11/2007,46.04,0.032000965
27/11/2007,44.59,0.014684552
26/11/2007,43.94,-0.016924696
23/11/2007,44.69,0.007637054
21/11/2007,44.35,-0.014549781
20/11/2007,45,0.003784932
19/11/2007,44.83,-0.010650201
16/11/2007,45.31,-0.001323335
15/11/2007,45.37,-0.011831865
14/11/2007,45.91,-0.004129992
13/11/2007,46.1,-0.015283905
12/11/2007,46.81,0.00042735
09/11/2007,46.79,-0.015901957
08/11/2007,47.54,0.008237453
07/11/2007,47.15,-0.025752496
06/11/2007,48.38,0.014364773
05/11/2007,47.69,-0.005645598
02/11/2007,47.96,0.000417101
01/11/2007,47.94,-0.03222444
31/10/2007,49.51,0.026193435
30/10/2007,48.23,-0.016043125
29/10/2007,49.01,0.013144572
26/10/2007,48.37,0.000620412
25/10/2007,48.34,0.016687913
24/10/2007,47.54,0.015474607
23/10/2007,46.81,0.005140298
22/10/2007,46.57,-0.006421255
19/10/2007,46.87,-0.026943326
18/10/2007,48.15,-0.00331744
17/10/2007,48.31,-0.00577917
16/10/2007,48.59,-0.015925204
15/10/2007,49.37,0.006298913
12/10/2007,49.06,0.005313726
11/10/2007,48.8,-0.004294046
10/10/2007,49.01,-0.009544189
09/10/2007,49.48,0.009748249
08/10/2007,49,-0.011161963
05/10/2007,49.55,-0.001613229
04/10/2007,49.63,0.005050006
03/10/2007,49.38,-0.012477522
02/10/2007,50,-0.004390348
01/10/2007,50.22,0.013229297
28/09/2007,49.56,-0.008838949
27/09/2007,50,0.002803927
26/09/2007,49.86,0.009066245
25/09/2007,49.41,-0.004039593
24/09/2007,49.61,-0.001611279
21/09/2007,49.69,-0.004217297
20/09/2007,49.9,0.000400882
19/09/2007,49.88,0.01169604
18/09/2007,49.3,0.031316939
17/09/2007,47.78,-0.005426855
14/09/2007,48.04,0.003127283
13/09/2007,47.89,0.004814243
12/09/2007,47.66,0.001890161
11/09/2007,47.57,0.005903454
10/09/2007,47.29,-0.004430854
07/09/2007,47.5,-0.01918324
06/09/2007,48.42,0.000413138
05/09/2007,48.4,-0.012320484
04/09/2007,49,0.005115101
31/08/2007,48.75,0.006379279
30/08/2007,48.44,-0.005353111
29/08/2007,48.7,0.011981139
28/08/2007,48.12,-0.014646987
27/08/2007,48.83,-0.005106742
24/08/2007,49.08,0.002856562
23/08/2007,48.94,0.000408747
22/08/2007,48.92,0.024207244
21/08/2007,47.75,0.000209446
20/08/2007,47.74,0.009047931
17/08/2007,47.31,-0.014479321
16/08/2007,48,0.022756987
15/08/2007,46.92,-0.005102052
14/08/2007,47.16,-0.016612726
13/08/2007,47.95,-0.013258947
10/08/2007,48.59,-0.00962629
09/08/2007,49.06,-0.007513488
08/08/2007,49.43,0.041935299
07/08/2007,47.4,-0.005050516
06/08/2007,47.64,0.027451452
03/08/2007,46.35,-0.016900605
02/08/2007,47.14,-0.004022446
01/08/2007,47.33,0.012757987
