Date,Close,BAX
20/02/2008,60.42,0.001822248
19/02/2008,60.31,0.016214313
15/02/2008,59.34,-0.016380109
14/02/2008,60.32,-0.025210044
13/02/2008,61.86,0.006161849
12/02/2008,61.48,0.009807205
11/02/2008,60.88,0.003785078
08/02/2008,60.65,-0.001153498
07/02/2008,60.72,0.013262794
06/02/2008,59.92,-0.006984895
05/02/2008,60.34,-0.025040176
04/02/2008,61.87,0.005835646
01/02/2008,61.51,0.015565154
31/01/2008,60.56,0.00646072
30/01/2008,60.17,-0.017953212
29/01/2008,61.26,-0.007642935
28/01/2008,61.73,0.011896172
25/01/2008,61,-0.016744275
24/01/2008,62.03,0.01118598
23/01/2008,61.34,0.010488461
22/01/2008,60.7,-0.039727491
18/01/2008,63.16,0.005875364
17/01/2008,62.79,-0.03320587
16/01/2008,64.91,0.023380117
15/01/2008,63.41,-0.003934844
14/01/2008,63.66,-0.000785114
11/01/2008,63.71,0.010413474
10/01/2008,63.05,-0.017607749
09/01/2008,64.17,0.051974284
08/01/2008,60.92,0.021905954
07/01/2008,59.6,0.032571726
04/01/2008,57.69,-0.015821482
03/01/2008,58.61,0.01408958
02/01/2008,57.79,-0.004488958
31/12/2007,58.05,-0.010623815
28/12/2007,58.67,0.006841142
27/12/2007,58.27,-0.015158257
26/12/2007,59.16,-0.004721763
24/12/2007,59.44,-0.001176965
21/12/2007,59.51,0.009285118
20/12/2007,58.96,0.005612737
19/12/2007,58.63,0.010114083
18/12/2007,58.04,0.008478293
17/12/2007,57.55,-0.009339397
14/12/2007,58.09,-0.02515856
13/12/2007,59.57,0.00842891
12/12/2007,59.07,0
11/12/2007,59.07,-0.033625005
10/12/2007,61.09,0.013845614
07/12/2007,60.25,0.012190182
06/12/2007,59.52,-0.00301963
05/12/2007,59.7,0.009593611
04/12/2007,59.13,0.002031489
03/12/2007,59.01,-0.014468624
30/11/2007,59.87,0.021611511
29/11/2007,58.59,-0.006295214
28/11/2007,58.96,0.009885882
27/11/2007,58.38,0.032909734
26/11/2007,56.49,-0.024481027
23/11/2007,57.89,0.024127044
21/11/2007,56.51,-0.021532561
20/11/2007,57.74,-0.003457818
19/11/2007,57.94,-0.005507759
16/11/2007,58.26,0.00775398
15/11/2007,57.81,-0.010325337
14/11/2007,58.41,0.003429947
13/11/2007,58.21,0.019428191
12/11/2007,57.09,-0.013224484
09/11/2007,57.85,-0.006890639
08/11/2007,58.25,-0.005990604
07/11/2007,58.6,-0.009510941
06/11/2007,59.16,0.002199849
05/11/2007,59.03,-0.0035512
02/11/2007,59.24,-0.000337553
01/11/2007,59.26,-0.012576673
31/10/2007,60.01,-0.007636159
30/10/2007,60.47,0.010138872
29/10/2007,59.86,-0.001502379
26/10/2007,59.95,0.002003674
25/10/2007,59.83,0.01261475
24/10/2007,59.08,0.001016088
23/10/2007,59.02,0.014334716
22/10/2007,58.18,0.003098643
19/10/2007,58,-0.026876937
18/10/2007,59.58,0.074547039
17/10/2007,55.3,-0.011685526
16/10/2007,55.95,-0.004458322
15/10/2007,56.2,-0.020953315
12/10/2007,57.39,0.020241825
11/10/2007,56.24,0.01072588
10/10/2007,55.64,0.001438849
09/10/2007,55.56,-0.003593249
08/10/2007,55.76,-0.009637769
05/10/2007,56.3,-0.000710227
04/10/2007,56.34,0.006946328
03/10/2007,55.95,-0.009605197
02/10/2007,56.49,-0.002475249
01/10/2007,56.63,0.006199648
28/09/2007,56.28,0.002134473
27/09/2007,56.16,0.007865611
26/09/2007,55.72,-0.017964022
25/09/2007,56.73,0.008141638
24/09/2007,56.27,-0.008846484
21/09/2007,56.77,0.013299247
20/09/2007,56.02,-0.006583068
19/09/2007,56.39,0.018615179
18/09/2007,55.35,0.018232046
17/09/2007,54.35,-0.005870499
14/09/2007,54.67,-0.004926568
13/09/2007,54.94,0.007123968
12/09/2007,54.55,0.007913909
11/09/2007,54.12,0.019215217
10/09/2007,53.09,0.007562902
07/09/2007,52.69,-0.021962403
06/09/2007,53.86,0.00111462
05/09/2007,53.8,-0.008145176
04/09/2007,54.24,-0.009541357
31/08/2007,54.76,0.017686533
30/08/2007,53.8,0.019520139
29/08/2007,52.76,0.020875986
28/08/2007,51.67,-0.018788896
27/08/2007,52.65,0
24/08/2007,52.65,0.003043563
23/08/2007,52.49,0.012653543
22/08/2007,51.83,0.024808382
21/08/2007,50.56,0.007942854
20/08/2007,50.16,-0.014448544
17/08/2007,50.89,-0.000982029
16/08/2007,50.94,-0.013841726
15/08/2007,51.65,-0.015370139
14/08/2007,52.45,-0.007218876
13/08/2007,52.83,0.016027819
10/08/2007,51.99,-0.003072789
09/08/2007,52.15,-0.04407652
08/08/2007,54.5,0.019641172
07/08/2007,53.44,-0.009868807
06/08/2007,53.97,0.008746683
03/08/2007,53.5,-0.011152532
02/08/2007,54.1,0.030021016
01/08/2007,52.5,-0.00190295
31/07/2007,52.6,-0.012844906
30/07/2007,53.28,0.023740551
27/07/2007,52.03,-0.010705512
26/07/2007,52.59,-0.016033542
25/07/2007,53.44,-0.030408682
24/07/2007,55.09,-0.026687354
23/07/2007,56.58,0.019993526
20/07/2007,55.46,-0.001801478
19/07/2007,55.56,-0.053271179
18/07/2007,58.6,-0.002896824
17/07/2007,58.77,-0.00017014
16/07/2007,58.78,0.003920571
13/07/2007,58.55,0.001367288
12/07/2007,58.47,0.00652027
11/07/2007,58.09,0.020698191
10/07/2007,56.9,-0.017076561
09/07/2007,57.88,-0.002760526
06/07/2007,58.04,0.002242347
05/07/2007,57.91,0.003632908
03/07/2007,57.7,-0.001731602
02/07/2007,57.8,0.025584013
29/06/2007,56.34,0.001243229
28/06/2007,56.27,0.001600712
27/06/2007,56.18,0.03091073
26/06/2007,54.47,-0.010773408
25/06/2007,55.06,-0.011197516
22/06/2007,55.68,-0.019739238
21/06/2007,56.79,-0.004392522
20/06/2007,57.04,-0.016000341
19/06/2007,57.96,0.002764342
18/06/2007,57.8,-0.001383126
15/06/2007,57.88,0.013742932
14/06/2007,57.09,0.010388332
13/06/2007,56.5,0.004790216
12/06/2007,56.23,0.007318194
11/06/2007,55.82,-0.01210841
08/06/2007,56.5,0.013363228
07/06/2007,55.75,-0.022173857
06/06/2007,57,-0.007341407
05/06/2007,57.42,-0.004171018
04/06/2007,57.66,0.008884302
01/06/2007,57.15,0.005439087
31/05/2007,56.84,0.014531533
30/05/2007,56.02,-0.004985765
29/05/2007,56.3,-0.011830278
25/05/2007,56.97,0.000175546
24/05/2007,56.96,-0.003330123
23/05/2007,57.15,0.000700158
22/05/2007,57.11,-0.005413442
21/05/2007,57.42,0.002615748
18/05/2007,57.27,0.004725659
17/05/2007,57,-0.013418342
16/05/2007,57.77,0.007296766
15/05/2007,57.35,-0.00452332
14/05/2007,57.61,0.015040507
11/05/2007,56.75,-0.011562848
10/05/2007,57.41,-0.00607799
09/05/2007,57.76,0.001386002
08/05/2007,57.68,0.002256358
07/05/2007,57.55,0.00208732
04/05/2007,57.43,-0.001218133
03/05/2007,57.5,0.002786487
02/05/2007,57.34,0.004895115
01/05/2007,57.06,0.007564466
30/04/2007,56.63,-0.009840178
27/04/2007,57.19,-0.011647242
26/04/2007,57.86,0.007981996
25/04/2007,57.4,0.014212012
24/04/2007,56.59,0.003895189
23/04/2007,56.37,0.008193847
20/04/2007,55.91,0.004122239
19/04/2007,55.68,0.014836531
18/04/2007,54.86,-0.00291227
17/04/2007,55.02,0.016492952
16/04/2007,54.12,0.002404959
13/04/2007,53.99,-0.002220167
12/04/2007,54.11,0.002405404
11/04/2007,53.98,-0.01032077
10/04/2007,54.54,0.003121846
09/04/2007,54.37,0.006088018
05/04/2007,54.04,0.004822862
04/04/2007,53.78,-0.002970667
03/04/2007,53.94,0.021361127
02/04/2007,52.8,0.002465157
30/03/2007,52.67,-0.010388232
29/03/2007,53.22,0.008680938
28/03/2007,52.76,-0.005858469
27/03/2007,53.07,0.000376932
26/03/2007,53.05,0.009469768
23/03/2007,52.55,-0.001521202
22/03/2007,52.63,0.006098742
21/03/2007,52.31,0.00459859
20/03/2007,52.07,0.000192068
19/03/2007,52.06,0.01353724
16/03/2007,51.36,0.002924834
15/03/2007,51.21,0.009220271
14/03/2007,50.74,0.015692049
13/03/2007,49.95,-0.009365417
12/03/2007,50.42,0.008764996
09/03/2007,49.98,0.006020488
08/03/2007,49.68,0.016848059
07/03/2007,48.85,0.006778294
06/03/2007,48.52,0.000412286
05/03/2007,48.5,-0.006576267
02/03/2007,48.82,-0.015649136
01/03/2007,49.59,-0.008433785
28/02/2007,50.01,0.018363951
27/02/2007,49.1,-0.02115948
26/02/2007,50.15,0.006802747
23/02/2007,49.81,-0.009988097
22/02/2007,50.31,-0.005747712
21/02/2007,50.6,-0.000790202
20/02/2007,50.64,0.003560835
16/02/2007,50.46,0.001189768
15/02/2007,50.4,0.002582697
14/02/2007,50.27,0.006586193
13/02/2007,49.94,0.000801282
12/02/2007,49.9,0.003010539
09/02/2007,49.75,-0.000602833
08/02/2007,49.78,0.002614906
07/02/2007,49.65,0.003834128
06/02/2007,49.46,-0.010658723
05/02/2007,49.99,0.004812522
02/02/2007,49.75,-0.011193401
01/02/2007,50.31,0.013004084
31/01/2007,49.66,0.004035518
30/01/2007,49.46,0.020838343
29/01/2007,48.44,-0.006379279
26/01/2007,48.75,-0.017487229
25/01/2007,49.61,0.029871288
24/01/2007,48.15,0.001870908
23/01/2007,48.06,0.001665973
22/01/2007,47.98,-0.018379454
19/01/2007,48.87,-0.003064667
18/01/2007,49.02,0.013141873
17/01/2007,48.38,0.012060866
16/01/2007,47.8,0.005243851
12/01/2007,47.55,0.009508788
11/01/2007,47.1,0.00681724
10/01/2007,46.78,0.009666062
09/01/2007,46.33,-0.012227976
08/01/2007,46.9,0.002348171
05/01/2007,46.79,-0.004052474
04/01/2007,46.98,0.010269667
03/01/2007,46.5,0.002368394
29/12/2006,46.39,-0.005160192
28/12/2006,46.63,-0.002784026
27/12/2006,46.76,0.008806845
26/12/2006,46.35,0.002808687
22/12/2006,46.22,-0.007329199
21/12/2006,46.56,0.004304785
20/12/2006,46.36,-0.002585094
19/12/2006,46.48,0.004960649
18/12/2006,46.25,-0.00646554
15/12/2006,46.55,0.008846751
14/12/2006,46.14,0.024795565
13/12/2006,45.01,0.011845037
12/12/2006,44.48,-0.000224795
11/12/2006,44.49,-0.015390066
08/12/2006,45.18,0.0088929
07/12/2006,44.78,-0.00223065
06/12/2006,44.88,-0.009976804
05/12/2006,45.33,0
04/12/2006,45.33,0.011091507
01/12/2006,44.83,0.002009602
30/11/2006,44.74,-0.001340183
29/11/2006,44.8,0.012126805
28/11/2006,44.26,0.015942037
27/11/2006,43.56,-0.019100171
24/11/2006,44.4,0
22/11/2006,44.4,-0.011198325
21/11/2006,44.9,-0.013494287
20/11/2006,45.51,-0.013314613
17/11/2006,46.12,-0.000433557
16/11/2006,46.14,0.016608773
15/11/2006,45.38,0.00044082
14/11/2006,45.36,0.007523824
13/11/2006,45.02,-0.002883444
10/11/2006,45.15,-0.001328021
09/11/2006,45.21,-0.013838771
08/11/2006,45.84,-0.014940193
07/11/2006,46.53,-0.005144706
06/11/2006,46.77,0.022487434
03/11/2006,45.73,-0.004363961
02/11/2006,45.93,0.006114891
01/11/2006,45.65,-0.006985403
31/10/2006,45.97,-0.006288647
30/10/2006,46.26,-0.001727862
27/10/2006,46.34,-0.006453023
26/10/2006,46.64,0.008397078
25/10/2006,46.25,-0.006035802
24/10/2006,46.53,-0.014508469
23/10/2006,47.21,0.025964338
20/10/2006,46,0.02331313
19/10/2006,44.94,-0.042476166
18/10/2006,46.89,0.019163037
17/10/2006,46,0.003484324
16/10/2006,45.84,-0.002614381
13/10/2006,45.96,-0.00195631
12/10/2006,46.05,0.008943238
11/10/2006,45.64,0.00681546
10/10/2006,45.33,-0.005938652
09/10/2006,45.6,-0.005249356
06/10/2006,45.84,0.024065628
05/10/2006,44.75,-0.00623749
04/10/2006,45.03,-0.004431649
03/10/2006,45.23,0.001106072
02/10/2006,45.18,-0.006178307
29/09/2006,45.46,0.011727095
28/09/2006,44.93,-0.007759711
27/09/2006,45.28,0.000220872
26/09/2006,45.27,-0.003087784
25/09/2006,45.41,-0.000660429
22/09/2006,45.44,0.00906384
21/09/2006,45.03,-0.006860711
20/09/2006,45.34,0.003092558
19/09/2006,45.2,-0.006615239
18/09/2006,45.5,-0.001317813
15/09/2006,45.56,0.012367649
14/09/2006,45,0.00177936
13/09/2006,44.92,-0.001334817
12/09/2006,44.98,0.010953502
11/09/2006,44.49,0.015402343
