Date,Close,SO
20/02/2008,35.77,0.000559284
19/02/2008,35.75,-0.000838809
15/02/2008,35.78,-0.000838106
14/02/2008,35.81,-0.009173101
13/02/2008,36.14,-0.001935039
12/02/2008,36.21,0.014745016
11/02/2008,35.68,-0.001959961
08/02/2008,35.75,-0.004743974
07/02/2008,35.92,-0.009420962
06/02/2008,36.26,-0.008239541
05/02/2008,36.56,-0.027783311
04/02/2008,37.59,0.007744731
01/02/2008,37.3,0.025249068
31/01/2008,36.37,-0.000549753
30/01/2008,36.39,-0.004113539
29/01/2008,36.54,0.011284006
28/01/2008,36.13,0.001107727
25/01/2008,36.09,-0.012665368
24/01/2008,36.55,-0.026459427
23/01/2008,37.53,0.014222701
22/01/2008,37,-0.019802627
18/01/2008,37.74,-0.015773198
17/01/2008,38.34,-0.021927875
16/01/2008,39.19,-0.003057327
15/01/2008,39.31,-0.007602672
14/01/2008,39.61,-0.00377977
11/01/2008,39.76,-0.011254339
10/01/2008,40.21,-0.007186253
09/01/2008,40.5,0.019950786
08/01/2008,39.7,0.005303712
07/01/2008,39.49,0.019949511
04/01/2008,38.71,0.01562125
03/01/2008,38.11,-0.000262364
02/01/2008,38.12,-0.016391677
31/12/2007,38.75,-0.010269667
28/12/2007,39.15,0.006920443
27/12/2007,38.88,-0.005642487
26/12/2007,39.1,-0.001022495
24/12/2007,39.14,-0.001531785
21/12/2007,39.2,0.015683571
20/12/2007,38.59,0.004675333
19/12/2007,38.41,-0.009844639
18/12/2007,38.79,0.017685767
17/12/2007,38.11,-0.009921752
14/12/2007,38.49,-0.01110979
13/12/2007,38.92,0.01110979
12/12/2007,38.49,0.001039771
11/12/2007,38.45,-0.018297122
10/12/2007,39.16,0.006661567
07/12/2007,38.9,-0.001027749
06/12/2007,38.94,0.003086422
05/12/2007,38.82,0.016623759
04/12/2007,38.18,0.0097382
03/12/2007,37.81,0.005037794
30/11/2007,37.62,-0.005302239
29/11/2007,37.82,-0.002640614
28/11/2007,37.92,0.002905059
27/11/2007,37.81,0.004772013
26/11/2007,37.63,-0.010836633
23/11/2007,38.04,-0.000525624
21/11/2007,38.06,-0.004195077
20/11/2007,38.22,0.013964132
19/11/2007,37.69,0.0179365
16/11/2007,37.02,0.005145577
15/11/2007,36.83,0.011743956
14/11/2007,36.4,0.002200221
13/11/2007,36.32,0.008571876
12/11/2007,36.01,0.004453111
09/11/2007,35.85,-0.009439271
08/11/2007,36.19,0.027736755
07/11/2007,35.2,-0.017181101
06/11/2007,35.81,-0.002510111
05/11/2007,35.9,0.005026539
02/11/2007,35.72,0.003365118
01/11/2007,35.6,-0.029340605
31/10/2007,36.66,0.010144021
30/10/2007,36.29,-0.004399237
29/10/2007,36.45,0.00688234
26/10/2007,36.2,0.002489284
25/10/2007,36.11,0.010859079
24/10/2007,35.72,0.002803478
23/10/2007,35.62,0.000842578
22/10/2007,35.59,0.005352879
19/10/2007,35.4,-0.018749675
18/10/2007,36.07,-0.00193879
17/10/2007,36.14,0.00027674
16/10/2007,36.13,-0.007170466
15/10/2007,36.39,-0.007119417
12/10/2007,36.65,-0.002452651
11/10/2007,36.74,-0.001631765
10/10/2007,36.8,-0.010542063
09/10/2007,37.19,0.015172331
08/10/2007,36.63,-0.002726283
05/10/2007,36.73,-0.00515955
04/10/2007,36.92,0.000541859
03/10/2007,36.9,0.002170375
02/10/2007,36.82,-0.001628223
01/10/2007,36.88,0.016402773
28/09/2007,36.28,-0.018840148
27/09/2007,36.97,-0.002431448
26/09/2007,37.06,0.005411269
25/09/2007,36.86,-0.00027126
24/09/2007,36.87,-0.004600198
21/09/2007,37.04,0.002162163
20/09/2007,36.96,-0.010764367
19/09/2007,37.36,0.011576384
18/09/2007,36.93,0.016655675
17/09/2007,36.32,-0.002200221
14/09/2007,36.4,0.001649712
13/09/2007,36.34,0.005242114
12/09/2007,36.15,0.005826067
11/09/2007,35.94,0.011192059
10/09/2007,35.54,0.005643356
07/09/2007,35.34,-0.009294532
06/09/2007,35.67,0.010993768
05/09/2007,35.28,-0.016863806
04/09/2007,35.88,0.010929071
31/08/2007,35.49,0.00650179
30/08/2007,35.26,-0.010719426
29/08/2007,35.64,0.014697834
28/08/2007,35.12,-0.005961693
27/08/2007,35.33,-0.022114267
24/08/2007,36.12,0.00332779
23/08/2007,36,-0.008574247
22/08/2007,36.31,0.001653804
21/08/2007,36.25,0.006642704
20/08/2007,36.01,0.000277739
17/08/2007,36,0.015677813
16/08/2007,35.44,0.012207391
15/08/2007,35.01,-0.001141879
14/08/2007,35.05,-0.009936207
13/08/2007,35.4,-0.034974422
10/08/2007,36.66,-0.009501904
09/08/2007,37.01,0.003789934
08/08/2007,36.87,0.014204008
07/08/2007,36.35,0.029027994
06/08/2007,35.31,0.049045082
03/08/2007,33.62,-0.038511177
02/08/2007,34.94,0.000858984
01/08/2007,34.91,0.037057486
31/07/2007,33.64,-0.0059277
30/07/2007,33.84,0.001478634
27/07/2007,33.79,-0.010890468
26/07/2007,34.16,-0.013953715
25/07/2007,34.64,0.024548281
24/07/2007,33.8,-0.022236141
23/07/2007,34.56,0.008718451
20/07/2007,34.26,-0.019939976
19/07/2007,34.95,0.014699789
18/07/2007,34.44,0.003490405
17/07/2007,34.32,-0.002909516
16/07/2007,34.42,-0.01298907
13/07/2007,34.87,0.006617777
12/07/2007,34.64,0.01747278
11/07/2007,34.04,0.008852227
10/07/2007,33.74,-0.016461277
09/07/2007,34.3,0.006434652
06/07/2007,34.08,-0.009345862
05/07/2007,34.4,-0.006086093
03/07/2007,34.61,-0.000866426
