Date,Close,RTN
20/02/2008,65.75,-0.001823432
19/02/2008,65.87,0.003345502
15/02/2008,65.65,-0.009852296
14/02/2008,66.3,-0.012143167
13/02/2008,67.11,0.012444872
12/02/2008,66.28,-0.011550417
11/02/2008,67.05,0.0226254
08/02/2008,65.55,-0.006841532
07/02/2008,66,0.025317808
06/02/2008,64.35,-0.009896478
05/02/2008,64.99,-0.021614236
04/02/2008,66.41,0.004830198
01/02/2008,66.09,0.01447865
31/01/2008,65.14,0.026601864
30/01/2008,63.43,-0.007695366
29/01/2008,63.92,0.011011595
28/01/2008,63.22,0.006347213
25/01/2008,62.82,-0.004605741
24/01/2008,63.11,0.037782989
23/01/2008,60.77,0.015756193
22/01/2008,59.82,-0.012294556
18/01/2008,60.56,-0.020268755
17/01/2008,61.8,-0.023981965
16/01/2008,63.3,0.010481277
15/01/2008,62.64,0.017066909
14/01/2008,61.58,0.012582893
11/01/2008,60.81,-0.009818439
10/01/2008,61.41,-0.001301872
09/01/2008,61.49,0.023197553
08/01/2008,60.08,-0.012241675
07/01/2008,60.82,-0.017763035
04/01/2008,61.91,-0.000322997
03/01/2008,61.93,0.031660153
02/01/2008,60,-0.011599136
31/12/2007,60.7,-0.013256065
28/12/2007,61.51,0.000813207
27/12/2007,61.46,-0.01678
26/12/2007,62.5,-0.004310696
24/12/2007,62.77,-0.003657474
21/12/2007,63,0.02491089
20/12/2007,61.45,0.010634047
19/12/2007,60.8,-0.007700538
18/12/2007,61.27,0.006385613
17/12/2007,60.88,-0.012730709
14/12/2007,61.66,-0.01736378
13/12/2007,62.74,-0.010937733
12/12/2007,63.43,0.00711972
11/12/2007,62.98,-0.028642697
10/12/2007,64.81,-0.005692761
07/12/2007,65.18,0.016708309
06/12/2007,64.1,0.032665026
05/12/2007,62.04,0.002743929
04/12/2007,61.87,0.000970246
03/12/2007,61.81,-0.000646935
30/11/2007,61.85,0.003887904
29/11/2007,61.61,-0.005987557
28/11/2007,61.98,0.007937192
27/11/2007,61.49,0.01243675
26/11/2007,60.73,-0.022147135
23/11/2007,62.09,0.011989774
21/11/2007,61.35,-0.008925009
20/11/2007,61.9,0.012353863
19/11/2007,61.14,-0.015096464
