Date,Close,F
20/02/2008,6.41,-0.010861239
19/02/2008,6.48,0.00464038
15/02/2008,6.45,-0.001549187
14/02/2008,6.46,-0.018405428
13/02/2008,6.58,0.018405428
12/02/2008,6.46,0.010895049
11/02/2008,6.39,0.049729572
08/02/2008,6.08,-0.014694142
07/02/2008,6.17,-0.022436839
06/02/2008,6.31,-0.018838862
05/02/2008,6.43,-0.038143449
04/02/2008,6.68,-0.025130665
01/02/2008,6.85,0.031136689
31/01/2008,6.64,-0.016430541
30/01/2008,6.75,0.008928631
29/01/2008,6.69,0.002994014
28/01/2008,6.67,0.013585115
25/01/2008,6.58,0.04985456
24/01/2008,6.26,-0.006369448
23/01/2008,6.3,0.06052542
22/01/2008,5.93,0.001687764
18/01/2008,5.92,0.027398974
17/01/2008,5.76,-0.017212129
16/01/2008,5.86,-0.018597324
15/01/2008,5.97,-0.034571344
14/01/2008,6.18,0.019608471
11/01/2008,6.06,-0.030871664
10/01/2008,6.25,0.029222859
09/01/2008,6.07,-0.004930166
08/01/2008,6.1,-0.009788006
07/01/2008,6.16,0.004882028
04/01/2008,6.13,-0.050885381
03/01/2008,6.45,-0.022989518
02/01/2008,6.6,-0.019505495
31/12/2007,6.73,0.004467617
28/12/2007,6.7,-0.020680205
27/12/2007,6.84,-0.007283353
26/12/2007,6.89,0.02052858
24/12/2007,6.75,-0.005908437
21/12/2007,6.79,0
20/12/2007,6.79,0.004428052
19/12/2007,6.76,-0.00736923
18/12/2007,6.81,0.001469508
17/12/2007,6.8,-0.013148473
14/12/2007,6.89,-0.014409471
13/12/2007,6.99,-0.009964495
12/12/2007,7.06,0.012829827
11/12/2007,6.97,-0.024097552
10/12/2007,7.14,0.011267725
07/12/2007,7.06,0
06/12/2007,7.06,0.011396135
05/12/2007,6.98,0.001433692
04/12/2007,6.97,-0.039386244
03/12/2007,7.25,-0.035233997
30/11/2007,7.51,0.02973192
29/11/2007,7.29,-0.009556387
28/11/2007,7.36,0.040199453
27/11/2007,7.07,0.005673774
26/11/2007,7.03,-0.022504466
23/11/2007,7.19,0.033949512
21/11/2007,6.95,-0.040879547
20/11/2007,7.24,-0.013717636
19/11/2007,7.34,-0.047881486
16/11/2007,7.7,-0.010336009
15/11/2007,7.78,-0.025382073
14/11/2007,7.98,-0.00250313
13/11/2007,8,0.016383479
12/11/2007,7.87,-0.041076092
09/11/2007,8.2,-0.033576296
08/11/2007,8.48,0.028710106
07/11/2007,8.24,-0.046244161
06/11/2007,8.63,-0.004624286
05/11/2007,8.67,-0.031784741
02/11/2007,8.95,0.051587369
01/11/2007,8.5,-0.042608633
31/10/2007,8.87,0.007923075
30/10/2007,8.8,0.003414915
29/10/2007,8.77,0.011468016
26/10/2007,8.67,0.008106588
25/10/2007,8.6,0.001163467
