Date,Close,MET
20/02/2008,59.11,0.003559024
19/02/2008,58.9,0.011096998
15/02/2008,58.25,0.005508707
14/02/2008,57.93,-0.013885541
13/02/2008,58.74,0.011471746
12/02/2008,58.07,0.039696115
11/02/2008,55.81,-0.033650669
08/02/2008,57.72,-0.040073274
07/02/2008,60.08,0.064094767
06/02/2008,56.35,-0.00619197
05/02/2008,56.7,-0.047361412
04/02/2008,59.45,-0.014196481
01/02/2008,60.3,0.023830629
31/01/2008,58.88,0.023194924
30/01/2008,57.53,-0.014838091
29/01/2008,58.39,0.027432276
28/01/2008,56.81,0.039312251
25/01/2008,54.62,-0.032778011
24/01/2008,56.44,0.020586067
23/01/2008,55.29,-0.002528903
22/01/2008,55.43,-0.035445851
18/01/2008,57.43,-0.014348937
17/01/2008,58.26,-0.040203884
16/01/2008,60.65,0.013111133
15/01/2008,59.86,-0.004001339
14/01/2008,60.1,0.009025634
11/01/2008,59.56,-0.008026799
10/01/2008,60.04,0.025129917
09/01/2008,58.55,0.013757741
08/01/2008,57.75,-0.032370799
07/01/2008,59.65,0.01214385
04/01/2008,58.93,-0.013986242
03/01/2008,59.76,0.008739551
02/01/2008,59.24,-0.039389504
31/12/2007,61.62,0.002437242
28/12/2007,61.47,0.004892378
27/12/2007,61.17,-0.029477853
26/12/2007,63,-0.007117468
24/12/2007,63.45,0.02102323
21/12/2007,62.13,0.024769068
20/12/2007,60.61,-0.004773279
19/12/2007,60.9,-0.001312767
18/12/2007,60.98,0.006251048
17/12/2007,60.6,-0.021871281
14/12/2007,61.94,-0.014425639
13/12/2007,62.84,0.002868528
12/12/2007,62.66,0.00223678
11/12/2007,62.52,-0.042586272
10/12/2007,65.24,0.001073537
07/12/2007,65.17,0.016554876
06/12/2007,64.1,0.004847926
05/12/2007,63.79,0.007869099
04/12/2007,63.29,-0.023269575
03/12/2007,64.78,-0.012426332
30/11/2007,65.59,0.011346335
29/11/2007,64.85,-0.009515112
28/11/2007,65.47,0.045625786
27/11/2007,62.55,0.033984248
26/11/2007,60.46,-0.02143582
23/11/2007,61.77,0.010905944
21/11/2007,61.1,-0.021694229
20/11/2007,62.44,-0.003357586
19/11/2007,62.65,-0.020850542
16/11/2007,63.97,-0.013354236
15/11/2007,64.83,-0.020458729
14/11/2007,66.17,0.001209739
13/11/2007,66.09,0.025282891
12/11/2007,64.44,0.002486017
09/11/2007,64.28,-0.013597243
08/11/2007,65.16,0.031174594
07/11/2007,63.16,-0.034239261
06/11/2007,65.36,0.007371041
05/11/2007,64.88,0.013812589
02/11/2007,63.99,-0.023781232
01/11/2007,65.53,-0.049422172
31/10/2007,68.85,0.00305477
30/10/2007,68.64,-0.011155494
29/10/2007,69.41,-0.00373886
26/10/2007,69.67,0.014311773
25/10/2007,68.68,0.023721186
24/10/2007,67.07,-0.006390748
23/10/2007,67.5,0.001334223
22/10/2007,67.41,0.026455774
19/10/2007,65.65,-0.032666974
18/10/2007,67.83,0.00044238
17/10/2007,67.8,0.002806294
16/10/2007,67.61,-0.015702135
15/10/2007,68.68,-0.020750024
12/10/2007,70.12,0.00514728
11/10/2007,69.76,-0.005575027
10/10/2007,70.15,-0.006677584
09/10/2007,70.62,0.001133466
08/10/2007,70.54,-0.004667288
05/10/2007,70.87,0.016359992
04/10/2007,69.72,0.010380716
03/10/2007,69,-0.015673626
02/10/2007,70.09,-0.007957979
01/10/2007,70.65,0.013107468
28/09/2007,69.73,-0.002148844
27/09/2007,69.88,0.00272265
26/09/2007,69.69,0.016347561
25/09/2007,68.56,0.000583601
24/09/2007,68.52,-0.00973067
21/09/2007,69.19,0.012507435
20/09/2007,68.33,-0.023002823
19/09/2007,69.92,0.020080126
18/09/2007,68.53,0.061537047
17/09/2007,64.44,-0.003408214
14/09/2007,64.66,-0.000309262
13/09/2007,64.68,0.012132673
12/09/2007,63.9,-0.002032362
11/09/2007,64.03,0.008626828
10/09/2007,63.48,-0.000629921
07/09/2007,63.52,-0.013137505
06/09/2007,64.36,-0.001862776
05/09/2007,64.48,-0.013708339
04/09/2007,65.37,0.020399409
31/08/2007,64.05,0.010200167
30/08/2007,63.4,-0.008011982
29/08/2007,63.91,0.010222626
28/08/2007,63.26,-0.044066803
27/08/2007,66.11,-0.009784077
24/08/2007,66.76,0.000899146
23/08/2007,66.7,-0.000899146
22/08/2007,66.76,0.044410912
21/08/2007,63.86,0.002037778
20/08/2007,63.73,-0.014178005
17/08/2007,64.64,0.057631735
16/08/2007,61.02,0.0225399
15/08/2007,59.66,-0.026465322
14/08/2007,61.26,-0.024350151
13/08/2007,62.77,0.011053376
10/08/2007,62.08,0.024294013
09/08/2007,60.59,-0.070257407
08/08/2007,65,0.008342394
07/08/2007,64.46,0.015792682
06/08/2007,63.45,0.039542278
03/08/2007,60.99,-0.043474646
02/08/2007,63.7,0.029957626
01/08/2007,61.82,0.026222414
31/07/2007,60.22,0
30/07/2007,60.22,0.010013435
27/07/2007,59.62,-0.027788755
26/07/2007,61.3,-0.042165301
25/07/2007,63.94,0.009112396
24/07/2007,63.36,-0.012547216
23/07/2007,64.16,0.006881479
20/07/2007,63.72,0.010570423
19/07/2007,63.05,-0.006639291
18/07/2007,63.47,-0.010033005
17/07/2007,64.11,-0.012093171
16/07/2007,64.89,-0.006604739
13/07/2007,65.32,0.004910998
12/07/2007,65,0.014567126
11/07/2007,64.06,0.017479384
10/07/2007,62.95,-0.02447949
09/07/2007,64.51,-0.005719159
06/07/2007,64.88,0.002005709
05/07/2007,64.75,-0.013041995
03/07/2007,65.6,0.000304925
02/07/2007,65.58,0.016915673
29/06/2007,64.48,-0.004178602
28/06/2007,64.75,-0.004007404
27/06/2007,65.01,0.00508907
26/06/2007,64.68,0.0102565
25/06/2007,64.02,0.0040695
22/06/2007,63.76,-0.016796662
21/06/2007,64.84,-0.002156833
20/06/2007,64.98,-0.022219755
19/06/2007,66.44,-0.002255131
18/06/2007,66.59,-0.002399881
15/06/2007,66.75,0.006613582
14/06/2007,66.31,0.006657613
13/06/2007,65.87,0.005327663
12/06/2007,65.52,-0.011080025
11/06/2007,66.25,0.003629219
08/06/2007,66.01,0.003186407
07/06/2007,65.8,-0.017923516
06/06/2007,66.99,-0.008768727
05/06/2007,67.58,-0.007811964
04/06/2007,68.11,-0.00410257
01/06/2007,68.39,0.00571891
31/05/2007,68,-0.006741928
30/05/2007,68.46,0.009392496
29/05/2007,67.82,0.001623257
25/05/2007,67.71,0.005034065
24/05/2007,67.37,-0.005772235
23/05/2007,67.76,-0.015958175
22/05/2007,68.85,0.00509648
21/05/2007,68.5,0.001168566
18/05/2007,68.42,-0.001606426
17/05/2007,68.53,-0.005094255
16/05/2007,68.88,-0.000870701
15/05/2007,68.94,0.010205658
14/05/2007,68.24,-0.007445833
11/05/2007,68.75,0.010674957
10/05/2007,68.02,-0.013434782
09/05/2007,68.94,-0.001449486
08/05/2007,69.04,0.003482302
07/05/2007,68.8,0.003640339
04/05/2007,68.55,0.006145761
03/05/2007,68.13,0.020163767
02/05/2007,66.77,0.013722601
01/05/2007,65.86,0.002432351
30/04/2007,65.7,0.002285715
27/04/2007,65.55,-0.004414346
26/04/2007,65.84,0.004109282
25/04/2007,65.57,0.016143021
24/04/2007,64.52,-0.002631377
23/04/2007,64.69,-0.006164298
20/04/2007,65.09,0.012989204
19/04/2007,64.25,0.00233736
18/04/2007,64.1,-0.000467909
17/04/2007,64.13,0.00390595
16/04/2007,63.88,0.009278985
13/04/2007,63.29,-0.004414322
12/04/2007,63.57,0.002520083
11/04/2007,63.41,-0.00220542
10/04/2007,63.55,-0.00502277
09/04/2007,63.87,0.000626468
05/04/2007,63.83,0.006128722
04/04/2007,63.44,-0.004874607
03/04/2007,63.75,0.006610034
02/04/2007,63.33,0.002846302
30/03/2007,63.15,-0.003004192
29/03/2007,63.34,-0.000315706
28/03/2007,63.36,-0.006450113
27/03/2007,63.77,-0.007031828
26/03/2007,64.22,0.009701218
23/03/2007,63.6,0.002203684
22/03/2007,63.46,-0.005343404
21/03/2007,63.8,0.012618464
20/03/2007,63,0.007168489
19/03/2007,62.55,0.012548427
16/03/2007,61.77,-0.004200329
15/03/2007,62.03,0.006793944
14/03/2007,61.61,0.011262667
13/03/2007,60.92,-0.034366534
12/03/2007,63.05,0.006204777
09/03/2007,62.66,0.008011579
08/03/2007,62.16,0.005323022
07/03/2007,61.83,-0.006448515
06/03/2007,62.23,0.00903961
05/03/2007,61.67,-0.013048917
02/03/2007,62.48,-0.011457796
01/03/2007,63.2,0.000633112
28/02/2007,63.16,0.005716116
27/02/2007,62.8,-0.039343195
26/02/2007,65.32,0.000918977
23/02/2007,65.26,-0.010062594
22/02/2007,65.92,0.006239083
21/02/2007,65.51,-0.001525321
20/02/2007,65.61,0.011651213
16/02/2007,64.85,-0.001078832
15/02/2007,64.92,-0.006448664
14/02/2007,65.34,0.007527495
13/02/2007,64.85,0.021824717
12/02/2007,63.45,0.002050959
09/02/2007,63.32,-0.007238427
08/02/2007,63.78,-0.0067193
07/02/2007,64.21,0.011119056
06/02/2007,63.5,0.003786688
05/02/2007,63.26,-0.00157953
02/02/2007,63.36,0.003161558
01/02/2007,63.16,0.016603191
31/01/2007,62.12,0.003870973
30/01/2007,61.88,0.006485107
29/01/2007,61.48,0.000162668
26/01/2007,61.47,-0.001787892
25/01/2007,61.58,-0.018821436
24/01/2007,62.75,0.015740768
23/01/2007,61.77,0.002755939
22/01/2007,61.6,0.001787311
19/01/2007,61.49,0.003910711
18/01/2007,61.25,-0.004886003
17/01/2007,61.55,-0.010665906
16/01/2007,62.21,0.007745722
12/01/2007,61.73,0.001945841
11/01/2007,61.61,0.02631298
10/01/2007,60.01,0.015280291
09/01/2007,59.1,-0.011774737
08/01/2007,59.8,0
05/01/2007,59.8,-0.01180298
04/01/2007,60.51,0.005967198
03/01/2007,60.15,0.019134521
29/12/2006,59.01,-0.008269391
28/12/2006,59.5,0
27/12/2006,59.5,0.002692698
26/12/2006,59.34,0.0038835
22/12/2006,59.11,-0.001521427
21/12/2006,59.2,0.002198361
20/12/2006,59.07,-0.001522457
19/12/2006,59.16,0.009169703
18/12/2006,58.62,-0.001874734
15/12/2006,58.73,0
14/12/2006,58.73,0.007348576
13/12/2006,58.3,0.005159083
12/12/2006,58,-0.002238871
11/12/2006,58.13,0.004482766
08/12/2006,57.87,0.005718757
07/12/2006,57.54,-0.01346473
06/12/2006,58.32,-0.004448254
05/12/2006,58.58,0.002906233
04/12/2006,58.41,0.006010149
01/12/2006,58.06,-0.011473711
30/11/2006,58.73,0.004778982
29/11/2006,58.45,-0.001709402
28/11/2006,58.55,0.00805972
27/11/2006,58.08,-0.000344293
24/11/2006,58.1,-0.004122301
22/11/2006,58.34,-0.005640558
21/11/2006,58.67,-0.010680783
20/11/2006,59.3,0.005410903
17/11/2006,58.98,-0.001016777
16/11/2006,59.04,0.007821839
15/11/2006,58.58,0.000512251
14/11/2006,58.55,0.007199208
13/11/2006,58.13,0.003273889
10/11/2006,57.94,0.007449147
09/11/2006,57.51,0.001740342
08/11/2006,57.41,-0.005904845
07/11/2006,57.75,0.007299302
06/11/2006,57.33,0.006123718
03/11/2006,56.98,-0.002103788
02/11/2006,57.1,-0.008718451
01/11/2006,57.6,0.008193195
31/10/2006,57.13,-0.031360254
30/10/2006,58.95,0.004931563
27/10/2006,58.66,-0.019749144
26/10/2006,59.83,0.015156909
25/10/2006,58.93,0.003059146
24/10/2006,58.75,0.000170227
23/10/2006,58.74,0.004778166
20/10/2006,58.46,0.006004994
19/10/2006,58.11,-0.010953387
18/10/2006,58.75,0.022898478
17/10/2006,57.42,0.005063302
16/10/2006,57.13,0.008790493
13/10/2006,56.63,0.00318359
12/10/2006,56.45,-0.00441892
11/10/2006,56.7,-0.005101603
10/10/2006,56.99,-0.009778321
09/10/2006,57.55,0.003306939
06/10/2006,57.36,0.001919554
05/10/2006,57.25,-0.001745201
04/10/2006,57.35,0.019722421
03/10/2006,56.23,-0.000711111
02/10/2006,56.27,-0.007259881
29/09/2006,56.68,-0.000352796
28/09/2006,56.7,-0.000881446
27/09/2006,56.75,-0.005798136
26/09/2006,57.08,-0.002624444
25/09/2006,57.23,0.011599427
22/09/2006,56.57,0.006028387
21/09/2006,56.23,0.001423741
20/09/2006,56.15,0.013808163
19/09/2006,55.38,-0.003604907
18/09/2006,55.58,-0.007528266
15/09/2006,56,0.004294924
14/09/2006,55.76,-0.006435489
13/09/2006,56.12,-0.004444847
12/09/2006,56.37,0.006763999
11/09/2006,55.99,0.017476348
08/09/2006,55.02,0.006747541
07/09/2006,54.65,0.006056731
06/09/2006,54.32,-0.009709703
05/09/2006,54.85,-0.004547529
01/09/2006,55.1,0.001271225
31/08/2006,55.03,0.004188297
30/08/2006,54.8,0.006774722
29/08/2006,54.43,-0.008051279
28/08/2006,54.87,0.01173249
25/08/2006,54.23,-0.006433254
24/08/2006,54.58,0.004406911
23/08/2006,54.34,0.007388286
22/08/2006,53.94,-0.004070311
21/08/2006,54.16,0.001293303
18/08/2006,54.09,-0.001108648
17/08/2006,54.15,0.011328935
16/08/2006,53.54,-0.003542467
15/08/2006,53.73,-0.002230899
14/08/2006,53.85,0.023106128
11/08/2006,52.62,-0.012840056
10/08/2006,53.3,0.027581396
09/08/2006,51.85,-0.011314724
08/08/2006,52.44,0
07/08/2006,52.44,-0.001333969
04/08/2006,52.51,0.009759909
03/08/2006,52,-0.004413324
02/08/2006,52.23,-0.008199112
01/08/2006,52.66,0.012612435
31/07/2006,52,-0.01242252
28/07/2006,52.65,0.013192047
27/07/2006,51.96,-0.005948401
26/07/2006,52.27,-0.006863707
25/07/2006,52.63,0.001711515
24/07/2006,52.54,0.002286586
21/07/2006,52.42,-0.002286586
20/07/2006,52.54,0.002477371
19/07/2006,52.41,0.054099022
18/07/2006,49.65,-0.008822997
17/07/2006,50.09,0.000998702
14/07/2006,50.04,-0.004585792
13/07/2006,50.27,-0.022035123
12/07/2006,51.39,-0.016787659
11/07/2006,52.26,0.003066311
10/07/2006,52.1,0.023302025
07/07/2006,50.9,-0.006462374
06/07/2006,51.23,0.003715659
05/07/2006,51.04,-0.01246122
03/07/2006,51.68,0.009136034
30/06/2006,51.21,0.009417374
29/06/2006,50.73,0.023737028
28/06/2006,49.54,0.012594113
27/06/2006,48.92,-0.018631564
26/06/2006,49.84,0.015366255
23/06/2006,49.08,-0.000407415
22/06/2006,49.1,-0.014155949
21/06/2006,49.8,-0.002807301
20/06/2006,49.94,0.007638228
19/06/2006,49.56,-0.010637331
16/06/2006,50.09,-0.018200305
15/06/2006,51.01,0.025011228
14/06/2006,49.75,-0.015556756
13/06/2006,50.53,-0.007688554
12/06/2006,50.92,-0.005874307
09/06/2006,51.22,-0.007585371
08/06/2006,51.61,0.013263311
07/06/2006,50.93,-0.018481219
06/06/2006,51.88,-0.002118033
05/06/2006,51.99,-0.012044883
02/06/2006,52.62,0.009163867
01/06/2006,52.14,0.012933295
31/05/2006,51.47,0.022199124
30/05/2006,50.34,-0.035324192
26/05/2006,52.15,0.010408729
25/05/2006,51.61,0.000775344
24/05/2006,51.57,0.005444307
23/05/2006,51.29,-0.002142371
22/05/2006,51.4,-0.001943635
19/05/2006,51.5,0.01467019
18/05/2006,50.75,-0.010389195
17/05/2006,51.28,-0.019886745
16/05/2006,52.31,0.004790658
15/05/2006,52.06,-0.003642991
12/05/2006,52.25,-0.0104713
11/05/2006,52.8,-0.007359218
10/05/2006,53.19,0.020897417
09/05/2006,52.09,-0.007649684
08/05/2006,52.49,-0.0024736
05/05/2006,52.62,0.016092301
04/05/2006,51.78,-0.00135096
03/05/2006,51.85,0.008716762
02/05/2006,51.4,-0.003301936
01/05/2006,51.57,-0.010224841
28/04/2006,52.1,0.006933772
27/04/2006,51.74,0.014405544
26/04/2006,51,0.017206001
25/04/2006,50.13,-0.000797607
24/04/2006,50.17,0.004394733
21/04/2006,49.95,0.001402384
20/04/2006,49.88,-0.01175898
19/04/2006,50.47,0.006560008
18/04/2006,50.14,0.021367473
17/04/2006,49.08,-0.003457748
13/04/2006,49.25,-0.014913618
12/04/2006,49.99,0.013493307
11/04/2006,49.32,0.005489492
10/04/2006,49.05,-0.005489492
07/04/2006,49.32,-0.009283619
06/04/2006,49.78,0.006449035
05/04/2006,49.46,0.013229052
04/04/2006,48.81,0.007609291
03/04/2006,48.44,0.001446132
31/03/2006,48.37,-0.007620261
30/03/2006,48.74,-0.00450359
29/03/2006,48.96,0.004298441
28/03/2006,48.75,-0.008171649
27/03/2006,49.15,-0.001016777
24/03/2006,49.2,0.004073325
23/03/2006,49,-0.010152371
22/03/2006,49.5,-0.011249616
21/03/2006,50.06,-0.017033488
20/03/2006,50.92,0.004132644
17/03/2006,50.71,0.003358028
16/03/2006,50.54,0.001782355
15/03/2006,50.45,-0.003956484
14/03/2006,50.65,0.018330858
13/03/2006,49.73,0.002012883
10/03/2006,49.63,0.009718643
09/03/2006,49.15,-0.011128087
08/03/2006,49.7,0.004840671
07/03/2006,49.46,0.009956396
06/03/2006,48.97,-0.009754192
03/03/2006,49.45,-0.012260228
02/03/2006,50.06,0.007619848
01/03/2006,49.68,-0.008817692
28/02/2006,50.12,-0.013673056
27/02/2006,50.81,-0.004516453
24/02/2006,51.04,-0.003325186
23/02/2006,51.21,-0.014924204
22/02/2006,51.98,0.040437305
21/02/2006,49.92,-0.005194817
17/02/2006,50.18,-0.013066905
16/02/2006,50.84,-0.000589913
15/02/2006,50.87,-0.001767652
14/02/2006,50.96,0.024231573
13/02/2006,49.74,-0.011195639
10/02/2006,50.3,0.022111454
09/02/2006,49.2,-0.005270639
08/02/2006,49.46,0.007712642
07/02/2006,49.08,-0.00061106
06/02/2006,49.11,0.003876369
03/02/2006,48.92,-0.016824153
02/02/2006,49.75,-0.009004563
01/02/2006,50.2,0.00079713
31/01/2006,50.16,-0.011693722
30/01/2006,50.75,0.005730675
27/01/2006,50.46,-0.004350412
26/01/2006,50.68,0.029637732
25/01/2006,49.2,0.002849585
24/01/2006,49.06,0.010243892
23/01/2006,48.56,0.008686714
20/01/2006,48.14,-0.021983423
19/01/2006,49.21,-0.008498635
18/01/2006,49.63,-0.008626796
17/01/2006,50.06,-0.012111733
13/01/2006,50.67,0.001975504
12/01/2006,50.57,-0.01257631
11/01/2006,51.21,0.003129281
10/01/2006,51.05,-0.008970419
09/01/2006,51.51,0.010538739
06/01/2006,50.97,0.005508572
05/01/2006,50.69,-0.002758079
04/01/2006,50.83,0.006117434
03/01/2006,50.52,0.030548999
30/12/2005,49,-0.001427552
29/12/2005,49.07,0.004084139
28/12/2005,48.87,-0.004898969
27/12/2005,49.11,-0.010331298
23/12/2005,49.62,0.002421309
22/12/2005,49.5,0.003642991
21/12/2005,49.32,-0.003844991
20/12/2005,49.51,0.000606122
19/12/2005,49.48,-0.006847962
16/12/2005,49.82,-0.010582109
15/12/2005,50.35,0.006175934
14/12/2005,50.04,-0.003590668
13/12/2005,50.22,-0.002585265
12/12/2005,50.35,-0.007124511
09/12/2005,50.71,-0.000591424
08/12/2005,50.74,0.002367799
07/12/2005,50.62,-0.003549599
06/12/2005,50.8,0.00019687
05/12/2005,50.79,-0.026424697
02/12/2005,52.15,0.010021283
01/12/2005,51.63,0.003686819
30/11/2005,51.44,-0.010250549
29/11/2005,51.97,0.017861084
28/11/2005,51.05,0.002549771
25/11/2005,50.92,-0.004115635
23/11/2005,51.13,0.000586912
22/11/2005,51.1,0.001370802
21/11/2005,51.03,-0.000979336
18/11/2005,51.08,0.007467121
17/11/2005,50.7,0.00732459
16/11/2005,50.33,0.009181701
15/11/2005,49.87,-0.016900691
14/11/2005,50.72,0.006726039
11/11/2005,50.38,-0.00119024
10/11/2005,50.44,0.010362787
09/11/2005,49.92,-0.002600782
08/11/2005,50.05,-0.004187026
07/11/2005,50.26,0.004187026
04/11/2005,50.05,0.002801122
03/11/2005,49.91,-0.016296068
02/11/2005,50.73,0.008711201
01/11/2005,50.29,0.017653417
31/10/2005,49.41,0.008332535
28/10/2005,49,-0.032131278
27/10/2005,50.6,0.024608624
26/10/2005,49.37,0.013663922
25/10/2005,48.7,-0.01346135
24/10/2005,49.36,0.029816129
21/10/2005,47.91,0.005651506
20/10/2005,47.64,-0.011686277
19/10/2005,48.2,0.022025012
18/10/2005,47.15,-0.005077227
17/10/2005,47.39,0.009754106
14/10/2005,46.93,-0.003828163
13/10/2005,47.11,0.00660209
12/10/2005,46.8,-0.009357788
11/10/2005,47.24,-0.010947478
10/10/2005,47.76,-0.012070906
07/10/2005,48.34,0.001863547
06/10/2005,48.25,-0.005786336
05/10/2005,48.53,-0.012898121
04/10/2005,49.16,-0.003654826
03/10/2005,49.34,-0.009882101
30/09/2005,49.83,0.010895992
29/09/2005,49.29,0.018221407
28/09/2005,48.4,0.001861235
27/09/2005,48.31,-0.004955616
26/09/2005,48.55,-0.000411862
23/09/2005,48.57,0.003506243
22/09/2005,48.4,-0.012320484
21/09/2005,49,-0.000204061
20/09/2005,49.01,-0.014181761
19/09/2005,49.71,-0.009808907
16/09/2005,50.2,0.019105659
15/09/2005,49.25,0.007336491
14/09/2005,48.89,-0.005710805
13/09/2005,49.17,-0.014937702
12/09/2005,49.91,0.000200381
09/09/2005,49.9,0.018813137
08/09/2005,48.97,-0.005295328
07/09/2005,49.23,0.002440514
06/09/2005,49.11,0.002854814
02/09/2005,48.97,-0.001836173
01/09/2005,49.06,0.001631987
31/08/2005,48.98,0.005938381
30/08/2005,48.69,-0.008792614
29/08/2005,49.12,0.004897969
26/08/2005,48.88,-0.012200233
25/08/2005,49.48,0.007913199
24/08/2005,49.09,-0.008317322
23/08/2005,49.5,0.007095823
22/08/2005,49.15,0.019102974
19/08/2005,48.22,0.001037452
18/08/2005,48.17,-0.001659407
17/08/2005,48.25,0
16/08/2005,48.25,-0.016036528
15/08/2005,49.03,0.005522051
12/08/2005,48.76,-0.00245801
11/08/2005,48.88,0.010488528
10/08/2005,48.37,0.007887131
09/08/2005,47.99,0.007110026
08/08/2005,47.65,-0.006901627
05/08/2005,47.98,-0.018993139
04/08/2005,48.9,-0.00509945
03/08/2005,49.15,0.011253316
02/08/2005,48.6,0.00433035
01/08/2005,48.39,-0.015380186
29/07/2005,49.14,0.022223137
28/07/2005,48.06,0.005424591
27/07/2005,47.8,0.0143281
26/07/2005,47.12,0.012385381
25/07/2005,46.54,0.003228239
22/07/2005,46.39,0.00953007
21/07/2005,45.95,-0.011683387
20/07/2005,46.49,0.002800217
19/07/2005,46.36,-0.000862441
18/07/2005,46.4,0
15/07/2005,46.4,0.007788875
14/07/2005,46.04,0.01069996
13/07/2005,45.55,-0.003943914
12/07/2005,45.73,-0.000437254
11/07/2005,45.75,-0.008705169
08/07/2005,46.15,0.001084011
07/07/2005,46.1,-0.012931215
06/07/2005,46.7,0.001500054
05/07/2005,46.63,0.025191343
01/07/2005,45.47,0.011724501
30/06/2005,44.94,-0.011284554
29/06/2005,45.45,0.001761727
28/06/2005,45.37,0.010413299
27/06/2005,44.9,0.006928176
24/06/2005,44.59,0.005622414
23/06/2005,44.34,-0.012550591
22/06/2005,44.9,-0.003113189
21/06/2005,45.04,-0.001552968
20/06/2005,45.11,0.008235995
17/06/2005,44.74,0.019181452
16/06/2005,43.89,0.0123798
15/06/2005,43.35,-0.000461255
14/06/2005,43.37,0.002308404
13/06/2005,43.27,-0.013315165
10/06/2005,43.85,-0.007044683
09/06/2005,44.16,0.01161612
08/06/2005,43.65,0.001375516
07/06/2005,43.59,-0.010951513
06/06/2005,44.07,0.014628832
03/06/2005,43.43,-0.018252845
02/06/2005,44.23,-0.001355626
01/06/2005,44.29,-0.006974941
31/05/2005,44.6,-0.002239643
27/05/2005,44.7,-0.000223689
26/05/2005,44.71,0.020335088
25/05/2005,43.81,-0.009767255
24/05/2005,44.24,0.009767255
23/05/2005,43.81,0.007331075
20/05/2005,43.49,0.008312216
19/05/2005,43.13,0.009317561
18/05/2005,42.73,-0.029742826
17/05/2005,44.02,0.018340725
16/05/2005,43.22,0.025305943
13/05/2005,42.14,-0.006386775
12/05/2005,42.41,-0.023766263
11/05/2005,43.43,0.01554736
10/05/2005,42.76,-0.020600196
09/05/2005,43.65,0.002293579
06/05/2005,43.55,0.013640253
05/05/2005,42.96,-0.013640253
04/05/2005,43.55,0.11445906
03/05/2005,38.84,-0.000514801
02/05/2005,38.86,-0.001028807
29/04/2005,38.9,0.026043139
28/04/2005,37.9,0.001320132
27/04/2005,37.85,-0.004218303
26/04/2005,38.01,-0.026737479
25/04/2005,39.04,0.011334485
22/04/2005,38.6,-0.017717757
21/04/2005,39.29,0.021611338
20/04/2005,38.45,-0.009319249
19/04/2005,38.81,0.007500358
18/04/2005,38.52,0.00129887
15/04/2005,38.47,-0.017777101
14/04/2005,39.16,-0.004077478
13/04/2005,39.32,-0.025114328
12/04/2005,40.32,0.014237783
11/04/2005,39.75,0.006562366
08/04/2005,39.49,-0.007568149
07/04/2005,39.79,-0.002510041
06/04/2005,39.89,0.003767429
05/04/2005,39.74,0.002519528
04/04/2005,39.64,0.019873266
01/04/2005,38.86,-0.006157023
31/03/2005,39.1,0.001279591
30/03/2005,39.05,0.016785417
29/03/2005,38.4,-0.00389864
28/03/2005,38.55,0.006245141
24/03/2005,38.31,-0.003127446
23/03/2005,38.43,-0.002079543
22/03/2005,38.51,-0.021323865
21/03/2005,39.34,-0.002792234
18/03/2005,39.45,-0.00455236
17/03/2005,39.63,0.000504796
16/03/2005,39.61,-0.014038837
15/03/2005,40.17,-0.018009615
14/03/2005,40.9,0.012300278
11/03/2005,40.4,-0.01449835
10/03/2005,40.99,0.005626926
09/03/2005,40.76,-0.003428855
08/03/2005,40.9,0.005885255
07/03/2005,40.66,-0.007351173
04/03/2005,40.96,-0.003412141
03/03/2005,41.1,0.013225762
02/03/2005,40.56,-0.012739026
01/03/2005,41.08,0.000974184
28/02/2005,41.04,-0.00583092
25/02/2005,41.28,0.006806054
24/02/2005,41,0.012270093
23/02/2005,40.5,0.008928631
22/02/2005,40.14,-0.023148042
18/02/2005,41.08,0.016196673
17/02/2005,40.42,-0.023231268
16/02/2005,41.37,0.014609464
15/02/2005,40.77,0.015822333
14/02/2005,40.13,0.004745856
11/02/2005,39.94,0.01285138
10/02/2005,39.43,-0.020334578
09/02/2005,40.24,-0.004710558
08/02/2005,40.43,-0.001235941
07/02/2005,40.48,-0.000987654
04/02/2005,40.52,0.020444492
03/02/2005,39.7,-0.01450388
02/02/2005,40.28,-0.003964326
01/02/2005,40.44,0.017209553
31/01/2005,39.75,-0.004768487
28/01/2005,39.94,-0.017620508
27/01/2005,40.65,-0.004418269
26/01/2005,40.83,0.007621426
