Date,Close,UTX
20/02/2008,72.05,0.001388889
19/02/2008,71.95,0.005854491
15/02/2008,71.53,-0.015536448
14/02/2008,72.65,-0.011904088
13/02/2008,73.52,0.009566835
12/02/2008,72.82,0.017314651
11/02/2008,71.57,0.003078648
08/02/2008,71.35,-0.001680437
07/02/2008,71.47,-0.00558115
06/02/2008,71.87,-0.006656522
05/02/2008,72.35,-0.023225088
04/02/2008,74.05,-0.000944861
01/02/2008,74.12,0.011534153
31/01/2008,73.27,0.007122342
30/01/2008,72.75,-0.005893254
29/01/2008,73.18,-0.007487612
28/01/2008,73.73,0.013380866
25/01/2008,72.75,0.0026151
24/01/2008,72.56,0.022015659
23/01/2008,70.98,0.054129839
22/01/2008,67.24,-0.011974421
18/01/2008,68.05,-0.00058763
17/01/2008,68.09,-0.042412739
16/01/2008,71.04,-0.00449439
15/01/2008,71.36,-0.011564044
14/01/2008,72.19,0.007089763
11/01/2008,71.68,-0.0098564
10/01/2008,72.39,0.005957759
09/01/2008,71.96,0.002365218
08/01/2008,71.79,-0.039333214
07/01/2008,74.67,-0.00467634
04/01/2008,75.02,-0.016656036
03/01/2008,76.28,0.01412658
02/01/2008,75.21,-0.017529279
31/12/2007,76.54,-0.004302203
28/12/2007,76.87,0.000390345
27/12/2007,76.84,-0.01267313
26/12/2007,77.82,-0.004615393
24/12/2007,78.18,0.004486899
21/12/2007,77.83,0.018544265
20/12/2007,76.4,0.007884404
19/12/2007,75.8,-0.001581862
18/12/2007,75.92,0.01165885
17/12/2007,75.04,-0.021750017
14/12/2007,76.69,-0.011924963
13/12/2007,77.61,0.010752095
12/12/2007,76.78,0.004699748
11/12/2007,76.42,-0.031049193
10/12/2007,78.83,0.009687775
07/12/2007,78.07,0.001025247
06/12/2007,77.99,0.014725143
05/12/2007,76.85,0.027706258
04/12/2007,74.75,-0.002405132
03/12/2007,74.93,0.002137609
30/11/2007,74.77,-0.008920903
29/11/2007,75.44,-0.005420067
28/11/2007,75.85,0.024692613
27/11/2007,74,0.01799885
26/11/2007,72.68,-0.010674797
23/11/2007,73.46,0.009299848
21/11/2007,72.78,-0.020938902
20/11/2007,74.32,0.010686608
19/11/2007,73.53,-0.010417466
16/11/2007,74.3,0.004721763
15/11/2007,73.95,-0.013031688
14/11/2007,74.92,-0.005457584
13/11/2007,75.33,0.018759762
12/11/2007,73.93,0.005697248
09/11/2007,73.51,-0.016058641
08/11/2007,74.7,0.003218024
07/11/2007,74.46,-0.028596071
06/11/2007,76.62,0.006678477
05/11/2007,76.11,0.006062222
02/11/2007,75.65,0.012369646
01/11/2007,74.72,-0.024718726
31/10/2007,76.59,0.01010441
30/10/2007,75.82,0.000527704
29/10/2007,75.78,0.004496767
26/10/2007,75.44,-0.003704688
25/10/2007,75.72,-0.010117687
24/10/2007,76.49,0.00616355
23/10/2007,76.02,0.002898171
22/10/2007,75.8,-0.002635048
19/10/2007,76,-0.018640962
18/10/2007,77.43,0.008169662
17/10/2007,76.8,-0.036437396
16/10/2007,79.65,-0.002758277
15/10/2007,79.87,-0.005618343
12/10/2007,80.32,0.013411243
11/10/2007,79.25,-0.015649772
10/10/2007,80.5,-0.008658063
09/10/2007,81.2,0.010398707
08/10/2007,80.36,-0.005955353
05/10/2007,80.84,0.00932089
04/10/2007,80.09,0.005257899
03/10/2007,79.67,-0.011853654
02/10/2007,80.62,-0.017825784
01/10/2007,82.07,0.019563835
28/09/2007,80.48,-0.002605946
27/09/2007,80.69,0.006091137
26/09/2007,80.2,0.003372263
25/09/2007,79.93,0.015635169
24/09/2007,78.69,-0.009360048
21/09/2007,79.43,0.008851853
20/09/2007,78.73,-0.002156951
19/09/2007,78.9,0.00942322
18/09/2007,78.16,0.030264015
17/09/2007,75.83,-0.004079758
14/09/2007,76.14,0.014819006
13/09/2007,75.02,0.002402243
12/09/2007,74.84,0.002274096
11/09/2007,74.67,0.002413517
10/09/2007,74.49,0.009441667
07/09/2007,73.79,-0.016398217
06/09/2007,75.01,0.021016535
05/09/2007,73.45,-0.013254184
04/09/2007,74.43,-0.002683485
31/08/2007,74.63,0.010641981
30/08/2007,73.84,-0.006883083
29/08/2007,74.35,0.032117554
28/08/2007,72,-0.023608014
27/08/2007,73.72,-0.008240506
24/08/2007,74.33,0.01395403
23/08/2007,73.3,-0.007746183
22/08/2007,73.87,0.012669606
21/08/2007,72.94,-0.023842907
20/08/2007,74.7,0.011850395
17/08/2007,73.82,0.037823694
16/08/2007,71.08,-0.007707977
15/08/2007,71.63,-0.015927212
14/08/2007,72.78,-0.016759027
13/08/2007,74.01,0.012645488
10/08/2007,73.08,0.009762883
09/08/2007,72.37,-0.022948692
08/08/2007,74.05,-0.001349528
07/08/2007,74.15,-0.009396042
06/08/2007,74.85,0.012367411
03/08/2007,73.93,-0.011164283
02/08/2007,74.76,0.001472459
01/08/2007,74.65,0.022762126
31/07/2007,72.97,-0.009004154
30/07/2007,73.63,0.004628377
27/07/2007,73.29,-0.015703585
26/07/2007,74.45,-0.009890484
25/07/2007,75.19,0.006002819
24/07/2007,74.74,-0.019608471
23/07/2007,76.22,0.002495896
20/07/2007,76.03,-0.015012357
19/07/2007,77.18,0.021213313
18/07/2007,75.56,-0.016798295
17/07/2007,76.84,0.00221484
16/07/2007,76.67,0.022022384
13/07/2007,75,0.013558165
12/07/2007,73.99,0.013470508
11/07/2007,73,0.012821572
10/07/2007,72.07,-0.006224517
09/07/2007,72.52,-0.001102536
06/07/2007,72.6,0.006633523
05/07/2007,72.12,-0.004841285
03/07/2007,72.47,0.000137998
02/07/2007,72.46,0.02134121
29/06/2007,70.93,-0.002253205
28/06/2007,71.09,-0.00575077
27/06/2007,71.5,0.013092325
26/06/2007,70.57,-0.009870357
25/06/2007,71.27,-0.001542237
22/06/2007,71.38,-0.007953715
21/06/2007,71.95,0.001669217
20/06/2007,71.83,0.001532567
19/06/2007,71.72,-0.006531883
18/06/2007,72.19,0.002496534
15/06/2007,72.01,0.010189215
14/06/2007,71.28,0.007745972
13/06/2007,70.73,0.015100002
12/06/2007,69.67,-0.007293561
11/06/2007,70.18,-0.0007122
08/06/2007,70.23,0.019554901
07/06/2007,68.87,-0.015131062
06/06/2007,69.92,-0.011800805
05/06/2007,70.75,-0.00098891
04/06/2007,70.82,0.000564972
01/06/2007,70.78,0.003254797
31/05/2007,70.55,0.016002628
30/05/2007,69.43,0.006357484
29/05/2007,68.99,0.005377529
25/05/2007,68.62,0.005260094
24/05/2007,68.26,-0.008606282
23/05/2007,68.85,-0.005215136
22/05/2007,69.21,0.004198949
21/05/2007,68.92,-0.003909932
18/05/2007,69.19,-0.002598154
17/05/2007,69.37,0.012912766
16/05/2007,68.48,-0.000292013
15/05/2007,68.5,0.003656311
14/05/2007,68.25,-0.002049181
11/05/2007,68.39,0.005424836
10/05/2007,68.02,-0.010965824
09/05/2007,68.77,0.006272357
08/05/2007,68.34,-0.010335633
07/05/2007,69.05,0.015323175
04/05/2007,68,0.001029942
03/05/2007,67.93,-0.006895061
02/05/2007,68.4,0.009843611
01/05/2007,67.73,0.008898175
30/04/2007,67.13,-0.008307421
27/04/2007,67.69,0.000591104
26/04/2007,67.65,-0.005748413
25/04/2007,68.04,0.003976148
24/04/2007,67.77,-0.000147547
23/04/2007,67.78,0.004435909
20/04/2007,67.48,0.003860435
19/04/2007,67.22,0.004472946
18/04/2007,66.92,0.011119574
17/04/2007,66.18,0.005910451
16/04/2007,65.79,0.011311646
13/04/2007,65.05,0.004776956
12/04/2007,64.74,0.010246946
11/04/2007,64.08,-0.005757427
10/04/2007,64.45,-0.009420192
09/04/2007,65.06,0.002000155
05/04/2007,64.93,0
04/04/2007,64.93,-0.005222746
03/04/2007,65.27,0.00846224
02/04/2007,64.72,-0.004316997
30/03/2007,65,0.000153858
29/03/2007,64.99,-0.005830026
28/03/2007,65.37,-0.011256584
27/03/2007,66.11,-0.004527626
26/03/2007,66.41,-0.004806979
23/03/2007,66.73,0.009788498
22/03/2007,66.08,-0.001512173
21/03/2007,66.18,0.014305525
20/03/2007,65.24,0.002609164
19/03/2007,65.07,0.007249203
16/03/2007,64.6,0.003100778
15/03/2007,64.4,-0.005420067
14/03/2007,64.75,0.00681856
13/03/2007,64.31,-0.0160423
12/03/2007,65.35,0.013092216
09/03/2007,64.5,-0.0009298
08/03/2007,64.56,0.00465767
07/03/2007,64.26,0.001245718
06/03/2007,64.18,0.010022007
05/03/2007,63.54,-0.012667305
02/03/2007,64.35,-0.011894788
01/03/2007,65.12,-0.007953545
28/02/2007,65.64,0.002745997
27/02/2007,65.46,-0.026680307
26/02/2007,67.23,-0.004748488
23/02/2007,67.55,0.000740467
22/02/2007,67.5,-0.001184483
21/02/2007,67.58,-0.008105563
20/02/2007,68.13,-0.008040391
16/02/2007,68.68,-0.003633461
15/02/2007,68.93,0.011086912
14/02/2007,68.17,0.014331338
13/02/2007,67.2,0.002383791
12/02/2007,67.04,-0.008022625
09/02/2007,67.58,-0.006930648
08/02/2007,68.05,-0.006736991
07/02/2007,68.51,0.001460707
06/02/2007,68.41,0.009399394
05/02/2007,67.77,-0.003388086
02/02/2007,68,-0.008493242
01/02/2007,68.58,0.008199167
31/01/2007,68.02,0.015855707
30/01/2007,66.95,0.018999365
29/01/2007,65.69,-0.005313912
26/01/2007,66.04,-0.00257089
25/01/2007,66.21,-0.009320573
24/01/2007,66.83,0.010378374
23/01/2007,66.14,0.031485362
22/01/2007,64.09,-0.016864328
19/01/2007,65.18,0.004150978
18/01/2007,64.91,0.001387497
17/01/2007,64.82,0.004483966
16/01/2007,64.53,0.001706088
12/01/2007,64.42,0.011239581
11/01/2007,63.7,0.015982617
10/01/2007,62.69,0.003515504
09/01/2007,62.47,-0.011459619
08/01/2007,63.19,0.008103643
05/01/2007,62.68,-0.003026685
04/01/2007,62.87,0.000954806
03/01/2007,62.81,0.004627791
29/12/2006,62.52,-0.004627791
28/12/2006,62.81,-0.002067595
27/12/2006,62.94,-0.00459698
26/12/2006,63.23,0.010652776
