Date,Close,HD
20/02/2008,27.72,0.014901239
19/02/2008,27.31,-0.007660078
15/02/2008,27.52,0.000363438
14/02/2008,27.51,-0.029724659
13/02/2008,28.34,-0.001410437
12/02/2008,28.38,-0.010863958
11/02/2008,28.69,0.025416123
08/02/2008,27.97,-0.015256638
07/02/2008,28.4,0.026763417
06/02/2008,27.65,-0.012221576
05/02/2008,27.99,-0.047445243
04/02/2008,29.35,-0.036793448
01/02/2008,30.45,-0.006220351
31/01/2008,30.64,0.041992174
30/01/2008,29.38,-0.011169519
29/01/2008,29.71,0.019371889
28/01/2008,29.14,0.021155636
25/01/2008,28.53,-0.035465931
24/01/2008,29.56,-0.013107228
23/01/2008,29.95,0.060207347
22/01/2008,28.2,0.070513784
18/01/2008,26.28,0.001142205
17/01/2008,26.25,-0.003422707
16/01/2008,26.34,0.037521323
15/01/2008,25.37,-0.000788022
14/01/2008,25.39,0.027147376
11/01/2008,24.71,-0.022805549
10/01/2008,25.28,0.021996488
09/01/2008,24.73,-0.000404285
08/01/2008,24.74,-0.025146007
07/01/2008,25.37,0.01629283
04/01/2008,24.96,-0.033874842
03/01/2008,25.82,-0.011168997
02/01/2008,26.11,-0.031293788
31/12/2007,26.94,0.00969795
28/12/2007,26.68,-0.003367636
27/12/2007,26.77,-0.008184569
26/12/2007,26.99,-0.000740741
24/12/2007,27.01,0.013042853
21/12/2007,26.66,0.014736711
20/12/2007,26.27,0.00114264
19/12/2007,26.24,-0.008727052
18/12/2007,26.47,0.020225837
17/12/2007,25.94,-0.026252221
14/12/2007,26.63,-0.037225599
13/12/2007,27.64,-0.03028915
12/12/2007,28.49,0.003164003
11/12/2007,28.4,-0.041047321
10/12/2007,29.59,0.003385244
07/12/2007,29.49,0
06/12/2007,29.49,0.017790411
05/12/2007,28.97,0.006232707
04/12/2007,28.79,0.010474956
03/12/2007,28.49,-0.002453989
30/11/2007,28.56,0.024097552
29/11/2007,27.88,-0.013891586
28/11/2007,28.27,0.040424125
27/11/2007,27.15,-0.012445256
26/11/2007,27.49,-0.051747902
23/11/2007,28.95,0.031581572
21/11/2007,28.05,-0.015915455
20/11/2007,28.5,0.010936782
19/11/2007,28.19,-0.030739409
16/11/2007,29.07,0.003100778
15/11/2007,28.98,-0.001723841
14/11/2007,29.03,-0.003095445
13/11/2007,29.12,0.022925631
12/11/2007,28.46,0.014510961
09/11/2007,28.05,-0.036405841
08/11/2007,29.09,-0.0085573
07/11/2007,29.34,-0.024243612
06/11/2007,30.06,0.008686991
05/11/2007,29.8,-0.019934215
02/11/2007,30.4,-0.00949426
