Date,Close,AXP
20/02/2008,45.3,0.016694879
19/02/2008,44.55,-0.012491798
15/02/2008,45.11,-0.012775504
14/02/2008,45.69,-0.025071553
13/02/2008,46.85,0.03851232
12/02/2008,45.08,0.010032411
11/02/2008,44.63,-0.007811668
08/02/2008,44.98,-0.032158519
07/02/2008,46.45,0.012565157
06/02/2008,45.87,0.003713011
05/02/2008,45.7,-0.041994174
04/02/2008,47.66,-0.039898362
01/02/2008,49.6,0.009520988
31/01/2008,49.13,0.037114242
30/01/2008,47.34,-0.009670035
29/01/2008,47.8,0.008403411
28/01/2008,47.4,0.042229454
25/01/2008,45.44,-0.036092518
24/01/2008,47.11,0.019289068
23/01/2008,46.21,0.064120229
22/01/2008,43.34,-0.006210486
18/01/2008,43.61,0.021790385
17/01/2008,42.67,-0.03613326
16/01/2008,44.24,0.033792435
15/01/2008,42.77,-0.039652267
14/01/2008,44.5,0.011299555
11/01/2008,44,-0.105996677
10/01/2008,48.92,-0.003265309
09/01/2008,49.08,0.023292819
08/01/2008,47.95,-0.028981578
07/01/2008,49.36,0.004467013
04/01/2008,49.14,-0.025516201
03/01/2008,50.41,-0.012420071
02/01/2008,51.04,-0.019018621
31/12/2007,52.02,0.022944814
28/12/2007,50.84,-0.005101051
27/12/2007,51.1,-0.034618842
26/12/2007,52.9,-0.006406655
24/12/2007,53.24,0.024528276
21/12/2007,51.95,0.017868022
20/12/2007,51.03,-0.017097755
19/12/2007,51.91,0.002507476
18/12/2007,51.78,-0.007695305
17/12/2007,52.18,-0.002105868
14/12/2007,52.29,-0.029211537
13/12/2007,53.84,-0.004447746
12/12/2007,54.08,-0.008836582
11/12/2007,54.56,-0.053874272
10/12/2007,57.58,0.010826018
07/12/2007,56.96,-0.04413112
06/12/2007,59.53,0.027245002
05/12/2007,57.93,0.014256152
04/12/2007,57.11,-0.025755464
03/12/2007,58.6,-0.006463707
30/11/2007,58.98,0.036078825
29/11/2007,56.89,-0.009098925
28/11/2007,57.41,0.031675655
27/11/2007,55.62,0.038113811
26/11/2007,53.54,-0.038293586
23/11/2007,55.63,0.02346202
21/11/2007,54.34,-0.047790664
20/11/2007,57,-0.006470251
19/11/2007,57.37,-0.022407004
16/11/2007,58.67,0.007356119
15/11/2007,58.24,-0.014658521
14/11/2007,59.1,-0.001014713
13/11/2007,59.16,0.053288094
12/11/2007,56.09,-0.007106088
09/11/2007,56.49,0.006927819
08/11/2007,56.1,0.013097882
07/11/2007,55.37,-0.056184689
06/11/2007,58.57,0.006852862
05/11/2007,58.17,-0.004288539
02/11/2007,58.42,0.000513655
01/11/2007,58.39,-0.042909214
31/10/2007,60.95,0.010721752
30/10/2007,60.3,-0.003476537
29/10/2007,60.51,-0.002640701
26/10/2007,60.67,0.015112801
25/10/2007,59.76,0.013816564
24/10/2007,58.94,0.004761914
23/10/2007,58.66,0.030990102
22/10/2007,56.87,-0.004211271
19/10/2007,57.11,-0.026778831
18/10/2007,58.66,-0.023918944
17/10/2007,60.08,-0.00249356
16/10/2007,60.23,-0.025732797
15/10/2007,61.8,-0.022875508
12/10/2007,63.23,0.012412635
11/10/2007,62.45,0.009007621
10/10/2007,61.89,-0.01012789
09/10/2007,62.52,0.029707566
08/10/2007,60.69,-0.006732926
05/10/2007,61.1,0.022175325
04/10/2007,59.76,-0.001671962
03/10/2007,59.86,-0.012616369
02/10/2007,60.62,-0.000164948
01/10/2007,60.63,0.021000772
28/09/2007,59.37,-0.003363043
27/09/2007,59.57,0.009445171
26/09/2007,59.01,0.003054992
25/09/2007,58.83,0.007507287
24/09/2007,58.39,-0.015127339
21/09/2007,59.28,-0.014070584
20/09/2007,60.12,-0.013711291
19/09/2007,60.95,0.002464067
18/09/2007,60.8,0.043704434
17/09/2007,58.2,-0.012634623
14/09/2007,58.94,-0.027774916
13/09/2007,60.6,0.018654771
12/09/2007,59.48,0.001851073
11/09/2007,59.37,0.011178978
10/09/2007,58.71,0.016486721
07/09/2007,57.75,-0.028170877
06/09/2007,59.4,0.001347709
05/09/2007,59.32,-0.024149729
04/09/2007,60.77,0.036020311
